"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SIR Dunkley",2022-05-15,"Spirit","Barmy Army",2,123,73,18,3,168.493150684931,TRUE,"FairBreak Invitational Tournament",2022,1313211,"Dubai International Cricket Stadium","Dubai","Barmy Army","Spirit","Barmy Army","bat","SIR Dunkley","Spirit","6",NA
"HK Matthews",2023-04-16,"Warriors","Falcons",1,123,52,11,9,236.538461538462,FALSE,"FairBreak Invitational Tournament",2023,1366033,"Kowloon Cricket Club","Kowloon","Warriors","Falcons","Falcons","field","HK Matthews","Warriors",NA,"93"
"L Winfield-Hill",2023-04-08,"Barmy Army","Tornadoes",2,120,64,17,5,187.5,TRUE,"FairBreak Invitational Tournament",2023,1366021,"Kowloon Cricket Club","Kowloon","Tornadoes","Barmy Army","Barmy Army","field","L Winfield-Hill","Barmy Army","10",NA
"DJS Dottin",2022-05-15,"Barmy Army","Spirit",1,111,53,8,9,209.433962264151,FALSE,"FairBreak Invitational Tournament",2022,1313211,"Dubai International Cricket Stadium","Dubai","Barmy Army","Spirit","Barmy Army","bat","SIR Dunkley","Spirit","6",NA
"AC Jayangani",2022-05-04,"Falcons","Warriors (FairBreak)",2,107,55,13,5,194.545454545455,TRUE,"FairBreak Invitational Tournament",2022,1313194,"Dubai International Cricket Stadium","Dubai","Warriors (FairBreak)","Falcons","Falcons","field","AC Jayangani","Falcons","8",NA
"NJ Carey",2023-04-11,"Spirit","Tornadoes",2,84,28,7,7,300,TRUE,"FairBreak Invitational Tournament",2023,1366026,"Kowloon Cricket Club","Kowloon","Tornadoes","Spirit","Tornadoes","bat","NJ Carey","Spirit","6",NA
"DN Wyatt",2022-05-14,"Falcons","Spirit",1,83,48,11,1,172.916666666667,FALSE,"FairBreak Invitational Tournament",2022,1313209,"Dubai International Cricket Stadium","Dubai","Falcons","Spirit","Falcons","bat","DN Wyatt","Falcons",NA,"25"
"G Redmayne",2022-05-04,"Warriors (FairBreak)","Falcons",1,80,61,11,0,131.147540983607,TRUE,"FairBreak Invitational Tournament",2022,1313194,"Dubai International Cricket Stadium","Dubai","Warriors (FairBreak)","Falcons","Falcons","field","AC Jayangani","Falcons","8",NA
"DJS Dottin",2022-05-06,"Barmy Army","Falcons",1,80,59,12,2,135.593220338983,TRUE,"FairBreak Invitational Tournament",2022,1313197,"Dubai International Cricket Stadium","Dubai","Barmy Army","Falcons","Falcons","field","DN Wyatt","Falcons","8",NA
"SR Taylor",2022-05-08,"Tornadoes","Barmy Army",1,78,54,8,3,144.444444444444,TRUE,"FairBreak Invitational Tournament",2022,1313202,"Dubai International Cricket Stadium","Dubai","Tornadoes","Barmy Army","Barmy Army","field","SR Taylor","Barmy Army","8",NA
"AC Jayangani",2023-04-15,"Falcons","Barmy Army",2,78,50,8,5,156,FALSE,"FairBreak Invitational Tournament",2023,1366031,"Kowloon Cricket Club","Kowloon","Barmy Army","Falcons","Falcons","field","AC Jayangani","Falcons","6",NA
"P Litchfield",2023-04-04,"Warriors","Sapphires",2,77,37,16,1,208.108108108108,FALSE,"FairBreak Invitational Tournament",2023,1366015,"Kowloon Cricket Club","Kowloon","Sapphires","Warriors","Warriors","field","P Litchfield","Warriors","7",NA
"DN Wyatt",2022-05-06,"Falcons","Barmy Army",2,76,49,8,4,155.102040816327,TRUE,"FairBreak Invitational Tournament",2022,1313197,"Dubai International Cricket Stadium","Dubai","Barmy Army","Falcons","Falcons","field","DN Wyatt","Falcons","8",NA
"DN Wyatt",2023-04-12,"Falcons","Spirit",2,76,41,7,6,185.365853658537,TRUE,"FairBreak Invitational Tournament",2023,1366028,"Kowloon Cricket Club","Kowloon","Spirit","Falcons","Spirit","bat","AC Jayangani","Falcons","9",NA
"M du Preez",2022-05-12,"Warriors (FairBreak)","Barmy Army",1,75,54,6,3,138.888888888889,TRUE,"FairBreak Invitational Tournament",2022,1313208,"Dubai International Cricket Stadium","Dubai","Warriors (FairBreak)","Barmy Army","Barmy Army","field","M du Preez","Warriors (FairBreak)",NA,"54"
"AC Jayangani",2023-04-11,"Falcons","Sapphires",2,75,44,7,6,170.454545454545,TRUE,"FairBreak Invitational Tournament",2023,1366025,"Kowloon Cricket Club","Kowloon","Sapphires","Falcons","Falcons","field","AC Jayangani","Falcons","9",NA
"DJS Dottin",2023-04-16,"Barmy Army","Spirit",1,75,38,6,6,197.368421052632,FALSE,"FairBreak Invitational Tournament",2023,1366032,"Kowloon Cricket Club","Kowloon","Barmy Army","Spirit","Spirit","field","DJS Dottin","Barmy Army",NA,"22"
"N Chantam",2022-05-10,"Spirit","Warriors (FairBreak)",1,72,57,9,1,126.315789473684,FALSE,"FairBreak Invitational Tournament",2022,1313203,"Dubai International Cricket Stadium","Dubai","Spirit","Warriors (FairBreak)","Warriors (FairBreak)","field","N Chantam","Spirit",NA,"67"
"EJ Villani",2022-05-11,"Sapphires","Falcons",1,71,54,8,1,131.481481481481,TRUE,"FairBreak Invitational Tournament",2022,1313205,"Dubai International Cricket Stadium","Dubai","Sapphires","Falcons","Falcons","field","B de Leede","Sapphires",NA,"30"
"NJ Carey",2022-05-08,"Spirit","Sapphires",1,70,43,11,1,162.790697674419,FALSE,"FairBreak Invitational Tournament",2022,1313201,"Dubai International Cricket Stadium","Dubai","Spirit","Sapphires","Spirit","bat","A Khaka","Spirit",NA,"55"
"DJS Dottin",2023-04-09,"Barmy Army","Warriors",1,69,48,3,7,143.75,FALSE,"FairBreak Invitational Tournament",2023,1366024,"Kowloon Cricket Club","Kowloon","Barmy Army","Warriors","Warriors","field","DJS Dottin","Barmy Army",NA,"17"
"M Kapp",2022-05-15,"Falcons","Tornadoes",1,67,37,6,2,181.081081081081,TRUE,"FairBreak Invitational Tournament",2022,1313212,"Dubai International Cricket Stadium","Dubai","Falcons","Tornadoes","Tornadoes","field","M Kapp","Tornadoes","8",NA
"Bismah Maroof",2023-04-08,"Spirit","Warriors",2,66,60,5,1,110,TRUE,"FairBreak Invitational Tournament",2023,1366022,"Kowloon Cricket Club","Kowloon","Warriors","Spirit","Spirit","field","A Wellington","Warriors",NA,"3"
"S Luus",2022-05-08,"Tornadoes","Barmy Army",1,66,58,7,1,113.793103448276,TRUE,"FairBreak Invitational Tournament",2022,1313202,"Dubai International Cricket Stadium","Dubai","Tornadoes","Barmy Army","Barmy Army","field","SR Taylor","Barmy Army","8",NA
"KA Tomlinson",2023-04-12,"Spirit","Falcons",1,65,46,8,2,141.304347826087,FALSE,"FairBreak Invitational Tournament",2023,1366028,"Kowloon Cricket Club","Kowloon","Spirit","Falcons","Spirit","bat","AC Jayangani","Falcons","9",NA
"L Wolvaardt",2022-05-10,"Barmy Army","Sapphires",1,65,45,10,0,144.444444444444,FALSE,"FairBreak Invitational Tournament",2022,1313204,"Dubai International Cricket Stadium","Dubai","Barmy Army","Sapphires","Sapphires","field","GM Harris","Barmy Army",NA,"6"
"S Luus",2023-04-08,"Tornadoes","Barmy Army",1,65,43,6,3,151.162790697674,TRUE,"FairBreak Invitational Tournament",2023,1366021,"Kowloon Cricket Club","Kowloon","Tornadoes","Barmy Army","Barmy Army","field","L Winfield-Hill","Barmy Army","10",NA
"AC Jayangani",2022-05-14,"Falcons","Spirit",1,63,52,7,2,121.153846153846,FALSE,"FairBreak Invitational Tournament",2022,1313209,"Dubai International Cricket Stadium","Dubai","Falcons","Spirit","Falcons","bat","DN Wyatt","Falcons",NA,"25"
"GH Lewis",2022-05-07,"Sapphires","Warriors (FairBreak)",2,62,57,7,2,108.771929824561,TRUE,"FairBreak Invitational Tournament",2022,1313200,"Dubai International Cricket Stadium","Dubai","Warriors (FairBreak)","Sapphires","Warriors (FairBreak)","bat","GH Lewis","Sapphires","10",NA
"EJ Villani",2022-05-07,"Sapphires","Warriors (FairBreak)",2,62,51,9,0,121.56862745098,TRUE,"FairBreak Invitational Tournament",2022,1313200,"Dubai International Cricket Stadium","Dubai","Warriors (FairBreak)","Sapphires","Warriors (FairBreak)","bat","GH Lewis","Sapphires","10",NA
"SR Taylor",2023-04-11,"Tornadoes","Spirit",1,61,48,10,0,127.083333333333,TRUE,"FairBreak Invitational Tournament",2023,1366026,"Kowloon Cricket Club","Kowloon","Tornadoes","Spirit","Tornadoes","bat","NJ Carey","Spirit","6",NA
"SW Bates",2022-05-04,"Falcons","Warriors (FairBreak)",2,60,43,8,1,139.53488372093,FALSE,"FairBreak Invitational Tournament",2022,1313194,"Dubai International Cricket Stadium","Dubai","Warriors (FairBreak)","Falcons","Falcons","field","AC Jayangani","Falcons","8",NA
"SL Kalis",2022-05-06,"Tornadoes","Warriors (FairBreak)",1,58,57,8,0,101.754385964912,FALSE,"FairBreak Invitational Tournament",2022,1313198,"Dubai International Cricket Stadium","Dubai","Tornadoes","Warriors (FairBreak)","Warriors (FairBreak)","field","WA Duraisingam","Tornadoes",NA,"13"
"HK Matthews",2022-05-04,"Warriors (FairBreak)","Falcons",1,58,35,7,2,165.714285714286,FALSE,"FairBreak Invitational Tournament",2022,1313194,"Dubai International Cricket Stadium","Dubai","Warriors (FairBreak)","Falcons","Falcons","field","AC Jayangani","Falcons","8",NA
"Theertha Satish",2023-04-03,"Falcons","Tornadoes",1,57,40,7,2,142.5,FALSE,"FairBreak Invitational Tournament",2023,1366014,"Kowloon Cricket Club","Kowloon","Falcons","Tornadoes","Tornadoes","field","Theertha Satish","Falcons",NA,"41"
"DJS Dottin",2022-05-08,"Barmy Army","Tornadoes",2,56,40,5,3,140,TRUE,"FairBreak Invitational Tournament",2022,1313202,"Dubai International Cricket Stadium","Dubai","Tornadoes","Barmy Army","Barmy Army","field","SR Taylor","Barmy Army","8",NA
"L Winfield-Hill",2023-04-05,"Barmy Army","Falcons",1,54,35,4,4,154.285714285714,FALSE,"FairBreak Invitational Tournament",2023,1366018,"Kowloon Cricket Club","Kowloon","Barmy Army","Falcons","Falcons","field","L Cardoso","Barmy Army",NA,"9"
"NJ Carey",2022-05-11,"Spirit","Tornadoes",1,53,26,9,1,203.846153846154,TRUE,"FairBreak Invitational Tournament",2022,1313206,"Dubai International Cricket Stadium","Dubai","Spirit","Tornadoes","Tornadoes","field","S Ecclestone","Spirit",NA,"75"
