"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"S Ecclestone",2022-05-11,"Tornadoes","Spirit",2,"3.1",0,8,5,2.52631578947368,14,"FairBreak Invitational Tournament",2022,1313206,"Dubai International Cricket Stadium","Dubai","Spirit","Tornadoes","Tornadoes","field","S Ecclestone","Spirit",NA,"75"
"A Khaka",2022-05-08,"Sapphires","Spirit",2,"4.0",0,9,5,2.25,18,"FairBreak Invitational Tournament",2022,1313201,"Dubai International Cricket Stadium","Dubai","Spirit","Sapphires","Spirit","bat","A Khaka","Spirit",NA,"55"
"RC Belbashi",2023-04-12,"Sapphires","Barmy Army",2,"4.0",1,11,5,2.75,19,"FairBreak Invitational Tournament",2023,1366027,"Kowloon Cricket Club","Kowloon","Barmy Army","Sapphires","Sapphires","field","RC Belbashi","Barmy Army",NA,"61"
"GM Harris",2022-05-10,"Barmy Army","Sapphires",1,"4.0",0,22,5,5.5,11,"FairBreak Invitational Tournament",2022,1313204,"Dubai International Cricket Stadium","Dubai","Barmy Army","Sapphires","Sapphires","field","GM Harris","Barmy Army",NA,"6"
"A Khaka",2023-04-07,"Sapphires","Spirit",2,"4.0",1,13,4,3.25,17,"FairBreak Invitational Tournament",2023,1366019,"Kowloon Cricket Club","Kowloon","Spirit","Sapphires","Sapphires","field","A Khaka","Spirit",NA,"12"
"Sana Mir",2022-05-11,"Falcons","Sapphires",2,"4.0",1,15,4,3.75,13,"FairBreak Invitational Tournament",2022,1313205,"Dubai International Cricket Stadium","Dubai","Sapphires","Falcons","Falcons","field","B de Leede","Sapphires",NA,"30"
"AC Jayangani",2023-04-05,"Barmy Army","Falcons",1,"4.0",0,17,4,4.25,15,"FairBreak Invitational Tournament",2023,1366018,"Kowloon Cricket Club","Kowloon","Barmy Army","Falcons","Falcons","field","L Cardoso","Barmy Army",NA,"9"
"S Miyaji",2022-05-07,"Falcons","Spirit",2,"4.0",0,18,4,4.5,8,"FairBreak Invitational Tournament",2022,1313199,"Dubai International Cricket Stadium","Dubai","Spirit","Falcons","Falcons","field","S Miyaji","Spirit",NA,"27"
"JL Aras",2023-04-12,"Barmy Army","Sapphires",1,"4.0",0,32,4,8,10,"FairBreak Invitational Tournament",2023,1366027,"Kowloon Cricket Club","Kowloon","Barmy Army","Sapphires","Sapphires","field","RC Belbashi","Barmy Army",NA,"61"
"M Kapp",2023-04-03,"Tornadoes","Falcons",2,"3.0",0,4,3,1.33333333333333,16,"FairBreak Invitational Tournament",2023,1366014,"Kowloon Cricket Club","Kowloon","Falcons","Tornadoes","Tornadoes","field","Theertha Satish","Falcons",NA,"41"
"WA Duraisingam",2023-04-14,"Sapphires","Tornadoes",2,"2.2",0,8,3,3.42857142857143,9,"FairBreak Invitational Tournament",2023,1366029,"Kowloon Cricket Club","Kowloon","Tornadoes","Sapphires","Sapphires","field","C Sutthiruang","Tornadoes",NA,"55"
"AC Jayangani",2023-04-12,"Spirit","Falcons",1,"4.0",1,9,3,2.25,17,"FairBreak Invitational Tournament",2023,1366028,"Kowloon Cricket Club","Kowloon","Spirit","Falcons","Spirit","bat","AC Jayangani","Falcons","9",NA
"JM Kerr",2023-04-15,"Spirit","Warriors",1,"2.4",0,11,3,4.125,12,"FairBreak Invitational Tournament",2023,1366030,"Kowloon Cricket Club","Kowloon","Spirit","Warriors","Warriors","field","KE Bryce","Warriors","4",NA
"M Hill",2023-04-07,"Warriors","Falcons",2,"2.4",0,11,3,4.125,9,"FairBreak Invitational Tournament",2023,1366020,"Kowloon Cricket Club","Kowloon","Falcons","Warriors","Falcons","bat","KE Bryce","Warriors","5",NA
"NE Farrant",2023-04-09,"Tornadoes","Sapphires",2,"2.0",0,11,3,5.5,6,"FairBreak Invitational Tournament",2023,1366023,"Kowloon Cricket Club","Kowloon","Sapphires","Tornadoes","Tornadoes","field","NE Farrant","Sapphires",NA,"36"
"S Tippoch",2023-04-03,"Tornadoes","Falcons",2,"4.0",0,13,3,3.25,15,"FairBreak Invitational Tournament",2023,1366014,"Kowloon Cricket Club","Kowloon","Falcons","Tornadoes","Tornadoes","field","Theertha Satish","Falcons",NA,"41"
"M Kapp",2023-04-11,"Sapphires","Falcons",1,"4.0",0,15,3,3.75,11,"FairBreak Invitational Tournament",2023,1366025,"Kowloon Cricket Club","Kowloon","Sapphires","Falcons","Falcons","field","AC Jayangani","Falcons","9",NA
"S Ecclestone",2022-05-05,"Barmy Army","Spirit",1,"4.0",0,15,3,3.75,12,"FairBreak Invitational Tournament",2022,1313196,"Dubai International Cricket Stadium","Dubai","Barmy Army","Spirit","Spirit","field","HC Knight","Barmy Army",NA,"50"
"KE Bryce",2023-04-16,"Falcons","Warriors",2,"4.0",0,16,3,4,14,"FairBreak Invitational Tournament",2023,1366033,"Kowloon Cricket Club","Kowloon","Warriors","Falcons","Falcons","field","HK Matthews","Warriors",NA,"93"
"SIR Dunkley",2023-04-15,"Warriors","Spirit",2,"3.0",0,16,3,5.33333333333333,10,"FairBreak Invitational Tournament",2023,1366030,"Kowloon Cricket Club","Kowloon","Spirit","Warriors","Warriors","field","KE Bryce","Warriors","4",NA
"KKN Egodage",2023-04-05,"Falcons","Barmy Army",2,"4.0",0,17,3,4.25,11,"FairBreak Invitational Tournament",2023,1366018,"Kowloon Cricket Club","Kowloon","Barmy Army","Falcons","Falcons","field","L Cardoso","Barmy Army",NA,"9"
