"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Dowse",2023,"FairBreak Invitational Tournament","Tornadoes",1,2,4,50,2,0,0,0,0,0,2
"A Gurung",2022,"FairBreak Invitational Tournament","Falcons",2,1,2,50,1,0,0,1,0,0,1
"A Khaka",2022,"FairBreak Invitational Tournament","Spirit",1,6,11,54.5454545454545,6,1,0,0,0,0,6
"A Khaka",2023,"FairBreak Invitational Tournament","Spirit",4,6,11,54.5454545454545,6,0,0,3,0,0,4
"A Wellington",2023,"FairBreak Invitational Tournament","Warriors",3,14,12,116.666666666667,7,1,1,1,0,0,9
"AC Jayangani",2022,"FairBreak Invitational Tournament","Falcons",7,313,225,139.111111111111,52.1666666666667,38,14,1,1,1,107
"AC Jayangani",2023,"FairBreak Invitational Tournament","Falcons",7,281,204,137.745098039216,46.8333333333333,29,18,1,0,2,78
"AI Chudasama",2023,"FairBreak Invitational Tournament","Sapphires",2,22,31,70.9677419354839,11,2,0,0,0,0,20
"AM Zepeda",2023,"FairBreak Invitational Tournament","Tornadoes",1,6,13,46.1538461538462,6,0,0,0,0,0,6
"Aliya Riaz",2022,"FairBreak Invitational Tournament","Tornadoes",3,36,40,90,18,3,0,1,0,0,20
"Aliya Riaz",2023,"FairBreak Invitational Tournament","Tornadoes",4,44,48,91.6666666666667,22,3,1,2,0,0,19
"B Cooper",2022,"FairBreak Invitational Tournament","Falcons",1,32,23,139.130434782609,Inf,2,1,1,0,0,32
"B de Leede",2022,"FairBreak Invitational Tournament","Sapphires",4,85,78,108.974358974359,21.25,12,0,0,0,0,45
"B de Leede",2023,"FairBreak Invitational Tournament","Sapphires",5,50,71,70.4225352112676,10,7,0,0,0,0,24
"Bismah Maroof",2022,"FairBreak Invitational Tournament","Spirit",7,106,128,82.8125,26.5,8,0,3,0,0,40
"Bismah Maroof",2023,"FairBreak Invitational Tournament","Spirit",6,83,97,85.5670103092783,16.6,7,1,1,0,1,66
"C Raack",2022,"FairBreak Invitational Tournament","Warriors (FairBreak)",2,32,31,103.225806451613,16,4,0,0,0,0,18
"C Sutthiruang",2022,"FairBreak Invitational Tournament","Tornadoes",2,0,2,0,0,0,0,1,0,0,0
"C Sutthiruang",2023,"FairBreak Invitational Tournament","Tornadoes",3,22,29,75.8620689655172,11,1,0,1,0,0,12
"CJM Lovino",2022,"FairBreak Invitational Tournament","Sapphires",1,1,5,20,1,0,0,0,0,0,1
"CM Gough",2022,"FairBreak Invitational Tournament","Falcons",2,15,27,55.5555555555556,7.5,1,0,0,0,0,12
"CM Gough",2023,"FairBreak Invitational Tournament","Falcons",3,23,23,100,11.5,1,2,1,0,0,21
"Chan Ka Man",2022,"FairBreak Invitational Tournament","Spirit",1,0,0,NA,NA,0,0,1,0,0,0
"Chaya Mughal",2022,"FairBreak Invitational Tournament","Spirit",1,8,10,80,Inf,0,0,1,0,0,8
"D Saxena",2022,"FairBreak Invitational Tournament","Tornadoes",1,3,7,42.8571428571429,3,0,0,0,0,0,3
"D van Niekerk",2023,"FairBreak Invitational Tournament","Tornadoes",4,52,36,144.444444444444,13,5,3,0,0,0,28
"DJS Dottin",2022,"FairBreak Invitational Tournament","Barmy Army",6,289,186,155.376344086022,72.25,31,16,2,1,2,111
"DJS Dottin",2023,"FairBreak Invitational Tournament","Barmy Army",5,201,134,150,40.2,15,16,0,0,2,75
"DN Wyatt",2022,"FairBreak Invitational Tournament","Falcons",6,216,144,150,43.2,25,7,1,0,2,83
"DN Wyatt",2023,"FairBreak Invitational Tournament","Falcons",7,142,91,156.043956043956,23.6666666666667,11,12,1,0,1,76
"Diana Baig",2022,"FairBreak Invitational Tournament","Tornadoes",3,4,9,44.4444444444444,2,0,0,1,0,0,4
"Diana Baig",2023,"FairBreak Invitational Tournament","Tornadoes",2,5,5,100,Inf,0,0,2,0,0,3
"E Johnston",2023,"FairBreak Invitational Tournament","Warriors",6,101,75,134.666666666667,16.8333333333333,11,4,0,0,0,40
"EA Burns",2023,"FairBreak Invitational Tournament","Sapphires",6,54,57,94.7368421052632,9,8,0,0,0,0,21
"EJ Villani",2022,"FairBreak Invitational Tournament","Sapphires",5,164,134,122.388059701493,54.6666666666667,22,2,2,0,2,71
"ER Oza",2022,"FairBreak Invitational Tournament","Warriors (FairBreak)",4,33,42,78.5714285714286,8.25,3,1,0,0,0,25
"ER Oza",2023,"FairBreak Invitational Tournament","Warriors",4,23,31,74.1935483870968,7.66666666666667,2,0,1,0,0,11
"FO Kibasu",2022,"FairBreak Invitational Tournament","Spirit",1,0,2,0,0,0,0,0,0,0,0
"Fatima Sana",2022,"FairBreak Invitational Tournament","Barmy Army",4,56,61,91.8032786885246,14,6,1,0,0,0,34
"Fatima Sana",2023,"FairBreak Invitational Tournament","Barmy Army",2,46,31,148.387096774194,Inf,6,1,2,0,0,45
"G Kodali",2022,"FairBreak Invitational Tournament","Sapphires",2,1,5,20,1,0,0,1,0,0,1
