"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S Ecclestone","Spirit",2022,"FairBreak Invitational Tournament",7,"24.5",0,130,17,7.64705882352941,5.23489932885906,8.76470588235294,78,0,1,"5/8"
"KE Bryce","Warriors",2023,"FairBreak Invitational Tournament",6,"23.0",0,118,13,9.07692307692308,5.1304347826087,10.6153846153846,76,0,0,"3/16"
"AC Jayangani","Falcons",2023,"FairBreak Invitational Tournament",7,"25.0",1,165,12,13.75,6.6,12.5,69,1,0,"4/17"
"M Kapp","Falcons",2023,"FairBreak Invitational Tournament",5,"18.0",0,75,9,8.33333333333333,4.16666666666667,12,68,0,0,"3/4"
"A Khaka","Spirit",2022,"FairBreak Invitational Tournament",7,"25.0",2,130,9,14.4444444444444,5.2,16.6666666666667,79,0,1,"5/9"
"S Tippoch","Falcons",2023,"FairBreak Invitational Tournament",6,"21.0",1,153,9,17,7.28571428571429,14,61,0,0,"3/13"
"M Hill","Falcons",2023,"FairBreak Invitational Tournament",5,"12.4",0,88,8,11,6.94736842105263,9.5,34,0,0,"3/11"
"RC Belbashi","Barmy Army",2023,"FairBreak Invitational Tournament",5,"17.0",1,100,8,12.5,5.88235294117647,12.75,47,0,1,"5/11"
"SIR Dunkley","Spirit",2023,"FairBreak Invitational Tournament",5,"16.4",0,111,8,13.875,6.66,12.5,48,0,0,"3/16"
"GM Harris","Sapphires",2022,"FairBreak Invitational Tournament",4,"15.0",0,104,7,14.8571428571429,6.93333333333333,12.8571428571429,42,0,1,"5/22"
"JM Kerr","Warriors",2023,"FairBreak Invitational Tournament",5,"17.4",0,114,7,16.2857142857143,6.45283018867925,15.1428571428571,45,0,0,"3/11"
"M Gaur","Spirit",2023,"FairBreak Invitational Tournament",7,"27.2",3,129,7,18.4285714285714,4.71951219512195,23.4285714285714,108,0,0,"2/12"
