"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ashish Reddy",23,280,193,145.077720207254,18.6666666666667,16,15,8,0,0,36
"A Badoni",35,634,473,134.038054968288,24.3846153846154,46,24,9,0,4,59
"A Chandila",2,4,7,57.1428571428571,Inf,0,0,2,0,0,4
"A Chopra",6,53,71,74.6478873239437,8.83333333333333,7,0,0,0,0,24
"A Choudhary",3,25,20,125,25,1,1,2,0,0,15
"A Dananjaya",1,4,5,80,Inf,0,0,1,0,0,4
"A Flintoff",3,62,53,116.981132075472,31,5,2,1,0,0,24
"A Kamboj",1,2,2,100,Inf,0,0,1,0,0,2
"A Kumble",17,35,47,74.468085106383,11.6666666666667,3,0,14,0,0,8
"A Manohar",15,231,174,132.758620689655,16.5,21,10,1,0,0,43
"A Mishra",57,381,419,90.9307875894988,11.90625,31,5,25,0,0,31
"A Mithun",8,34,26,130.769230769231,6.8,4,1,3,0,0,11
"A Mukund",2,19,22,86.3636363636364,9.5,1,0,0,0,0,19
"A Nehra",22,41,62,66.1290322580645,5.85714285714286,3,1,15,0,0,22
"A Nel",1,0,0,NA,0,0,0,0,0,0,0
"A Nortje",15,49,49,100,8.16666666666667,6,0,9,0,0,23
"A Raghuvanshi",7,163,105,155.238095238095,23.2857142857143,16,8,0,0,1,54
"A Singh",5,2,10,20,0.5,0,0,1,0,0,1
"A Symonds",36,974,750,129.866666666667,36.0740740740741,74,41,9,1,5,117
"A Tomar",1,4,8,50,4,1,0,0,0,0,4
"A Uniyal",2,4,7,57.1428571428571,4,0,0,1,0,0,4
"A Zampa",5,15,24,62.5,3,1,0,0,0,0,7
"AA Bilakhia",7,69,85,81.1764705882353,13.8,5,0,2,0,0,22
"AA Chavan",3,12,11,109.090909090909,6,2,0,1,0,0,7
"AA Jhunjhunwala",16,217,210,103.333333333333,16.6923076923077,19,5,3,0,1,53
"AA Kulkarni",2,9,8,112.5,4.5,2,0,0,0,0,9
"AA Noffke",1,9,10,90,9,1,0,0,0,0,9
"AB Agarkar",22,179,154,116.233766233766,17.9,13,5,12,0,0,39
"AB Barath",3,42,42,100,21,5,1,1,0,0,33
"AB Dinda",17,26,48,54.1666666666667,2.6,2,0,7,0,0,7
"AB McDonald",9,123,100,123,24.6,9,4,4,0,0,33
"AB de Villiers",172,5181,3411,151.890941072999,39.8538461538462,414,253,42,3,40,133
"AC Blizzard",7,120,90,133.333333333333,17.1428571428571,21,2,0,0,1,51
"AC Gilchrist",80,2069,1495,138.394648829431,27.2236842105263,239,92,4,2,11,109
"AC Thomas",4,20,19,105.263157894737,10,1,1,2,0,0,12
"AC Voges",7,181,143,126.573426573427,45.25,15,3,3,0,0,45
"AD Hales",6,148,118,125.423728813559,24.6666666666667,13,6,0,0,0,45
"AD Mascarenhas",12,79,78,101.282051282051,8.77777777777778,5,1,3,0,0,27
"AD Mathews",42,724,575,125.913043478261,23.3548387096774,44,29,11,0,1,65
"AD Nath",10,90,98,91.8367346938775,9,7,2,0,0,0,24
"AD Russell",106,2488,1423,174.841883345046,28.9302325581395,171,209,20,0,11,88
"AF Milne",6,23,29,79.3103448275862,5.75,0,1,2,0,0,15
"AG Murtaza",3,10,14,71.4285714285714,10,1,0,2,0,0,5
"AG Paunikar",5,49,58,84.4827586206897,9.8,9,0,0,0,0,20
"AJ Finch",91,2092,1635,127.951070336391,24.9047619047619,214,78,7,0,15,88
"AJ Hosein",1,16,10,160,Inf,1,1,1,0,0,16
"AJ Turner",6,24,28,85.7142857142857,4.8,0,2,1,0,0,16
"AJ Tye",13,91,76,119.736842105263,10.1111111111111,6,5,4,0,0,25
"AK Markram",40,974,742,131.266846361186,31.4193548387097,70,35,9,0,5,68
"AL Menaria",23,401,356,112.640449438202,19.0952380952381,24,18,2,0,0,40
"AM Nayar",50,672,577,116.464471403813,17.6842105263158,55,20,12,0,0,45
"AM Rahane",171,4642,3761,123.424621111407,30.1428571428571,479,103,17,2,30,105
"AN Ahmed",6,36,26,138.461538461538,36,4,1,5,0,0,18
