"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"YS Chahal",157,"578.5",4,4525,204,22.1813725490196,7.81744889144831,17.0245098039216,1230,6,1,"5/40"
"PP Chawla",191,"641.4",2,5108,192,26.6041666666667,7.96051948051948,20.0520833333333,1358,2,0,"4/17"
"DJ Bravo",158,"520.0",3,4360,183,23.8251366120219,8.38461538461539,17.0491803278689,1054,2,0,"4/22"
"B Kumar",174,"646.4",14,4871,181,26.9116022099447,7.53247422680412,21.4364640883978,1717,2,2,"5/19"
"SP Narine",175,"676.1",3,4566,179,25.5083798882682,6.75277298496426,22.6648044692737,1622,7,1,"5/19"
"R Ashwin",206,"746.0",4,5307,178,29.814606741573,7.11394101876676,25.1460674157303,1593,1,0,"4/34"
"A Mishra",162,"561.5",6,4145,174,23.8218390804598,7.37763274992584,19.3735632183908,1220,4,1,"5/17"
"SL Malinga",122,"471.1",8,3366,170,19.8,7.14396887159533,16.6294117647059,1217,6,1,"5/13"
"JJ Bumrah",137,"512.3",8,3743,168,22.2797619047619,7.30341463414634,18.3035714285714,1300,2,2,"5/10"
"RA Jadeja",211,"638.1",2,4864,160,30.4,7.6218333768608,23.93125,1261,3,1,"5/16"
"Harbhajan Singh",160,"569.2",6,4030,150,26.8666666666667,7.07845433255269,22.7733333333333,1312,1,1,"5/18"
"Rashid Khan",124,"478.4",4,3267,149,21.9261744966443,6.82520891364902,19.2751677852349,1112,2,0,"4/24"
"UT Yadav",148,"509.2",5,4332,144,30.0833333333333,8.50523560209424,21.2222222222222,1261,3,0,"4/23"
"HV Patel",103,"360.1",2,3149,135,23.3259259259259,8.74317445627024,16.0074074074074,756,2,1,"5/27"
"Sandeep Sharma",124,"462.2",8,3636,134,27.134328358209,7.86445565969719,20.7014925373134,1144,2,1,"5/18"
"MM Sharma",111,"375.3",0,3256,132,24.6666666666667,8.6711051930759,17.0681818181818,803,3,1,"5/10"
"Mohammed Shami",112,"405.4",3,3420,127,26.9291338582677,8.43056696795398,19.1653543307087,1036,2,0,"4/11"
"AR Patel",149,"517.3",2,3764,123,30.6016260162602,7.27342995169082,25.2439024390244,1067,1,0,"4/21"
"K Rabada",82,"304.3",2,2579,120,21.4916666666667,8.4696223316913,15.225,756,6,0,"4/21"
"TA Boult",102,"382.1",11,3184,117,27.2136752136752,8.33144352376799,19.5982905982906,999,1,0,"4/18"
"AD Russell",111,"280.2",0,2627,112,23.4553571428571,9.37098692033294,15.0178571428571,609,2,1,"5/15"
"A Nehra",88,"318.0",2,2495,106,23.5377358490566,7.84591194968553,18,828,1,0,"4/10"
"R Vinay Kumar",105,"354.3",1,2986,105,28.4380952380952,8.42313117066291,20.2571428571429,801,1,0,"4/40"
"Z Khan",99,"366.4",5,2782,102,27.2745098039216,7.58727272727273,21.5686274509804,929,1,0,"4/17"
"JD Unadkat",102,"353.1",3,3175,99,32.0707070707071,8.99008966493629,21.4040404040404,704,0,2,"5/25"
"DW Steyn",96,"363.4",7,2523,97,26.0103092783505,6.93767186067828,22.4948453608247,1064,0,0,"3/8"
"CH Morris",82,"287.4",1,2309,96,24.0520833333333,8.02665121668598,17.9791666666667,708,4,0,"4/23"
"SN Thakur",92,"311.0",3,2869,94,30.5212765957447,9.22508038585209,19.8510638297872,669,1,0,"4/36"
"SR Watson",105,"338.1",3,2682,92,29.1521739130435,7.93100049285362,22.054347826087,850,1,0,"4/29"
"I Sharma",110,"384.5",6,3172,92,34.4782608695652,8.24252923343439,25.0978260869565,1035,0,1,"5/12"
"Mohammed Siraj",92,"322.2",4,2789,91,30.6483516483516,8.65253360910031,21.2527472527473,846,2,0,"4/21"
"RP Singh",82,"295.5",2,2338,90,25.9777777777778,7.9030985915493,19.7222222222222,790,2,0,"4/22"
"P Kumar",119,"420.4",14,3251,90,36.1222222222222,7.72820919175911,28.0444444444444,1147,0,0,"3/18"
"PP Ojha",90,"316.3",1,2332,89,26.2022471910112,7.36808846761453,21.3370786516854,708,0,0,"3/11"
"Kuldeep Yadav",82,"291.0",1,2388,87,27.448275862069,8.20618556701031,20.0689655172414,539,4,0,"4/14"
"DS Kulkarni",92,"297.5",8,2474,86,28.7674418604651,8.30665920537213,20.7790697674419,765,1,0,"4/14"
"JA Morkel",87,"287.1",3,2359,85,27.7529411764706,8.2147417295415,20.2705882352941,683,1,0,"4/32"
"Imran Tahir",59,"219.2",1,1703,82,20.7682926829268,7.7644376899696,16.0487804878049,451,3,0,"4/12"
"CV Varun",69,"262.4",1,1993,82,24.3048780487805,7.58756345177665,19.219512195122,598,1,1,"5/20"
"IK Pathan",101,"340.3",10,2649,80,33.1125,7.77973568281938,25.5375,885,0,0,"3/24"
"M Morkel",70,"271.3",3,2089,77,27.1298701298701,7.69429097605893,21.1558441558442,738,1,0,"4/20"
"DL Chahar",81,"278.1",6,2221,77,28.8441558441558,7.98442180946675,21.6753246753247,726,2,0,"4/13"
"L Balaji",73,"252.0",2,2028,76,26.6842105263158,8.04761904761905,19.8947368421053,582,3,1,"5/24"
"Arshdeep Singh",65,"227.2",1,2052,76,27,9.02639296187683,17.9473684210526,502,2,1,"5/32"
"KH Pandya",117,"353.4",1,2606,76,34.2894736842105,7.36852026390198,27.9210526315789,705,0,0,"3/11"
"KV Sharma",81,"247.1",1,2068,75,27.5733333333333,8.36682400539447,19.7733333333333,511,2,0,"4/16"
"RD Chahar",77,"277.2",1,2141,75,28.5466666666667,7.71995192307692,22.1866666666667,590,1,0,"4/27"
"MM Patel",63,"225.5",5,1698,74,22.9459459459459,7.51881918819188,18.3108108108108,612,2,1,"5/21"
"KK Ahmed",57,"212.4",4,1881,74,25.4189189189189,8.8448275862069,17.2432432432432,541,0,0,"3/21"
"MJ McClenaghan",56,"212.2",1,1803,71,25.3943661971831,8.49136577708006,17.943661971831,534,1,0,"4/21"
"R Bhatia",91,"272.4",1,2020,71,28.4507042253521,7.40831295843521,23.0422535211268,467,1,0,"4/15"
"AB Dinda",75,"252.4",3,2073,69,30.0434782608696,8.20448548812665,21.9710144927536,648,1,0,"4/18"
"KA Pollard",107,"248.0",0,2180,69,31.5942028985507,8.79032258064516,21.5652173913043,422,1,0,"4/44"
"Avesh Khan",60,"214.3",1,1903,68,27.9852941176471,8.87179487179487,18.9264705882353,497,1,0,"4/24"
"T Natarajan",59,"217.5",2,1927,66,29.1969696969697,8.84621270084162,19.8030303030303,429,1,0,"4/19"
"SK Trivedi",75,"251.0",2,1904,65,29.2923076923077,7.58565737051793,23.1692307692308,528,1,0,"4/25"
"JH Kallis",89,"290.2",3,2293,65,35.2769230769231,7.89781859931114,26.8,640,0,0,"3/13"
"M Muralitharan",67,"254.4",1,1706,64,26.65625,6.69895287958115,23.875,643,0,0,"3/11"
"HH Pandya",93,"236.2",0,2150,64,33.59375,9.09732016925247,22.15625,509,0,0,"3/17"
"Ravi Bishnoi",65,"235.1",1,1836,63,29.1428571428571,7.80722891566265,22.3968253968254,508,0,0,"3/24"
"Shakib Al Hasan",70,"247.2",1,1839,63,29.1904761904762,7.43530997304582,23.5555555555556,523,0,0,"3/17"
"MG Johnson",55,"205.5",2,1708,62,27.5483870967742,8.29797570850202,19.9193548387097,557,0,0,"3/26"
"Mustafizur Rahman",57,"216.2",2,1762,61,28.8852459016393,8.14483821263482,21.2786885245902,488,1,0,"4/29"
"JP Faulkner",62,"206.2",4,1799,61,29.4918032786885,8.718901453958,20.2950819672131,440,0,2,"5/16"
"PJ Cummins",56,"213.5",2,1875,61,30.7377049180328,8.76851130163679,21.0327868852459,480,1,0,"4/34"
"A Nortje",46,"175.4",1,1574,60,26.2333333333333,8.96015180265655,17.5666666666667,429,0,0,"3/33"
"S Kaul",55,"201.3",3,1739,58,29.9827586206897,8.6302729528536,20.8448275862069,410,1,0,"4/29"
"SM Curran",58,"196.5",0,1900,58,32.7586206896552,9.6528365791702,20.3620689655172,396,1,0,"4/11"
"SK Warne",54,"199.0",1,1447,57,25.3859649122807,7.2713567839196,20.9473684210526,442,1,0,"4/21"
"JO Holder",46,"165.5",0,1461,53,27.5660377358491,8.81005025125628,18.7735849056604,340,1,0,"4/52"
"S Gopal",51,"165.1",1,1349,52,25.9423076923077,8.16750756811302,19.0576923076923,326,1,0,"4/16"
"M Prasidh Krishna",52,"191.5",3,1713,50,34.26,8.92962641181581,23.02,493,1,0,"4/30"
"MA Starc",38,"135.3",1,1123,49,22.9183673469388,8.28782287822878,16.5918367346939,350,2,0,"4/15"
"NM Coulter-Nile",38,"142.5",1,1100,48,22.9166666666667,7.70128354725788,17.8541666666667,387,2,0,"4/14"
"JC Archer",40,"157.3",2,1171,48,24.3958333333333,7.43492063492064,19.6875,442,0,0,"3/15"
"S Nadeem",70,"235.5",2,1784,48,37.1666666666667,7.56466431095406,29.4791666666667,469,0,0,"3/16"
"LH Ferguson",45,"155.4",1,1391,47,29.5957446808511,8.93576017130621,19.8723404255319,365,1,0,"4/28"
"SB Jakati",57,"180.5",1,1451,47,30.8723404255319,8.02396313364055,23.0851063829787,355,2,0,"4/22"
"TG Southee",54,"201.0",2,1742,47,37.063829787234,8.66666666666667,25.6595744680851,475,0,0,"3/20"
"S Aravind",38,"126.4",0,1039,45,23.0888888888889,8.20263157894737,16.8888888888889,302,2,0,"4/14"
"RJ Harris",37,"138.4",3,1047,45,23.2666666666667,7.55048076923077,18.4888888888889,390,1,0,"4/34"
"A Kumble",42,"160.5",1,1058,45,23.5111111111111,6.57823834196891,21.4444444444444,397,2,1,"5/5"
"VR Aaron",50,"165.4",2,1481,44,33.6590909090909,8.93963782696177,22.5909090909091,415,0,0,"3/16"
"MP Stoinis",62,"133.5",0,1274,43,29.6279069767442,9.51930261519303,18.6744186046512,238,1,0,"4/15"
"AJ Tye",30,"114.0",0,979,42,23.3095238095238,8.58771929824561,16.2857142857143,224,3,1,"5/17"
"TU Deshpande",36,"128.5",0,1243,42,29.5952380952381,9.64812419146184,18.4047619047619,302,1,0,"4/27"
"MC Henriques",60,"158.2",0,1289,42,30.6904761904762,8.14105263157895,22.6190476190476,315,0,0,"3/12"
"YK Pathan",82,"191.1",1,1415,42,33.6904761904762,7.40191804707934,27.3095238095238,419,0,0,"3/20"
"R Sharma",44,"154.4",1,1086,40,27.15,7.02155172413793,23.2,344,0,0,"3/13"
"Iqbal Abdulla",48,"153.2",1,1109,40,27.725,7.23260869565217,23,346,0,0,"3/24"
"S Sreesanth",44,"146.4",4,1194,40,29.85,8.14090909090909,22,416,0,0,"3/29"
"P Awana",33,"124.3",2,1029,39,26.3846153846154,8.26506024096386,19.1538461538462,307,1,0,"4/34"
"DT Christian",49,"147.1",0,1192,38,31.3684210526316,8.09966024915062,23.2368421052632,316,0,0,"2/10"
"PJ Sangwan",42,"142.4",1,1240,38,32.6315789473684,8.69158878504673,22.5263157894737,338,0,0,"3/18"
"DE Bollinger",27,"96.0",3,693,37,18.7297297297297,7.21875,15.5675675675676,270,1,0,"4/13"
"MR Marsh",34,"93.2",1,795,37,21.4864864864865,8.51785714285714,15.1351351351351,189,2,0,"4/25"
