"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Ashish Reddy","A Nehra",7,8,1,4,1,0,5.25,87.5,7
"A Ashish Reddy","AB Dinda",9,7,0,1,1,0,7.71428571428571,128.571428571429,Inf
"A Ashish Reddy","AD Mathews",25,12,0,2,1,2,12.5,208.333333333333,Inf
"A Ashish Reddy","AD Russell",4,3,1,0,0,0,8,133.333333333333,4
"A Ashish Reddy","Anureet Singh",2,2,0,0,0,0,6,100,Inf
"A Ashish Reddy","Azhar Mahmood",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Ashish Reddy","B Kumar",1,1,0,0,0,0,6,100,Inf
"A Ashish Reddy","BW Hilfenhaus",2,2,1,1,0,0,6,100,2
"A Ashish Reddy","CH Morris",11,5,0,1,0,1,13.2,220,Inf
"A Ashish Reddy","DJ Bravo",24,13,1,4,3,1,11.0769230769231,184.615384615385,24
"A Ashish Reddy","Harbhajan Singh",11,8,0,3,0,1,8.25,137.5,Inf
"A Ashish Reddy","Imran Tahir",2,2,0,0,0,0,6,100,Inf
"A Ashish Reddy","J Botha",0,2,0,2,0,0,0,0,NA
"A Ashish Reddy","JEC Franklin",3,3,0,1,0,0,6,100,Inf
"A Ashish Reddy","JP Duminy",1,1,0,0,0,0,6,100,Inf
"A Ashish Reddy","JP Faulkner",2,2,0,1,0,0,6,100,Inf
"A Ashish Reddy","KA Pollard",3,3,1,1,0,0,6,100,3
"A Ashish Reddy","KK Cooper",8,5,0,1,1,0,9.6,160,Inf
"A Ashish Reddy","M Kartik",6,8,0,3,0,0,4.5,75,Inf
"A Ashish Reddy","M Morkel",5,5,1,1,0,0,6,100,5
"A Ashish Reddy","MG Johnson",7,3,0,0,1,0,14,233.333333333333,Inf
"A Ashish Reddy","MM Patel",0,2,1,2,0,0,0,0,0
"A Ashish Reddy","MM Sharma",7,2,0,0,0,1,21,350,Inf
"A Ashish Reddy","MR Marsh",3,3,0,0,0,0,6,100,Inf
"A Ashish Reddy","MS Gony",5,4,0,2,1,0,7.5,125,Inf
"A Ashish Reddy","NM Coulter-Nile",0,1,1,1,0,0,0,0,0
"A Ashish Reddy","P Awana",0,2,1,2,0,0,0,0,0
"A Ashish Reddy","P Kumar",6,4,0,1,1,0,9,150,Inf
"A Ashish Reddy","PP Chawla",2,2,0,0,0,0,6,100,Inf
"A Ashish Reddy","PV Tambe",3,4,0,1,0,0,4.5,75,Inf
"A Ashish Reddy","Parvez Rasool",18,9,0,2,2,1,12,200,Inf
"A Ashish Reddy","R Vinay Kumar",14,10,2,2,0,1,8.4,140,7
"A Ashish Reddy","RJ Peterson",7,5,0,3,0,1,8.4,140,Inf
"A Ashish Reddy","RP Singh",1,2,1,1,0,0,3,50,1
"A Ashish Reddy","SL Malinga",3,4,0,2,0,0,4.5,75,Inf
"A Ashish Reddy","SMSM Senanayake",3,4,1,2,0,0,4.5,75,3
"A Ashish Reddy","SP Narine",1,1,0,0,0,0,6,100,Inf
"A Ashish Reddy","SR Watson",3,5,1,2,0,0,3.6,60,3
"A Ashish Reddy","STR Binny",4,4,1,1,0,0,6,100,4
"A Ashish Reddy","SW Tait",10,4,0,1,2,0,15,250,Inf
"A Ashish Reddy","Sandeep Sharma",13,3,0,0,0,2,26,433.333333333333,Inf
"A Ashish Reddy","TG Southee",9,4,0,1,0,1,13.5,225,Inf
"A Ashish Reddy","UT Yadav",20,9,0,1,2,1,13.3333333333333,222.222222222222,Inf
"A Ashish Reddy","YS Chahal",13,7,0,4,0,2,11.1428571428571,185.714285714286,Inf
"A Badoni","AD Russell",22,13,0,0,0,1,10.1538461538462,169.230769230769,Inf
"A Badoni","AR Patel",8,7,0,1,0,0,6.85714285714286,114.285714285714,Inf
"A Badoni","AS Joseph",5,4,0,2,1,0,7.5,125,Inf
"A Badoni","Akash Madhwal",0,4,1,4,0,0,0,0,0
"A Badoni","Arshdeep Singh",3,4,0,1,0,0,4.5,75,Inf
"A Badoni","Avesh Khan",2,2,0,1,0,0,6,100,Inf
"A Badoni","B Kumar",4,4,0,0,0,0,6,100,Inf
"A Badoni","C Sakariya",13,4,1,1,0,2,19.5,325,13
"A Badoni","CV Varun",18,16,0,7,1,1,6.75,112.5,Inf
"A Badoni","DG Nalkande",2,1,0,0,0,0,12,200,Inf
"A Badoni","DJ Bravo",5,4,0,1,0,0,7.5,125,Inf
"A Badoni","DJ Willey",6,4,0,1,1,0,9,150,Inf
"A Badoni","DL Chahar",21,7,0,1,1,2,18,300,Inf
"A Badoni","G Coetzee",5,5,0,3,1,0,6,100,Inf
"A Badoni","GJ Maxwell",3,4,0,1,0,0,4.5,75,Inf
"A Badoni","Gurnoor Brar",11,4,0,1,1,1,16.5,275,Inf
"A Badoni","HH Pandya",19,11,1,3,2,1,10.3636363636364,172.727272727273,19
"A Badoni","HV Patel",4,5,0,1,0,0,4.8,80,Inf
"A Badoni","Harpreet Brar",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Badoni","Harshit Rana",7,7,0,3,1,0,6,100,Inf
"A Badoni","I Sharma",10,9,0,3,1,0,6.66666666666667,111.111111111111,Inf
"A Badoni","JD Unadkat",4,6,0,2,0,0,4,66.6666666666667,Inf
"A Badoni","JJ Bumrah",3,5,0,2,0,0,3.6,60,Inf
"A Badoni","JO Holder",0,1,0,1,0,0,0,0,NA
"A Badoni","JR Hazlewood",3,9,2,7,0,0,2,33.3333333333333,1.5
"A Badoni","K Rabada",8,8,1,5,1,0,6,100,8
"A Badoni","KK Ahmed",12,5,0,1,1,1,14.4,240,Inf
"A Badoni","KR Sen",2,2,0,0,0,0,6,100,Inf
"A Badoni","KV Sharma",5,3,0,1,1,0,10,166.666666666667,Inf
"A Badoni","Kuldeep Yadav",8,8,0,2,0,0,6,100,Inf
"A Badoni","LH Ferguson",15,11,0,4,1,1,8.18181818181818,136.363636363636,Inf
"A Badoni","LS Livingstone",6,2,1,1,0,1,18,300,6
"A Badoni","M Pathirana",9,8,0,1,0,0,6.75,112.5,Inf
"A Badoni","M Theekshana",26,12,0,3,1,2,13,216.666666666667,Inf
"A Badoni","MA Starc",0,2,0,2,0,0,0,0,NA
"A Badoni","MM Ali",6,7,0,2,0,0,5.14285714285714,85.7142857142857,Inf
"A Badoni","MM Sharma",23,12,1,3,3,1,11.5,191.666666666667,23
"A Badoni","Mohammed Shami",16,11,0,4,1,1,8.72727272727273,145.454545454545,Inf
"A Badoni","Mohammed Siraj",18,16,0,8,3,0,6.75,112.5,Inf
"A Badoni","Mukesh Choudhary",7,3,0,1,0,1,14,233.333333333333,Inf
"A Badoni","Mukesh Kumar",26,15,0,4,4,0,10.4,173.333333333333,Inf
"A Badoni","N Burger",0,1,1,1,0,0,0,0,0
"A Badoni","N Thushara",4,3,0,0,0,0,8,133.333333333333,Inf
"A Badoni","Noor Ahmad",5,3,0,0,0,0,10,166.666666666667,Inf
"A Badoni","PJ Cummins",8,4,0,0,1,0,12,200,Inf
"A Badoni","PP Chawla",2,4,0,2,0,0,3,50,Inf
"A Badoni","PWH de Silva",1,2,0,1,0,0,3,50,Inf
"A Badoni","R Ashwin",11,8,0,2,1,0,8.25,137.5,Inf
"A Badoni","R Sai Kishore",1,2,1,1,0,0,3,50,1
"A Badoni","R Shepherd",29,14,1,5,3,2,12.4285714285714,207.142857142857,29
"A Badoni","RA Jadeja",3,4,0,1,0,0,4.5,75,Inf
"A Badoni","RD Chahar",12,9,0,1,1,0,8,133.333333333333,Inf
"A Badoni","RJW Topley",0,2,0,2,0,0,0,0,NA
"A Badoni","RP Meredith",9,4,1,1,0,1,13.5,225,9
"A Badoni","RS Hangargekar",5,3,0,0,0,0,10,166.666666666667,Inf
"A Badoni","Rashid Khan",19,21,1,8,0,1,5.42857142857143,90.4761904761905,19
"A Badoni","S Dube",7,2,0,0,0,1,21,350,Inf
"A Badoni","SH Johnson",5,2,0,0,1,0,15,250,Inf
"A Badoni","SM Curran",18,14,1,4,0,1,7.71428571428571,128.571428571429,18
"A Badoni","SN Thakur",10,3,0,1,1,1,20,333.333333333333,Inf
"A Badoni","SP Narine",30,30,3,11,2,1,6,100,10
"A Badoni","Sandeep Sharma",4,4,0,0,0,0,6,100,Inf
"A Badoni","Shivam Mavi",1,1,0,0,0,0,6,100,Inf
"A Badoni","Suyash Sharma",1,1,0,0,0,0,6,100,Inf
