"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"AS Joseph",2019-04-06,"Sunrisers Hyderabad","Mumbai Indians",2,"3.4",1,12,6,3.27272727272727,16,"Indian Premier League","2019",1178394,"Rajiv Gandhi International Stadium","Hyderabad","Mumbai Indians","Sunrisers Hyderabad","Sunrisers Hyderabad","field","AS Joseph","Mumbai Indians",NA,"40"
"Sohail Tanvir",2008-05-04,"Chennai Super Kings","Rajasthan Royals",1,"4.0",0,14,6,3.5,17,"Indian Premier League","2007/08",336005,"Sawai Mansingh Stadium","Jaipur","Rajasthan Royals","Chennai Super Kings","Chennai Super Kings","bat","Sohail Tanvir","Rajasthan Royals","8",NA
"A Zampa",2016-05-10,"Sunrisers Hyderabad","Rising Pune Supergiants",1,"4.0",0,19,6,4.75,11,"Indian Premier League","2016",980979,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Rising Pune Supergiants","Sunrisers Hyderabad","Sunrisers Hyderabad","bat","A Zampa","Sunrisers Hyderabad",NA,"4"
"A Kumble",2009-04-18,"Rajasthan Royals","Royal Challengers Bangalore",2,"3.1",1,5,5,1.57894736842105,14,"Indian Premier League","2009",392182,"Newlands","Cape Town","Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore","bat","R Dravid","Royal Challengers Bangalore",NA,"75"
"Akash Madhwal",2023-05-24,"Lucknow Super Giants","Mumbai Indians",2,"3.3",0,5,5,1.42857142857143,17,"Indian Premier League","2023",1370351,"MA Chidambaram Stadium, Chepauk, Chennai","Chennai","Mumbai Indians","Lucknow Super Giants","Mumbai Indians","bat","Akash Madhwal","Mumbai Indians",NA,"81"
"JJ Bumrah",2022-05-09,"Kolkata Knight Riders","Mumbai Indians",1,"4.0",1,10,5,2.5,18,"Indian Premier League","2022",1304102,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","JJ Bumrah","Kolkata Knight Riders",NA,"52"
"MM Sharma",2023-05-26,"Mumbai Indians","Gujarat Titans",2,"2.2",0,10,5,4.28571428571429,9,"Indian Premier League","2023",1370352,"Narendra Modi Stadium, Ahmedabad","Ahmedabad","Gujarat Titans","Mumbai Indians","Mumbai Indians","field","Shubman Gill","Gujarat Titans",NA,"62"
"I Sharma",2011-04-27,"Kochi Tuskers Kerala","Deccan Chargers",2,"3.0",0,12,5,4,13,"Indian Premier League","2011",501229,"Nehru Stadium","Kochi","Kochi Tuskers Kerala","Deccan Chargers","Kochi Tuskers Kerala","field","I Sharma","Deccan Chargers",NA,"55"
"SL Malinga",2011-04-10,"Delhi Daredevils","Mumbai Indians",1,"3.4",1,13,5,3.54545454545455,16,"Indian Premier League","2011",501201,"Feroz Shah Kotla","Delhi","Delhi Daredevils","Mumbai Indians","Delhi Daredevils","bat","SL Malinga","Mumbai Indians","8",NA
"AS Rajpoot",2018-04-26,"Sunrisers Hyderabad","Kings XI Punjab",1,"4.0",0,14,5,3.5,17,"Indian Premier League","2018",1136585,"Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad","Kings XI Punjab","Kings XI Punjab","field","AS Rajpoot","Sunrisers Hyderabad",NA,"13"
"MA Wood",2023-04-01,"Delhi Capitals","Lucknow Super Giants",2,"4.0",0,14,5,3.5,17,"Indian Premier League","2023",1359477,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Lucknow","Lucknow Super Giants","Delhi Capitals","Delhi Capitals","field","MA Wood","Lucknow Super Giants",NA,"50"
"AD Russell",2021-04-13,"Mumbai Indians","Kolkata Knight Riders",1,"2.0",0,15,5,7.5,6,"Indian Premier League","2021",1254062,"MA Chidambaram Stadium, Chepauk, Chennai","Chennai","Mumbai Indians","Kolkata Knight Riders","Kolkata Knight Riders","field","RD Chahar","Mumbai Indians",NA,"10"
"JP Faulkner",2013-05-17,"Sunrisers Hyderabad","Rajasthan Royals",1,"4.0",1,16,5,4,14,"Indian Premier League","2013",598065,"Rajiv Gandhi International Stadium, Uppal","Hyderabad","Sunrisers Hyderabad","Rajasthan Royals","Sunrisers Hyderabad","bat","A Mishra","Sunrisers Hyderabad",NA,"23"
"RA Jadeja",2012-04-07,"Deccan Chargers","Chennai Super Kings",2,"4.0",0,16,5,4,17,"Indian Premier League","2012",548311,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Deccan Chargers","Chennai Super Kings","Deccan Chargers","field","RA Jadeja","Chennai Super Kings",NA,"74"
"A Mishra",2008-05-15,"Deccan Chargers","Delhi Daredevils",2,"4.0",0,17,5,4.25,11,"Indian Premier League","2007/08",336020,"Feroz Shah Kotla","Delhi","Delhi Daredevils","Deccan Chargers","Deccan Chargers","field","A Mishra","Delhi Daredevils",NA,"12"
"AJ Tye",2017-04-14,"Rising Pune Supergiant","Gujarat Lions",1,"4.0",0,17,5,4.25,11,"Indian Premier League","2017",1082603,"Saurashtra Cricket Association Stadium","Rajkot","Gujarat Lions","Rising Pune Supergiant","Gujarat Lions","field","AJ Tye","Gujarat Lions","7",NA
"Harbhajan Singh",2011-04-22,"Chennai Super Kings","Mumbai Indians",2,"4.0",0,18,5,4.5,10,"Indian Premier League","2011",501221,"Wankhede Stadium","Mumbai","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","field","Harbhajan Singh","Mumbai Indians",NA,"8"
"PWH de Silva",2022-05-08,"Sunrisers Hyderabad","Royal Challengers Bangalore",2,"4.0",1,18,5,4.5,14,"Indian Premier League","2022",1304100,"Wankhede Stadium, Mumbai","Mumbai","Royal Challengers Bangalore","Sunrisers Hyderabad","Royal Challengers Bangalore","bat","PWH de Silva","Royal Challengers Bangalore",NA,"67"
"Sandeep Sharma",2024-04-22,"Mumbai Indians","Rajasthan Royals",1,"4.0",0,18,5,4.5,13,"Indian Premier League","2024",1426276,"Sawai Mansingh Stadium, Jaipur","Jaipur","Mumbai Indians","Rajasthan Royals","Mumbai Indians","bat","Sandeep Sharma","Rajasthan Royals","9",NA
"B Kumar",2017-04-17,"Kings XI Punjab","Sunrisers Hyderabad",2,"4.0",0,19,5,4.75,15,"Indian Premier League","2017",1082609,"Rajiv Gandhi International Stadium, Uppal","Hyderabad","Sunrisers Hyderabad","Kings XI Punjab","Kings XI Punjab","field","B Kumar","Sunrisers Hyderabad",NA,"5"
