"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets","method","outcome","eliminator"
335982,6,"Royal Challengers Bangalore","Kolkata Knight Riders","male","2007/08",2008-04-18,"Indian Premier League","1","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore","field","BB McCullum","Asad Rauf","RE Koertzen","VN Kulkarni","AM Saheba","J Srinath","Kolkata Knight Riders",140,NA,NA,NA,NA
335983,6,"Kings XI Punjab","Chennai Super Kings","male","2007/08",2008-04-19,"Indian Premier League","2","Punjab Cricket Association Stadium, Mohali","Chandigarh","Chennai Super Kings","bat","MEK Hussey","MR Benson","SL Shastri","MSS Ranawat","RB Tiffin","S Venkataraghavan","Chennai Super Kings",33,NA,NA,NA,NA
335984,6,"Delhi Daredevils","Rajasthan Royals","male","2007/08",2008-04-19,"Indian Premier League","3","Feroz Shah Kotla","Delhi","Rajasthan Royals","bat","MF Maharoof","Aleem Dar","GA Pratapkumar",NA,"IL Howell","GR Viswanath","Delhi Daredevils",NA,9,NA,NA,NA
335985,6,"Mumbai Indians","Royal Challengers Bangalore","male","2007/08",2008-04-20,"Indian Premier League","5","Wankhede Stadium","Mumbai","Mumbai Indians","bat","MV Boucher","SJ Davis","DJ Harper","SN Bandekar","AV Jayaprakash","J Srinath","Royal Challengers Bangalore",NA,5,NA,NA,NA
335986,6,"Kolkata Knight Riders","Deccan Chargers","male","2007/08",2008-04-20,"Indian Premier League","4","Eden Gardens","Kolkata","Deccan Chargers","bat","DJ Hussey","BF Bowden","K Hariharan","F Gomes","Asad Rauf","FM Engineer","Kolkata Knight Riders",NA,5,NA,NA,NA
335987,6,"Rajasthan Royals","Kings XI Punjab","male","2007/08",2008-04-21,"Indian Premier League","6","Sawai Mansingh Stadium","Jaipur","Kings XI Punjab","bat","SR Watson","Aleem Dar","RB Tiffin","MSS Ranawat","I Shivram","S Venkataraghavan","Rajasthan Royals",NA,6,NA,NA,NA
335988,6,"Deccan Chargers","Delhi Daredevils","male","2007/08",2008-04-22,"Indian Premier League","7","Rajiv Gandhi International Stadium, Uppal","Hyderabad","Deccan Chargers","bat","V Sehwag","IL Howell","AM Saheba","C Shamshuddin","MR Benson","Talat Ali","Delhi Daredevils",NA,9,NA,NA,NA
335989,6,"Chennai Super Kings","Mumbai Indians","male","2007/08",2008-04-23,"Indian Premier League","8","MA Chidambaram Stadium, Chepauk","Chennai","Mumbai Indians","field","ML Hayden","DJ Harper","GA Pratapkumar","S Ravi","BF Bowden","FM Engineer","Chennai Super Kings",6,NA,NA,NA,NA
335990,6,"Deccan Chargers","Rajasthan Royals","male","2007/08",2008-04-24,"Indian Premier League","9","Rajiv Gandhi International Stadium, Uppal","Hyderabad","Rajasthan Royals","field","YK Pathan","Asad Rauf","MR Benson","C Shamshuddin","SL Shastri","S Venkataraghavan","Rajasthan Royals",NA,3,NA,NA,NA
335991,6,"Kings XI Punjab","Mumbai Indians","male","2007/08",2008-04-25,"Indian Premier League","10","Punjab Cricket Association Stadium, Mohali","Chandigarh","Mumbai Indians","field","KC Sangakkara","Aleem Dar","AM Saheba","HS Sekhon","RE Koertzen","FM Engineer","Kings XI Punjab",66,NA,NA,NA,NA
