"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ashish Reddy","2012","Indian Premier League","Deccan Chargers",5,35,29,120.689655172414,8.75,3,1,1,0,0,10
"A Ashish Reddy","2013","Indian Premier League","Sunrisers Hyderabad",10,125,89,140.449438202247,20.8333333333333,8,5,4,0,0,36
"A Ashish Reddy","2015","Indian Premier League","Sunrisers Hyderabad",5,73,46,158.695652173913,24.3333333333333,3,5,2,0,0,22
"A Ashish Reddy","2016","Indian Premier League","Sunrisers Hyderabad",3,47,29,162.068965517241,23.5,2,4,1,0,0,32
"A Badoni","2022","Indian Premier League","Lucknow Super Giants",11,161,130,123.846153846154,20.125,11,7,3,0,1,54
"A Badoni","2023","Indian Premier League","Lucknow Super Giants",12,238,172,138.372093023256,23.8,13,12,2,0,1,59
"A Badoni","2024","Indian Premier League","Lucknow Super Giants",12,235,171,137.426900584795,29.375,22,5,4,0,2,55
"A Chandila","2012","Indian Premier League","Rajasthan Royals",1,0,1,0,NA,0,0,1,0,0,0
"A Chandila","2013","Indian Premier League","Rajasthan Royals",1,4,6,66.6666666666667,Inf,0,0,1,0,0,4
"A Chopra","2007/08","Indian Premier League","Kolkata Knight Riders",5,42,52,80.7692307692308,8.4,5,0,0,0,0,24
"A Chopra","2009","Indian Premier League","Kolkata Knight Riders",1,11,19,57.8947368421053,11,2,0,0,0,0,11
"A Choudhary","2017","Indian Premier League","Royal Challengers Bangalore",3,25,20,125,25,1,1,2,0,0,15
"A Dananjaya","2018","Indian Premier League","Mumbai Indians",1,4,5,80,Inf,0,0,1,0,0,4
"A Flintoff","2009","Indian Premier League","Chennai Super Kings",3,62,53,116.981132075472,31,5,2,1,0,0,24
"A Kamboj","2024","Indian Premier League","Mumbai Indians",1,2,2,100,Inf,0,0,1,0,0,2
"A Kumble","2007/08","Indian Premier League","Royal Challengers Bangalore",5,13,17,76.4705882352941,6.5,1,0,3,0,0,8
"A Kumble","2009","Indian Premier League","Royal Challengers Bangalore",7,16,19,84.2105263157895,16,2,0,6,0,0,7
"A Kumble","2009/10","Indian Premier League","Royal Challengers Bangalore",5,6,11,54.5454545454545,Inf,0,0,5,0,0,2
"A Manohar","2022","Indian Premier League","Gujarat Titans",7,108,75,144,18,14,3,1,0,0,43
"A Manohar","2023","Indian Premier League","Gujarat Titans",6,114,83,137.349397590361,19,6,7,0,0,0,42
"A Manohar","2024","Indian Premier League","Gujarat Titans",2,9,16,56.25,4.5,1,0,0,0,0,8
"A Mishra","2007/08","Indian Premier League","Delhi Daredevils",3,37,42,88.0952380952381,12.3333333333333,3,0,0,0,0,31
"A Mishra","2009","Indian Premier League","Delhi Daredevils",5,26,20,130,8.66666666666667,2,2,2,0,0,13
"A Mishra","2009/10","Indian Premier League","Delhi Daredevils",7,39,51,76.4705882352941,9.75,1,0,3,0,0,12
"A Mishra","2011","Indian Premier League","Deccan Chargers",9,68,49,138.775510204082,17,9,1,5,0,0,25
"A Mishra","2012","Indian Premier League","Deccan Chargers",5,16,20,80,5.33333333333333,1,0,2,0,0,8
"A Mishra","2013","Indian Premier League","Sunrisers Hyderabad",8,89,96,92.7083333333333,14.8333333333333,9,0,2,0,0,30
"A Mishra","2014","Indian Premier League","Sunrisers Hyderabad",2,4,7,57.1428571428571,4,0,0,1,0,0,4
"A Mishra","2015","Indian Premier League","Delhi Daredevils",4,8,12,66.6666666666667,4,0,0,2,0,0,4
"A Mishra","2016","Indian Premier League","Delhi Daredevils",2,4,14,28.5714285714286,2,0,0,0,0,0,3
"A Mishra","2017","Indian Premier League","Delhi Daredevils",6,49,52,94.2307692307692,49,2,2,5,0,0,13
"A Mishra","2018","Indian Premier League","Delhi Daredevils",1,1,2,50,Inf,0,0,1,0,0,1
"A Mishra","2019","Indian Premier League","Delhi Capitals",4,21,24,87.5,10.5,2,0,2,0,0,8
"A Mishra","2023","Indian Premier League","Lucknow Super Giants",1,19,30,63.3333333333333,19,2,0,0,0,0,19
"A Mithun","2009/10","Indian Premier League","Royal Challengers Bangalore",1,5,4,125,5,1,0,0,0,0,5
"A Mithun","2011","Indian Premier League","Royal Challengers Bangalore",6,27,20,135,9,3,1,3,0,0,11
"A Mithun","2013","Indian Premier League","Royal Challengers Bangalore",1,2,2,100,2,0,0,0,0,0,2
"A Mukund","2007/08","Indian Premier League","Chennai Super Kings",1,0,1,0,0,0,0,0,0,0,0
"A Mukund","2013","Indian Premier League","Royal Challengers Bangalore",1,19,21,90.4761904761905,19,1,0,0,0,0,19
"A Nehra","2007/08","Indian Premier League","Mumbai Indians",4,3,13,23.0769230769231,3,0,0,3,0,0,2
"A Nehra","2009","Indian Premier League","Delhi Daredevils",2,1,1,100,Inf,0,0,2,0,0,1
"A Nehra","2009/10","Indian Premier League","Delhi Daredevils",2,23,20,115,23,2,1,1,0,0,22
"A Nehra","2012","Indian Premier League","Pune Warriors",2,11,12,91.6666666666667,Inf,1,0,2,0,0,9
"A Nehra","2013","Indian Premier League","Delhi Daredevils",4,1,8,12.5,0.25,0,0,0,0,0,1
"A Nehra","2015","Indian Premier League","Chennai Super Kings",4,1,7,14.2857142857143,1,0,0,3,0,0,1
"A Nehra","2016","Indian Premier League","Sunrisers Hyderabad",2,1,1,100,Inf,0,0,2,0,0,1
"A Nehra","2017","Indian Premier League","Sunrisers Hyderabad",2,0,0,NA,NA,0,0,2,0,0,0
"A Nel","2007/08","Indian Premier League","Mumbai Indians",1,0,0,NA,0,0,0,0,0,0,0
"A Nortje","2020/21","Indian Premier League","Delhi Capitals",5,7,6,116.666666666667,7,0,0,4,0,0,3
"A Nortje","2022","Indian Premier League","Delhi Capitals",1,1,6,16.6666666666667,Inf,0,0,1,0,0,1
"A Nortje","2023","Indian Premier League","Delhi Capitals",7,37,29,127.586206896552,12.3333333333333,6,0,4,0,0,23
"A Nortje","2024","Indian Premier League","Delhi Capitals",2,4,8,50,2,0,0,0,0,0,4
"A Raghuvanshi","2024","Indian Premier League","Kolkata Knight Riders",7,163,105,155.238095238095,23.2857142857143,16,8,0,0,1,54
"A Singh","2009","Indian Premier League","Rajasthan Royals",2,1,3,33.3333333333333,1,0,0,1,0,0,1
"A Singh","2011","Indian Premier League","Rajasthan Royals",2,1,4,25,0.5,0,0,0,0,0,1
"A Singh","2012","Indian Premier League","Rajasthan Royals",1,0,3,0,0,0,0,0,0,0,0
"A Symonds","2007/08","Indian Premier League","Deccan Chargers",3,161,105,153.333333333333,80.5,15,9,1,1,0,117
"A Symonds","2009","Indian Premier League","Deccan Chargers",8,249,166,150,35.5714285714286,15,11,1,0,1,60
"A Symonds","2009/10","Indian Premier League","Deccan Chargers",16,429,341,125.806451612903,30.6428571428571,35,18,2,0,4,54
"A Symonds","2011","Indian Premier League","Mumbai Indians",9,135,138,97.8260869565217,33.75,9,3,5,0,0,44
"A Tomar","2022","Indian Premier League","Kolkata Knight Riders",1,4,8,50,4,1,0,0,0,0,4
"A Uniyal","2009/10","Indian Premier League","Rajasthan Royals",2,4,7,57.1428571428571,4,0,0,1,0,0,4
"A Zampa","2016","Indian Premier League","Rising Pune Supergiants",1,0,1,0,0,0,0,0,0,0,0
"A Zampa","2017","Indian Premier League","Rising Pune Supergiant",1,5,7,71.4285714285714,5,1,0,0,0,0,5
"A Zampa","2023","Indian Premier League","Rajasthan Royals",3,10,16,62.5,3.33333333333333,0,0,0,0,0,7
"AA Bilakhia","2009","Indian Premier League","Deccan Chargers",6,67,81,82.7160493827161,16.75,5,0,2,0,0,22
"AA Bilakhia","2009/10","Indian Premier League","Deccan Chargers",1,2,4,50,2,0,0,0,0,0,2
"AA Chavan","2011","Indian Premier League","Rajasthan Royals",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"AA Chavan","2012","Indian Premier League","Rajasthan Royals",2,11,8,137.5,11,2,0,1,0,0,7
"AA Jhunjhunwala","2009/10","Indian Premier League","Rajasthan Royals",11,183,166,110.240963855422,20.3333333333333,16,4,2,0,1,53
"AA Jhunjhunwala","2011","Indian Premier League","Pune Warriors",2,10,18,55.5555555555556,5,2,0,0,0,0,10
"AA Jhunjhunwala","2012","Indian Premier League","Deccan Chargers",3,24,26,92.3076923076923,12,1,1,1,0,0,19
"AA Kulkarni","2024","Indian Premier League","Lucknow Super Giants",2,9,8,112.5,4.5,2,0,0,0,0,9
"AA Noffke","2007/08","Indian Premier League","Royal Challengers Bangalore",1,9,10,90,9,1,0,0,0,0,9
"AB Agarkar","2007/08","Indian Premier League","Kolkata Knight Riders",6,54,46,117.391304347826,10.8,5,2,1,0,0,20
"AB Agarkar","2009","Indian Premier League","Kolkata Knight Riders",7,66,57,115.789473684211,33,3,3,5,0,0,39
"AB Agarkar","2009/10","Indian Premier League","Kolkata Knight Riders",4,40,29,137.931034482759,40,4,0,3,0,0,17
"AB Agarkar","2011","Indian Premier League","Delhi Daredevils",2,7,6,116.666666666667,7,1,0,1,0,0,7
"AB Agarkar","2012","Indian Premier League","Delhi Daredevils",1,0,0,NA,NA,0,0,1,0,0,0
"AB Agarkar","2013","Indian Premier League","Delhi Daredevils",2,12,16,75,12,0,0,1,0,0,9
"AB Barath","2009/10","Indian Premier League","Kings XI Punjab",3,42,42,100,21,5,1,1,0,0,33
"AB Dinda","2007/08","Indian Premier League","Kolkata Knight Riders",3,2,4,50,2,0,0,2,0,0,1
"AB Dinda","2009","Indian Premier League","Kolkata Knight Riders",2,2,3,66.6666666666667,1,0,0,0,0,0,2
"AB Dinda","2009/10","Indian Premier League","Kolkata Knight Riders",1,0,1,0,0,0,0,0,0,0,0
"AB Dinda","2011","Indian Premier League","Delhi Daredevils",1,0,5,0,0,0,0,0,0,0,0
"AB Dinda","2012","Indian Premier League","Pune Warriors",1,2,5,40,2,0,0,0,0,0,2
"AB Dinda","2013","Indian Premier League","Pune Warriors",5,9,11,81.8181818181818,4.5,1,0,3,0,0,6
"AB Dinda","2014","Indian Premier League","Royal Challengers Bangalore",3,4,12,33.3333333333333,4,0,0,2,0,0,2
"AB Dinda","2017","Indian Premier League","Rising Pune Supergiant",1,7,7,100,7,1,0,0,0,0,7
"AB McDonald","2009","Indian Premier League","Delhi Daredevils",1,3,4,75,3,0,0,0,0,0,3
"AB McDonald","2009/10","Indian Premier League","Delhi Daredevils",3,65,52,125,Inf,3,2,3,0,0,33
"AB McDonald","2011","Indian Premier League","Delhi Daredevils",1,8,7,114.285714285714,8,0,0,0,0,0,8
"AB McDonald","2012","Indian Premier League","Royal Challengers Bangalore",3,47,35,134.285714285714,23.5,6,2,1,0,0,30
"AB McDonald","2013","Indian Premier League","Royal Challengers Bangalore",1,0,2,0,0,0,0,0,0,0,0
"AB de Villiers","2007/08","Indian Premier League","Delhi Daredevils",6,95,98,96.9387755102041,19,5,1,1,0,0,26
"AB de Villiers","2009","Indian Premier League","Delhi Daredevils",13,465,355,130.985915492958,51.6666666666667,39,12,4,1,3,105
"AB de Villiers","2009/10","Indian Premier League","Delhi Daredevils",7,111,119,93.2773109243697,15.8571428571429,7,0,0,0,0,45
"AB de Villiers","2011","Indian Premier League","Royal Challengers Bangalore",13,312,243,128.395061728395,34.6666666666667,21,14,4,0,2,65
"AB de Villiers","2012","Indian Premier League","Royal Challengers Bangalore",13,319,198,161.111111111111,39.875,26,15,5,0,3,64
