"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"HV Patel","Royal Challengers Bangalore","2021","Indian Premier League",15,"56.2",0,459,32,14.34375,8.14792899408284,10.5625,122,1,1,"5/27"
"DJ Bravo","Chennai Super Kings","2013","Indian Premier League",18,"62.3",0,497,32,15.53125,7.952,11.71875,140,1,0,"4/42"
"K Rabada","Delhi Capitals","2020/21","Indian Premier League",18,"66.1",1,550,32,17.1875,8.31234256926952,12.40625,158,2,0,"4/24"
"JJ Bumrah","Mumbai Indians","2020/21","Indian Premier League",17,"62.0",2,420,29,14.4827586206897,6.7741935483871,12.8275862068966,178,2,0,"4/14"
"SL Malinga","Mumbai Indians","2011","Indian Premier League",16,"63.0",2,375,28,13.3928571428571,5.95238095238095,13.5,195,0,1,"5/13"
"JP Faulkner","Rajasthan Royals","2013","Indian Premier League",16,"63.1",2,427,28,15.25,6.7598944591029,13.5357142857143,170,0,2,"5/16"
"Mohammed Shami","Gujarat Titans","2023","Indian Premier League",17,"65.0",2,522,28,18.6428571428571,8.03076923076923,13.9285714285714,193,2,0,"4/11"
"MM Sharma","Gujarat Titans","2023","Indian Premier League",14,"44.1",0,361,27,13.3703703703704,8.17358490566038,9.81481481481481,87,2,1,"5/10"
"YS Chahal","Rajasthan Royals","2022","Indian Premier League",17,"68.0",0,527,27,19.5185185185185,7.75,15.1111111111111,137,1,1,"5/40"
"Rashid Khan","Gujarat Titans","2023","Indian Premier League",17,"67.0",0,552,27,20.4444444444444,8.23880597014925,14.8888888888889,134,1,0,"4/30"
"B Kumar","Sunrisers Hyderabad","2017","Indian Premier League",14,"52.2",0,369,26,14.1923076923077,7.05095541401274,12.0769230769231,131,0,1,"5/19"
"K Rabada","Delhi Capitals","2019","Indian Premier League",13,"48.0",0,375,26,14.4230769230769,7.8125,11.0769230769231,115,2,0,"4/21"
"DJ Bravo","Chennai Super Kings","2015","Indian Premier League",16,"52.2",0,426,26,16.3846153846154,8.14012738853503,12.0769230769231,97,0,0,"3/22"
"PWH de Silva","Royal Challengers Bangalore","2022","Indian Premier League",16,"57.0",1,430,26,16.5384615384615,7.54385964912281,13.1538461538462,143,1,1,"5/18"
"Imran Tahir","Chennai Super Kings","2019","Indian Premier League",17,"64.2",1,431,26,16.5769230769231,6.69948186528497,14.8461538461538,149,2,0,"4/12"
"M Morkel","Delhi Daredevils","2012","Indian Premier League",16,"63.0",1,453,25,18.12,7.19047619047619,15.12,161,1,0,"4/20"
"TA Boult","Mumbai Indians","2020/21","Indian Premier League",16,"58.0",3,472,25,18.88,8.13793103448276,13.92,157,1,0,"4/18"
"JD Unadkat","Rising Pune Supergiant","2017","Indian Premier League",12,"45.5",3,322,24,13.4166666666667,7.02545454545455,11.4583333333333,126,0,1,"5/30"
"SP Narine","Kolkata Knight Riders","2012","Indian Premier League",15,"59.1",1,324,24,13.5,5.47605633802817,14.7916666666667,169,1,1,"5/19"
"SL Malinga","Mumbai Indians","2015","Indian Premier League",15,"60.0",3,444,24,18.5,7.4,15,149,1,0,"4/23"
"AJ Tye","Kings XI Punjab","2018","Indian Premier League",14,"56.0",0,448,24,18.6666666666667,8,14,116,3,0,"4/16"
"Avesh Khan","Delhi Capitals","2021","Indian Premier League",16,"61.0",0,450,24,18.75,7.37704918032787,15.25,156,0,0,"3/13"
"Harbhajan Singh","Mumbai Indians","2013","Indian Premier League",19,"70.0",0,456,24,19,6.51428571428571,17.5,167,0,0,"3/14"
"MG Johnson","Mumbai Indians","2013","Indian Premier League",17,"64.0",0,459,24,19.125,7.171875,16,196,0,0,"3/27"
"HV Patel","Punjab Kings","2024","Indian Premier League",14,"49.0",0,477,24,19.875,9.73469387755102,12.25,85,0,0,"3/15"
"K Rabada","Punjab Kings","2022","Indian Premier League",13,"48.0",0,406,23,17.6521739130435,8.45833333333333,12.5217391304348,133,2,0,"4/33"
"YS Chahal","Royal Challengers Bangalore","2015","Indian Premier League",14,"46.5",0,415,23,18.0434782608696,8.86120996441281,12.2173913043478,91,0,0,"3/40"
"RP Singh","Deccan Chargers","2009","Indian Premier League",16,"59.4",1,417,23,18.1304347826087,6.98882681564246,15.5652173913043,176,1,0,"4/22"
"MM Sharma","Chennai Super Kings","2014","Indian Premier League",16,"53.5",0,452,23,19.6521739130435,8.39628482972136,14.0434782608696,123,1,0,"4/14"
"B Kumar","Sunrisers Hyderabad","2016","Indian Premier League",17,"66.0",3,490,23,21.304347826087,7.42424242424242,17.2173913043478,169,1,0,"4/29"
"R Vinay Kumar","Royal Challengers Bangalore","2013","Indian Premier League",17,"61.1",0,513,23,22.304347826087,8.38692098092643,15.9565217391304,130,0,0,"3/18"
"Sohail Tanvir","Rajasthan Royals","2007/08","Indian Premier League",11,"41.1",0,266,22,12.0909090909091,6.46153846153846,11.2272727272727,130,1,1,"6/14"
"SL Malinga","Mumbai Indians","2012","Indian Premier League",14,"55.3",1,350,22,15.9090909090909,6.30630630630631,15.1363636363636,147,1,0,"4/16"
"SP Narine","Kolkata Knight Riders","2013","Indian Premier League",16,"64.0",1,350,22,15.9090909090909,5.46875,17.4545454545455,183,2,0,"4/13"
"MM Patel","Mumbai Indians","2011","Indian Premier League",15,"54.2",1,358,22,16.2727272727273,6.58895705521472,14.8181818181818,155,0,1,"5/21"
"Umran Malik","Sunrisers Hyderabad","2022","Indian Premier League",14,"49.1",1,444,22,20.1818181818182,9.03050847457627,13.4090909090909,141,1,1,"5/25"
"A Nehra","Chennai Super Kings","2015","Indian Premier League",16,"62.0",0,449,22,20.4090909090909,7.24193548387097,16.9090909090909,174,1,0,"4/10"
"DL Chahar","Chennai Super Kings","2019","Indian Premier League",17,"64.3",2,482,22,21.9090909090909,7.47286821705426,17.5909090909091,190,0,0,"3/20"
"PP Chawla","Mumbai Indians","2023","Indian Premier League",16,"61.0",0,495,22,22.5,8.11475409836066,16.6363636363636,121,0,0,"3/22"
"A Nortje","Delhi Capitals","2020/21","Indian Premier League",16,"61.0",0,512,22,23.2727272727273,8.39344262295082,16.6363636363636,160,0,0,"3/33"
"A Kumble","Royal Challengers Bangalore","2009","Indian Premier League",16,"59.1",1,347,21,16.5238095238095,5.86478873239437,16.9047619047619,144,1,1,"5/5"
"S Aravind","Royal Challengers Bangalore","2011","Indian Premier League",13,"46.0",0,368,21,17.5238095238095,8,13.1428571428571,121,1,0,"4/14"
"A Mishra","Sunrisers Hyderabad","2013","Indian Premier League",17,"62.0",1,394,21,18.7619047619048,6.35483870967742,17.7142857142857,152,1,0,"4/19"
"YS Chahal","Royal Challengers Bangalore","2016","Indian Premier League",13,"49.1",0,401,21,19.0952380952381,8.15593220338983,14.047619047619,105,1,0,"4/25"
"YS Chahal","Royal Challengers Bangalore","2020/21","Indian Premier League",15,"57.1",0,405,21,19.2857142857143,7.08454810495627,16.3333333333333,118,0,0,"3/18"
"JJ Bumrah","Mumbai Indians","2021","Indian Premier League",14,"55.0",0,410,21,19.5238095238095,7.45454545454545,15.7142857142857,142,0,0,"3/36"
"SP Narine","Kolkata Knight Riders","2014","Indian Premier League",17,"65.0",0,418,21,19.9047619047619,6.43076923076923,18.5714285714286,166,2,0,"4/20"
"Kuldeep Yadav","Delhi Capitals","2022","Indian Premier League",14,"49.4",0,419,21,19.952380952381,8.43624161073826,14.1904761904762,97,2,0,"4/14"
"PP Ojha","Deccan Chargers","2009/10","Indian Premier League",16,"58.5",0,429,21,20.4285714285714,7.29178470254957,16.8095238095238,139,0,0,"3/26"
"YS Chahal","Rajasthan Royals","2023","Indian Premier League",14,"52.5",0,432,21,20.5714285714286,8.17665615141956,15.0952380952381,97,3,0,"4/17"
"Rashid Khan","Sunrisers Hyderabad","2018","Indian Premier League",17,"68.0",2,458,21,21.8095238095238,6.73529411764706,19.4285714285714,167,0,0,"3/19"
"SN Thakur","Chennai Super Kings","2021","Indian Premier League",16,"59.5",1,527,21,25.0952380952381,8.80779944289694,17.0952380952381,137,0,0,"3/28"
"S Kaul","Sunrisers Hyderabad","2018","Indian Premier League",17,"66.0",0,547,21,26.047619047619,8.28787878787879,18.8571428571429,131,0,0,"3/23"
"TU Deshpande","Chennai Super Kings","2023","Indian Premier League",16,"56.5",0,564,21,26.8571428571429,9.92375366568915,16.2380952380952,137,0,0,"3/45"
"MA Starc","Royal Challengers Bangalore","2015","Indian Premier League",12,"43.0",1,291,20,14.55,6.76744186046512,12.9,113,1,0,"4/15"
"MM Sharma","Chennai Super Kings","2013","Indian Premier League",15,"50.4",0,326,20,16.3,6.43421052631579,15.2,162,0,0,"3/10"
"JJ Bumrah","Mumbai Indians","2024","Indian Premier League",13,"51.5",0,336,20,16.8,6.48231511254019,15.55,149,0,1,"5/21"
"Rashid Khan","Sunrisers Hyderabad","2020/21","Indian Premier League",17,"64.4",1,345,20,17.25,5.33505154639175,19.4,171,0,0,"3/7"
"S Gopal","Rajasthan Royals","2019","Indian Premier League",14,"48.0",1,347,20,17.35,7.22916666666667,14.4,107,0,0,"3/12"
"B Kumar","Sunrisers Hyderabad","2014","Indian Premier League",14,"53.1",0,354,20,17.7,6.65830721003135,15.95,159,1,0,"4/14"
"JC Archer","Rajasthan Royals","2020/21","Indian Premier League",14,"55.4",0,365,20,18.25,6.55688622754491,16.7,175,0,0,"3/19"
"JR Hazlewood","Royal Challengers Bangalore","2022","Indian Premier League",12,"46.3",1,377,20,18.85,8.10752688172043,13.95,123,1,0,"4/25"
"R Ashwin","Chennai Super Kings","2011","Indian Premier League",16,"63.0",1,388,20,19.4,6.15873015873016,18.9,164,0,0,"3/16"
"CV Varun","Kolkata Knight Riders","2024","Indian Premier League",13,"48.0",0,393,20,19.65,8.1875,14.4,118,0,0,"3/16"
"JJ Bumrah","Mumbai Indians","2019","Indian Premier League",17,"62.2",1,417,20,20.85,6.68983957219251,18.7,170,0,0,"3/20"
"UT Yadav","Royal Challengers Bangalore","2018","Indian Premier League",14,"53.1",1,418,20,20.9,7.86206896551724,15.95,148,0,0,"3/23"
"CV Varun","Kolkata Knight Riders","2023","Indian Premier League",14,"52.4",1,429,20,21.45,8.14556962025316,15.8,124,1,0,"4/15"
