"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Lyth",1,13,13,100,13,1,0,0,0,0,13
"A Sharafu",12,222,191,116.230366492147,20.1818181818182,26,8,1,0,1,82
"A Zampa",1,14,8,175,Inf,2,0,1,0,0,14
"AAP Atkinson",4,14,13,107.692307692308,14,1,0,3,0,0,7
"AD Hales",22,751,509,147.5442043222,37.55,61,40,2,1,6,110
"AD Russell",15,388,213,182.159624413146,35.2727272727273,22,33,4,0,1,57
"ADS Fletcher",21,563,462,121.861471861472,31.2777777777778,50,21,3,0,4,68
"AGS Gous",4,112,79,141.772151898734,37.3333333333333,7,7,1,0,1,95
"AJ Hose",11,179,146,122.602739726027,19.8888888888889,15,5,2,0,0,45
"AJ Hosein",12,69,105,65.7142857142857,7.66666666666667,3,2,3,0,0,24
"AT Rayudu",6,101,101,100,16.8333333333333,10,2,0,0,0,44
"AU Rashid",2,10,16,62.5,5,0,0,0,0,0,10
"Aayan Afzal Khan",5,26,37,70.2702702702703,8.66666666666667,1,1,2,0,0,14
"Akif Raja",4,6,14,42.8571428571429,2,0,0,1,0,0,3
"Ali Khan",2,12,24,50,12,0,0,1,0,0,6
"Ali Naseer",6,92,76,121.052631578947,46,7,2,4,0,1,63
"Aryan Lakra",1,4,5,80,Inf,0,0,1,0,0,4
"Azam Khan",7,159,90,176.666666666667,31.8,20,8,2,0,1,50
"BA King",9,128,119,107.563025210084,16,13,4,1,0,1,57
"BAC Howell",3,54,38,142.105263157895,27,5,1,1,0,0,34
"BFW de Leede",2,16,18,88.8888888888889,8,1,0,0,0,0,14
"BR Dunk",7,90,77,116.883116883117,12.8571428571429,8,3,0,0,1,59
"Basil Hameed",6,40,47,85.1063829787234,8,3,2,1,0,0,24
"C Esterhuizen",4,27,31,87.0967741935484,9,1,0,1,0,0,17
"C Karunaratne",2,14,14,100,7,0,1,0,0,0,10
"C Munro",22,398,334,119.161676646707,18.0909090909091,35,15,0,0,3,56
"C Overton",1,1,1,100,1,0,0,0,0,0,1
"C de Grandhomme",4,57,46,123.913043478261,14.25,3,3,0,0,0,35
"CA Ingram",4,23,37,62.1621621621622,5.75,3,0,0,0,0,15
"CA Lynn",18,562,433,129.792147806005,33.0588235294118,61,16,1,0,4,72
"CB Sole",1,2,3,66.6666666666667,Inf,0,0,1,0,0,2
"CBRLS Kumara",2,2,4,50,Inf,0,0,2,0,0,2
"CG Benjamin",2,25,27,92.5925925925926,25,2,1,1,0,0,24
"CJ Anderson",1,1,2,50,1,0,0,0,0,0,1
"CJ Jordan",15,170,115,147.826086956522,28.3333333333333,12,10,9,0,0,37
"CR Brathwaite",5,39,36,108.333333333333,13,2,2,2,0,0,18
"CR Woakes",10,114,93,122.58064516129,19,14,2,4,0,1,62
"Chirag Suri",3,26,30,86.6666666666667,8.66666666666667,3,0,0,0,0,16
"D Wiese",9,103,90,114.444444444444,17.1666666666667,10,2,3,0,0,35
"DA Warner",8,115,117,98.2905982905983,14.375,7,3,0,0,0,42
"DC Drakes",7,62,50,124,31,3,5,5,0,0,24
"DJ Bravo",10,93,84,110.714285714286,23.25,7,3,6,0,0,30
"DJ Malan",6,53,63,84.1269841269841,8.83333333333333,6,0,0,0,0,18
"DJ Willey",5,78,68,114.705882352941,19.5,7,2,1,0,0,36
"DJ Worrall",1,6,9,66.6666666666667,6,0,0,0,0,0,6
"DM de Silva",5,107,87,122.988505747126,21.4,10,3,0,0,1,65
"DR Mousley",6,83,81,102.469135802469,27.6666666666667,5,2,3,0,0,31
"DR Sams",8,74,69,107.246376811594,10.5714285714286,5,1,1,0,0,24
"DW Lawrence",5,77,67,114.925373134328,15.4,4,4,0,0,0,34
"E Lewis",4,26,35,74.2857142857143,6.5,1,1,0,0,0,23
"FA Allen",3,13,18,72.2222222222222,4.33333333333333,1,0,0,0,0,7
"FJ Klaassen",1,3,4,75,Inf,0,0,1,0,0,3
"Fahad Nawaz",1,1,4,25,1,0,0,0,0,0,1
"Fazalhaq Farooqi",2,1,5,20,0.5,0,0,0,0,0,1
"HG Munsey",4,122,105,116.190476190476,30.5,13,3,0,0,2,57
"Haider Ali",3,5,7,71.4285714285714,5,0,0,2,0,0,3
"Hazrat Luqman",1,10,3,333.333333333333,10,1,1,0,0,0,10
"Hazratullah",2,7,16,43.75,3.5,1,0,0,0,0,6
"I Udana",3,20,15,133.333333333333,10,2,1,1,0,0,11
"Imad Wasim",7,56,62,90.3225806451613,11.2,4,1,2,0,0,25
"Imran Tahir",1,10,5,200,Inf,2,0,1,0,0,10
"J Charles",8,232,170,136.470588235294,33.1428571428571,22,11,1,0,2,93
"J Fraser-McGurk",3,109,51,213.725490196078,36.3333333333333,8,9,0,0,1,54
"J Little",4,5,11,45.4545454545455,5,1,0,3,0,0,5
"J Overton",9,108,79,136.708860759494,15.4285714285714,5,6,2,0,0,41
"JA Thompson",4,60,41,146.341463414634,20,3,4,1,0,0,26
"JB Lintott",1,4,6,66.6666666666667,Inf,0,0,1,0,0,4
"JE Root",5,214,159,134.591194968553,53.5,21,6,1,0,2,82
"JJ Roy",2,47,34,138.235294117647,23.5,5,2,0,0,0,47
"JK Fuller",3,14,22,63.6363636363636,4.66666666666667,0,0,0,0,0,7
"JL Denly",15,226,220,102.727272727273,22.6,16,6,5,0,1,58
"JL Smith",12,161,124,129.838709677419,16.1,14,9,2,0,0,43
"JL du Plooy",4,89,63,141.269841269841,29.6666666666667,10,3,1,0,1,63
"JM Clarke",12,251,182,137.912087912088,20.9166666666667,38,5,0,0,2,54
"JM Cox",12,215,190,113.157894736842,19.5454545454545,13,9,1,0,1,57
"JM Vince",23,795,617,128.849270664506,37.8571428571429,73,25,2,0,8,83
"JO Holder",6,121,76,159.210526315789,30.25,9,7,2,0,0,42
"Junaid Siddique",6,20,32,62.5,6.66666666666667,2,0,3,0,0,8
"K Lewis",3,9,15,60,3,2,0,0,0,0,8
"KA Pollard",13,478,262,182.442748091603,68.2857142857143,34,32,6,0,4,86
"KIC Asalanka",7,102,80,127.5,17,7,4,1,0,0,26
"Karim Janat",2,18,17,105.882352941176,9,0,1,0,0,0,17
"L Gregory",6,70,88,79.5454545454545,11.6666666666667,3,2,0,0,0,30
"L Tucker",4,85,71,119.718309859155,21.25,11,1,0,0,0,33
"L Wood",6,66,49,134.69387755102,16.5,6,1,2,0,0,30
"LA Dawson",4,45,36,125,15,4,0,1,0,0,18
"LD Chandimal",1,24,21,114.285714285714,Inf,3,0,1,0,0,24
"LJ Evans",10,173,138,125.36231884058,24.7142857142857,18,4,3,0,1,67
"LS Livingstone",2,32,18,177.777777777778,16,3,3,0,0,0,30
"LWP Wells",1,31,28,110.714285714286,31,2,0,0,0,0,31
"M Deyal",1,9,7,128.571428571429,9,1,0,0,0,0,9
"M Pathirana",1,1,5,20,1,0,0,0,0,0,1
"M Theekshana",4,25,30,83.3333333333333,12.5,2,0,2,0,0,9
"M de Lange",1,19,14,135.714285714286,19,0,1,0,0,0,19
"MA Jones",1,20,20,100,20,1,1,0,0,0,20
"MD Shanaka",12,200,185,108.108108108108,25,16,7,4,0,1,58
"MDE Holden",5,67,51,131.372549019608,13.4,12,0,0,0,1,51
"MDKJ Perera",10,335,213,157.276995305164,33.5,37,12,0,0,2,65
"MG Erasmus",12,185,157,117.834394904459,16.8181818181818,15,4,1,0,1,52
"MJ Guptill",6,122,115,106.086956521739,24.4,12,2,1,0,0,40
"MM Ali",7,76,68,111.764705882353,10.8571428571429,3,2,0,0,0,18
"MP Stoinis",4,49,59,83.0508474576271,12.25,3,1,0,0,0,17
"MRJ Watt",3,22,27,81.4814814814815,7.33333333333333,1,1,0,0,0,12
"MS Pepper",10,229,162,141.358024691358,22.9,33,6,0,0,1,59
"Matiullah Khan",5,9,18,50,3,0,0,2,0,0,4
"Mohammad Amir",2,5,3,166.666666666667,5,1,0,1,0,0,4
"Mohammad Nabi",8,98,85,115.294117647059,16.3333333333333,6,4,2,0,0,34
"Muhammad Jawadullah",3,3,9,33.3333333333333,3,0,0,2,0,0,2
"Mujeeb Ur Rahman",3,7,5,140,7,1,0,2,0,0,4
"N Dickwella",11,183,133,137.593984962406,16.6363636363636,21,6,0,0,0,37
"N Pooran",20,709,457,155.142231947484,50.6428571428571,37,54,6,0,4,66
"Najibullah Zadran",7,66,43,153.488372093023,13.2,2,8,2,0,0,35
"Naveen-ul-Haq",3,16,16,100,16,2,0,2,0,0,7
"Nilansh Keswani",1,5,8,62.5,5,0,0,0,0,0,5
"Noor Ahmad",5,49,48,102.083333333333,24.5,3,1,3,0,0,23
"OF Smith",2,13,17,76.4705882352941,13,0,0,1,0,0,12
"OJ Pope",2,18,20,90,9,2,0,0,0,0,18
"OP Stone",2,6,9,66.6666666666667,3,0,0,0,0,0,5
"PBB Rajapaksa",3,12,14,85.7142857142857,4,0,0,0,0,0,9
"PD Salt",2,56,23,243.478260869565,28,8,3,0,0,0,30
"PI Walter",3,59,48,122.916666666667,29.5,8,0,1,0,0,28
"PR Stirling",6,168,153,109.803921568627,28,15,5,0,0,2,55
"PWH de Silva",13,248,169,146.745562130178,19.0769230769231,24,7,0,0,1,55
"R Chopra",6,32,40,80,10.6666666666667,3,0,3,0,0,20
"R Powell",19,429,300,143,33,23,27,6,0,1,97
"R Rampaul",2,11,18,61.1111111111111,Inf,0,0,2,0,0,6
"RA Reifer",1,3,9,33.3333333333333,3,0,0,0,0,0,3
"RE van der Merwe",4,44,40,110,44,5,0,3,0,0,21
"RJ Gleeson",1,0,1,0,0,0,0,0,0,0,0
"RS Bopara",6,20,18,111.111111111111,6.66666666666667,1,1,3,0,0,12
"RV Uthappa",9,218,170,128.235294117647,24.2222222222222,22,7,0,0,1,79
"Rahmanullah Gurbaz",16,314,218,144.036697247706,19.625,32,15,0,0,2,81
"Rehan Ahmed",5,48,40,120,9.6,6,2,0,0,0,28
"Rohan Mustafa",20,301,233,129.184549356223,17.7058823529412,40,10,3,0,1,50
"S Kalyan",3,8,17,47.0588235294118,2.66666666666667,1,0,0,0,0,7
"SC Kuggeleijn",5,59,46,128.260869565217,29.5,3,3,3,0,0,22
"SC Williams",4,66,64,103.125,16.5,5,2,0,0,0,35
"SE Rutherford",18,352,221,159.276018099548,27.0769230769231,24,23,5,0,2,56
"SM Curran",2,24,20,120,24,1,1,1,0,0,17
"SM Sharma",2,6,9,66.6666666666667,6,0,0,1,0,0,6
"SO Hetmyer",22,485,308,157.467532467532,32.3333333333333,33,26,7,0,3,70
"SP Narine",12,91,91,100,8.27272727272727,8,4,1,0,0,28
"SR Hain",10,203,173,117.341040462428,25.375,20,2,2,0,1,77
"SR Patel",1,18,6,300,Inf,1,2,1,0,0,18
"SS Cottrell",1,0,1,0,NA,0,0,1,0,0,0
"SW Billings",23,605,483,125.258799171843,31.8421052631579,45,15,4,0,4,67
"Sabir Ali",2,0,4,0,0,0,0,1,0,0,0
"Shadab Khan",2,22,21,104.761904761905,22,1,0,1,0,0,11
"Shaheen Shah Afridi",3,46,30,153.333333333333,46,5,0,2,0,0,17
"Shiraz Ahmed",1,7,4,175,Inf,1,0,1,0,0,7
"Sikandar Raza",19,522,390,133.846153846154,37.2857142857143,37,22,5,0,2,60
"T Banton",11,261,227,114.977973568282,23.7272727272727,29,5,0,0,0,45
"T Kohler-Cadmore",17,476,305,156.065573770492,29.75,40,30,1,1,2,106
"T Suri",1,5,2,250,Inf,1,0,1,0,0,5
"TA Boult",5,17,14,121.428571428571,8.5,2,1,3,0,0,8
"TB Abell",3,75,63,119.047619047619,37.5,8,1,1,0,0,41
"TH David",7,157,99,158.585858585859,39.25,9,11,3,0,0,41
"TK Curran",8,150,116,129.310344827586,25,12,6,2,0,0,42
"Usman Khan",8,164,137,119.70802919708,23.4285714285714,19,3,1,0,0,32
"V Aravind",1,3,7,42.8571428571429,3,0,0,0,0,0,3
"V Viyaskanth",2,9,15,60,Inf,0,0,2,0,0,8
"WCF Smeed",6,61,62,98.3870967741936,10.1666666666667,9,0,0,0,0,29
"Waseem Muhammad",23,688,482,142.738589211618,32.7619047619048,51,42,2,0,5,89
"YK Pathan",7,60,54,111.111111111111,15,4,3,3,0,0,35
"Zahoor Khan",1,1,1,100,Inf,0,0,1,0,0,1
"Zawar Farid",5,49,70,70,9.8,5,1,0,0,0,19
