"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"CJ Jordan",21,"72.5",1,572,31,18.4516129032258,7.85354691075515,14.0967741935484,168,0,0,"3/12"
"Fazalhaq Farooqi",18,"67.1",0,524,29,18.0689655172414,7.8014888337469,13.8965517241379,188,2,0,"4/25"
"PWH de Silva",17,"65.0",1,432,27,16,6.64615384615385,14.4444444444444,170,0,0,"3/13"
"TA Boult",22,"81.0",1,614,25,24.56,7.58024691358025,19.44,213,0,0,"3/14"
"DJ Bravo",17,"53.0",0,447,19,23.5263157894737,8.43396226415094,16.7368421052632,108,0,0,"3/25"
"AJ Hosein",19,"70.0",0,477,19,25.1052631578947,6.81428571428571,22.1052631578947,189,1,0,"4/23"
"D Wiese",11,"38.0",0,266,18,14.7777777777778,7,12.6666666666667,101,0,1,"5/20"
"Waqar Salamkheil",11,"35.4",0,256,17,15.0588235294118,7.17757009345794,12.5882352941176,79,0,0,"3/18"
"CR Woakes",15,"52.2",2,382,16,23.875,7.29936305732484,19.625,148,0,0,"2/11"
"Sikandar Raza",20,"70.0",0,474,16,29.625,6.77142857142857,26.25,140,0,0,"3/21"
"Muhammad Jawadullah",15,"45.0",0,348,15,23.2,7.73333333333333,18,112,0,0,"3/5"
"Akif Raja",18,"46.5",0,400,14,28.5714285714286,8.54092526690391,20.0714285714286,78,0,0,"2/20"
"SP Narine",19,"72.0",0,457,14,32.6428571428571,6.34722222222222,30.8571428571429,156,0,0,"2/21"
"Junaid Siddique",13,"35.4",0,265,13,20.3846153846154,7.42990654205608,16.4615384615385,108,0,0,"2/4"
"SC Kuggeleijn",8,"28.5",0,272,13,20.9230769230769,9.43352601156069,13.3076923076923,78,1,0,"4/17"
"SS Cottrell",12,"41.5",0,291,13,22.3846153846154,6.95617529880478,19.3076923076923,129,0,0,"3/14"
