"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Lyth","C de Grandhomme",2,5,1,3,0,0,2.4,40,2
"A Lyth","CR Brathwaite",11,8,0,3,1,0,8.25,137.5,Inf
"A Sharafu","AJ Hosein",8,12,1,7,1,0,4,66.6666666666667,8
"A Sharafu","AU Rashid",1,2,1,1,0,0,3,50,1
"A Sharafu","Aayan Afzal Khan",9,6,0,2,0,1,9,150,Inf
"A Sharafu","Akif Raja",10,6,0,2,2,0,10,166.666666666667,Inf
"A Sharafu","B Muzarabani",2,2,0,0,0,0,6,100,Inf
"A Sharafu","CJ Jordan",4,3,0,1,0,0,8,133.333333333333,Inf
"A Sharafu","CR Brathwaite",1,1,0,0,0,0,6,100,Inf
"A Sharafu","CR Woakes",9,11,0,6,1,0,4.90909090909091,81.8181818181818,Inf
"A Sharafu","DC Drakes",7,7,0,2,0,0,6,100,Inf
"A Sharafu","DJ Bravo",6,7,0,4,1,0,5.14285714285714,85.7142857142857,Inf
"A Sharafu","DR Sams",14,12,0,9,2,1,7,116.666666666667,Inf
"A Sharafu","Fazalhaq Farooqi",12,9,0,6,1,1,8,133.333333333333,Inf
"A Sharafu","J Overton",1,5,0,4,0,0,1.2,20,Inf
"A Sharafu","JO Holder",5,7,0,5,1,0,4.28571428571429,71.4285714285714,Inf
"A Sharafu","Junaid Siddique",2,3,0,2,0,0,4,66.6666666666667,Inf
"A Sharafu","KW Richardson",3,2,0,0,0,0,9,150,Inf
"A Sharafu","Mohammad Amir",10,14,0,10,2,0,4.28571428571429,71.4285714285714,Inf
"A Sharafu","Muhammad Jawadullah",0,2,1,2,0,0,0,0,0
"A Sharafu","Muhammad Rohid",2,2,0,0,0,0,6,100,Inf
"A Sharafu","Mujeeb Ur Rahman",6,6,1,3,1,0,6,100,6
"A Sharafu","PVD Chameera",1,2,0,1,0,0,3,50,Inf
"A Sharafu","PWH de Silva",3,8,0,5,0,0,2.25,37.5,Inf
"A Sharafu","RE van der Merwe",5,7,1,5,1,0,4.28571428571429,71.4285714285714,5
"A Sharafu","SC Kuggeleijn",0,5,2,5,0,0,0,0,0
"A Sharafu","SS Cottrell",0,1,1,1,0,0,0,0,0
"A Sharafu","Shadab Khan",31,13,0,4,2,3,14.3076923076923,238.461538461538,Inf
"A Sharafu","Shaheen Shah Afridi",15,6,0,1,3,0,15,250,Inf
"A Sharafu","TA Boult",5,2,0,0,1,0,15,250,Inf
"A Sharafu","TS Mills",24,11,0,4,4,1,13.0909090909091,218.181818181818,Inf
"A Sharafu","Waqar Salamkheil",16,9,1,2,1,1,10.6666666666667,177.777777777778,16
"A Sharafu","Zahoor Khan",0,2,1,2,0,0,0,0,0
"A Sharafu","Zuhaib Zubair",10,6,1,2,2,0,10,166.666666666667,10
"A Zampa","AAP Atkinson",1,1,0,0,0,0,6,100,Inf
"A Zampa","TK Curran",13,7,0,1,2,0,11.1428571428571,185.714285714286,Inf
"AAP Atkinson","CJ Jordan",3,3,0,1,0,0,6,100,Inf
"AAP Atkinson","CR Brathwaite",1,1,0,0,0,0,6,100,Inf
"AAP Atkinson","FJ Klaassen",1,2,0,1,0,0,3,50,Inf
"AAP Atkinson","JT Ball",2,1,0,0,0,0,12,200,Inf
"AAP Atkinson","Junaid Siddique",1,1,0,0,0,0,6,100,Inf
"AAP Atkinson","Naveen-ul-Haq",6,3,0,0,1,0,12,200,Inf
"AAP Atkinson","Qais Ahmad",0,2,0,2,0,0,0,0,NA
"AD Hales","AD Russell",34,18,1,3,5,0,11.3333333333333,188.888888888889,34
"AD Hales","AJ Hosein",38,31,0,13,1,3,7.35483870967742,122.58064516129,Inf
"AD Hales","Aayan Afzal Khan",0,2,1,2,0,0,0,0,0
"AD Hales","Akif Raja",3,7,1,4,0,0,2.57142857142857,42.8571428571429,3
"AD Hales","B Muzarabani",14,10,0,5,3,0,8.4,140,Inf
"AD Hales","BTJ Wheal",11,9,0,2,1,0,7.33333333333333,122.222222222222,Inf
"AD Hales","C de Grandhomme",1,1,0,0,0,0,6,100,Inf
"AD Hales","CBRLS Kumara",29,17,0,3,3,1,10.2352941176471,170.588235294118,Inf
"AD Hales","CJ Jordan",37,19,1,7,5,2,11.6842105263158,194.736842105263,37
"AD Hales","CR Brathwaite",11,10,2,5,2,0,6.6,110,5.5
"AD Hales","CR Woakes",60,28,1,12,6,5,12.8571428571429,214.285714285714,60
"AD Hales","D Wiese",22,13,0,3,2,1,10.1538461538462,169.230769230769,Inf
"AD Hales","DC Drakes",17,12,1,6,2,1,8.5,141.666666666667,17
"AD Hales","DJ Bravo",14,11,0,4,2,0,7.63636363636364,127.272727272727,Inf
"AD Hales","DJ Willey",9,6,1,3,2,0,9,150,9
"AD Hales","DM de Silva",15,5,0,0,1,1,18,300,Inf
"AD Hales","DR Sams",20,12,0,7,0,3,10,166.666666666667,Inf
"AD Hales","FJ Klaassen",10,7,1,3,1,0,8.57142857142857,142.857142857143,10
"AD Hales","Fazalhaq Farooqi",20,20,0,11,0,2,6,100,Inf
"AD Hales","Haider Ali",18,10,0,5,1,2,10.8,180,Inf
"AD Hales","Imad Wasim",2,5,1,3,0,0,2.4,40,2
"AD Hales","J Overton",12,7,0,2,0,1,10.2857142857143,171.428571428571,Inf
"AD Hales","JO Holder",13,8,1,4,1,1,9.75,162.5,13
"AD Hales","JT Ball",3,3,0,1,0,0,6,100,Inf
