"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"AD Hales",2023-01-20,"Desert Vipers","Abu Dhabi Knight Riders",1,110,59,7,6,186.440677966102,FALSE,"International League T20","2022/23",1346924,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Desert Vipers","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","AD Hales","Desert Vipers",NA,"111"
"T Kohler-Cadmore",2023-01-21,"Sharjah Warriors","Dubai Capitals",2,106,47,10,6,225.531914893617,TRUE,"International League T20","2022/23",1346925,"Dubai International Cricket Stadium","Dubai","Dubai Capitals","Sharjah Warriors","Sharjah Warriors","field","T Kohler-Cadmore","Sharjah Warriors","7",NA
"AD Hales",2023-01-22,"Desert Vipers","Gulf Giants",1,99,57,10,5,173.684210526316,FALSE,"International League T20","2022/23",1346927,"Dubai International Cricket Stadium","Dubai","Desert Vipers","Gulf Giants","Gulf Giants","field","SO Hetmyer","Gulf Giants","5",NA
"R Powell",2023-01-22,"Dubai Capitals","MI Emirates",1,97,41,4,10,236.585365853659,FALSE,"International League T20","2022/23",1346928,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Dubai Capitals","MI Emirates","MI Emirates","field","R Powell","Dubai Capitals",NA,"16"
"AGS Gous",2024-01-21,"Abu Dhabi Knight Riders","Desert Vipers",2,95,50,5,7,190,TRUE,"International League T20","2023/24",1406891,"Dubai International Cricket Stadium","Dubai","Desert Vipers","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","AGS Gous","Abu Dhabi Knight Riders","6",NA
"J Charles",2024-01-22,"Sharjah Warriors","Dubai Capitals",2,93,51,8,6,182.352941176471,FALSE,"International League T20","2023/24",1406893,"Dubai International Cricket Stadium","Dubai","Dubai Capitals","Sharjah Warriors","Sharjah Warriors","field","J Charles","Sharjah Warriors","5",NA
"Waseem Muhammad",2024-01-28,"MI Emirates","Abu Dhabi Knight Riders",2,89,62,8,3,143.548387096774,TRUE,"International League T20","2023/24",1406900,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","MI Emirates","MI Emirates","field","Waseem Muhammad","MI Emirates","8",NA
"Waseem Muhammad",2023-01-29,"MI Emirates","Desert Vipers",1,86,44,11,4,195.454545454545,FALSE,"International League T20","2022/23",1346936,"Sharjah Cricket Stadium","Sharjah","MI Emirates","Desert Vipers","Desert Vipers","field","Waseem Muhammad","MI Emirates",NA,"157"
"KA Pollard",2023-01-22,"MI Emirates","Dubai Capitals",2,86,38,8,6,226.315789473684,FALSE,"International League T20","2022/23",1346928,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Dubai Capitals","MI Emirates","MI Emirates","field","R Powell","Dubai Capitals",NA,"16"
"JM Vince",2023-01-16,"Gulf Giants","Dubai Capitals",2,83,56,7,3,148.214285714286,TRUE,"International League T20","2022/23",1346920,"Dubai International Cricket Stadium","Dubai","Dubai Capitals","Gulf Giants","Gulf Giants","field","JM Vince","Gulf Giants","6",NA
