"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"D Wiese",2023-02-06,"Sharjah Warriors","Gulf Giants",1,"4.0",0,20,5,5,14,"International League T20","2022/23",1346945,"Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","Gulf Giants","Gulf Giants","field","D Wiese","Gulf Giants","7",NA
"Naveen-ul-Haq",2023-01-23,"Gulf Giants","Sharjah Warriors",2,"3.4",0,38,5,10.3636363636364,12,"International League T20","2022/23",1346929,"Dubai International Cricket Stadium","Dubai","Sharjah Warriors","Gulf Giants","Gulf Giants","field","Naveen-ul-Haq","Sharjah Warriors",NA,"21"
"AU Rashid",2024-02-07,"Abu Dhabi Knight Riders","Sharjah Warriors",1,"4.0",1,12,4,3,14,"International League T20","2023/24",1406913,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","Sharjah Warriors","Sharjah Warriors","field","AU Rashid","Sharjah Warriors","7",NA
"OP Stone",2024-02-06,"Gulf Giants","Dubai Capitals",1,"4.0",1,14,4,3.5,18,"International League T20","2023/24",1406912,"Dubai International Cricket Stadium","Dubai","Gulf Giants","Dubai Capitals","Dubai Capitals","field","JM Vince","Gulf Giants",NA,"19"
"M Theekshana",2024-01-19,"Gulf Giants","Sharjah Warriors",1,"4.0",0,15,4,3.75,13,"International League T20","2023/24",1406889,"Sharjah Cricket Stadium","Sharjah","Gulf Giants","Sharjah Warriors","Sharjah Warriors","field","J Overton","Gulf Giants",NA,"31"
"RS Bopara",2024-02-05,"Sharjah Warriors","Abu Dhabi Knight Riders",1,"4.0",0,15,4,3.75,10,"International League T20","2023/24",1406911,"Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","J Little","Abu Dhabi Knight Riders","7",NA
"SC Kuggeleijn",2024-02-13,"Abu Dhabi Knight Riders","Dubai Capitals",2,"3.5",0,17,4,4.43478260869565,15,"International League T20","2023/24",1406920,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Dubai Capitals","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","Sikandar Raza","Dubai Capitals",NA,"85"
"M Theekshana",2024-01-29,"Dubai Capitals","Sharjah Warriors",1,"4.0",0,20,4,5,12,"International League T20","2023/24",1406902,"Sharjah Cricket Stadium","Sharjah","Dubai Capitals","Sharjah Warriors","Dubai Capitals","bat","M Theekshana","Sharjah Warriors","9",NA
"Zuhaib Zubair",2024-02-04,"Sharjah Warriors","Gulf Giants",2,"4.0",0,22,4,5.5,12,"International League T20","2023/24",1406910,"Dubai International Cricket Stadium","Dubai","Gulf Giants","Sharjah Warriors","Sharjah Warriors","field","Zuhaib Zubair","Gulf Giants",NA,"79"
"AJ Hosein",2024-01-26,"Sharjah Warriors","MI Emirates",2,"4.0",0,23,4,5.75,11,"International League T20","2023/24",1406897,"Sharjah Cricket Stadium","Sharjah","MI Emirates","Sharjah Warriors","Sharjah Warriors","field","AJ Hosein","MI Emirates",NA,"106"
"Fazalhaq Farooqi",2024-01-21,"Gulf Giants","MI Emirates",2,"4.0",0,25,4,6.25,11,"International League T20","2023/24",1406892,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Gulf Giants","Gulf Giants","field","TH David","MI Emirates",NA,"18"
"PVD Chameera",2024-01-22,"Sharjah Warriors","Dubai Capitals",2,"4.0",0,28,4,7,14,"International League T20","2023/24",1406893,"Dubai International Cricket Stadium","Dubai","Dubai Capitals","Sharjah Warriors","Sharjah Warriors","field","J Charles","Sharjah Warriors","5",NA
"Fazalhaq Farooqi",2024-02-04,"Desert Vipers","MI Emirates",2,"4.0",0,31,4,7.75,9,"International League T20","2023/24",1406909,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Desert Vipers","Desert Vipers","field","N Pooran","MI Emirates",NA,"30"
"TK Curran",2023-02-08,"Gulf Giants","Desert Vipers",2,"4.0",0,31,4,7.75,11,"International League T20","2022/23",1346946,"Dubai International Cricket Stadium","Dubai","Desert Vipers","Gulf Giants","Gulf Giants","field","TK Curran","Desert Vipers",NA,"19"
"D Wiese",2023-01-19,"Dubai Capitals","Gulf Giants",2,"2.0",0,3,3,1.5,9,"International League T20","2022/23",1346923,"Sharjah Cricket Stadium","Sharjah","Gulf Giants","Dubai Capitals","Dubai Capitals","field","JM Vince","Gulf Giants",NA,"101"
"Muhammad Jawadullah",2024-02-05,"Abu Dhabi Knight Riders","Sharjah Warriors",2,"2.0",0,5,3,2.5,10,"International League T20","2023/24",1406911,"Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","J Little","Abu Dhabi Knight Riders","7",NA
"SM Sharma",2023-01-15,"Abu Dhabi Knight Riders","Gulf Giants",1,"3.0",0,9,3,3,13,"International League T20","2022/23",1346918,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","Gulf Giants","Abu Dhabi Knight Riders","bat","SM Sharma","Gulf Giants","6",NA
"CJ Jordan",2023-01-19,"Dubai Capitals","Gulf Giants",2,"2.3",0,12,3,4.8,11,"International League T20","2022/23",1346923,"Sharjah Cricket Stadium","Sharjah","Gulf Giants","Dubai Capitals","Dubai Capitals","field","JM Vince","Gulf Giants",NA,"101"
"CJ Jordan",2023-02-01,"MI Emirates","Gulf Giants",1,"3.5",1,12,3,3.1304347826087,17,"International League T20","2022/23",1346939,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Gulf Giants","Gulf Giants","field","CJ Jordan","Gulf Giants","5",NA
