"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","outcome"
1346916,6,"Dubai Capitals","Abu Dhabi Knight Riders","male","2022/23",2023-01-13,"International League T20","1","Dubai International Cricket Stadium","Dubai","Abu Dhabi Knight Riders","field","R Powell","RJ Tucker","SJA Taufel","LS Reifer","AG Wharf","RS Mahanama","Dubai Capitals",NA,73,NA
1346917,6,"MI Emirates","Sharjah Warriors","male","2022/23",2023-01-14,"International League T20","2","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Sharjah Warriors","field","Waseem Muhammad","Akbar Ali","RA Kettleborough","MJ Saggers","RSA Palliyaguruge","SJA Taufel","MI Emirates",NA,49,NA
1346918,6,"Abu Dhabi Knight Riders","Gulf Giants","male","2022/23",2023-01-15,"International League T20","3","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","bat","SM Sharma","MJ Saggers","RSA Palliyaguruge","Akbar Ali","RA Kettleborough","SJA Taufel","Gulf Giants",6,NA,NA
1346919,6,"Sharjah Warriors","Desert Vipers","male","2022/23",2023-01-15,"International League T20","4","Dubai International Cricket Stadium","Dubai","Desert Vipers","field","AD Hales","LS Reifer","Shiju Sam","AG Wharf","RJ Tucker","RS Mahanama","Desert Vipers",7,NA,NA
1346920,6,"Dubai Capitals","Gulf Giants","male","2022/23",2023-01-16,"International League T20","5","Dubai International Cricket Stadium","Dubai","Gulf Giants","field","JM Vince","AG Wharf","RJ Tucker","Shiju Sam","LS Reifer","RS Mahanama","Gulf Giants",6,NA,NA
1346921,6,"Sharjah Warriors","MI Emirates","male","2022/23",2023-01-17,"International League T20","6","Sharjah Cricket Stadium","Sharjah","MI Emirates","field","DJ Bravo","Akbar Ali","RSA Palliyaguruge","MJ Saggers","RA Kettleborough","SJA Taufel","MI Emirates",6,NA,NA
1346922,6,"Abu Dhabi Knight Riders","Desert Vipers","male","2022/23",2023-01-18,"International League T20","7","Dubai International Cricket Stadium","Dubai","Desert Vipers","field","PWH de Silva","RJ Tucker","Shiju Sam","LS Reifer","AG Wharf","RS Mahanama","Desert Vipers",7,NA,NA
1346923,6,"Gulf Giants","Dubai Capitals","male","2022/23",2023-01-19,"International League T20","8","Sharjah Cricket Stadium","Sharjah","Dubai Capitals","field","JM Vince","Akbar Ali","RSA Palliyaguruge","RA Kettleborough","MJ Saggers","SJA Taufel","Gulf Giants",NA,101,NA
1346924,6,"Desert Vipers","Abu Dhabi Knight Riders","male","2022/23",2023-01-20,"International League T20","9","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","field","AD Hales","AG Wharf","LS Reifer","Shiju Sam","RJ Tucker","RS Mahanama","Desert Vipers",NA,111,NA
1346925,6,"Dubai Capitals","Sharjah Warriors","male","2022/23",2023-01-21,"International League T20","10","Dubai International Cricket Stadium","Dubai","Sharjah Warriors","field","T Kohler-Cadmore","MJ Saggers","RSA Palliyaguruge","Akbar Ali","RA Kettleborough","SJA Taufel","Sharjah Warriors",7,NA,NA
1346926,6,"Abu Dhabi Knight Riders","MI Emirates","male","2022/23",2023-01-21,"International League T20","11","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","field","Najibullah Zadran","AG Wharf","Shiju Sam","RJ Tucker","LS Reifer","RS Mahanama","MI Emirates",5,NA,NA
1346927,6,"Desert Vipers","Gulf Giants","male","2022/23",2023-01-22,"International League T20","12","Dubai International Cricket Stadium","Dubai","Gulf Giants","field","SO Hetmyer","Akbar Ali","MJ Saggers","RA Kettleborough","RSA Palliyaguruge","SJA Taufel","Gulf Giants",5,NA,NA
1346928,6,"Dubai Capitals","MI Emirates","male","2022/23",2023-01-22,"International League T20","13","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","field","R Powell","AG Wharf","LS Reifer","Shiju Sam","RJ Tucker","RS Mahanama","Dubai Capitals",NA,16,NA
1346929,6,"Sharjah Warriors","Gulf Giants","male","2022/23",2023-01-23,"International League T20","14","Dubai International Cricket Stadium","Dubai","Gulf Giants","field","Naveen-ul-Haq","Akbar Ali","RA Kettleborough","RSA Palliyaguruge","MJ Saggers","SJA Taufel","Sharjah Warriors",NA,21,NA
1346930,6,"MI Emirates","Desert Vipers","male","2022/23",2023-01-24,"International League T20","15","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Desert Vipers","field","SE Rutherford","LS Reifer","Shiju Sam","RJ Tucker","AG Wharf","RS Mahanama","Desert Vipers",7,NA,NA
1346932,6,"Dubai Capitals","Sharjah Warriors","male","2022/23",2023-01-26,"International League T20","17","Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","field",NA,"AG Wharf","RJ Tucker","Shiju Sam","LS Reifer","SJA Taufel",NA,NA,NA,"no result"
1346934,6,"Abu Dhabi Knight Riders","Sharjah Warriors","male","2022/23",2023-01-28,"International League T20","19","Dubai International Cricket Stadium","Dubai","Sharjah Warriors","field","Rahmanullah Gurbaz","LS Reifer","RA Kettleborough","AG Wharf","Shiju Sam","SJA Taufel","Sharjah Warriors",4,NA,NA
1346935,6,"Desert Vipers","Dubai Capitals","male","2022/23",2023-01-28,"International League T20","20","Dubai International Cricket Stadium","Dubai","Dubai Capitals","field","A Zampa","MJ Saggers","RJ Tucker","RSA Palliyaguruge","Akbar Ali","RS Mahanama","Desert Vipers",NA,12,NA
1346936,6,"MI Emirates","Desert Vipers","male","2022/23",2023-01-29,"International League T20","21","Sharjah Cricket Stadium","Sharjah","Desert Vipers","field","Waseem Muhammad","AG Wharf","RA Kettleborough","Shiju Sam","LS Reifer","RS Mahanama","MI Emirates",NA,157,NA
1346937,6,"Abu Dhabi Knight Riders","Dubai Capitals","male","2022/23",2023-01-30,"International League T20","22","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Dubai Capitals","field","A Zampa","LS Reifer","RA Kettleborough","AG Wharf","Shiju Sam","SJA Taufel","Dubai Capitals",7,NA,NA
1346938,6,"Desert Vipers","Sharjah Warriors","male","2022/23",2023-01-31,"International League T20","23","Sharjah Cricket Stadium","Sharjah","Desert Vipers","bat","PWH de Silva","MJ Saggers","RJ Tucker","RSA Palliyaguruge","Akbar Ali","RS Mahanama","Desert Vipers",NA,22,NA
1346939,6,"MI Emirates","Gulf Giants","male","2022/23",2023-02-01,"International League T20","24","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Gulf Giants","field","CJ Jordan","MJ Saggers","RJ Tucker","Akbar Ali","RSA Palliyaguruge","RS Mahanama","Gulf Giants",5,NA,NA
1346940,6,"Desert Vipers","Dubai Capitals","male","2022/23",2023-02-02,"International League T20","25","Dubai International Cricket Stadium","Dubai","Dubai Capitals","field","SE Rutherford","AG Wharf","RA Kettleborough","LS Reifer","Shiju Sam","SJA Taufel","Desert Vipers",NA,22,NA
1346941,6,"MI Emirates","Abu Dhabi Knight Riders","male","2022/23",2023-02-03,"International League T20","26","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","field","KA Pollard","Akbar Ali","RSA Palliyaguruge","MJ Saggers","RJ Tucker","RS Mahanama","MI Emirates",NA,18,NA
1346942,6,"Gulf Giants","Desert Vipers","male","2022/23",2023-02-04,"International League T20","27","Dubai International Cricket Stadium","Dubai","Desert Vipers","field","SO Hetmyer","LS Reifer","Shiju Sam","RA Kettleborough","AG Wharf","SJA Taufel","Gulf Giants",NA,25,NA
1346943,6,"Sharjah Warriors","Abu Dhabi Knight Riders","male","2022/23",2023-02-04,"International League T20","28","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","field","JM Clarke","MJ Saggers","RSA Palliyaguruge","Aasif Iqbal","Akbar Ali","RS Mahanama","Abu Dhabi Knight Riders",5,NA,NA
1346944,6,"MI Emirates","Dubai Capitals","male","2022/23",2023-02-05,"International League T20","29","Dubai International Cricket Stadium","Dubai","Dubai Capitals","field","MD Shanaka","AG Wharf","Shiju Sam","LS Reifer","RA Kettleborough","SJA Taufel","Dubai Capitals",7,NA,NA
1346945,6,"Sharjah Warriors","Gulf Giants","male","2022/23",2023-02-06,"International League T20","30","Sharjah Cricket Stadium","Sharjah","Gulf Giants","field","D Wiese","Akbar Ali","MJ Saggers","SJA Taufel","RSA Palliyaguruge","RS Mahanama","Gulf Giants",7,NA,NA
1346946,6,"Desert Vipers","Gulf Giants","male","2022/23",2023-02-08,"International League T20",NA,"Dubai International Cricket Stadium","Dubai","Gulf Giants","field","TK Curran","AG Wharf","RA Kettleborough","Shiju Sam","LS Reifer","RS Mahanama","Desert Vipers",NA,19,NA
1346947,6,"Dubai Capitals","MI Emirates","male","2022/23",2023-02-09,"International League T20",NA,"Sharjah Cricket Stadium","Sharjah","MI Emirates","field","N Pooran","RA Kettleborough","RSA Palliyaguruge","Akbar Ali","MJ Saggers","SJA Taufel","MI Emirates",8,NA,NA
1346948,6,"MI Emirates","Gulf Giants","male","2022/23",2023-02-10,"International League T20",NA,"Dubai International Cricket Stadium","Dubai","Gulf Giants","field","JM Vince","LS Reifer","MJ Saggers","Shiju Sam","AG Wharf","RS Mahanama","Gulf Giants",4,NA,NA
1346949,6,"Desert Vipers","Gulf Giants","male","2022/23",2023-02-12,"International League T20",NA,"Dubai International Cricket Stadium","Dubai","Gulf Giants","field","CR Brathwaite","AG Wharf","RA Kettleborough","RSA Palliyaguruge","LS Reifer","SJA Taufel","Gulf Giants",7,NA,NA
1406889,6,"Gulf Giants","Sharjah Warriors","male","2023/24",2024-01-19,"International League T20","1","Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","field","J Overton","Aleem Dar","SJA Taufel","Aasif Iqbal","P Wilson","SR Bernard","Gulf Giants",NA,31,NA
1406890,6,"MI Emirates","Dubai Capitals","male","2023/24",2024-01-20,"International League T20","2","Dubai International Cricket Stadium","Dubai","Dubai Capitals","field","Sikandar Raza","RJ Tucker","RSA Palliyaguruge","Ahmed Shah Pakteen","LS Reifer","SJA Taufel","Dubai Capitals",7,NA,NA
1406891,6,"Desert Vipers","Abu Dhabi Knight Riders","male","2023/24",2024-01-21,"International League T20","3","Dubai International Cricket Stadium","Dubai","Abu Dhabi Knight Riders","field","AGS Gous","Aasif Iqbal","Aleem Dar","RSA Palliyaguruge","P Wilson","SR Bernard","Abu Dhabi Knight Riders",6,NA,NA
1406892,6,"MI Emirates","Gulf Giants","male","2023/24",2024-01-21,"International League T20","4","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Gulf Giants","field","TH David","Ahmed Shah Pakteen","MJ Saggers","RJ Tucker","LS Reifer","SJA Taufel","MI Emirates",NA,18,NA
1406893,6,"Dubai Capitals","Sharjah Warriors","male","2023/24",2024-01-22,"International League T20","5","Dubai International Cricket Stadium","Dubai","Sharjah Warriors","field","J Charles","Aasif Iqbal","Aleem Dar","RSA Palliyaguruge","P Wilson","SR Bernard","Sharjah Warriors",5,NA,NA
1406894,6,"Abu Dhabi Knight Riders","MI Emirates","male","2023/24",2024-01-23,"International League T20","6","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","field","TA Boult","MJ Saggers","RJ Tucker","Ahmed Shah Pakteen","LS Reifer","SJA Taufel","MI Emirates",9,NA,NA
1406895,6,"Gulf Giants","Desert Vipers","male","2023/24",2024-01-24,"International League T20","7","Dubai International Cricket Stadium","Dubai","Desert Vipers","field","PWH de Silva","Aasif Iqbal","RSA Palliyaguruge","Aleem Dar","P Wilson","SR Bernard","Desert Vipers",6,NA,NA
1406896,6,"Abu Dhabi Knight Riders","Dubai Capitals","male","2023/24",2024-01-25,"International League T20","8","Dubai International Cricket Stadium","Dubai","Dubai Capitals","field","SW Billings","Aleem Dar","Aasif Iqbal","RSA Palliyaguruge","P Wilson","A Barnes","Dubai Capitals",5,NA,NA
1406897,6,"MI Emirates","Sharjah Warriors","male","2023/24",2024-01-26,"International League T20","9","Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","field","AJ Hosein","MJ Saggers","RJ Tucker","Ahmed Shah Pakteen","LS Reifer","SJA Taufel","MI Emirates",NA,106,NA
1406898,6,"Desert Vipers","Abu Dhabi Knight Riders","male","2023/24",2024-01-27,"International League T20","10","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","field","A Sharafu","Aasif Iqbal","Aleem Dar","RSA Palliyaguruge","P Wilson","SR Bernard","Abu Dhabi Knight Riders",6,NA,NA
1406899,6,"Dubai Capitals","Gulf Giants","male","2023/24",2024-01-27,"International League T20","11","Sharjah Cricket Stadium","Sharjah","Dubai Capitals","bat","CR Brathwaite","Ahmed Shah Pakteen","MJ Saggers","RJ Tucker","LS Reifer","SJA Taufel","Gulf Giants",3,NA,NA
