"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Lyth","2022/23","International League T20","Desert Vipers",1,13,13,100,13,1,0,0,0,0,13
"A Sharafu","2022/23","International League T20","Sharjah Warriors",1,2,8,25,2,0,0,0,0,0,2
"A Sharafu","2023/24","International League T20","Abu Dhabi Knight Riders",11,220,183,120.218579234973,22,26,8,1,0,1,82
"A Zampa","2022/23","International League T20","Dubai Capitals",1,14,8,175,Inf,2,0,1,0,0,14
"AAP Atkinson","2022/23","International League T20","Desert Vipers",4,14,13,107.692307692308,14,1,0,3,0,0,7
"AD Hales","2022/23","International League T20","Desert Vipers",12,469,309,151.779935275081,46.9,43,19,2,1,4,110
"AD Hales","2023/24","International League T20","Desert Vipers",10,282,200,141,28.2,18,21,0,0,2,66
"AD Russell","2022/23","International League T20","Abu Dhabi Knight Riders",9,196,129,151.937984496124,21.7777777777778,15,14,0,0,1,57
"AD Russell","2023/24","International League T20","Abu Dhabi Knight Riders",6,192,84,228.571428571429,96,7,19,4,0,0,48
"ADS Fletcher","2022/23","International League T20","MI Emirates",11,303,250,121.2,33.6666666666667,26,10,2,0,3,68
"ADS Fletcher","2023/24","International League T20","MI Emirates",10,260,212,122.641509433962,28.8888888888889,24,11,1,0,1,53
"AGS Gous","2023/24","International League T20","Abu Dhabi Knight Riders",4,112,79,141.772151898734,37.3333333333333,7,7,1,0,1,95
"AJ Hose","2022/23","International League T20","Sharjah Warriors",2,32,27,118.518518518519,16,2,1,0,0,0,17
"AJ Hose","2023/24","International League T20","Desert Vipers",9,147,119,123.529411764706,21,13,4,2,0,0,45
"AJ Hosein","2022/23","International League T20","Abu Dhabi Knight Riders",8,38,64,59.375,7.6,0,2,3,0,0,12
"AJ Hosein","2023/24","International League T20","MI Emirates",4,31,41,75.609756097561,7.75,3,0,0,0,0,24
"AT Rayudu","2023/24","International League T20","MI Emirates",6,101,101,100,16.8333333333333,10,2,0,0,0,44
"AU Rashid","2023/24","International League T20","Sharjah Warriors",2,10,16,62.5,5,0,0,0,0,0,10
"Aayan Afzal Khan","2022/23","International League T20","Gulf Giants",3,15,19,78.9473684210526,7.5,1,1,1,0,0,14
"Aayan Afzal Khan","2023/24","International League T20","Gulf Giants",2,11,18,61.1111111111111,11,0,0,1,0,0,10
"Akif Raja","2022/23","International League T20","Dubai Capitals",1,0,2,0,0,0,0,0,0,0,0
"Akif Raja","2023/24","International League T20","Dubai Capitals",3,6,12,50,3,0,0,1,0,0,3
"Ali Khan","2022/23","International League T20","Abu Dhabi Knight Riders",2,12,24,50,12,0,0,1,0,0,6
"Ali Naseer","2022/23","International League T20","Desert Vipers",2,9,8,112.5,9,1,0,1,0,0,8
"Ali Naseer","2023/24","International League T20","Desert Vipers",4,83,68,122.058823529412,83,6,2,3,0,1,63
"Aryan Lakra","2023/24","International League T20","Desert Vipers",1,4,5,80,Inf,0,0,1,0,0,4
"Azam Khan","2023/24","International League T20","Desert Vipers",7,159,90,176.666666666667,31.8,20,8,2,0,1,50
"BA King","2022/23","International League T20","Abu Dhabi Knight Riders",9,128,119,107.563025210084,16,13,4,1,0,1,57
