"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"CJ Jordan","Gulf Giants","2022/23","International League T20",10,"37.2",1,276,20,13.8,7.39285714285714,11.2,101,0,0,"3/12"
"D Wiese","Gulf Giants","2022/23","International League T20",11,"38.0",0,266,18,14.7777777777778,7,12.6666666666667,101,0,1,"5/20"
"Fazalhaq Farooqi","MI Emirates","2023/24","International League T20",8,"29.0",0,222,17,13.0588235294118,7.6551724137931,10.2352941176471,80,2,0,"4/25"
"Waqar Salamkheil","MI Emirates","2023/24","International League T20",11,"35.4",0,256,17,15.0588235294118,7.17757009345794,12.5882352941176,79,0,0,"3/18"
"TA Boult","MI Emirates","2023/24","International League T20",12,"43.0",0,350,16,21.875,8.13953488372093,16.125,106,0,0,"3/14"
"PWH de Silva","Desert Vipers","2022/23","International League T20",9,"33.0",1,237,15,15.8,7.18181818181818,13.2,88,0,0,"3/13"
"DJ Bravo","MI Emirates","2022/23","International League T20",9,"29.0",0,232,13,17.8461538461538,8,13.3846153846154,59,0,0,"3/25"
"SC Kuggeleijn","Dubai Capitals","2023/24","International League T20",8,"28.5",0,272,13,20.9230769230769,9.43352601156069,13.3076923076923,78,1,0,"4/17"
"Sikandar Raza","Dubai Capitals","2023/24","International League T20",13,"45.0",0,284,13,21.8461538461538,6.31111111111111,20.7692307692308,100,0,0,"3/21"
"PWH de Silva","Desert Vipers","2023/24","International League T20",8,"32.0",0,195,12,16.25,6.09375,16,82,0,0,"3/30"
"AJ Hosein","MI Emirates","2023/24","International League T20",10,"35.0",0,215,12,17.9166666666667,6.14285714285714,17.5,98,1,0,"4/23"
"Mohammad Amir","Desert Vipers","2023/24","International League T20",9,"33.0",0,253,12,21.0833333333333,7.66666666666667,16.5,84,0,0,"3/26"
"DR Sams","Sharjah Warriors","2023/24","International League T20",9,"28.1",1,262,12,21.8333333333333,9.30177514792899,14.0833333333333,68,0,0,"3/28"
"SS Cottrell","Desert Vipers","2022/23","International League T20",11,"39.5",0,267,12,22.25,6.70292887029289,19.9166666666667,124,0,0,"3/14"
"Fazalhaq Farooqi","MI Emirates","2022/23","International League T20",10,"38.1",0,302,12,25.1666666666667,7.91266375545852,19.0833333333333,108,0,0,"3/13"
"TK Curran","Desert Vipers","2022/23","International League T20",10,"37.0",0,322,12,26.8333333333333,8.7027027027027,18.5,82,1,0,"4/31"
"Zuhaib Zubair","Gulf Giants","2023/24","International League T20",8,"22.0",0,173,11,15.7272727272727,7.86363636363636,12,47,1,0,"4/22"
"M Theekshana","Sharjah Warriors","2023/24","International League T20",8,"30.2",0,208,11,18.9090909090909,6.85714285714286,16.5454545454545,73,2,0,"4/15"
"Junaid Siddique","Sharjah Warriors","2022/23","International League T20",10,"30.4",0,230,11,20.9090909090909,7.5,16.7272727272727,93,0,0,"2/4"
"Imad Wasim","Abu Dhabi Knight Riders","2023/24","International League T20",10,"33.1",0,240,11,21.8181818181818,7.23618090452261,18.0909090909091,72,0,0,"2/19"
"Naveen-ul-Haq","Sharjah Warriors","2022/23","International League T20",9,"32.2",0,268,11,24.3636363636364,8.28865979381443,17.6363636363636,84,0,1,"5/38"
"CJ Jordan","Gulf Giants","2023/24","International League T20",11,"35.3",0,296,11,26.9090909090909,8.33802816901408,19.3636363636364,67,0,0,"2/21"
