"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Dananjaya",3,5,12,41.6666666666667,5,0,0,2,0,0,2
"AD Mathews",32,687,560,122.678571428571,27.48,59,24,7,0,3,73
"AD Russell",8,177,91,194.505494505495,29.5,20,11,2,0,1,65
"ADS Fletcher",9,266,202,131.683168316832,38,29,11,2,1,0,102
"AI Ross",9,128,109,117.43119266055,25.6,12,3,4,0,1,52
"AK Perera",15,306,234,130.769230769231,25.5,28,9,3,0,2,74
"Aamer Jamal",2,13,31,41.9354838709677,6.5,0,0,0,0,0,7
"Afif Hossain",3,71,54,131.481481481481,23.6666666666667,7,1,0,0,1,54
"Aftab Alam",1,1,6,16.6666666666667,Inf,0,0,1,0,0,1
"Ahmed Shehzad",3,80,77,103.896103896104,26.6666666666667,11,1,0,0,1,56
"Ahsan Ali",7,117,96,121.875,19.5,18,1,1,0,1,56
"Al-Amin Hossain",1,0,2,0,0,0,0,0,0,0,0
"Anwar Ali",6,50,41,121.951219512195,10,4,2,1,0,0,21
"Asad Shafiq",5,106,71,149.295774647887,21.2,13,3,0,0,1,58
"Asif Ali",9,107,77,138.961038961039,15.2857142857143,7,6,2,0,0,33
"Azam Khan",14,245,162,151.234567901235,20.4166666666667,21,17,2,0,1,55
"B Fernando",6,37,34,108.823529411765,37,3,1,5,0,0,11
"BAC Howell",6,77,41,187.80487804878,19.25,8,3,2,0,0,43
"BKG Mendis",36,1066,802,132.917705735661,31.3529411764706,97,42,2,0,8,87
"BOP Fernando",2,10,9,111.111111111111,5,0,1,0,0,0,10
"BR Dunk",5,70,62,112.903225806452,14,7,1,0,0,0,38
"BR McDermott",2,106,69,153.623188405797,106,7,6,1,0,1,69
"BRM Taylor",6,144,111,129.72972972973,28.8,17,5,1,0,1,51
"Babar Azam",8,261,197,132.48730964467,32.625,25,7,0,1,1,104
"C Karunaratne",24,364,257,141.634241245136,33.0909090909091,30,14,13,0,1,75
"C Wickramasinghe",1,2,5,40,2,0,0,0,0,0,2
"C Wijesinghe",1,6,7,85.7142857142857,Inf,0,0,1,0,0,6
"CA Lynn",3,50,49,102.040816326531,16.6666666666667,8,1,0,0,0,27
"CAK Rajitha",10,21,45,46.6666666666667,7,1,0,7,0,0,10
"CAK Walton",4,57,42,135.714285714286,14.25,2,4,0,0,0,31
"CBRLS Kumara",8,18,26,69.2307692307692,6,1,1,5,0,0,10
"CJ Bowes",2,35,41,85.3658536585366,35,3,0,1,0,0,22
"CR Brathwaite",7,58,48,120.833333333333,14.5,4,2,3,0,0,20
"D Lakshan",13,143,124,115.322580645161,15.8888888888889,14,3,4,0,0,31
"D Madushanka",3,19,34,55.8823529411765,9.5,1,1,1,0,0,12
"D Olivier",1,4,4,100,Inf,0,0,1,0,0,4
"D Wiese",1,22,16,137.5,22,0,2,0,0,0,22
