"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"PWH de Silva",40,"144.0",3,859,57,15.0701754385965,5.96527777777778,15.1578947368421,376,2,1,"6/9"
"N Pradeep",30,"100.3",1,945,44,21.4772727272727,9.40298507462687,13.7045454545455,232,0,0,"3/21"
"N Thushara",29,"101.3",1,807,41,19.6829268292683,7.95073891625616,14.8536585365854,258,1,1,"5/13"
"M Theekshana",28,"110.0",1,743,33,22.5151515151515,6.75454545454545,20,262,1,0,"4/25"
"CAK Rajitha",24,"75.1",1,562,31,18.1290322580645,7.47671840354767,14.5483870967742,212,2,1,"5/22"
"B Fernando",21,"72.4",4,543,28,19.3928571428571,7.47247706422018,15.5714285714286,197,1,0,"4/22"
"I Udana",32,"97.5",0,831,26,31.9615384615385,8.49403747870528,22.5769230769231,228,0,0,"3/25"
"SR Patel",18,"64.4",0,428,23,18.6086956521739,6.61855670103093,16.8695652173913,164,0,0,"3/13"
"Naveen-ul-Haq",18,"64.5",0,519,23,22.5652173913043,8.00514138817481,16.9130434782609,144,0,0,"3/27"
"Noor Ahmad",23,"87.1",0,574,23,24.9565217391304,6.58508604206501,22.7391304347826,238,0,0,"3/27"
"RAS Lakmal",24,"70.2",0,584,23,25.3913043478261,8.30331753554503,18.3478260869565,172,0,0,"3/23"
"PVD Chameera",21,"72.5",0,636,23,27.6521739130435,8.73226544622426,19,171,1,0,"4/35"
"JDF Vandersay",16,"55.0",2,405,22,18.4090909090909,7.36363636363636,15,132,0,1,"6/25"
"V Viyaskanth",18,"61.0",0,426,22,19.3636363636364,6.98360655737705,16.6363636363636,131,0,0,"3/24"
"S Prasanna",24,"65.4",0,460,22,20.9090909090909,7.00507614213198,17.9090909090909,146,0,0,"3/14"
"D Lakshan",14,"41.0",0,370,19,19.4736842105263,9.02439024390244,12.9473684210526,92,0,0,"3/36"
"CBRLS Kumara",16,"49.4",2,445,19,23.4210526315789,8.95973154362416,15.6842105263158,130,1,0,"4/36"
"CR Brathwaite",8,"26.0",2,178,18,9.88888888888889,6.84615384615385,8.66666666666667,74,2,0,"4/14"
"Wahab Riaz",14,"49.4",1,434,17,25.5294117647059,8.73825503355705,17.5294117647059,124,1,0,"4/26"
"Mohammad Amir",16,"57.3",2,446,17,26.2352941176471,7.75652173913043,20.2941176470588,167,0,1,"5/26"
"DM de Silva",23,"63.2",2,461,17,27.1176470588235,7.27894736842105,22.3529411764706,131,1,0,"4/6"
"PADLR Sandakan",17,"59.0",0,504,17,29.6470588235294,8.54237288135593,20.8235294117647,93,0,0,"3/32"
"DN Wellalage",15,"43.0",0,258,16,16.125,6,16.125,112,1,0,"4/10"
"PC de Silva",21,"51.2",1,352,16,22,6.85714285714286,19.25,134,1,0,"4/16"
"C Karunaratne",22,"61.4",0,566,16,35.375,9.17837837837838,23.125,130,1,0,"4/11"
"JNT Seales",6,"20.2",2,159,15,10.6,7.81967213114754,8.13333333333333,57,1,0,"4/13"
"Imran Tahir",9,"35.0",0,210,15,14,6,14,96,0,0,"3/20"
"NLTC Perera",26,"54.1",0,438,15,29.2,8.08615384615385,21.6666666666667,129,0,0,"2/9"
"RTM Mendis",18,"46.2",0,366,14,26.1428571428571,7.89928057553957,19.8571428571429,97,0,0,"3/21"
"Anwar Ali",9,"25.3",0,273,13,21,10.7058823529412,11.7692307692308,47,0,0,"3/37"
"Qais Ahmad",9,"30.0",0,195,12,16.25,6.5,15,76,0,0,"3/24"
"M Pathirana",8,"27.3",0,241,12,20.0833333333333,8.76363636363636,13.75,61,0,0,"3/24"
"T Shamsi",9,"33.0",0,255,12,21.25,7.72727272727273,16.5,82,1,0,"4/20"
"AD Mathews",20,"40.1",0,284,12,23.6666666666667,7.07053941908714,20.0833333333333,120,0,0,"3/10"
"N Vimukthi",7,"22.0",1,131,11,11.9090909090909,5.95454545454545,12,68,0,0,"3/24"
"Shoaib Malik",17,"38.3",0,250,11,22.7272727272727,6.49350649350649,21,85,0,0,"2/4"
"DAS Gunaratne",10,"33.0",1,273,11,24.8181818181818,8.27272727272727,18,63,0,0,"2/20"
"D Madushanka",10,"32.4",0,295,11,26.8181818181818,9.03061224489796,17.8181818181818,78,0,0,"2/18"
