"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"LJ Evans",2020-12-10,"Colombo Kings","Jaffna Stallions",1,108,65,9,5,166.153846153846,TRUE,"Lanka Premier League","2020/21",1238769,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Colombo Kings","Jaffna Stallions","Jaffna Stallions","field","LJ Evans","Colombo Kings",NA,"6"
"Babar Azam",2023-08-07,"Colombo Strikers","Galle Titans",2,104,59,8,5,176.271186440678,FALSE,"Lanka Premier League","2023",1382887,"Pallekele International Cricket Stadium","Kandy","Galle Titans","Colombo Strikers","Colombo Strikers","field","Babar Azam","Colombo Strikers","7",NA
"MDKJ Perera",2024-07-03,"Dambulla Sixers","Jaffna Kings",1,102,52,10,5,196.153846153846,TRUE,"Lanka Premier League","2024",1428462,"Pallekele International Cricket Stadium","Kandy","Dambulla Sixers","Jaffna Kings","Jaffna Kings","field","WIA Fernando","Jaffna Kings","4",NA
"ADS Fletcher",2022-12-06,"Kandy Falcons","Colombo Stars",1,102,67,11,3,152.238805970149,TRUE,"Lanka Premier League","2022/23",1324520,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Kandy Falcons","Colombo Stars","Colombo Stars","field","ADS Fletcher","Kandy Falcons",NA,"109"
"WIA Fernando",2021-12-21,"Jaffna Kings","Dambulla Giants",1,100,64,10,4,156.25,FALSE,"Lanka Premier League","2021/22",1291217,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Kings","Dambulla Giants","Dambulla Giants","field","WIA Fernando","Jaffna Kings",NA,"23"
"NLTC Perera",2020-11-30,"Jaffna Stallions","Dambulla Viiking",1,97,44,8,7,220.454545454545,TRUE,"Lanka Premier League","2020/21",1238756,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Stallions","Dambulla Viiking","Dambulla Viiking","field","NLTC Perera","Jaffna Stallions",NA,"66"
"MD Gunathilaka",2020-12-10,"Galle Gladiators","Kandy Tuskers",2,94,66,12,4,142.424242424242,TRUE,"Lanka Premier League","2020/21",1238770,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Kandy Tuskers","Galle Gladiators","Galle Gladiators","field","MD Gunathilaka","Galle Gladiators","9",NA
"T Kohler-Cadmore",2021-12-16,"Jaffna Kings","Colombo Stars",1,92,55,5,8,167.272727272727,FALSE,"Lanka Premier League","2021/22",1291211,"R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","Colombo Stars","Jaffna Kings","bat","T Kohler-Cadmore","Jaffna Kings",NA,"102"
"WIA Fernando",2020-11-27,"Jaffna Stallions","Galle Gladiators",2,92,63,5,7,146.031746031746,TRUE,"Lanka Premier League","2020/21",1238753,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","Jaffna Stallions","Galle Gladiators","bat","WIA Fernando","Jaffna Stallions","8",NA
"MS Chapman",2024-07-01,"Dambulla Sixers","Kandy Falcons",1,91,61,8,4,149.180327868852,TRUE,"Lanka Premier League","2024",1428459,"Pallekele International Cricket Stadium","Kandy","Dambulla Sixers","Kandy Falcons","Kandy Falcons","field","MD Shanaka","Kandy Falcons","6",NA
