"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"PWH de Silva",2023-08-17,"Jaffna Kings","B-Love Kandy",2,"3.2",0,9,6,2.7,12,"Lanka Premier League","2023",1382899,"R Premadasa Stadium, Colombo","Colombo","B-Love Kandy","Jaffna Kings","Jaffna Kings","field","PWH de Silva","B-Love Kandy",NA,"61"
"JDF Vandersay",2021-12-17,"Kandy Warriors","Colombo Stars",2,"4.0",1,25,6,6.25,16,"Lanka Premier League","2021/22",1291214,"R Premadasa Stadium, Colombo","Colombo","Colombo Stars","Kandy Warriors","Kandy Warriors","field","JDF Vandersay","Colombo Stars",NA,"58"
"N Thushara",2021-12-19,"Jaffna Kings","Galle Gladiators",2,"3.5",0,13,5,3.39130434782609,14,"Lanka Premier League","2021/22",1291216,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","Jaffna Kings","Jaffna Kings","field","BKG Mendis","Galle Gladiators",NA,"64"
"CAK Rajitha",2022-12-14,"Dambulla Aura","Colombo Stars",1,"4.0",0,22,5,5.5,15,"Lanka Premier League","2022/23",1324532,"Pallekele International Cricket Stadium","Kandy","Dambulla Aura","Colombo Stars","Colombo Stars","field","CAK Rajitha","Colombo Stars","9",NA
"Mohammad Amir",2020-12-07,"Colombo Kings","Galle Gladiators",1,"4.0",0,26,5,6.5,14,"Lanka Premier League","2020/21",1238765,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Colombo Kings","Galle Gladiators","Colombo Kings","bat","Mohammad Amir","Galle Gladiators","8",NA
"DM de Silva",2023-08-14,"B-Love Kandy","Dambulla Aura",2,"2.0",0,6,4,3,6,"Lanka Premier League","2023",1382896,"R Premadasa Stadium, Colombo","Colombo","Dambulla Aura","B-Love Kandy","B-Love Kandy","field","DM de Silva","Dambulla Aura",NA,"20"
"DN Wellalage",2023-08-04,"Galle Titans","Jaffna Kings",1,"4.0",0,10,4,2.5,17,"Lanka Premier League","2023",1382884,"Pallekele International Cricket Stadium","Kandy","Galle Titans","Jaffna Kings","Galle Titans","bat","DN Wellalage","Jaffna Kings","8",NA
"C Karunaratne",2022-12-17,"Colombo Stars","Kandy Falcons",1,"3.1",0,11,4,3.47368421052632,11,"Lanka Premier League","2022/23",1324534,"R Premadasa Stadium, Colombo","Colombo","Colombo Stars","Kandy Falcons","Colombo Stars","bat","C Karunaratne","Kandy Falcons","9",NA
"MW Forde",2022-12-19,"Galle Gladiators","Dambulla Aura",1,"4.0",0,11,4,2.75,16,"Lanka Premier League","2022/23",1324538,"R Premadasa Stadium, Colombo","Colombo","Galle Gladiators","Dambulla Aura","Galle Gladiators","bat","MW Forde","Dambulla Aura","4",NA
"JNT Seales",2021-12-16,"Colombo Stars","Jaffna Kings",2,"2.5",1,13,4,4.58823529411765,13,"Lanka Premier League","2021/22",1291211,"R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","Colombo Stars","Jaffna Kings","bat","T Kohler-Cadmore","Jaffna Kings",NA,"102"
"CR Brathwaite",2022-12-07,"Galle Gladiators","Kandy Falcons",1,"4.0",1,14,4,3.5,16,"Lanka Premier League","2022/23",1324522,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","Kandy Falcons","Galle Gladiators","bat","CR Brathwaite","Kandy Falcons","5",NA
"PWH de Silva",2022-12-06,"Colombo Stars","Kandy Falcons",2,"3.0",0,14,4,4.66666666666667,9,"Lanka Premier League","2022/23",1324520,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Kandy Falcons","Colombo Stars","Colombo Stars","field","ADS Fletcher","Kandy Falcons",NA,"109"
"PC de Silva",2021-12-13,"Dambulla Giants","Jaffna Kings",1,"4.0",1,16,4,4,17,"Lanka Premier League","2021/22",1291208,"R Premadasa Stadium, Colombo","Colombo","Dambulla Giants","Jaffna Kings","Jaffna Kings","field","PC de Silva","Jaffna Kings","7",NA
"PWH de Silva",2023-08-08,"Galle Titans","B-Love Kandy",2,"3.4",0,17,4,4.63636363636364,11,"Lanka Premier League","2023",1382889,"Pallekele International Cricket Stadium","Kandy","B-Love Kandy","Galle Titans","Galle Titans","field","PWH de Silva","B-Love Kandy",NA,"89"
"CR Brathwaite",2022-12-14,"Jaffna Kings","Kandy Falcons",2,"4.0",0,18,4,4.5,10,"Lanka Premier League","2022/23",1324531,"Pallekele International Cricket Stadium","Kandy","Kandy Falcons","Jaffna Kings","Kandy Falcons","bat","FA Allen","Kandy Falcons",NA,"10"
"CAK Rajitha",2022-12-22,"Kandy Falcons","Colombo Stars",1,"4.0",0,20,4,5,12,"Lanka Premier League","2022/23",1324541,"R Premadasa Stadium, Colombo","Colombo","Kandy Falcons","Colombo Stars","Colombo Stars","field","CAK Rajitha","Colombo Stars","6",NA
"CAK Rajitha",2023-08-13,"Jaffna Kings","Galle Titans",1,"4.0",0,20,4,5,16,"Lanka Premier League","2023",1382894,"R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","Galle Titans","Jaffna Kings","bat","CAK Rajitha","Galle Titans","7",NA
"DN Wellalage",2024-07-02,"Kandy Falcons","Colombo Strikers",2,"3.5",0,20,4,5.21739130434783,18,"Lanka Premier League","2024",1428461,"Pallekele International Cricket Stadium","Kandy","Colombo Strikers","Kandy Falcons","Kandy Falcons","field","Shadab Khan","Colombo Strikers",NA,"51"
"T Shamsi",2023-08-15,"Colombo Strikers","Galle Titans",1,"4.0",0,20,4,5,11,"Lanka Premier League","2023",1382897,"R Premadasa Stadium, Colombo","Colombo","Colombo Strikers","Galle Titans","Galle Titans","field","T Shamsi","Galle Titans","8",NA
"Shadab Khan",2024-07-03,"Galle Marvels","Colombo Strikers",1,"4.0",0,21,4,5.25,14,"Lanka Premier League","2024",1428463,"Pallekele International Cricket Stadium","Kandy","Galle Marvels","Colombo Strikers","Colombo Strikers","field","I Udana","Galle Marvels",NA,"7"
