"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","method","winner_wickets","outcome","eliminator"
1238752,6,"Kandy Tuskers","Colombo Kings","male","2020/21",2020-11-26,"Lanka Premier League","1","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Colombo Kings","field","LD Chandimal","LE Hannibal","RR Wimalasiri","RMPJ Rambukwella","RSA Palliyaguruge","GF Labrooy",NA,NA,NA,NA,"tie","Colombo Kings"
1238753,6,"Galle Gladiators","Jaffna Stallions","male","2020/21",2020-11-27,"Lanka Premier League","2","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","bat","WIA Fernando","ID Gunawardene","LE Hannibal","Keerthi Bandara","RMPJ Rambukwella","WC Labrooy","Jaffna Stallions",NA,NA,8,NA,NA
1238754,6,"Dambulla Viiking","Kandy Tuskers","male","2020/21",2020-11-28,"Lanka Premier League","3","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Kandy Tuskers","field","MD Shanaka","JWHD Boteju","RR Wimalasiri","RA Kottahachchi","RSA Palliyaguruge","BCMS Mendis","Dambulla Viiking",4,"D/L",NA,NA,NA
1238755,6,"Colombo Kings","Galle Gladiators","male","2020/21",2020-11-28,"Lanka Premier League","4","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","field","AD Russell","RMPJ Rambukwella","RD Kottahachchi","EJAPAM Jayasooriya","LE Hannibal","GF Labrooy","Colombo Kings",34,NA,NA,NA,NA
1238756,6,"Jaffna Stallions","Dambulla Viiking","male","2020/21",2020-11-30,"Lanka Premier League","5","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Dambulla Viiking","field","NLTC Perera","Keerthi Bandara","RR Wimalasiri","ID Gunawardene","RSA Palliyaguruge","WC Labrooy","Jaffna Stallions",66,NA,NA,NA,NA
1238757,6,"Kandy Tuskers","Galle Gladiators","male","2020/21",2020-11-30,"Lanka Premier League","6","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","field","BRM Taylor","LE Hannibal","RA Kottahachchi","JWHD Boteju","RMPJ Rambukwella","BCMS Mendis","Kandy Tuskers",25,NA,NA,NA,NA
1238758,6,"Dambulla Viiking","Colombo Kings","male","2020/21",2020-12-01,"Lanka Premier League","7","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Dambulla Viiking","bat","MD Shanaka","ID Gunawardene","RSA Palliyaguruge","RD Kottahachchi","RR Wimalasiri","GF Labrooy","Dambulla Viiking",28,NA,NA,NA,NA
1238759,6,"Jaffna Stallions","Kandy Tuskers","male","2020/21",2020-12-01,"Lanka Premier League","8","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Stallions","bat","NLTC Perera","EJAPAM Jayasooriya","RMPJ Rambukwella","Keerthi Bandara","LE Hannibal","WC Labrooy","Jaffna Stallions",54,NA,NA,NA,NA
1238760,6,"Galle Gladiators","Jaffna Stallions","male","2020/21",2020-12-03,"Lanka Premier League","9","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","bat","WIA Fernando","JWHD Boteju","RSA Palliyaguruge","RA Kottahachchi","RR Wimalasiri","BCMS Mendis","Jaffna Stallions",NA,NA,5,NA,NA
1238761,6,"Kandy Tuskers","Dambulla Viiking","male","2020/21",2020-12-03,"Lanka Premier League","10","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Kandy Tuskers","bat","AK Perera","LE Hannibal","RD Kottahachchi","EJAPAM Jayasooriya","RMPJ Rambukwella","GF Labrooy","Dambulla Viiking",NA,NA,5,NA,NA
1238762,6,"Jaffna Stallions","Colombo Kings","male","2020/21",2020-12-04,"Lanka Premier League","11","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Colombo Kings","field","LD Chandimal","Keerthi Bandara","RR Wimalasiri","ID Gunawardene","RSA Palliyaguruge","WC Labrooy","Colombo Kings",NA,NA,6,NA,NA
1238763,6,"Dambulla Viiking","Galle Gladiators","male","2020/21",2020-12-05,"Lanka Premier League","12","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Dambulla Viiking","bat","Anwar Ali","EJAPAM Jayasooriya","RMPJ Rambukwella","RD Kottahachchi","RR Wimalasiri","BCMS Mendis","Dambulla Viiking",9,NA,NA,NA,NA
1238764,6,"Kandy Tuskers","Colombo Kings","male","2020/21",2020-12-05,"Lanka Premier League","13","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Kandy Tuskers","bat","PVD Chameera","RA Kottahachchi","RSA Palliyaguruge","JWHD Boteju","LE Hannibal","GF Labrooy","Colombo Kings",NA,NA,7,NA,NA
1238765,6,"Colombo Kings","Galle Gladiators","male","2020/21",2020-12-07,"Lanka Premier League","14","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Colombo Kings","bat","Mohammad Amir","ID Gunawardene","LE Hannibal","Keerthi Bandara","RMPJ Rambukwella","WC Labrooy","Galle Gladiators",NA,NA,8,NA,NA
1238766,6,"Dambulla Viiking","Jaffna Stallions","male","2020/21",2020-12-07,"Lanka Premier League","15","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Stallions","field",NA,"EJAPAM Jayasooriya","RR Wimalasiri","RD Kottahachchi","RSA Palliyaguruge","BCMS Mendis",NA,NA,NA,NA,"no result",NA
1238767,6,"Jaffna Stallions","Kandy Tuskers","male","2020/21",2020-12-09,"Lanka Premier League","16","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Stallions","bat","DAS Gunaratne","RMPJ Rambukwella","RD Kottahachchi","EJAPAM Jayasooriya","RR Wimalasiri","GF Labrooy","Kandy Tuskers",NA,NA,6,NA,NA
1238768,6,"Galle Gladiators","Dambulla Viiking","male","2020/21",2020-12-09,"Lanka Premier League","17","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Dambulla Viiking","field","Samiullah Shenwari","RA Kottahachchi","RSA Palliyaguruge","JWHD Boteju","LE Hannibal","WC Labrooy","Dambulla Viiking",NA,NA,4,NA,NA
1238769,6,"Colombo Kings","Jaffna Stallions","male","2020/21",2020-12-10,"Lanka Premier League","18","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Stallions","field","LJ Evans","Keerthi Bandara","LE Hannibal","ID Gunawardene","RMPJ Rambukwella","BCMS Mendis","Colombo Kings",6,NA,NA,NA,NA
1238770,6,"Kandy Tuskers","Galle Gladiators","male","2020/21",2020-12-10,"Lanka Premier League","19","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","field","MD Gunathilaka","JWHD Boteju","HDPK Dharmasena","RA Kottahachchi","RSA Palliyaguruge","RS Madugalle","Galle Gladiators",NA,NA,9,NA,NA
1238771,6,"Dambulla Viiking","Colombo Kings","male","2020/21",2020-12-11,"Lanka Premier League","20","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Colombo Kings","field","Qais Ahmad","HDPK Dharmasena","RMPJ Rambukwella","LE Hannibal","RR Wimalasiri","RS Madugalle","Colombo Kings",NA,NA,6,NA,NA
1238772,6,"Colombo Kings","Galle Gladiators","male","2020/21",2020-12-13,"Lanka Premier League",NA,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Galle Gladiators","field","D Lakshan","HDPK Dharmasena","RR Wimalasiri","RMPJ Rambukwella","RSA Palliyaguruge","RS Madugalle","Galle Gladiators",NA,NA,2,NA,NA
1238773,6,"Jaffna Stallions","Dambulla Viiking","male","2020/21",2020-12-14,"Lanka Premier League",NA,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Dambulla Viiking","field","J Charles","LE Hannibal","RSA Palliyaguruge","RR Wimalasiri","HDPK Dharmasena","RS Madugalle","Jaffna Stallions",37,NA,NA,NA,NA
1238774,6,"Jaffna Stallions","Galle Gladiators","male","2020/21",2020-12-16,"Lanka Premier League",NA,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","Jaffna Stallions","bat","Shoaib Malik","HDPK Dharmasena","RSA Palliyaguruge","RR Wimalasiri","LE Hannibal","RS Madugalle","Jaffna Stallions",53,NA,NA,NA,NA
