"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Dananjaya","2020/21","Lanka Premier League","Galle Gladiators",1,2,3,66.6666666666667,Inf,0,0,1,0,0,2
"A Dananjaya","2021/22","Lanka Premier League","Colombo Stars",1,2,1,200,Inf,0,0,1,0,0,2
"A Dananjaya","2023","Lanka Premier League","Galle Titans",1,1,8,12.5,1,0,0,0,0,0,1
"AD Mathews","2020/21","Lanka Premier League","Colombo Kings",8,73,81,90.1234567901235,10.4285714285714,6,2,1,0,0,22
"AD Mathews","2021/22","Lanka Premier League","Colombo Stars",5,191,149,128.187919463087,47.75,17,8,1,0,2,73
"AD Mathews","2022/23","Lanka Premier League","Colombo Stars",9,213,173,123.121387283237,35.5,19,7,3,0,1,73
"AD Mathews","2023","Lanka Premier League","B-Love Kandy",10,210,157,133.757961783439,26.25,17,7,2,0,0,40
"AD Russell","2020/21","Lanka Premier League","Colombo Kings",8,177,91,194.505494505495,29.5,20,11,2,0,1,65
"ADS Fletcher","2022/23","Lanka Premier League","Kandy Falcons",9,266,202,131.683168316832,38,29,11,2,1,0,102
"AI Ross","2023","Lanka Premier League","Dambulla Aura",9,128,109,117.43119266055,25.6,12,3,4,0,1,52
"AK Perera","2020/21","Lanka Premier League","Dambulla Viiking",7,227,160,141.875,45.4,20,8,2,0,2,74
"AK Perera","2021/22","Lanka Premier League","Kandy Warriors",7,78,72,108.333333333333,13,8,1,1,0,0,29
"AK Perera","2023","Lanka Premier League","Colombo Strikers",1,1,2,50,1,0,0,0,0,0,1
"Aamer Jamal","2023","Lanka Premier League","B-Love Kandy",2,13,31,41.9354838709677,6.5,0,0,0,0,0,7
"Afif Hossain","2022/23","Lanka Premier League","Jaffna Kings",3,71,54,131.481481481481,23.6666666666667,7,1,0,0,1,54
"Aftab Alam","2020/21","Lanka Premier League","Dambulla Viiking",1,1,6,16.6666666666667,Inf,0,0,1,0,0,1
"Ahmed Shehzad","2021/22","Lanka Premier League","Kandy Warriors",3,80,77,103.896103896104,26.6666666666667,11,1,0,0,1,56
"Ahsan Ali","2020/21","Lanka Premier League","Galle Gladiators",7,117,96,121.875,19.5,18,1,1,0,1,56
"Al-Amin Hossain","2021/22","Lanka Premier League","Kandy Warriors",1,0,2,0,0,0,0,0,0,0,0
"Anwar Ali","2020/21","Lanka Premier League","Dambulla Viiking",4,37,32,115.625,12.3333333333333,2,2,1,0,0,21
"Anwar Ali","2021/22","Lanka Premier League","Galle Gladiators",1,12,7,171.428571428571,12,2,0,0,0,0,12
"Anwar Ali","2022/23","Lanka Premier League","Galle Gladiators",1,1,2,50,1,0,0,0,0,0,1
"Asad Shafiq","2022/23","Lanka Premier League","Galle Gladiators",5,106,71,149.295774647887,21.2,13,3,0,0,1,58
"Asif Ali","2023","Lanka Premier League","B-Love Kandy",9,107,77,138.961038961039,15.2857142857143,7,6,2,0,0,33
"Azam Khan","2020/21","Lanka Premier League","Galle Gladiators",9,215,115,186.95652173913,30.7142857142857,19,16,2,0,1,55
"Azam Khan","2022/23","Lanka Premier League","Galle Gladiators",5,30,47,63.8297872340426,6,2,1,0,0,0,15
"B Fernando","2020/21","Lanka Premier League","Jaffna Stallions",2,19,21,90.4761904761905,19,1,1,1,0,0,11
"B Fernando","2021/22","Lanka Premier League","Kandy Warriors",1,9,6,150,Inf,1,0,1,0,0,9
"B Fernando","2022/23","Lanka Premier League","Jaffna Kings",2,7,5,140,Inf,1,0,2,0,0,4
"B Fernando","2023","Lanka Premier League","Dambulla Aura",1,2,2,100,Inf,0,0,1,0,0,2
"BAC Howell","2022/23","Lanka Premier League","Colombo Stars",6,77,41,187.80487804878,19.25,8,3,2,0,0,43
"BKG Mendis","2020/21","Lanka Premier League","Kandy Tuskers",8,263,188,139.893617021277,37.5714285714286,18,17,1,0,2,68
"BKG Mendis","2021/22","Lanka Premier League","Galle Gladiators",10,327,220,148.636363636364,36.3333333333333,32,9,1,0,2,85
"BKG Mendis","2022/23","Lanka Premier League","Galle Gladiators",9,256,209,122.488038277512,28.4444444444444,27,7,0,0,3,72
"BKG Mendis","2023","Lanka Premier League","Dambulla Aura",9,220,185,118.918918918919,24.4444444444444,20,9,0,0,1,87
"BOP Fernando","2020/21","Lanka Premier League","Dambulla Viiking",1,10,8,125,10,0,1,0,0,0,10
"BOP Fernando","2022/23","Lanka Premier League","Galle Gladiators",1,0,1,0,0,0,0,0,0,0,0
"BR Dunk","2021/22","Lanka Premier League","Galle Gladiators",5,70,62,112.903225806452,14,7,1,0,0,0,38
"BR McDermott","2023","Lanka Premier League","Dambulla Aura",2,106,69,153.623188405797,106,7,6,1,0,1,69
"BRM Taylor","2020/21","Lanka Premier League","Kandy Tuskers",6,144,111,129.72972972973,28.8,17,5,1,0,1,51
"Babar Azam","2023","Lanka Premier League","Colombo Strikers",8,261,197,132.48730964467,32.625,25,7,0,1,1,104
"C Karunaratne","2021/22","Lanka Premier League","Dambulla Giants",10,156,117,133.333333333333,31.2,17,4,5,0,1,75
"C Karunaratne","2022/23","Lanka Premier League","Kandy Falcons",6,109,67,162.686567164179,54.5,7,5,4,0,0,32
"C Karunaratne","2023","Lanka Premier League","Colombo Strikers",8,99,73,135.616438356164,24.75,6,5,4,0,0,23
"C Wickramasinghe","2022/23","Lanka Premier League","Dambulla Aura",1,2,5,40,2,0,0,0,0,0,2
"C Wijesinghe","2022/23","Lanka Premier League","Kandy Falcons",1,6,7,85.7142857142857,Inf,0,0,1,0,0,6
"CA Lynn","2023","Lanka Premier League","Jaffna Kings",3,50,49,102.040816326531,16.6666666666667,8,1,0,0,0,27
"CAK Rajitha","2020/21","Lanka Premier League","Dambulla Viiking",1,2,11,18.1818181818182,2,0,0,0,0,0,2
"CAK Rajitha","2022/23","Lanka Premier League","Colombo Stars",4,4,7,57.1428571428571,Inf,0,0,4,0,0,1
"CAK Rajitha","2023","Lanka Premier League","Galle Titans",5,15,27,55.5555555555556,7.5,1,0,3,0,0,10
"CAK Walton","2020/21","Lanka Premier League","Galle Gladiators",4,57,42,135.714285714286,14.25,2,4,0,0,0,31
"CBRLS Kumara","2020/21","Lanka Premier League","Dambulla Viiking",2,1,5,20,1,0,0,1,0,0,1
"CBRLS Kumara","2021/22","Lanka Premier League","Kandy Warriors",2,5,3,166.666666666667,Inf,1,0,2,0,0,5
"CBRLS Kumara","2022/23","Lanka Premier League","Dambulla Aura",2,2,8,25,2,0,0,1,0,0,1
"CBRLS Kumara","2023","Lanka Premier League","Galle Titans",2,10,10,100,10,0,1,1,0,0,10
"CJ Bowes","2023","Lanka Premier League","Galle Titans",2,35,41,85.3658536585366,35,3,0,1,0,0,22
"CR Brathwaite","2022/23","Lanka Premier League","Kandy Falcons",7,58,48,120.833333333333,14.5,4,2,3,0,0,20
"D Lakshan","2020/21","Lanka Premier League","Galle Gladiators",5,77,61,126.229508196721,38.5,7,2,3,0,0,31
"D Lakshan","2021/22","Lanka Premier League","Galle Gladiators",5,35,33,106.060606060606,8.75,4,0,1,0,0,14
"D Lakshan","2022/23","Lanka Premier League","Colombo Stars",1,1,4,25,1,0,0,0,0,0,1
"D Lakshan","2023","Lanka Premier League","Colombo Strikers",2,30,26,115.384615384615,15,3,1,0,0,0,18
"D Madushanka","2022/23","Lanka Premier League","Jaffna Kings",1,7,4,175,7,0,1,0,0,0,7
"D Madushanka","2023","Lanka Premier League","Jaffna Kings",2,12,30,40,12,1,0,1,0,0,12
"D Olivier","2020/21","Lanka Premier League","Jaffna Stallions",1,4,4,100,Inf,0,0,1,0,0,4
"D Wiese","2021/22","Lanka Premier League","Colombo Stars",1,22,16,137.5,22,0,2,0,0,0,22
"DA Miller","2023","Lanka Premier League","Jaffna Kings",8,100,96,104.166666666667,16.6666666666667,10,2,2,0,0,26
"DA Randika","2021/22","Lanka Premier League","Jaffna Kings",1,16,9,177.777777777778,16,1,1,0,0,0,16
"DA Randika","2022/23","Lanka Premier League","Jaffna Kings",2,31,15,206.666666666667,31,3,2,1,0,0,27
"DAS Gunaratne","2020/21","Lanka Premier League","Kandy Tuskers",8,168,119,141.176470588235,42,19,2,4,0,1,52
"DAS Gunaratne","2021/22","Lanka Premier League","Kandy Warriors",2,24,30,80,12,1,0,0,0,0,17
"DAS Gunaratne","2023","Lanka Premier League","Jaffna Kings",2,7,10,70,3.5,1,0,0,0,0,7
"DC Drakes","2022/23","Lanka Premier League","Colombo Stars",7,92,71,129.577464788732,13.1428571428571,10,3,0,0,0,38
"DC Thomas","2021/22","Lanka Premier League","Kandy Warriors",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"DJ Bell-Drummond","2020/21","Lanka Premier League","Colombo Kings",6,151,128,117.96875,25.1666666666667,13,6,0,0,1,70
"DM de Silva","2020/21","Lanka Premier League","Jaffna Stallions",6,118,77,153.246753246753,23.6,10,5,1,0,1,61
"DM de Silva","2021/22","Lanka Premier League","Colombo Stars",8,147,128,114.84375,21,18,1,1,0,0,40
"DM de Silva","2022/23","Lanka Premier League","Jaffna Kings",4,58,50,116,14.5,6,3,0,0,0,29
"DM de Silva","2023","Lanka Premier League","Dambulla Aura",9,192,149,128.859060402685,32,15,7,3,0,1,61
"DN Wellalage","2022/23","Lanka Premier League","Jaffna Kings",6,77,69,111.594202898551,15.4,8,1,1,0,0,30
"DN Wellalage","2023","Lanka Premier League","Jaffna Kings",7,110,109,100.917431192661,36.6666666666667,13,1,4,0,0,38
"DS Thilakaratne","2022/23","Lanka Premier League","Dambulla Aura",1,21,26,80.7692307692308,Inf,1,0,1,0,0,21
"DS Weerakkody","2021/22","Lanka Premier League","Dambulla Giants",2,22,21,104.761904761905,11,3,0,0,0,0,12
"DW Steyn","2020/21","Lanka Premier League","Kandy Tuskers",1,1,5,20,1,0,0,0,0,0,1
"EMDY Munaweera","2021/22","Lanka Premier League","Dambulla Giants",2,15,16,93.75,7.5,1,0,0,0,0,12
"FA Allen","2022/23","Lanka Premier League","Kandy Falcons",6,66,46,143.478260869565,11,5,4,0,0,0,47
"Fakhar Zaman","2023","Lanka Premier League","B-Love Kandy",7,156,137,113.868613138686,22.2857142857143,13,5,0,0,0,45
"GC Viljoen","2023","Lanka Premier League","Jaffna Kings",1,4,6,66.6666666666667,4,1,0,0,0,0,4
"GS Dinusha","2023","Lanka Premier League","Galle Titans",1,28,32,87.5,28,0,1,0,0,0,28
"GSNFG Jayasuriya","2020/21","Lanka Premier League","Galle Gladiators",7,119,125,95.2,17,5,4,0,0,0,39
"H Kerr","2023","Lanka Premier League","Dambulla Aura",6,84,62,135.483870967742,28,8,3,3,0,0,26
"Hasan Ali","2023","Lanka Premier League","Dambulla Aura",3,20,15,133.333333333333,20,2,0,2,0,0,8
"Hazratullah","2020/21","Lanka Premier League","Galle Gladiators",4,28,44,63.6363636363636,7,2,1,0,0,0,20
"I Udana","2020/21","Lanka Premier League","Colombo Kings",5,79,45,175.555555555556,19.75,2,7,1,0,0,34
"I Udana","2021/22","Lanka Premier League","Galle Gladiators",6,59,54,109.259259259259,11.8,4,2,1,0,0,25
"I Udana","2022/23","Lanka Premier League","Kandy Falcons",4,7,7,100,Inf,0,0,4,0,0,3
"I Udana","2023","Lanka Premier League","B-Love Kandy",7,65,59,110.169491525424,13,5,2,2,0,0,23
"IK Pathan","2020/21","Lanka Premier League","Kandy Tuskers",3,54,61,88.5245901639344,27,6,0,1,0,0,25
"Iftikhar Ahmed","2022/23","Lanka Premier League","Galle Gladiators",7,57,65,87.6923076923077,8.14285714285714,2,3,0,0,0,23
"Iftikhar Ahmed","2023","Lanka Premier League","Colombo Strikers",4,25,47,53.1914893617021,6.25,0,0,0,0,0,18
"Imad Wasim","2022/23","Lanka Premier League","Galle Gladiators",9,109,109,100,15.5714285714286,8,3,2,0,0,34
"Imran Tahir","2021/22","Lanka Premier League","Dambulla Giants",4,19,18,105.555555555556,6.33333333333333,4,0,1,0,0,8
"Ishan Jayaratne","2021/22","Lanka Premier League","Kandy Warriors",2,27,20,135,27,2,1,1,0,0,18
"J Charles","2020/21","Lanka Premier League","Jaffna Stallions",5,134,98,136.734693877551,26.8,21,2,0,0,1,76
"J Little","2021/22","Lanka Premier League","Dambulla Giants",1,0,1,0,NA,0,0,1,0,0,0
"J Liyanage","2021/22","Lanka Premier League","Dambulla Giants",4,108,90,120,36,10,2,1,0,2,56
"J Liyanage","2023","Lanka Premier League","Dambulla Aura",1,6,9,66.6666666666667,6,0,0,0,0,0,6
"JDF Vandersay","2020/21","Lanka Premier League","Colombo Kings",1,4,3,133.333333333333,Inf,1,0,1,0,0,4
"JDF Vandersay","2021/22","Lanka Premier League","Colombo Stars",2,9,17,52.9411764705882,4.5,0,0,0,0,0,7
"JDF Vandersay","2022/23","Lanka Premier League","Colombo Stars",3,11,11,100,3.66666666666667,1,0,0,0,0,5
"JDF Vandersay","2023","Lanka Premier League","Colombo Strikers",3,0,2,0,0,0,0,2,0,0,0
"JK Fuller","2022/23","Lanka Premier League","Jaffna Kings",4,23,21,109.52380952381,5.75,3,0,0,0,0,16
"JM Cox","2022/23","Lanka Premier League","Dambulla Aura",8,205,137,149.63503649635,25.625,22,9,0,0,1,77
"JNT Seales","2021/22","Lanka Premier League","Jaffna Kings",1,0,1,0,NA,0,0,1,0,0,0
"K Lewis","2021/22","Lanka Premier League","Kandy Warriors",6,168,129,130.232558139535,28,10,13,0,0,1,62
"KIC Asalanka","2020/21","Lanka Premier League","Jaffna Stallions",4,70,54,129.62962962963,17.5,7,3,0,0,0,32
"KIC Asalanka","2021/22","Lanka Premier League","Kandy Warriors",8,164,119,137.81512605042,23.4285714285714,17,6,1,0,0,44
"KIC Asalanka","2022/23","Lanka Premier League","Colombo Stars",11,242,191,126.701570680628,24.2,21,12,1,0,2,64
"KIC Asalanka","2023","Lanka Premier League","Jaffna Kings",8,98,119,82.3529411764706,12.25,10,1,0,0,1,56
"KJ Abbott","2020/21","Lanka Premier League","Jaffna Stallions",1,4,4,100,Inf,0,0,1,0,0,4
"KKV Perera","2022/23","Lanka Premier League","Dambulla Aura",1,0,1,0,0,0,0,0,0,0,0
"KMA Paul","2021/22","Lanka Premier League","Colombo Stars",4,22,18,122.222222222222,5.5,1,2,0,0,0,11
"KMA Paul","2022/23","Lanka Premier League","Colombo Stars",1,22,15,146.666666666667,22,1,2,0,0,0,22
"KNA Bandara","2021/22","Lanka Premier League","Jaffna Kings",5,75,66,113.636363636364,25,3,3,2,0,0,42
"KNA Bandara","2022/23","Lanka Premier League","Kandy Falcons",8,244,206,118.446601941748,40.6666666666667,16,3,2,0,0,44
"KNA Bandara","2023","Lanka Premier League","B-Love Kandy",4,61,52,117.307692307692,15.25,4,3,0,0,0,27
"KNM Fernando","2022/23","Lanka Premier League","Colombo Stars",5,61,86,70.9302325581395,12.2,3,1,0,0,0,35
"KNM Fernando","2023","Lanka Premier League","Jaffna Kings",4,68,57,119.298245614035,17,5,3,0,0,0,46
"KTGD Prasad","2020/21","Lanka Premier League","Colombo Kings",2,7,6,116.666666666667,7,1,0,1,0,0,7
"KTH Ratnayake","2021/22","Lanka Premier League","Dambulla Giants",4,22,32,68.75,7.33333333333333,3,0,1,0,0,14
"KTH Ratnayake","2022/23","Lanka Premier League","Dambulla Aura",2,15,17,88.2352941176471,15,2,0,1,0,0,8
"Karim Janat","2021/22","Lanka Premier League","Colombo Stars",1,11,3,366.666666666667,Inf,1,1,1,0,0,11
"Karim Janat","2022/23","Lanka Premier League","Colombo Stars",3,3,13,23.0769230769231,1,0,0,0,0,0,2
"Kaveen Bandara","2022/23","Lanka Premier League","Kandy Falcons",1,27,16,168.75,27,3,0,0,0,0,27
"L Croospulle","2022/23","Lanka Premier League","Dambulla Aura",3,17,14,121.428571428571,5.66666666666667,4,0,0,0,0,13
"L Croospulle","2023","Lanka Premier League","Galle Titans",8,232,166,139.759036144578,33.1428571428571,23,6,1,0,1,80
"L Embuldeniya","2020/21","Lanka Premier League","Kandy Tuskers",1,4,10,40,4,0,0,0,0,0,4
"LAC Ruwansiri","2020/21","Lanka Premier League","Galle Gladiators",1,9,14,64.2857142857143,9,0,0,0,0,0,9
"LD Chandimal","2020/21","Lanka Premier League","Colombo Kings",8,246,190,129.473684210526,41,35,6,2,0,2,80
"LD Chandimal","2021/22","Lanka Premier League","Colombo Stars",9,277,184,150.54347826087,46.1666666666667,22,11,3,0,1,65
"LD Chandimal","2022/23","Lanka Premier League","Colombo Stars",11,287,226,126.991150442478,31.8888888888889,26,8,2,0,1,63
"LD Chandimal","2023","Lanka Premier League","B-Love Kandy",10,259,207,125.12077294686,25.9,33,3,0,0,1,50
"LD Madushanka","2020/21","Lanka Premier League","Dambulla Viiking",2,0,3,0,0,0,0,1,0,0,0
"LD Madushanka","2021/22","Lanka Premier League","Galle Gladiators",4,32,35,91.4285714285714,16,1,2,2,0,0,22
"LD Madushanka","2022/23","Lanka Premier League","Dambulla Aura",3,15,17,88.2352941176471,7.5,0,0,1,0,0,10
"LD Madushanka","2023","Lanka Premier League","B-Love Kandy",2,6,4,150,Inf,1,0,2,0,0,5
"LEK Edirisinghe","2023","Lanka Premier League","Dambulla Aura",1,6,6,100,6,1,0,0,0,0,6
"LJ Evans","2020/21","Lanka Premier League","Colombo Kings",8,289,170,170,48.1666666666667,24,18,2,1,2,108
"LN Malinga","2022/23","Lanka Premier League","Galle Gladiators",1,3,6,50,Inf,0,0,1,0,0,3
"LU Igalagamage","2020/21","Lanka Premier League","Colombo Kings",2,2,7,28.5714285714286,1,0,0,0,0,0,1
"LU Igalagamage","2021/22","Lanka Premier League","Dambulla Giants",1,3,7,42.8571428571429,3,0,0,0,0,0,3
"LU Igalagamage","2022/23","Lanka Premier League","Galle Gladiators",6,112,96,116.666666666667,22.4,12,2,1,0,0,45
"LU Igalagamage","2023","Lanka Premier League","Colombo Strikers",3,44,44,100,14.6666666666667,4,1,0,0,0,29
"Liton Das","2023","Lanka Premier League","Galle Titans",3,34,30,113.333333333333,11.3333333333333,5,0,0,0,0,25
"M Bhanuka","2020/21","Lanka Premier League","Jaffna Stallions",6,121,112,108.035714285714,20.1666666666667,11,3,0,0,0,40
"M Bhanuka","2021/22","Lanka Premier League","Kandy Warriors",5,43,43,100,14.3333333333333,4,1,2,0,0,20
"M Bhanuka","2022/23","Lanka Premier League","Kandy Falcons",2,20,18,111.111111111111,10,1,1,0,0,0,14
"M Lakshan","2022/23","Lanka Premier League","Colombo Stars",2,6,5,120,6,1,0,1,0,0,6
"M Pathirana","2023","Lanka Premier League","Colombo Strikers",3,8,13,61.5384615384615,4,2,0,1,0,0,8
"M Shiraz","2020/21","Lanka Premier League","Galle Gladiators",1,9,6,150,Inf,1,0,1,0,0,9
"M Subasingha","2022/23","Lanka Premier League","Galle Gladiators",2,42,41,102.439024390244,21,4,2,0,0,0,40
"M Theekshana","2021/22","Lanka Premier League","Jaffna Kings",2,2,6,33.3333333333333,1,0,0,0,0,0,2
"M Theekshana","2022/23","Lanka Premier League","Jaffna Kings",3,2,7,28.5714285714286,1,0,0,1,0,0,1
"M Theekshana","2023","Lanka Premier League","Jaffna Kings",5,39,55,70.9090909090909,19.5,4,0,3,0,0,15
"M de Lange","2021/22","Lanka Premier League","Dambulla Giants",3,23,21,109.52380952381,7.66666666666667,0,2,0,0,0,13
"MADI Hemantha","2022/23","Lanka Premier League","Dambulla Aura",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"MD Gunathilaka","2020/21","Lanka Premier League","Galle Gladiators",10,476,329,144.68085106383,59.5,68,8,2,0,4,94
"MD Gunathilaka","2021/22","Lanka Premier League","Galle Gladiators",10,226,174,129.885057471264,25.1111111111111,26,7,1,0,2,55
"MD Shanaka","2020/21","Lanka Premier League","Dambulla Viiking",9,278,172,161.627906976744,39.7142857142857,24,14,2,0,2,73
