"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"PWH de Silva","B-Love Kandy","2023","Lanka Premier League",10,"37.0",0,204,19,10.7368421052632,5.51351351351351,11.6842105263158,100,1,1,"6/9"
"CR Brathwaite","Kandy Falcons","2022/23","Lanka Premier League",8,"26.0",2,178,18,9.88888888888889,6.84615384615385,8.66666666666667,74,2,0,"4/14"
"PWH de Silva","Jaffna Stallions","2020/21","Lanka Premier League",10,"37.0",2,192,17,11.2941176470588,5.18918918918919,13.0588235294118,109,0,0,"3/15"
"SR Patel","Galle Gladiators","2021/22","Lanka Premier League",10,"38.0",0,219,16,13.6875,5.76315789473684,14.25,106,0,0,"3/13"
"M Theekshana","Jaffna Kings","2021/22","Lanka Premier League",10,"39.0",1,268,16,16.75,6.87179487179487,14.625,101,1,0,"4/25"
"JNT Seales","Jaffna Kings","2021/22","Lanka Premier League",6,"20.2",2,159,15,10.6,7.81967213114754,8.13333333333333,57,1,0,"4/13"
"Imran Tahir","Dambulla Giants","2021/22","Lanka Premier League",9,"35.0",0,210,15,14,6,14,96,0,0,"3/20"
"N Pradeep","B-Love Kandy","2023","Lanka Premier League",7,"26.0",1,231,14,16.5,8.88461538461539,11.1428571428571,65,0,0,"3/21"
"N Thushara","Galle Gladiators","2022/23","Lanka Premier League",9,"33.5",1,252,14,18,7.44827586206897,14.5,93,0,0,"3/29"
"CAK Rajitha","Colombo Stars","2022/23","Lanka Premier League",8,"26.2",1,166,13,12.7692307692308,6.30379746835443,12.1538461538462,81,1,1,"5/22"
"S Prasanna","Colombo Stars","2021/22","Lanka Premier League",8,"31.0",0,203,13,15.6153846153846,6.54838709677419,14.3076923076923,78,0,0,"3/31"
"V Viyaskanth","Jaffna Kings","2022/23","Lanka Premier League",8,"32.0",0,214,13,16.4615384615385,6.6875,14.7692307692308,70,0,0,"3/24"
"D Lakshan","Galle Gladiators","2020/21","Lanka Premier League",7,"26.0",0,225,13,17.3076923076923,8.65384615384615,12,57,0,0,"3/36"
"PVD Chameera","Colombo Stars","2021/22","Lanka Premier League",9,"30.0",0,267,13,20.5384615384615,8.9,13.8461538461538,71,1,0,"4/35"
"B Fernando","Jaffna Kings","2022/23","Lanka Premier League",5,"19.0",2,135,12,11.25,7.10526315789474,9.5,55,1,0,"4/22"
"N Thushara","Galle Gladiators","2021/22","Lanka Premier League",8,"23.4",0,192,12,16,8.11267605633803,11.8333333333333,69,0,1,"5/13"
"Qais Ahmad","Colombo Kings","2020/21","Lanka Premier League",9,"30.0",0,195,12,16.25,6.5,15,76,0,0,"3/24"
"Noor Ahmad","Dambulla Aura","2023","Lanka Premier League",8,"31.0",0,220,12,18.3333333333333,7.09677419354839,15.5,93,0,0,"3/27"
"M Pathirana","Colombo Strikers","2023","Lanka Premier League",8,"27.3",0,241,12,20.0833333333333,8.76363636363636,13.75,61,0,0,"3/24"
"CAK Rajitha","Galle Titans","2023","Lanka Premier League",11,"30.5",0,251,12,20.9166666666667,8.14054054054054,15.4166666666667,85,1,0,"4/20"
"T Shamsi","Galle Titans","2023","Lanka Premier League",9,"33.0",0,255,12,21.25,7.72727272727273,16.5,82,1,0,"4/20"
"PADLR Sandakan","Galle Gladiators","2020/21","Lanka Premier League",8,"29.0",0,272,12,22.6666666666667,9.37931034482759,14.5,47,0,0,"3/32"
"JDF Vandersay","Colombo Stars","2021/22","Lanka Premier League",4,"16.0",1,117,11,10.6363636363636,7.3125,8.72727272727273,42,0,1,"6/25"
"N Thushara","Jaffna Kings","2023","Lanka Premier League",7,"26.0",0,212,11,19.2727272727273,8.15384615384615,14.1818181818182,55,1,0,"4/40"
"N Pradeep","Galle Gladiators","2022/23","Lanka Premier League",7,"23.0",0,233,11,21.1818181818182,10.1304347826087,12.5454545454545,53,0,0,"3/37"
"PWH de Silva","Jaffna Kings","2021/22","Lanka Premier League",10,"36.0",1,245,11,22.2727272727273,6.80555555555556,19.6363636363636,95,0,0,"3/16"
"Mohammad Amir","Galle Gladiators","2020/21","Lanka Premier League",10,"38.0",1,294,11,26.7272727272727,7.73684210526316,20.7272727272727,106,0,1,"5/26"
"N Vimukthi","Kandy Warriors","2021/22","Lanka Premier League",6,"20.0",1,114,10,11.4,5.7,12,65,0,0,"3/24"
"FA Allen","Kandy Falcons","2022/23","Lanka Premier League",9,"24.4",0,156,10,15.6,6.32432432432432,14.8,51,0,0,"2/1"
"DN Wellalage","Jaffna Kings","2023","Lanka Premier League",9,"25.0",0,176,10,17.6,7.04,15,59,1,0,"4/10"
"JK Fuller","Jaffna Kings","2022/23","Lanka Premier League",6,"24.0",0,187,10,18.7,7.79166666666667,14.4,61,0,0,"2/16"
"Naseem Shah","Colombo Strikers","2023","Lanka Premier League",7,"26.3",0,194,10,19.4,7.32075471698113,15.9,77,0,0,"2/19"
"B Fernando","Dambulla Aura","2023","Lanka Premier League",9,"31.0",1,195,10,19.5,6.29032258064516,18.6,87,0,0,"2/18"
"M Theekshana","Jaffna Kings","2022/23","Lanka Premier League",8,"32.0",0,212,10,21.2,6.625,19.2,69,0,0,"3/20"
"Naveen-ul-Haq","Colombo Stars","2021/22","Lanka Premier League",9,"30.5",0,212,10,21.2,6.87567567567568,18.5,70,0,0,"3/27"
"DM de Silva","Dambulla Aura","2023","Lanka Premier League",10,"31.0",0,215,10,21.5,6.93548387096774,18.6,58,1,0,"4/6"
"Shakib Al Hasan","Galle Titans","2023","Lanka Premier League",10,"37.4",0,215,10,21.5,5.70796460176991,22.6,99,0,0,"2/10"
"PWH de Silva","Kandy Falcons","2022/23","Lanka Premier League",10,"34.0",0,218,10,21.8,6.41176470588235,20.4,72,1,0,"4/14"
"N Pradeep","Dambulla Giants","2021/22","Lanka Premier League",7,"24.0",0,234,10,23.4,9.75,14.4,51,0,0,"3/31"
"D Olivier","Jaffna Stallions","2020/21","Lanka Premier League",9,"26.1",0,266,10,26.6,10.1656050955414,15.7,59,1,0,"4/44"
"Wahab Riaz","Jaffna Kings","2021/22","Lanka Premier League",5,"15.5",0,146,9,16.2222222222222,9.22105263157895,10.5555555555556,42,1,0,"4/26"
"Usman Shinwari","Jaffna Stallions","2020/21","Lanka Premier League",7,"21.0",0,158,9,17.5555555555556,7.52380952380952,14,67,0,0,"3/16"
"DAS Gunaratne","Kandy Tuskers","2020/21","Lanka Premier League",7,"26.0",1,196,9,21.7777777777778,7.53846153846154,17.3333333333333,51,0,0,"2/20"
"Anwar Ali","Dambulla Viiking","2020/21","Lanka Premier League",7,"20.3",0,226,9,25.1111111111111,11.0243902439024,13.6666666666667,38,0,0,"3/37"
"H Kerr","Dambulla Aura","2023","Lanka Premier League",9,"31.0",0,234,9,26,7.54838709677419,20.6666666666667,63,0,0,"3/18"
"I Udana","B-Love Kandy","2023","Lanka Premier League",9,"28.0",0,239,9,26.5555555555556,8.53571428571429,18.6666666666667,59,0,0,"3/39"
"N Pradeep","Kandy Tuskers","2020/21","Lanka Premier League",9,"27.3",0,247,9,27.4444444444444,8.98181818181818,18.3333333333333,63,0,0,"3/36"
"CBRLS Kumara","Galle Titans","2023","Lanka Premier League",5,"17.0",2,90,8,11.25,5.29411764705882,12.75,60,0,0,"2/9"
"AD Russell","Colombo Kings","2020/21","Lanka Premier League",5,"13.0",0,116,8,14.5,8.92307692307692,9.75,32,0,0,"3/18"
"Hasan Ali","Dambulla Aura","2023","Lanka Premier League",5,"19.0",0,129,8,16.125,6.78947368421053,14.25,55,0,0,"3/16"
"PM Pushpakumara","Dambulla Viiking","2020/21","Lanka Premier League",6,"18.0",0,139,8,17.375,7.72222222222222,13.5,34,0,0,"2/19"
"RAS Lakmal","Jaffna Stallions","2020/21","Lanka Premier League",7,"19.0",0,139,8,17.375,7.31578947368421,14.25,53,0,0,"2/27"
"Naveen-ul-Haq","Kandy Tuskers","2020/21","Lanka Premier League",5,"18.0",0,183,8,22.875,10.1666666666667,13.5,33,0,0,"3/44"
"Noor Ahmad","Galle Gladiators","2021/22","Lanka Premier League",8,"30.0",0,194,8,24.25,6.46666666666667,22.5,76,0,0,"2/12"
"I Udana","Kandy Falcons","2022/23","Lanka Premier League",9,"27.0",0,195,8,24.375,7.22222222222222,20.25,77,0,0,"2/19"
"RAS Lakmal","Colombo Stars","2022/23","Lanka Premier League",8,"26.0",0,208,8,26,8,19.5,63,0,0,"3/23"
"PVD Chameera","Colombo Kings","2020/21","Lanka Premier League",8,"27.5",0,256,8,32,9.19760479041916,20.875,62,0,0,"2/27"
