"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"TA Boult",8,"30.5",0,228,22,10.3636363636364,7.39459459459459,8.40909090909091,86,3,0,"4/20"
"CJ Gannon",7,"25.5",0,191,11,17.3636363636364,7.39354838709677,14.0909090909091,66,1,0,"4/23"
"AJ Tye",7,"25.0",0,230,11,20.9090909090909,9.2,13.6363636363636,54,0,0,"3/32"
"Imad Wasim",7,"24.1",0,153,10,15.3,6.33103448275862,14.5,72,0,0,"2/23"
"SN Netravalkar",6,"21.5",0,159,10,15.9,7.2824427480916,13.1,56,0,1,"6/9"
"A Zampa",5,"19.0",0,157,9,17.4444444444444,8.26315789473684,12.6666666666667,36,0,0,"3/41"
"WD Parnell",6,"20.0",0,173,9,19.2222222222222,8.65,13.3333333333333,51,0,1,"5/20"
"Mohammad Mohsin",7,"21.0",0,179,9,19.8888888888889,8.52380952380952,14,47,1,0,"4/8"
"G Coetzee",5,"15.0",1,126,8,15.75,8.4,11.25,43,1,0,"4/31"
"Rashid Khan",6,"24.0",1,164,8,20.5,6.83333333333333,18,68,0,0,"3/9"
"AJ Hosein",6,"17.0",0,129,7,18.4285714285714,7.58823529411765,14.5714285714286,41,0,0,"2/25"
"LE Plunkett",5,"17.1",0,137,7,19.5714285714286,7.98058252427184,14.7142857142857,35,0,0,"2/24"
"Harmeet Singh",7,"23.0",0,164,7,23.4285714285714,7.1304347826087,19.7142857142857,54,0,0,"2/21"
"M Jansen",6,"22.4",0,166,7,23.7142857142857,7.32352941176471,19.4285714285714,71,0,0,"2/29"
"Haris Rauf",5,"20.0",1,168,7,24,8.4,17.1428571428571,51,0,0,"3/20"
"K Rabada",3,"11.0",1,78,6,13,7.09090909090909,11,30,0,0,"2/16"
"NP Kenjige",5,"15.2",0,88,6,14.6666666666667,5.73913043478261,15.3333333333333,37,0,0,"2/7"
"Ali Khan",5,"17.5",0,202,6,33.6666666666667,11.3271028037383,17.8333333333333,42,0,0,"2/28"
"MC Henriques",6,"11.3",0,86,5,17.2,7.47826086956522,13.8,29,0,0,"3/26"
"KA Pollard",5,"13.0",0,96,5,19.2,7.38461538461539,15.6,26,0,0,"2/9"
"DR Sams",5,"17.0",0,124,5,24.8,7.29411764705882,20.4,45,0,0,"2/15"
"J Theron",7,"18.0",0,128,5,25.6,7.11111111111111,21.6,53,0,0,"2/16"
"Shadab Khan",5,"17.0",0,156,5,31.2,9.17647058823529,20.4,30,0,0,"2/26"
"DL Piedt",5,"13.0",0,87,4,21.75,6.69230769230769,19.5,31,0,0,"1/6"
"SP Narine",5,"20.0",0,128,4,32,6.4,30,41,0,0,"1/20"
"MJ Santner",7,"20.0",0,165,4,41.25,8.25,30,36,0,0,"2/30"
"D Wiese",5,"20.0",0,211,4,52.75,10.55,30,33,0,0,"1/25"
"LH Ferguson",2,"8.0",0,60,3,20,7.5,16,28,0,0,"2/23"
"DJ Bravo",4,"11.0",0,82,3,27.3333333333333,7.45454545454545,22,18,0,0,"1/10"
"C le Roux",5,"18.0",0,141,3,47,7.83333333333333,36,49,0,0,"2/39"
"Ehsan Adil",6,"18.0",0,150,3,50,8.33333333333333,36,42,0,0,"2/7"
"TH David",2,"2.0",0,22,2,11,11,6,4,0,0,"2/14"
"CJ Anderson",3,"4.0",0,47,2,23.5,11.75,12,5,0,0,"1/18"
"SH Johnson",3,"11.0",0,87,2,43.5,7.90909090909091,33,29,0,0,"1/27"
"CA Dry",4,"9.0",0,91,2,45.5,10.1111111111111,27,16,0,0,"2/10"
"AD Russell",4,"10.2",0,125,2,62.5,12.0967741935484,31,19,0,0,"1/28"
"CP Savage",5,"15.0",0,129,2,64.5,8.6,45,31,0,0,"1/25"
"MP Stoinis",5,"20.0",1,170,2,85,8.5,60,40,0,0,"1/23"
"A Nortje",6,"23.0",0,182,2,91,7.91304347826087,69,61,0,0,"1/24"
"SC van Schalkwyk",1,"3.0",0,22,1,22,7.33333333333333,18,4,0,0,"1/22"
"Chaitanya Bishnoi",3,"3.0",0,25,1,25,8.33333333333333,18,3,0,0,"1/4"
"JG Dill",1,"4.0",0,25,1,25,6.25,24,10,0,0,"1/25"
"Zia-ul-Haq",2,"6.0",0,40,1,40,6.66666666666667,36,17,0,0,"1/15"
"S Ladda",1,"3.0",0,43,1,43,14.3333333333333,18,7,0,0,"1/43"
"SR Taylor",4,"13.0",0,86,1,86,6.61538461538461,78,26,0,0,"1/25"
"GD Phillips",1,"1.0",0,4,0,Inf,4,Inf,2,0,0,"0/4"
"Milind Kumar",1,"1.0",0,12,0,Inf,12,Inf,2,0,0,"0/12"
"Hammad Azam",1,"1.0",0,15,0,Inf,15,Inf,1,0,0,"0/15"
"AJ Pienaar",1,"1.0",0,22,0,Inf,22,Inf,2,0,0,"0/22"
"GSNFG Jayasuriya",3,"3.0",0,30,0,Inf,10,Inf,4,0,0,"0/8"
"Jasdeep Singh",1,"2.0",0,33,0,Inf,16.5,Inf,2,0,0,"0/33"
"MD Shanaka",3,"4.0",0,49,0,Inf,12.25,Inf,4,0,0,"0/12"
"D Pretorius",3,"8.0",0,90,0,Inf,11.25,Inf,11,0,0,"0/19"
