"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Nortje","NP Kenjige",3,4,0,1,0,0,4.5,75,Inf
"A Nortje","TA Boult",1,2,0,1,0,0,3,50,Inf
"A Zampa","AJ Tye",9,6,0,2,1,0,9,150,Inf
"A Zampa","CJ Gannon",0,2,1,2,0,0,0,0,0
"A Zampa","DJ Bravo",2,2,0,0,0,0,6,100,Inf
"A Zampa","Ehsan Adil",3,4,0,1,0,0,4.5,75,Inf
"A Zampa","K Rabada",2,2,0,0,0,0,6,100,Inf
"A Zampa","MC Henriques",1,1,0,0,0,0,6,100,Inf
"A Zampa","Mohammad Mohsin",1,2,1,1,0,0,3,50,1
"A Zampa","TA Boult",1,1,0,0,0,0,6,100,Inf
"A Zampa","WD Parnell",3,3,0,1,0,0,6,100,Inf
"AD Russell","A Nortje",6,6,0,3,1,0,6,100,Inf
"AD Russell","AJ Hosein",20,11,0,6,0,3,10.9090909090909,181.818181818182,Inf
"AD Russell","AJ Tye",0,2,0,2,0,0,0,0,NA
"AD Russell","C le Roux",6,4,0,1,1,0,9,150,Inf
"AD Russell","CJ Gannon",1,2,0,1,0,0,3,50,Inf
"AD Russell","CP Savage",10,2,0,0,1,1,30,500,Inf
"AD Russell","DJ Bravo",6,7,1,4,1,0,5.14285714285714,85.7142857142857,6
"AD Russell","DL Piedt",4,5,0,4,1,0,4.8,80,Inf
"AD Russell","G Coetzee",21,8,0,3,2,2,15.75,262.5,Inf
"AD Russell","Haris Rauf",14,8,0,4,0,2,10.5,175,Inf
"AD Russell","Harmeet Singh",16,8,1,3,2,1,12,200,16
"AD Russell","Imad Wasim",0,3,0,3,0,0,0,0,NA
"AD Russell","KA Pollard",1,2,1,1,0,0,3,50,1
"AD Russell","LE Plunkett",16,5,0,2,1,2,19.2,320,Inf
"AD Russell","M Jansen",15,7,0,2,2,1,12.8571428571429,214.285714285714,Inf
"AD Russell","MC Henriques",8,4,0,1,1,0,12,200,Inf
"AD Russell","MD Shanaka",11,5,0,2,1,1,13.2,220,Inf
"AD Russell","MJ Santner",13,10,0,3,2,0,7.8,130,Inf
"AD Russell","MP Stoinis",5,8,0,3,0,0,3.75,62.5,Inf
"AD Russell","Mohammad Mohsin",5,7,0,5,1,0,4.28571428571429,71.4285714285714,Inf
"AD Russell","NP Kenjige",1,4,0,3,0,0,1.5,25,Inf
"AD Russell","SN Netravalkar",17,4,0,0,1,2,25.5,425,Inf
"AD Russell","Shadab Khan",1,1,0,0,0,0,6,100,Inf
"AD Russell","WD Parnell",9,9,0,4,1,0,6,100,Inf
"AGS Gous","A Zampa",3,3,0,1,0,0,6,100,Inf
"AGS Gous","AJ Tye",6,3,0,0,1,0,12,200,Inf
"AGS Gous","Ali Khan",18,5,0,1,3,1,21.6,360,Inf
"AGS Gous","C le Roux",13,7,0,3,3,0,11.1428571428571,185.714285714286,Inf
"AGS Gous","CA Dry",10,2,0,0,1,1,30,500,Inf
"AGS Gous","CJ Gannon",10,6,0,2,2,0,10,166.666666666667,Inf
"AGS Gous","CP Savage",1,2,0,1,0,0,3,50,Inf
"AGS Gous","D Wiese",12,9,0,3,2,0,8,133.333333333333,Inf
"AGS Gous","G Coetzee",0,1,1,1,0,0,0,0,0
"AGS Gous","Haris Rauf",5,4,1,2,1,0,7.5,125,5
"AGS Gous","Harmeet Singh",5,9,1,4,0,0,3.33333333333333,55.5555555555556,5
"AGS Gous","Imad Wasim",5,9,0,4,0,0,3.33333333333333,55.5555555555556,Inf
"AGS Gous","J Theron",4,1,0,0,1,0,24,400,Inf
"AGS Gous","MJ Santner",2,2,0,0,0,0,6,100,Inf
"AGS Gous","NP Kenjige",12,12,1,4,1,0,6,100,12
"AGS Gous","Rashid Khan",6,11,1,8,1,0,3.27272727272727,54.5454545454545,6
"AGS Gous","SH Johnson",4,2,1,1,1,0,12,200,4
"AGS Gous","SP Narine",5,3,0,0,0,0,10,166.666666666667,Inf
"AGS Gous","Shadab Khan",5,5,0,3,1,0,6,100,Inf
"AGS Gous","TA Boult",14,8,0,3,3,0,10.5,175,Inf
"AGS Gous","WD Parnell",2,6,0,5,0,0,2,33.3333333333333,Inf
"AJ Finch","A Nortje",2,2,0,0,0,0,6,100,Inf
"AJ Finch","A Zampa",2,5,0,3,0,0,2.4,40,Inf
"AJ Finch","AJ Hosein",10,11,1,6,0,1,5.45454545454545,90.9090909090909,10
"AJ Finch","AJ Tye",7,4,0,2,0,1,10.5,175,Inf
"AJ Finch","CP Savage",5,2,0,0,1,0,15,250,Inf
"AJ Finch","DR Sams",9,3,0,0,2,0,18,300,Inf
"AJ Finch","Ehsan Adil",7,4,0,2,0,1,10.5,175,Inf
"AJ Finch","G Coetzee",5,5,1,2,0,0,6,100,5
"AJ Finch","Harmeet Singh",5,9,1,7,1,0,3.33333333333333,55.5555555555556,5
"AJ Finch","Imad Wasim",1,2,0,1,0,0,3,50,Inf
"AJ Finch","K Rabada",0,4,0,4,0,0,0,0,NA
"AJ Finch","M Jansen",0,4,0,4,0,0,0,0,NA
"AJ Finch","MC Henriques",1,8,0,7,0,0,0.75,12.5,Inf
"AJ Finch","S Ladda",0,2,1,2,0,0,0,0,0
"AJ Finch","SH Johnson",10,5,0,1,2,0,12,200,Inf
"AJ Finch","SN Netravalkar",1,3,0,2,0,0,2,33.3333333333333,Inf
"AJ Finch","TA Boult",2,3,0,1,0,0,4,66.6666666666667,Inf
"AJ Finch","WD Parnell",1,1,0,0,0,0,6,100,Inf
"AJ Hosein","AJ Tye",7,8,0,2,0,0,5.25,87.5,Inf
"AJ Hosein","CJ Gannon",4,3,0,0,0,0,8,133.333333333333,Inf
"AJ Hosein","D Wiese",2,3,0,1,0,0,4,66.6666666666667,Inf
"AJ Hosein","Ehsan Adil",7,6,0,2,1,0,7,116.666666666667,Inf
"AJ Hosein","Imad Wasim",2,3,0,1,0,0,4,66.6666666666667,Inf
"AJ Hosein","KA Pollard",7,2,0,0,0,1,21,350,Inf
"AJ Hosein","LE Plunkett",1,2,1,1,0,0,3,50,1
"AJ Hosein","MP Stoinis",6,5,0,3,1,0,7.2,120,Inf
"AJ Hosein","Rashid Khan",1,2,0,1,0,0,3,50,Inf
"AJ Hosein","TA Boult",2,5,2,3,0,0,2.4,40,1
"AJ Hosein","WD Parnell",20,8,0,0,2,1,15,250,Inf
"AJ Pienaar","A Zampa",1,1,0,0,0,0,6,100,Inf
"AJ Pienaar","AJ Tye",5,5,0,2,0,0,6,100,Inf
"AJ Pienaar","Ali Khan",4,1,0,0,1,0,24,400,Inf
"AJ Pienaar","CA Dry",9,7,0,1,1,0,7.71428571428571,128.571428571429,Inf
"AJ Pienaar","CJ Anderson",2,2,0,0,0,0,6,100,Inf
"AJ Pienaar","CJ Gannon",1,3,0,2,0,0,2,33.3333333333333,Inf
"AJ Pienaar","D Wiese",1,1,0,0,0,0,6,100,Inf
"AJ Pienaar","DJ Bravo",5,4,0,1,0,0,7.5,125,Inf
"AJ Pienaar","G Coetzee",13,7,0,2,1,1,11.1428571428571,185.714285714286,Inf
"AJ Pienaar","Haris Rauf",2,3,0,1,0,0,4,66.6666666666667,Inf
"AJ Pienaar","Harmeet Singh",1,1,0,0,0,0,6,100,Inf
"AJ Pienaar","Imad Wasim",2,3,0,1,0,0,4,66.6666666666667,Inf
"AJ Pienaar","KA Pollard",7,2,0,0,0,1,21,350,Inf
"AJ Pienaar","LE Plunkett",10,10,1,4,1,0,6,100,10
"AJ Pienaar","MP Stoinis",4,4,0,1,0,0,6,100,Inf
"AJ Pienaar","NP Kenjige",3,3,1,1,0,0,6,100,3
"AJ Pienaar","SH Johnson",9,3,0,0,2,0,18,300,Inf
"AJ Pienaar","SP Narine",3,5,0,3,0,0,3.6,60,Inf
"AJ Pienaar","Shadab Khan",11,9,0,4,0,1,7.33333333333333,122.222222222222,Inf
"AJ Pienaar","TA Boult",1,2,0,1,0,0,3,50,Inf
"AJ Pienaar","WD Parnell",1,2,1,1,0,0,3,50,1
"AJ Tye","Ehsan Adil",1,1,0,0,0,0,6,100,Inf
"AJ Tye","NP Kenjige",1,1,0,0,0,0,6,100,Inf
"AJ Tye","SH Johnson",1,2,0,1,0,0,3,50,Inf
"AJ Tye","TA Boult",3,4,1,2,0,0,4.5,75,3
"Ali Khan","Ehsan Adil",1,3,0,2,0,0,2,33.3333333333333,Inf
"Ali Khan","K Rabada",1,4,0,3,0,0,1.5,25,Inf
"Ali Khan","Mohammad Mohsin",1,2,0,1,0,0,3,50,Inf
"Ali Khan","TA Boult",2,3,1,2,0,0,4,66.6666666666667,2
"BKEL Milantha","A Nortje",1,3,0,2,0,0,2,33.3333333333333,Inf
"BKEL Milantha","AD Russell",14,6,0,2,1,1,14,233.333333333333,Inf
"BKEL Milantha","AJ Hosein",1,3,1,2,0,0,2,33.3333333333333,1
"BKEL Milantha","Ali Khan",0,2,1,2,0,0,0,0,0
"BKEL Milantha","DL Piedt",1,1,0,0,0,0,6,100,Inf
"BKEL Milantha","GD Phillips",2,3,0,1,0,0,4,66.6666666666667,Inf
"BKEL Milantha","LH Ferguson",3,6,0,3,0,0,3,50,Inf
"BKEL Milantha","M Jansen",2,5,0,4,0,0,2.4,40,Inf
"BKEL Milantha","SN Netravalkar",8,5,0,0,1,0,9.6,160,Inf
"C Chetty","AJ Tye",1,2,0,1,0,0,3,50,Inf
"C Chetty","C le Roux",4,4,0,3,1,0,6,100,Inf
"C Chetty","CJ Gannon",5,4,0,0,0,0,7.5,125,Inf
"C Chetty","D Pretorius",2,2,0,0,0,0,6,100,Inf
"C Chetty","D Wiese",9,4,0,1,2,0,13.5,225,Inf
"C Chetty","Ehsan Adil",5,7,1,5,1,0,4.28571428571429,71.4285714285714,5
"C Chetty","Haris Rauf",0,1,1,1,0,0,0,0,0
"C Chetty","Harmeet Singh",3,3,0,0,0,0,6,100,Inf
"C Chetty","Imad Wasim",26,21,1,14,4,1,7.42857142857143,123.809523809524,26
"C Chetty","K Rabada",2,4,0,2,0,0,3,50,Inf
"C Chetty","KA Pollard",3,6,1,3,0,0,3,50,3
"C Chetty","SR Taylor",2,3,0,1,0,0,4,66.6666666666667,Inf
"C Chetty","TA Boult",5,7,0,5,1,0,4.28571428571429,71.4285714285714,Inf
"C Chetty","WD Parnell",9,7,1,3,1,0,7.71428571428571,128.571428571429,9
"C le Roux","CJ Gannon",0,1,1,1,0,0,0,0,0
"C le Roux","SN Netravalkar",1,1,0,0,0,0,6,100,Inf
"CA Dry","Ehsan Adil",0,3,1,3,0,0,0,0,0
"CA Dry","KA Pollard",0,2,0,2,0,0,0,0,NA
"CA Dry","M Jansen",7,2,0,0,0,1,21,350,Inf
"CA Dry","MC Henriques",0,1,1,1,0,0,0,0,0
"CA Dry","Mohammad Mohsin",0,2,1,2,0,0,0,0,0
"CJ Anderson","A Nortje",7,8,0,5,1,0,5.25,87.5,Inf
"CJ Anderson","A Zampa",2,3,1,1,0,0,4,66.6666666666667,2
"CJ Anderson","AD Russell",12,2,0,0,0,2,36,600,Inf
"CJ Anderson","AJ Hosein",3,5,0,2,0,0,3.6,60,Inf
"CJ Anderson","Ali Khan",11,7,0,3,2,0,9.42857142857143,157.142857142857,Inf
"CJ Anderson","CJ Gannon",5,3,1,1,1,0,10,166.666666666667,5
"CJ Anderson","CP Savage",5,5,0,1,0,0,6,100,Inf
"CJ Anderson","DL Piedt",2,5,0,3,0,0,2.4,40,Inf
"CJ Anderson","Ehsan Adil",10,6,0,1,0,1,10,166.666666666667,Inf
"CJ Anderson","G Coetzee",0,2,1,2,0,0,0,0,0
"CJ Anderson","GSNFG Jayasuriya",4,3,0,0,0,0,8,133.333333333333,Inf
"CJ Anderson","Hammad Azam",7,2,0,0,0,1,21,350,Inf
"CJ Anderson","Harmeet Singh",3,4,0,1,0,0,4.5,75,Inf
"CJ Anderson","J Theron",2,3,0,1,0,0,4,66.6666666666667,Inf
"CJ Anderson","K Rabada",25,11,0,3,0,3,13.6363636363636,227.272727272727,Inf
"CJ Anderson","KA Pollard",15,9,0,2,2,0,10,166.666666666667,Inf
"CJ Anderson","M Jansen",19,10,1,5,3,1,11.4,190,19
"CJ Anderson","MC Henriques",3,4,0,1,0,0,4.5,75,Inf
"CJ Anderson","MJ Santner",7,5,0,3,0,1,8.4,140,Inf
"CJ Anderson","S Ladda",16,11,0,4,0,2,8.72727272727273,145.454545454545,Inf
"CJ Anderson","SH Johnson",2,4,0,2,0,0,3,50,Inf
"CJ Anderson","SN Netravalkar",0,2,0,2,0,0,0,0,NA
"CJ Anderson","SP Narine",12,4,0,0,1,1,18,300,Inf
"CJ Anderson","SR Taylor",8,7,0,1,0,0,6.85714285714286,114.285714285714,Inf
"CJ Anderson","TA Boult",10,6,0,2,2,0,10,166.666666666667,Inf
"CP Savage","A Nortje",2,2,0,0,0,0,6,100,Inf
"CP Savage","AJ Hosein",4,5,0,1,0,0,4.8,80,Inf
"CP Savage","AJ Tye",7,5,0,3,0,1,8.4,140,Inf
"CP Savage","Ali Khan",5,2,0,0,1,0,15,250,Inf
"CP Savage","D Pretorius",1,2,1,1,0,0,3,50,1
"CP Savage","Haris Rauf",1,1,0,0,0,0,6,100,Inf
"CP Savage","Harmeet Singh",6,4,0,1,1,0,9,150,Inf
"CP Savage","LH Ferguson",0,1,0,1,0,0,0,0,NA
"CP Savage","M Jansen",1,2,1,1,0,0,3,50,1
"CP Savage","MP Stoinis",6,1,0,0,0,1,36,600,Inf
"CP Savage","TA Boult",6,2,1,1,0,1,18,300,6
"Chaitanya Bishnoi","A Nortje",8,6,0,3,0,1,8,133.333333333333,Inf
"Chaitanya Bishnoi","AJ Tye",0,1,1,1,0,0,0,0,0
"Chaitanya Bishnoi","CP Savage",12,9,0,5,1,1,8,133.333333333333,Inf
"Chaitanya Bishnoi","DL Piedt",4,5,0,1,0,0,4.8,80,Inf
"Chaitanya Bishnoi","DR Sams",14,6,1,1,1,1,14,233.333333333333,14
"Chaitanya Bishnoi","G Coetzee",5,2,0,0,1,0,15,250,Inf
"Chaitanya Bishnoi","J Theron",3,3,0,1,0,0,6,100,Inf
"Chaitanya Bishnoi","M Jansen",1,1,0,0,0,0,6,100,Inf
"Chaitanya Bishnoi","MC Henriques",3,3,0,1,0,0,6,100,Inf
"Chaitanya Bishnoi","MJ Santner",1,1,0,0,0,0,6,100,Inf
"Chaitanya Bishnoi","SH Johnson",0,1,0,1,0,0,0,0,NA
"Chaitanya Bishnoi","SN Netravalkar",0,1,1,1,0,0,0,0,0
"Chaitanya Bishnoi","WD Parnell",1,2,0,1,0,0,3,50,Inf
"D Brevis","A Nortje",14,9,0,3,1,1,9.33333333333333,155.555555555556,Inf
"D Brevis","AJ Hosein",19,13,0,5,2,1,8.76923076923077,146.153846153846,Inf
"D Brevis","Ali Khan",4,1,0,0,1,0,24,400,Inf
"D Brevis","C le Roux",8,8,0,3,1,0,6,100,Inf
"D Brevis","CA Dry",0,1,1,1,0,0,0,0,0
"D Brevis","CJ Gannon",1,2,0,1,0,0,3,50,Inf
"D Brevis","CP Savage",5,9,0,4,0,0,3.33333333333333,55.5555555555556,Inf
"D Brevis","D Pretorius",6,4,0,1,1,0,9,150,Inf
"D Brevis","DR Sams",8,6,0,1,1,0,8,133.333333333333,Inf
"D Brevis","G Coetzee",11,5,0,1,0,1,13.2,220,Inf
"D Brevis","Haris Rauf",2,4,0,2,0,0,3,50,Inf
"D Brevis","Harmeet Singh",7,5,0,3,0,1,8.4,140,Inf
