"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"N Pooran",2023-07-30,"MI New York","Seattle Orcas",2,137,55,10,13,249.090909090909,TRUE,"Major League Cricket",2023,1381379,"Grand Prairie Stadium","Dallas","Seattle Orcas","MI New York","MI New York","field","N Pooran","MI New York","7",NA
"H Klaasen",2023-07-25,"Seattle Orcas","MI New York",2,110,44,9,7,250,TRUE,"Major League Cricket",2023,1381375,"Church Street Park, Morrisville","Morrisville","MI New York","Seattle Orcas","Seattle Orcas","field","H Klaasen","Seattle Orcas","2",NA
"RD Rickelton",2024-07-09,"Seattle Orcas","Los Angeles Knight Riders",2,103,66,9,5,156.060606060606,TRUE,"Major League Cricket",2024,1432731,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","Seattle Orcas","Seattle Orcas","field","RD Rickelton","Seattle Orcas","9",NA
"FH Allen",2024-07-26,"San Francisco Unicorns","Texas Super Kings",1,101,53,9,5,190.566037735849,FALSE,"Major League Cricket",2024,1432749,"Grand Prairie Stadium, Dallas","Dallas","San Francisco Unicorns","Texas Super Kings","Texas Super Kings","field","FH Allen","San Francisco Unicorns",NA,"10"
"F du Plessis",2024-07-08,"Texas Super Kings","Washington Freedom",1,100,58,12,5,172.413793103448,FALSE,"Major League Cricket",2024,1432730,"Church Street Park, Morrisville","Morrisville","Texas Super Kings","Washington Freedom","Washington Freedom","field",NA,NA,NA,NA
"CJ Anderson",2023-07-14,"San Francisco Unicorns","MI New York",1,91,52,4,7,175,TRUE,"Major League Cricket",2023,1381362,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","MI New York","San Francisco Unicorns","bat","CJ Anderson","San Francisco Unicorns",NA,"22"
"RD Rickelton",2024-07-17,"Seattle Orcas","Los Angeles Knight Riders",1,89,52,7,6,171.153846153846,FALSE,"Major League Cricket",2024,1432740,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","Los Angeles Knight Riders","Seattle Orcas","bat","RD Rickelton","Los Angeles Knight Riders","4",NA
"Q de Kock",2023-07-27,"Seattle Orcas","Texas Super Kings",2,88,50,10,4,176,TRUE,"Major League Cricket",2023,1381377,"Grand Prairie Stadium","Dallas","Texas Super Kings","Seattle Orcas","Texas Super Kings","bat","Q de Kock","Seattle Orcas","9",NA
"SPD Smith",2024-07-28,"Washington Freedom","San Francisco Unicorns",1,88,52,7,6,169.230769230769,FALSE,"Major League Cricket",2024,1432750,"Grand Prairie Stadium, Dallas","Dallas","Washington Freedom","San Francisco Unicorns","San Francisco Unicorns","field","SPD Smith","Washington Freedom",NA,"96"
"Q de Kock",2023-07-30,"Seattle Orcas","MI New York",1,87,52,9,4,167.307692307692,FALSE,"Major League Cricket",2023,1381379,"Grand Prairie Stadium","Dallas","Seattle Orcas","MI New York","MI New York","field","N Pooran","MI New York","7",NA
