"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SN Netravalkar",2023-07-22,"San Francisco Unicorns","Washington Freedom",2,"3.5",0,9,6,2.34782608695652,16,"Major League Cricket",2023,1381371,"Church Street Park, Morrisville","Morrisville","Washington Freedom","San Francisco Unicorns","San Francisco Unicorns","field","SN Netravalkar","Washington Freedom",NA,"30"
"WD Parnell",2023-07-21,"Texas Super Kings","Seattle Orcas",1,"4.0",0,20,5,5,16,"Major League Cricket",2023,1381370,"Church Street Park, Morrisville","Morrisville","Texas Super Kings","Seattle Orcas","Seattle Orcas","field","WD Parnell","Seattle Orcas","8",NA
"Mohammad Mohsin",2023-07-13,"Los Angeles Knight Riders","Texas Super Kings",2,"3.0",0,8,4,2.66666666666667,13,"Major League Cricket",2023,1381361,"Grand Prairie Stadium","Grand Prairie","Texas Super Kings","Los Angeles Knight Riders","Los Angeles Knight Riders","field","DA Miller","Texas Super Kings",NA,"69"
"TA Boult",2023-07-27,"Washington Freedom","MI New York",2,"4.0",0,20,4,5,13,"Major League Cricket",2023,1381376,"Grand Prairie Stadium","Dallas","MI New York","Washington Freedom","Washington Freedom","field","D Brevis","MI New York",NA,"16"
"CJ Gannon",2023-07-15,"San Francisco Unicorns","Seattle Orcas",2,"3.5",0,23,4,6,12,"Major League Cricket",2023,1381364,"Grand Prairie Stadium","Dallas","Seattle Orcas","San Francisco Unicorns","Seattle Orcas","bat","H Klaasen","Seattle Orcas",NA,"35"
"TA Boult",2023-07-28,"Texas Super Kings","MI New York",1,"4.0",0,24,4,6,15,"Major League Cricket",2023,1381378,"Grand Prairie Stadium","Dallas","Texas Super Kings","MI New York","MI New York","field","TA Boult","MI New York","6",NA
"G Coetzee",2023-07-24,"San Francisco Unicorns","Texas Super Kings",1,"4.0",0,31,4,7.75,12,"Major League Cricket",2023,1381374,"Church Street Park, Morrisville","Morrisville","San Francisco Unicorns","Texas Super Kings","San Francisco Unicorns","bat","DR Sams","Texas Super Kings","3",NA
"TA Boult",2023-07-25,"Seattle Orcas","MI New York",2,"4.0",0,31,4,7.75,12,"Major League Cricket",2023,1381375,"Church Street Park, Morrisville","Morrisville","MI New York","Seattle Orcas","Seattle Orcas","field","H Klaasen","Seattle Orcas","2",NA
"Ali Khan",2024-07-05,"Texas Super Kings","Los Angeles Knight Riders",2,"4.0",0,33,4,8.25,8,"Major League Cricket",2024,1432727,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","Texas Super Kings","Texas Super Kings","field","Ali Khan","Los Angeles Knight Riders",NA,"12"
"Rashid Khan",2023-07-30,"Seattle Orcas","MI New York",1,"4.0",0,9,3,2.25,19,"Major League Cricket",2023,1381379,"Grand Prairie Stadium","Dallas","Seattle Orcas","MI New York","MI New York","field","N Pooran","MI New York","7",NA
"CJ Gannon",2023-07-23,"Los Angeles Knight Riders","Seattle Orcas",2,"4.0",0,13,3,3.25,16,"Major League Cricket",2023,1381372,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","Los Angeles Knight Riders","Los Angeles Knight Riders","field","RR Rossouw","Los Angeles Knight Riders","2",NA
"Haris Rauf",2023-07-22,"Washington Freedom","San Francisco Unicorns",1,"4.0",0,20,3,5,10,"Major League Cricket",2023,1381371,"Church Street Park, Morrisville","Morrisville","Washington Freedom","San Francisco Unicorns","San Francisco Unicorns","field","SN Netravalkar","Washington Freedom",NA,"30"
"Rashid Khan",2024-07-05,"Seattle Orcas","MI New York",1,"4.0",0,22,3,5.5,13,"Major League Cricket",2024,1432726,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","MI New York","MI New York","field","N Pooran","MI New York","6",NA
"SN Netravalkar",2024-07-06,"MI New York","Washington Freedom",1,"4.0",0,24,3,6,11,"Major League Cricket",2024,1432728,"Church Street Park, Morrisville","Morrisville","MI New York","Washington Freedom","Washington Freedom","field","SN Netravalkar","Washington Freedom",NA,"4"
"TA Boult",2024-07-05,"Seattle Orcas","MI New York",1,"4.0",0,25,3,6.25,11,"Major League Cricket",2024,1432726,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","MI New York","MI New York","field","N Pooran","MI New York","6",NA
"MC Henriques",2023-07-20,"Los Angeles Knight Riders","Washington Freedom",1,"3.0",0,26,3,8.66666666666667,8,"Major League Cricket",2023,1381369,"Church Street Park, Morrisville","Morrisville","Los Angeles Knight Riders","Washington Freedom","Washington Freedom","field","AD Russell","Washington Freedom","6",NA
"AJ Tye",2023-07-27,"Texas Super Kings","Seattle Orcas",1,"4.0",0,32,3,8,10,"Major League Cricket",2023,1381377,"Grand Prairie Stadium","Dallas","Texas Super Kings","Seattle Orcas","Texas Super Kings","bat","Q de Kock","Seattle Orcas","9",NA
"JG Dill",2024-07-06,"MI New York","Washington Freedom",1,"4.0",0,33,3,8.25,8,"Major League Cricket",2024,1432728,"Church Street Park, Morrisville","Morrisville","MI New York","Washington Freedom","Washington Freedom","field","SN Netravalkar","Washington Freedom",NA,"4"
"TA Boult",2023-07-30,"Seattle Orcas","MI New York",1,"4.0",0,34,3,8.5,8,"Major League Cricket",2023,1381379,"Grand Prairie Stadium","Dallas","Seattle Orcas","MI New York","MI New York","field","N Pooran","MI New York","7",NA
"SH Johnson",2024-07-07,"San Francisco Unicorns","Los Angeles Knight Riders",2,"4.0",0,36,3,9,10,"Major League Cricket",2024,1432729,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","San Francisco Unicorns","San Francisco Unicorns","field","FH Allen","San Francisco Unicorns","6",NA
"A Zampa",2023-07-18,"San Francisco Unicorns","Los Angeles Knight Riders",1,"4.0",0,41,3,10.25,9,"Major League Cricket",2023,1381368,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","Los Angeles Knight Riders","San Francisco Unicorns","bat","MS Wade","San Francisco Unicorns",NA,"21"
"Ehsan Adil",2023-07-16,"Los Angeles Knight Riders","MI New York",2,"3.0",0,7,2,2.33333333333333,11,"Major League Cricket",2023,1381366,"Grand Prairie Stadium","Dallas","MI New York","Los Angeles Knight Riders","MI New York","bat","TH David","MI New York",NA,"105"
"NP Kenjige",2023-07-16,"Los Angeles Knight Riders","MI New York",2,"3.0",0,7,2,2.33333333333333,11,"Major League Cricket",2023,1381366,"Grand Prairie Stadium","Dallas","MI New York","Los Angeles Knight Riders","MI New York","bat","TH David","MI New York",NA,"105"
"KA Pollard",2023-07-16,"Los Angeles Knight Riders","MI New York",2,"2.0",0,9,2,4.5,7,"Major League Cricket",2023,1381366,"Grand Prairie Stadium","Dallas","MI New York","Los Angeles Knight Riders","MI New York","bat","TH David","MI New York",NA,"105"
"CA Dry",2023-07-16,"MI New York","Los Angeles Knight Riders",1,"2.0",0,10,2,5,7,"Major League Cricket",2023,1381366,"Grand Prairie Stadium","Dallas","MI New York","Los Angeles Knight Riders","MI New York","bat","TH David","MI New York",NA,"105"
"TA Boult",2023-07-16,"Los Angeles Knight Riders","MI New York",2,"2.5",0,10,2,3.52941176470588,12,"Major League Cricket",2023,1381366,"Grand Prairie Stadium","Dallas","MI New York","Los Angeles Knight Riders","MI New York","bat","TH David","MI New York",NA,"105"
"KA Pollard",2024-07-05,"Seattle Orcas","MI New York",1,"2.1",0,11,2,5.07692307692308,6,"Major League Cricket",2024,1432726,"Church Street Park, Morrisville","Morrisville","Seattle Orcas","MI New York","MI New York","field","N Pooran","MI New York","6",NA
"TH David",2023-07-28,"Texas Super Kings","MI New York",1,"1.0",0,14,2,14,3,"Major League Cricket",2023,1381378,"Grand Prairie Stadium","Dallas","Texas Super Kings","MI New York","MI New York","field","TA Boult","MI New York","6",NA
"AJ Tye",2023-07-21,"Texas Super Kings","Seattle Orcas",1,"4.0",0,15,2,3.75,14,"Major League Cricket",2023,1381370,"Church Street Park, Morrisville","Morrisville","Texas Super Kings","Seattle Orcas","Seattle Orcas","field","WD Parnell","Seattle Orcas","8",NA
"DR Sams",2023-07-17,"MI New York","Texas Super Kings",2,"4.0",0,15,2,3.75,14,"Major League Cricket",2023,1381367,"Grand Prairie Stadium","Dallas","Texas Super Kings","MI New York","Texas Super Kings","bat","DP Conway","Texas Super Kings",NA,"17"
"J Theron",2023-07-13,"Los Angeles Knight Riders","Texas Super Kings",2,"2.0",0,16,2,8,7,"Major League Cricket",2023,1381361,"Grand Prairie Stadium","Grand Prairie","Texas Super Kings","Los Angeles Knight Riders","Los Angeles Knight Riders","field","DA Miller","Texas Super Kings",NA,"69"
"K Rabada",2023-07-16,"Los Angeles Knight Riders","MI New York",2,"3.0",1,16,2,5.33333333333333,10,"Major League Cricket",2023,1381366,"Grand Prairie Stadium","Dallas","MI New York","Los Angeles Knight Riders","MI New York","bat","TH David","MI New York",NA,"105"
"Zia-ul-Haq",2024-07-05,"Los Angeles Knight Riders","Texas Super Kings",1,"3.0",0,16,2,5.33333333333333,10,"Major League Cricket",2024,1432727,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","Texas Super Kings","Texas Super Kings","field","Ali Khan","Los Angeles Knight Riders",NA,"12"
"SH Johnson",2024-07-05,"Texas Super Kings","Los Angeles Knight Riders",2,"4.0",0,18,2,4.5,13,"Major League Cricket",2024,1432727,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","Texas Super Kings","Texas Super Kings","field","Ali Khan","Los Angeles Knight Riders",NA,"12"
"NP Kenjige",2023-07-27,"Washington Freedom","MI New York",2,"4.0",0,19,2,4.75,10,"Major League Cricket",2023,1381376,"Grand Prairie Stadium","Dallas","MI New York","Washington Freedom","Washington Freedom","field","D Brevis","MI New York",NA,"16"
"Harmeet Singh",2023-07-25,"MI New York","Seattle Orcas",1,"3.0",0,21,2,7,6,"Major League Cricket",2023,1381375,"Church Street Park, Morrisville","Morrisville","MI New York","Seattle Orcas","Seattle Orcas","field","H Klaasen","Seattle Orcas","2",NA
"G Coetzee",2023-07-13,"Los Angeles Knight Riders","Texas Super Kings",2,"2.0",0,22,2,11,6,"Major League Cricket",2023,1381361,"Grand Prairie Stadium","Grand Prairie","Texas Super Kings","Los Angeles Knight Riders","Los Angeles Knight Riders","field","DA Miller","Texas Super Kings",NA,"69"
"Imad Wasim",2023-07-25,"MI New York","Seattle Orcas",1,"4.0",0,23,2,5.75,14,"Major League Cricket",2023,1381375,"Church Street Park, Morrisville","Morrisville","MI New York","Seattle Orcas","Seattle Orcas","field","H Klaasen","Seattle Orcas","2",NA
"Imad Wasim",2023-07-27,"Texas Super Kings","Seattle Orcas",1,"4.0",0,23,2,5.75,12,"Major League Cricket",2023,1381377,"Grand Prairie Stadium","Dallas","Texas Super Kings","Seattle Orcas","Texas Super Kings","bat","Q de Kock","Seattle Orcas","9",NA
"LH Ferguson",2023-07-13,"Texas Super Kings","Los Angeles Knight Riders",1,"4.0",0,23,2,5.75,13,"Major League Cricket",2023,1381361,"Grand Prairie Stadium","Grand Prairie","Texas Super Kings","Los Angeles Knight Riders","Los Angeles Knight Riders","field","DA Miller","Texas Super Kings",NA,"69"
"BL Couch",2024-07-07,"Los Angeles Knight Riders","San Francisco Unicorns",1,"4.0",0,24,2,6,11,"Major League Cricket",2024,1432729,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","San Francisco Unicorns","San Francisco Unicorns","field","FH Allen","San Francisco Unicorns","6",NA
"Harmeet Singh",2023-07-14,"Washington Freedom","Seattle Orcas",1,"4.0",0,24,2,6,7,"Major League Cricket",2023,1381363,"Grand Prairie Stadium","Dallas","Washington Freedom","Seattle Orcas","Seattle Orcas","field","Imad Wasim","Seattle Orcas","5",NA
"Imad Wasim",2023-07-15,"San Francisco Unicorns","Seattle Orcas",2,"3.0",0,24,2,8,9,"Major League Cricket",2023,1381364,"Grand Prairie Stadium","Dallas","Seattle Orcas","San Francisco Unicorns","Seattle Orcas","bat","H Klaasen","Seattle Orcas",NA,"35"
