"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Nortje",2023,"Major League Cricket","Washington Freedom",1,4,6,66.6666666666667,Inf,0,0,1,0,0,4
"A Zampa",2023,"Major League Cricket","Los Angeles Knight Riders",4,22,23,95.6521739130435,11,1,0,2,0,0,12
"AD Russell",2023,"Major League Cricket","Los Angeles Knight Riders",5,206,132,156.060606060606,68.6666666666667,19,15,2,0,2,70
"AGS Gous",2023,"Major League Cricket","Washington Freedom",6,142,110,129.090909090909,23.6666666666667,21,2,0,0,0,40
"AJ Finch",2023,"Major League Cricket","San Francisco Unicorns",5,68,77,88.3116883116883,17,6,3,1,0,0,19
"AJ Hosein",2023,"Major League Cricket","Washington Freedom",4,59,47,125.531914893617,19.6666666666667,4,2,1,0,0,33
"AJ Pienaar",2023,"Major League Cricket","Washington Freedom",6,95,78,121.794871794872,31.6666666666667,6,3,3,0,0,29
"AJ Tye",2023,"Major League Cricket","Seattle Orcas",3,6,8,75,6,0,0,2,0,0,4
"Ali Khan",2023,"Major League Cricket","Los Angeles Knight Riders",2,5,12,41.6666666666667,5,0,0,1,0,0,4
"BKEL Milantha",2023,"Major League Cricket","Texas Super Kings",2,32,34,94.1176470588235,16,2,1,0,0,0,17
"C Chetty",2023,"Major League Cricket","Texas Super Kings",5,76,75,101.333333333333,15.2,10,1,0,0,0,24
"C le Roux",2023,"Major League Cricket","San Francisco Unicorns",2,1,2,50,1,0,0,1,0,0,1
"CA Dry",2023,"Major League Cricket","Los Angeles Knight Riders",3,7,10,70,2.33333333333333,0,1,0,0,0,7
"CJ Anderson",2023,"Major League Cricket","San Francisco Unicorns",5,190,131,145.038167938931,47.5,12,12,1,0,1,91
"CP Savage",2023,"Major League Cricket","Texas Super Kings",5,39,27,144.444444444444,13,2,3,2,0,0,14
"Chaitanya Bishnoi",2023,"Major League Cricket","San Francisco Unicorns",4,52,41,126.829268292683,13,3,3,0,0,0,35
"D Brevis",2023,"Major League Cricket","MI New York",5,165,124,133.064516129032,41.25,11,9,1,0,1,57
"D Pretorius",2023,"Major League Cricket","Seattle Orcas",2,23,10,230,11.5,3,1,0,0,0,21
"D Wiese",2023,"Major League Cricket","MI New York",3,41,28,146.428571428571,20.5,3,1,1,0,0,19
