"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ashok",11,73,262,27.8625954198473,10.4285714285714,9,0,4,0,0,16
"A Bagai",4,97,178,54.4943820224719,24.25,13,0,0,0,1,57
"A Balbirnie",14,503,894,56.2639821029083,38.6923076923077,58,3,1,1,2,205
"A Carter",17,178,233,76.3948497854077,14.8333333333333,27,3,5,0,0,39
"A Harinath",44,1449,2984,48.558981233244,34.5,187,4,2,3,7,137
"A Jain",4,76,173,43.9306358381503,25.3333333333333,6,0,1,0,0,44
"A Javid",30,426,1311,32.4942791762014,15.2142857142857,46,0,2,0,2,69
"A Kapil",4,33,79,41.7721518987342,8.25,4,0,0,0,0,21
"A Karvelas",19,260,482,53.9419087136929,16.25,28,8,3,0,2,57
"A Lyth",218,7784,15070,51.6522893165229,37.6038647342995,1081,56,11,21,36,230
"A Pyecroft",5,21,65,32.3076923076923,4.2,2,0,0,0,0,12
"A Sakande",15,70,168,41.6666666666667,11.6666666666667,8,0,9,0,0,15
"A Shahzad",31,498,1061,46.9368520263902,21.6521739130435,58,5,8,0,1,68
"A Sheikh",10,37,86,43.0232558139535,4.625,6,0,2,0,0,12
"A Vala",4,290,498,58.2329317269076,96.6666666666667,21,2,1,2,0,144
"A Verma",8,106,292,36.3013698630137,21.2,13,0,3,0,0,33
"A Virdi",43,178,453,39.2935982339956,8.47619047619048,29,1,22,0,0,47
"A Zampa",10,182,292,62.3287671232877,26,13,3,3,0,1,57
"AA Bevilaqua",4,57,42,135.714285714286,19,5,3,1,0,0,36
"AA Mulla",4,13,35,37.1428571428571,3.25,0,1,0,0,0,6
"AA Obanda",8,234,295,79.3220338983051,33.4285714285714,32,1,1,0,1,83
"AAP Atkinson",22,325,592,54.8986486486486,19.1176470588235,44,5,5,0,2,66
"AB Holder",2,10,35,28.5714285714286,10,1,0,1,0,0,8
"AC Agar",10,344,584,58.9041095890411,38.2222222222222,41,3,1,1,2,114
"AC Evans",2,14,34,41.1764705882353,Inf,2,0,2,0,0,14
"AC Lenham",12,206,541,38.0776340110906,20.6,26,0,2,0,0,48
"AC Thomas",24,243,626,38.8178913738019,15.1875,25,0,8,0,1,54
"AC Voges",28,1241,2356,52.6740237691002,49.64,148,0,3,2,8,160
