"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"C Rushworth",209,3803.1,864,11096,502,22.1035856573705,2.91756869275604,45.4561752988048,17803,20,26,"9/52"
"JS Patel",212,4438,1224,12209,453,26.9514348785872,2.75101397025687,58.7814569536424,21055,21,23,"8/36"
"JA Porter",204,3151.1,646,10138,443,22.8848758465011,3.21722113502935,42.6794582392777,14399,25,18,"7/41"
"SR Harmer",159,3530.4,950,9431,432,21.8310185185185,2.671166918429,49.037037037037,16638,15,35,"9/80"
"J Leach",204,3436.3,681,11240,417,26.9544364508393,3.27076967845191,49.4460431654676,15657,18,15,"6/44"
"TJ Murtagh",182,3370.1,853,9221,412,22.381067961165,2.73606646555561,49.0800970873786,15987,20,16,"6/42"
"BA Raine",202,3632.5,862,10480,398,26.3316582914573,2.88480066064137,54.7663316582915,16991,18,13,"6/27"
"KHD Barker",201,3322.4,811,9347,372,25.1263440860215,2.81310192616372,53.5913978494624,15766,17,15,"7/46"
"KJ Abbott",153,2515,628,7477,359,20.8272980501393,2.97296222664016,42.033426183844,11819,14,22,"9/40"
"BW Sanderson",161,2971.1,764,7892,351,22.4843304843305,2.65619565827116,50.7891737891738,14144,19,18,"8/73"
"MG Hogan",176,3209.3,768,8848,348,25.4252873563218,2.75681570338059,55.3362068965517,15011,21,13,"6/43"
"C Overton",169,2766.4,660,8173,345,23.6898550724638,2.95409638554217,48.1159420289855,12970,18,14,"7/57"
"DI Stevens",157,2781,740,7570,343,22.069970845481,2.7220424307803,48.6472303206997,13233,11,24,"8/75"
"TE Bailey",165,2844.5,706,7912,337,23.4777448071217,2.78118226023786,50.6498516320475,13424,16,15,"7/37"
"JA Brooks",158,2541.5,490,9233,332,27.8102409638554,3.6324175463904,45.9367469879518,11426,17,15,"6/65"
"TS Roland-Jones",158,2938.5,618,8977,322,27.8788819875776,3.05461350876198,54.7608695652174,13559,18,14,"7/52"
"OE Robinson",121,2148,470,6317,314,20.1178343949045,2.94087523277467,41.0445859872611,9945,22,19,"9/78"
"CJC Wright",173,2932.3,539,9821,314,31.2770700636943,3.34901960784314,56.0350318471338,13265,10,11,"7/53"
