"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_runs","winner_innings","outcome","winner_wickets","tv_umpire","toss_uncontested","match_number"
247219,6,"Canada","Netherlands","male","2006/07",2006-12-05,"ICC Intercontinental Cup","Sinovich Park, Sinoville","Pretoria","Canada","bat",NA,"SR Modi","A Crafford","PJ du Plessis","A Barnes","Netherlands",NA,NA,NA,7,NA,NA,NA
292300,6,"Canada","Kenya","male","2007/08",2007-10-12,"ICC Intercontinental Cup","Gymkhana Club Ground","Nairobi","Canada","bat",NA,"M Erasmus","BB Pradhan",NA,NA,"Kenya",NA,NA,NA,9,NA,NA,NA
292302,6,"Bermuda","Kenya","male","2007/08",2007-11-01,"ICC Intercontinental Cup","Gymkhana Club Ground","Nairobi","Kenya","field","DL Hemp","BB Pradhan","IL Howell","IO Oyieko","DT Jukes","Kenya",NA,NA,NA,8,NA,NA,NA
415161,6,"Kenya","Canada","male","2009",2009-08-14,"ICC Intercontinental Shield","Maple Leaf South-West Ground","King City","Kenya","bat","SO Tikolo","NA Malcolm","K Bayney","R Sivanadian","DT Jukes","Kenya",247,NA,NA,NA,NA,NA,NA
438938,6,"Netherlands","Kenya","male","2009/10",2010-02-20,"ICC Intercontinental Shield","Gymkhana Club Ground","Nairobi","Netherlands","bat",NA,"Zameer Haider","SR Modi","D Angara","D Govindjee","Kenya",NA,NA,NA,5,NA,NA,NA
516841,6,"United Arab Emirates","Kenya","male","2011",2011-07-28,"ICC Intercontinental Cup","Gymkhana Club Ground","Nairobi","United Arab Emirates","bat",NA,"RB Tiffin","S George","H Ochieng","D Govindjee","United Arab Emirates",266,NA,NA,NA,NA,NA,NA
516851,6,"Afghanistan","Ireland","male","2012",2012-07-09,"ICC Intercontinental Cup","Observatory Lane, Rathmines","Dublin","Ireland","field",NA,"RP Smith","S George","CA McElwee","DT Jukes",NA,NA,NA,"draw",NA,NA,NA,NA
516852,6,"Kenya","Namibia","male","2012/13",2012-09-29,"ICC Intercontinental Cup","United Cricket Club Ground","Windhoek","Kenya","bat",NA,"RB Tiffin","D Odhiambo","AW Louw","D Govindjee","Namibia",1,"1",NA,NA,NA,NA,NA
516862,6,"Namibia","Afghanistan","male","2013",2013-08-04,"ICC Intercontinental Cup","Wanderers Cricket Ground","Windhoek","Namibia","bat",NA,"AW Louw","AT Holdstock","A Louw","GF Labrooy","Afghanistan",NA,NA,NA,10,NA,NA,NA
516863,6,"Scotland","Ireland","male","2013",2013-09-11,"ICC Intercontinental Cup","Castle Avenue","Dublin","Ireland","field",NA,"JD Cloete","RP Smith","AA Baig","DT Jukes","Ireland",44,"1",NA,NA,NA,NA,NA
