"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Gqamane",1,8,4,200,Inf,0,1,1,0,0,8
"A Mgijima",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"A Nortje",2,4,6,66.6666666666667,4,1,0,1,0,0,4
"AB de Villiers",19,607,387,156.847545219638,37.9375,51,25,3,0,6,93
"ACR Birch",3,7,10,70,7,0,0,2,0,0,4
"AD Hales",6,160,113,141.592920353982,40,17,5,2,0,1,97
"AK Markram",8,156,137,113.868613138686,22.2857142857143,13,3,1,0,1,50
"AL Phehlukwayo",11,112,97,115.463917525773,14,7,5,3,0,0,28
"AM Phangiso",7,35,52,67.3076923076923,5,2,1,0,0,0,17
"AP Agathangelou",4,56,38,147.368421052632,14,8,2,0,0,0,23
"Asif Ali",14,240,150,160,17.1428571428571,17,15,0,0,1,80
"B Mavuta",1,8,8,100,Inf,0,1,1,0,0,8
"BC Fortuin",9,40,42,95.2380952380952,8,3,0,4,0,0,10
"BE Hendricks",3,8,9,88.8888888888889,4,0,0,1,0,0,4
"BM Duckett",9,201,160,125.625,28.7142857142857,15,8,2,0,1,75
"BMAJ Mendis",4,8,16,50,2,0,1,0,0,0,7
"BR Dunk",10,415,277,149.819494584838,51.875,40,17,2,0,3,99
"BS Makhanya",7,123,96,128.125,24.6,8,6,2,0,1,63
"C Bosch",3,11,16,68.75,3.66666666666667,0,0,0,0,0,9
"C Jonker",6,45,47,95.7446808510638,7.5,5,1,0,0,0,23
"C le Roux",1,8,10,80,Inf,1,0,1,0,0,8
"CH Gayle",10,144,118,122.033898305085,14.4,18,8,0,0,1,54
"CH Morris",14,197,121,162.809917355372,24.625,13,11,6,0,0,42
"CJ Dala",5,20,13,153.846153846154,6.66666666666667,3,0,2,0,0,9
"CP Savage",1,5,9,55.5555555555556,5,0,0,0,0,0,5
"CS Delport",15,461,282,163.475177304965,30.7333333333333,60,16,0,0,3,84
"D Elgar",15,418,340,122.941176470588,34.8333333333333,39,10,3,0,3,88
"D Olivier",5,29,33,87.8787878787879,Inf,3,0,5,0,0,15
"D Paterson",4,41,32,128.125,10.25,4,1,0,0,0,17
"D Potgieter",1,1,2,50,Inf,0,0,1,0,0,1
"D Pretorius",7,180,118,152.542372881356,25.7142857142857,10,11,0,0,0,43
"D Wiese",8,104,85,122.352941176471,17.3333333333333,7,4,2,0,0,31
"DA Miller",13,293,229,127.947598253275,29.3,16,15,3,0,1,50
"DG Bedingham",3,106,84,126.190476190476,35.3333333333333,9,3,0,0,1,53
"DJ Bravo",5,66,48,137.5,16.5,2,6,1,0,0,25
"DJ Malan",7,60,75,80,8.57142857142857,8,1,0,0,0,17
"DJ Vilas",14,317,238,133.193277310924,35.2222222222222,22,12,5,0,1,75
"DL Piedt",2,9,12,75,4.5,0,0,0,0,0,8
"DT Christian",16,260,161,161.490683229814,23.6363636363636,12,17,5,0,1,52
"DW Steyn",6,30,28,107.142857142857,15,2,1,4,0,0,15
"E Bosch",1,17,17,100,17,1,1,0,0,0,17
"E Leie",1,0,1,0,0,0,0,0,0,0,0
"EJG Morgan",4,58,35,165.714285714286,19.3333333333333,4,4,1,0,0,27
"F Behardien",9,166,137,121.167883211679,20.75,10,4,1,0,0,48
"F du Plessis",18,537,370,145.135135135135,38.3571428571429,42,20,4,0,5,76
"FD Adams",7,73,72,101.388888888889,14.6,5,2,2,0,0,23
"G Coetzee",2,5,13,38.4615384615385,2.5,0,0,0,0,0,4
"G Mahlokwana",2,3,6,50,1.5,0,0,0,0,0,3
"GC Viljoen",5,28,21,133.333333333333,14,3,1,3,0,0,9
"GF Linde",11,106,88,120.454545454545,21.2,6,4,6,0,0,24
"GJ Snyman",1,1,2,50,1,0,0,0,0,0,1
"GL Cloete",10,330,290,113.793103448276,33,38,5,0,0,4,80
"GM Thomson",3,88,68,129.411764705882,44,6,1,1,0,1,71
"H Davids",17,415,301,137.873754152824,25.9375,44,15,1,0,2,77
"H Klaasen",16,225,187,120.320855614973,17.3076923076923,17,9,3,0,0,36
"HE van der Dussen",18,599,446,134.304932735426,46.0769230769231,35,28,5,0,4,96
"HG Kuhn",15,298,243,122.633744855967,21.2857142857143,26,7,1,0,3,58
"HM Amla",7,71,87,81.6091954022989,10.1428571428571,7,0,0,0,0,24
"Hussain Talat",3,25,31,80.6451612903226,25,0,0,2,0,0,16
"I Udana",8,95,79,120.253164556962,19,5,4,3,0,0,28
"Imran Tahir",5,19,23,82.6086956521739,19,0,1,4,0,0,9
"JA Morkel",8,178,115,154.782608695652,25.4285714285714,13,12,1,0,1,57
"JF Smith",1,25,27,92.5925925925926,25,3,0,0,0,0,25
"JJ Roy",9,167,119,140.336134453782,18.5555555555556,18,8,0,0,1,50
"JM Vince",8,226,160,141.25,37.6666666666667,16,7,2,0,1,86
"JN Malan",18,663,482,137.551867219917,39,60,30,1,0,5,99
"JT Smuts",19,457,374,122.192513368984,28.5625,48,11,3,0,4,73
"K Rabada",7,49,37,132.432432432432,8.16666666666667,6,2,1,0,0,21
"K Verreynne",6,171,118,144.915254237288,42.75,16,3,2,0,1,53
"K Zondo",9,216,174,124.137931034483,30.8571428571429,16,6,2,0,1,67
"KA Maharaj",8,82,67,122.388059701493,27.3333333333333,9,2,5,0,0,23
"KJ Abbott",4,45,28,160.714285714286,22.5,5,1,2,0,0,30
"L Sipamla",3,2,5,40,1,0,0,1,0,0,1
"LB Williams",3,5,12,41.6666666666667,5,0,0,2,0,0,5
"LS Livingstone",9,208,162,128.395061728395,23.1111111111111,7,15,0,0,1,65
"M Klinger",2,16,16,100,8,2,0,0,0,0,14
"M Marais",15,279,231,120.779220779221,23.25,26,8,3,0,0,47
"M Morkel",1,2,2,100,Inf,0,0,1,0,0,2
"M Mosehle",13,163,152,107.236842105263,16.3,12,3,3,0,0,31
"M Nabe",1,1,1,100,Inf,0,0,1,0,0,1
"M de Lange",1,1,1,100,Inf,0,0,1,0,0,1
"MJ Ackerman",4,87,73,119.178082191781,21.75,7,2,0,0,0,43
"MM Ali",2,38,30,126.666666666667,19,5,1,0,0,0,25
"MN van Wyk",8,210,150,140,26.25,19,9,0,0,2,66
"MP Breetzke",8,154,134,114.925373134328,19.25,14,3,0,0,1,64
"MP Siboto",4,22,21,104.761904761905,11,3,0,2,0,0,9
"Mohammad Nawaz",10,151,119,126.890756302521,15.1,11,7,0,0,1,59
"N Burger",4,14,18,77.7777777777778,14,1,0,3,0,0,6
"O Nyaku",2,5,4,125,5,1,0,1,0,0,4
"P Subrayen",1,1,1,100,Inf,0,0,1,0,0,1
"PE Kruger",4,37,33,112.121212121212,12.3333333333333,2,1,1,0,0,19
"PJ van Biljon",14,290,188,154.255319148936,36.25,23,13,6,0,1,62
"PWA Mulder",4,69,56,123.214285714286,34.5,7,1,2,0,1,52
"Q de Kock",17,647,387,167.1834625323,40.4375,76,29,1,1,3,108
"R Frylinck",5,36,34,105.882352941176,9,3,1,1,0,0,22
"R McLaren",2,19,22,86.3636363636364,Inf,1,0,2,0,0,10
"RD Rickelton",14,300,257,116.731517509728,23.0769230769231,23,10,1,0,1,91
"RE van der Merwe",4,36,37,97.2972972972973,36,2,0,3,0,0,16
"RK Kleinveldt",5,21,21,100,5.25,1,0,1,0,0,11
"RN ten Doeschate",5,90,88,102.272727272727,18,2,1,0,0,0,33
"RR Hendricks",16,687,509,134.970530451866,49.0714285714286,65,24,2,2,5,108
"RR Rossouw",2,15,14,107.142857142857,7.5,1,0,0,0,0,15
"RS Bopara",3,87,66,131.818181818182,87,6,2,2,0,1,57
"RS Second",8,136,120,113.333333333333,22.6666666666667,8,3,2,0,0,37
"Rashid Khan",2,9,9,100,4.5,0,1,0,0,0,6
"S Qeshile",2,14,11,127.272727272727,7,3,0,0,0,0,14
"S von Berg",3,8,14,57.1428571428571,4,1,0,1,0,0,5
"SC Williams",4,31,24,129.166666666667,15.5,5,0,2,0,0,13
"SJ Erwee",6,141,114,123.684210526316,23.5,15,5,0,0,1,62
"SR Harmer",6,60,56,107.142857142857,15,2,3,2,0,0,25
"SSB Magala",11,53,55,96.3636363636364,6.625,3,2,3,0,0,31
"Shoaib Malik",1,20,8,250,Inf,2,1,1,0,0,20
"Sikandar Raza",2,39,38,102.631578947368,19.5,3,0,0,0,0,20
"T Bavuma",9,237,180,131.666666666667,26.3333333333333,22,7,0,0,1,62
"T Bokako",2,6,6,100,3,1,0,0,0,0,6
"T Shamsi",3,4,5,80,Inf,0,0,3,0,0,2
"T de Zorzi",13,187,181,103.314917127072,18.7,16,3,3,0,0,33
"TB de Bruyn",11,193,160,120.625,19.3,22,3,1,0,1,66
"TK Curran",3,9,5,180,4.5,2,0,1,0,0,5
"TL Moreki",4,11,30,36.6666666666667,3.66666666666667,0,0,1,0,0,5
"VB van Jaarsveld",8,121,119,101.680672268908,17.2857142857143,10,0,1,0,0,32
"VD Philander",11,200,149,134.228187919463,40,13,7,6,0,0,33
"WB Marshall",5,57,45,126.666666666667,11.4,5,3,0,0,0,29
"WJ Lubbe",7,177,98,180.612244897959,25.2857142857143,19,9,0,0,1,83
"Wahab Riaz",7,50,31,161.290322580645,12.5,5,1,3,0,0,29
"Z Pongolo",2,18,13,138.461538461538,18,0,2,1,0,0,14
