"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"D Olivier",14,"50.3",0,441,27,16.3333333333333,8.73267326732673,11.2222222222222,126,0,0,"3/30"
"DW Steyn",17,"67.0",2,454,27,16.8148148148148,6.77611940298507,14.8888888888889,182,0,0,"3/10"
"T Shamsi",18,"67.3",0,456,26,17.5384615384615,6.75555555555556,15.5769230769231,122,0,0,"3/16"
"Imran Tahir",16,"62.0",1,377,21,17.952380952381,6.08064516129032,17.7142857142857,130,0,0,"3/23"
"K Rabada",16,"61.4",1,457,21,21.7619047619048,7.41081081081081,17.6190476190476,173,1,0,"4/27"
"SSB Magala",16,"54.5",0,432,19,22.7368421052632,7.87841945288754,17.3157894736842,112,0,0,"3/17"
"CH Morris",18,"63.5",1,516,19,27.1578947368421,8.08355091383812,20.1578947368421,159,0,0,"2/8"
"BC Fortuin",18,"62.0",1,437,17,25.7058823529412,7.04838709677419,21.8823529411765,137,1,0,"4/15"
"CJ Dala",15,"49.0",0,449,17,26.4117647058824,9.16326530612245,17.2941176470588,117,0,0,"3/19"
"L Sipamla",16,"48.4",0,473,17,27.8235294117647,9.71917808219178,17.1764705882353,106,0,0,"3/19"
"BMAJ Mendis",9,"32.1",0,266,16,16.625,8.26943005181347,12.0625,67,1,0,"4/22"
"BE Hendricks",12,"42.5",1,365,16,22.8125,8.52140077821012,16.0625,112,0,0,"2/13"
"MP Siboto",16,"52.2",1,433,16,27.0625,8.27388535031847,19.625,110,0,0,"2/14"
"KJ Abbott",16,"56.5",0,512,15,34.1333333333333,9.00879765395894,22.7333333333333,123,1,0,"4/27"
"A Nortje",10,"38.2",0,311,14,22.2142857142857,8.11304347826087,16.4285714285714,100,1,0,"4/32"
"SR Harmer",15,"44.1",0,351,14,25.0714285714286,7.94716981132076,18.9285714285714,83,0,0,"3/22"
"JT Smuts",17,"48.1",0,341,13,26.2307692307692,7.07958477508651,22.2307692307692,90,0,0,"3/17"
"M Morkel",8,"25.4",0,163,12,13.5833333333333,6.35064935064935,12.8333333333333,60,0,0,"3/21"
"N Burger",13,"45.4",1,348,12,29,7.62043795620438,22.8333333333333,116,0,0,"3/19"
"DT Christian",17,"45.0",0,393,12,32.75,8.73333333333333,22.5,76,1,0,"4/22"
"KA Maharaj",16,"61.0",0,422,12,35.1666666666667,6.91803278688525,30.5,122,0,0,"3/15"
"D Wiese",11,"38.0",0,309,11,28.0909090909091,8.13157894736842,20.7272727272727,69,0,0,"3/30"
"FD Adams",12,"39.1",1,322,11,29.2727272727273,8.22127659574468,21.3636363636364,74,0,0,"3/28"
"D Paterson",12,"43.3",0,392,11,35.6363636363636,9.01149425287356,23.7272727272727,90,0,0,"3/23"
"DJ Bravo",5,"20.0",0,143,10,14.3,7.15,12,41,0,0,"3/22"
"Z Pongolo",8,"18.4",0,163,10,16.3,8.73214285714286,11.2,31,0,1,"6/20"
"GF Linde",10,"24.4",0,209,10,20.9,8.47297297297297,14.8,34,0,0,"3/23"
"I Udana",10,"34.5",0,274,10,27.4,7.86602870813397,20.9,65,0,0,"2/24"
