"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Gqamane","BE Hendricks",7,3,0,1,0,1,14,233.333333333333,Inf
"A Gqamane","CH Morris",1,1,0,0,0,0,6,100,Inf
"A Mgijima","BC Fortuin",0,1,1,1,0,0,0,0,0
"A Mgijima","D Pretorius",2,2,0,0,0,0,6,100,Inf
"A Nortje","I Udana",0,2,1,2,0,0,0,0,0
"A Nortje","T Shamsi",4,4,0,3,1,0,6,100,Inf
"AB de Villiers","A Mnyaka",16,7,0,1,3,0,13.7142857142857,228.571428571429,Inf
"AB de Villiers","A Nortje",3,5,0,2,0,0,3.6,60,Inf
"AB de Villiers","AL Phehlukwayo",0,2,1,2,0,0,0,0,0
"AB de Villiers","AM Phangiso",16,14,0,1,1,0,6.85714285714286,114.285714285714,Inf
"AB de Villiers","BC Fortuin",19,17,0,3,1,0,6.70588235294118,111.764705882353,Inf
"AB de Villiers","BE Hendricks",4,3,0,1,0,0,8,133.333333333333,Inf
"AB de Villiers","C le Roux",0,1,1,1,0,0,0,0,0
"AB de Villiers","CH Morris",15,11,0,2,2,0,8.18181818181818,136.363636363636,Inf
"AB de Villiers","CJ Dala",30,14,1,3,3,2,12.8571428571429,214.285714285714,30
"AB de Villiers","D Olivier",19,9,0,2,2,1,12.6666666666667,211.111111111111,Inf
"AB de Villiers","D Paterson",17,5,0,0,2,1,20.4,340,Inf
"AB de Villiers","D Pretorius",13,7,1,2,1,1,11.1428571428571,185.714285714286,13
"AB de Villiers","D Wiese",1,1,0,0,0,0,6,100,Inf
"AB de Villiers","DJ Bravo",6,5,1,2,1,0,7.2,120,6
"AB de Villiers","DL Piedt",3,3,0,1,0,0,6,100,Inf
"AB de Villiers","DT Christian",16,11,1,1,1,0,8.72727272727273,145.454545454545,16
"AB de Villiers","DW Steyn",6,10,1,5,0,0,3.6,60,6
"AB de Villiers","E Leie",21,9,0,2,1,2,14,233.333333333333,Inf
"AB de Villiers","FD Adams",48,22,1,4,4,3,13.0909090909091,218.181818181818,48
"AB de Villiers","GC Viljoen",38,14,0,3,3,3,16.2857142857143,271.428571428571,Inf
"AB de Villiers","GF Linde",16,6,0,0,0,2,16,266.666666666667,Inf
"AB de Villiers","GM Thomson",2,2,0,0,0,0,6,100,Inf
"AB de Villiers","H Davids",6,3,0,0,1,0,12,200,Inf
"AB de Villiers","H Klaasen",17,5,0,1,1,2,20.4,340,Inf
"AB de Villiers","I Udana",25,15,1,4,0,2,10,166.666666666667,25
"AB de Villiers","Imran Tahir",29,25,0,4,2,0,6.96,116,Inf
"AB de Villiers","JA Morkel",11,10,0,6,2,0,6.6,110,Inf
"AB de Villiers","JT Smuts",11,8,0,2,1,0,8.25,137.5,Inf
"AB de Villiers","K Mungroo",8,7,0,2,1,0,6.85714285714286,114.285714285714,Inf
"AB de Villiers","K Rabada",7,5,1,1,1,0,8.4,140,7
"AB de Villiers","KA Maharaj",25,19,1,8,1,2,7.89473684210526,131.578947368421,25
"AB de Villiers","KJ Abbott",35,15,0,1,5,1,14,233.333333333333,Inf
"AB de Villiers","LB Williams",8,6,0,3,0,1,8,133.333333333333,Inf
"AB de Villiers","LS Livingstone",5,4,0,0,0,0,7.5,125,Inf
"AB de Villiers","M Nabe",4,3,1,2,1,0,8,133.333333333333,4
"AB de Villiers","MP Siboto",0,3,1,3,0,0,0,0,0
"AB de Villiers","Mohammad Nawaz",33,19,0,2,3,1,10.4210526315789,173.684210526316,Inf
"AB de Villiers","N Burger",5,4,0,2,1,0,7.5,125,Inf
"AB de Villiers","O Cele",4,4,0,1,0,0,6,100,Inf
"AB de Villiers","Rashid Khan",13,10,0,4,2,0,7.8,130,Inf
"AB de Villiers","SR Harmer",3,4,0,1,0,0,4.5,75,Inf
"AB de Villiers","SSB Magala",10,11,1,5,1,0,5.45454545454545,90.9090909090909,10
"AB de Villiers","T Shamsi",31,23,2,3,3,0,8.08695652173913,134.782608695652,15.5
"AB de Villiers","Wahab Riaz",8,6,0,4,0,1,8,133.333333333333,Inf
"ACR Birch","A Nortje",1,3,0,2,0,0,2,33.3333333333333,Inf
"ACR Birch","FD Adams",1,1,0,0,0,0,6,100,Inf
"ACR Birch","KJ Abbott",4,3,0,0,0,0,8,133.333333333333,Inf
"ACR Birch","MP Siboto",0,2,1,2,0,0,0,0,0
"ACR Birch","N Burger",1,1,0,0,0,0,6,100,Inf
"AD Hales","BC Fortuin",24,12,0,1,2,1,12,200,Inf
"AD Hales","BE Hendricks",17,10,0,4,2,1,10.2,170,Inf
"AD Hales","BS Makhanya",6,4,0,0,0,0,9,150,Inf
"AD Hales","CH Morris",11,11,0,6,2,0,6,100,Inf
"AD Hales","CJ Dala",4,6,1,3,0,0,4,66.6666666666667,4
"AD Hales","DW Steyn",2,5,2,4,0,0,2.4,40,1
"AD Hales","GC Viljoen",37,15,0,2,6,1,14.8,246.666666666667,Inf
"AD Hales","I Udana",8,6,0,1,1,0,8,133.333333333333,Inf
"AD Hales","Imran Tahir",10,11,0,5,1,0,5.45454545454545,90.9090909090909,Inf
"AD Hales","JT Smuts",2,2,0,0,0,0,6,100,Inf
"AD Hales","K Mungroo",18,12,0,5,0,2,9,150,Inf
"AD Hales","L Ngidi",1,2,0,1,0,0,3,50,Inf
"AD Hales","N Burger",0,3,1,3,0,0,0,0,0
"AD Hales","O Nyaku",2,2,0,0,0,0,6,100,Inf
"AD Hales","T Shamsi",4,6,0,2,0,0,4,66.6666666666667,Inf
"AD Hales","TK Curran",6,3,0,1,1,0,12,200,Inf
"AD Hales","VD Philander",8,3,0,1,2,0,16,266.666666666667,Inf
"AK Markram","AM Phangiso",14,17,0,7,1,0,4.94117647058824,82.3529411764706,Inf
"AK Markram","B Mavuta",9,8,1,1,0,0,6.75,112.5,9
"AK Markram","CH Morris",12,8,0,3,2,0,9,150,Inf
"AK Markram","CJ Dala",12,8,0,2,1,0,9,150,Inf
"AK Markram","D Matthews",2,3,0,1,0,0,4,66.6666666666667,Inf
"AK Markram","D Olivier",0,1,1,1,0,0,0,0,0
"AK Markram","D Pretorius",2,3,0,1,0,0,4,66.6666666666667,Inf
"AK Markram","DW Steyn",1,3,1,2,0,0,2,33.3333333333333,1
"AK Markram","FD Adams",6,3,1,2,0,1,12,200,6
"AK Markram","GF Linde",2,5,0,4,0,0,2.4,40,Inf
"AK Markram","Imran Tahir",10,6,0,1,0,1,10,166.666666666667,Inf
"AK Markram","JT Smuts",6,8,1,3,0,0,4.5,75,6
"AK Markram","K Rabada",1,2,0,1,0,0,3,50,Inf
"AK Markram","KA Maharaj",20,15,0,4,2,0,8,133.333333333333,Inf
"AK Markram","KJ Abbott",28,14,1,5,4,1,12,200,28
"AK Markram","L Sipamla",0,2,1,2,0,0,0,0,0
"AK Markram","N Burger",1,1,0,0,0,0,6,100,Inf
"AK Markram","RK Kleinveldt",2,2,0,0,0,0,6,100,Inf
"AK Markram","SSB Magala",8,6,0,2,1,0,8,133.333333333333,Inf
"AK Markram","T Bokako",10,11,0,5,1,0,5.45454545454545,90.9090909090909,Inf
"AK Markram","VD Philander",10,11,0,4,1,0,5.45454545454545,90.9090909090909,Inf
"AL Phehlukwayo","AM Phangiso",13,4,0,1,0,2,19.5,325,Inf
"AL Phehlukwayo","BC Fortuin",0,1,1,1,0,0,0,0,0
"AL Phehlukwayo","BE Hendricks",10,5,0,1,0,1,12,200,Inf
"AL Phehlukwayo","BMAJ Mendis",1,1,0,0,0,0,6,100,Inf
"AL Phehlukwayo","BS Makhanya",2,2,0,0,0,0,6,100,Inf
"AL Phehlukwayo","C Bosch",0,3,1,3,0,0,0,0,0
"AL Phehlukwayo","CH Morris",6,5,1,3,1,0,7.2,120,6
"AL Phehlukwayo","CJ Dala",5,2,0,0,1,0,15,250,Inf
"AL Phehlukwayo","D Olivier",0,1,1,1,0,0,0,0,0
"AL Phehlukwayo","D Paterson",8,7,0,4,0,1,6.85714285714286,114.285714285714,Inf
"AL Phehlukwayo","D Wiese",6,3,0,0,1,0,12,200,Inf
"AL Phehlukwayo","DT Christian",8,7,1,3,1,0,6.85714285714286,114.285714285714,8
"AL Phehlukwayo","GC Viljoen",1,1,0,0,0,0,6,100,Inf
"AL Phehlukwayo","I Udana",4,4,0,1,0,0,6,100,Inf
"AL Phehlukwayo","Imran Tahir",4,10,0,7,0,0,2.4,40,Inf
"AL Phehlukwayo","JT Smuts",4,1,0,0,1,0,24,400,Inf
"AL Phehlukwayo","K Mungroo",2,3,0,1,0,0,4,66.6666666666667,Inf
"AL Phehlukwayo","K Rabada",3,3,0,0,0,0,6,100,Inf
"AL Phehlukwayo","KJ Abbott",0,3,0,3,0,0,0,0,NA
"AL Phehlukwayo","M de Lange",1,6,1,5,0,0,1,16.6666666666667,1
"AL Phehlukwayo","R McLaren",1,2,0,1,0,0,3,50,Inf
"AL Phehlukwayo","Rashid Khan",9,6,0,3,1,0,9,150,Inf
"AL Phehlukwayo","SR Harmer",2,4,0,2,0,0,3,50,Inf
"AL Phehlukwayo","SSB Magala",4,3,1,0,0,0,8,133.333333333333,4
"AL Phehlukwayo","T Shamsi",16,8,0,1,1,1,12,200,Inf
"AL Phehlukwayo","Wahab Riaz",1,1,0,0,0,0,6,100,Inf
"AL Phehlukwayo","Z Pongolo",1,1,0,0,0,0,6,100,Inf
"AM Phangiso","A Nortje",1,2,1,1,0,0,3,50,1
"AM Phangiso","BE Hendricks",8,4,1,2,2,0,12,200,8
"AM Phangiso","CH Morris",6,5,0,4,0,1,7.2,120,Inf
"AM Phangiso","CJ Dala",3,3,0,0,0,0,6,100,Inf
"AM Phangiso","D Paterson",0,2,1,2,0,0,0,0,0
"AM Phangiso","DJ Bravo",1,2,1,1,0,0,3,50,1
"AM Phangiso","E Leie",7,8,0,2,0,0,5.25,87.5,Inf
"AM Phangiso","K Rabada",2,6,0,4,0,0,2,33.3333333333333,Inf
"AM Phangiso","L Ngidi",1,3,0,2,0,0,2,33.3333333333333,Inf
"AM Phangiso","N Burger",2,6,1,4,0,0,2,33.3333333333333,2
"AM Phangiso","R Frylinck",2,3,0,1,0,0,4,66.6666666666667,Inf
"AM Phangiso","RE van der Merwe",1,4,1,3,0,0,1.5,25,1
"AM Phangiso","S von Berg",0,3,0,3,0,0,0,0,NA
"AM Phangiso","SSB Magala",1,1,0,0,0,0,6,100,Inf
"AP Agathangelou","BE Hendricks",10,7,1,4,0,1,8.57142857142857,142.857142857143,10
"AP Agathangelou","CH Morris",5,3,0,1,1,0,10,166.666666666667,Inf
"AP Agathangelou","D Wiese",1,2,1,1,0,0,3,50,1
"AP Agathangelou","DJ Bravo",4,1,0,0,1,0,24,400,Inf
"AP Agathangelou","JA Morkel",5,3,0,1,1,0,10,166.666666666667,Inf
"AP Agathangelou","KJ Abbott",0,2,0,2,0,0,0,0,NA
"AP Agathangelou","LB Williams",0,1,1,1,0,0,0,0,0
"AP Agathangelou","O Cele",13,7,0,3,3,0,11.1428571428571,185.714285714286,Inf
"AP Agathangelou","Rashid Khan",0,1,1,1,0,0,0,0,0
"AP Agathangelou","T Shamsi",9,6,0,2,0,1,9,150,Inf
"AP Agathangelou","TL Moreki",9,5,0,2,2,0,10.8,180,Inf
"Asif Ali","AL Phehlukwayo",12,4,0,0,1,1,18,300,Inf
"Asif Ali","AM Phangiso",13,8,1,3,1,1,9.75,162.5,13
"Asif Ali","BC Fortuin",12,12,0,5,1,0,6,100,Inf
"Asif Ali","BE Hendricks",0,1,1,1,0,0,0,0,0
"Asif Ali","CH Morris",1,1,0,0,0,0,6,100,Inf
"Asif Ali","CJ Dala",7,2,0,0,0,1,21,350,Inf
"Asif Ali","D Olivier",12,6,1,2,1,1,12,200,12
"Asif Ali","D Paterson",5,5,2,3,1,0,6,100,2.5
"Asif Ali","D Pretorius",1,2,0,1,0,0,3,50,Inf
"Asif Ali","D Wiese",3,3,0,1,0,0,6,100,Inf
"Asif Ali","DJ Bravo",1,2,0,1,0,0,3,50,Inf
"Asif Ali","DT Christian",8,4,0,0,1,0,12,200,Inf
"Asif Ali","Imran Tahir",7,6,1,4,0,1,7,116.666666666667,7
"Asif Ali","JT Smuts",17,11,0,2,1,1,9.27272727272727,154.545454545455,Inf
"Asif Ali","KA Maharaj",23,12,1,3,1,2,11.5,191.666666666667,23
"Asif Ali","KJ Abbott",9,6,1,2,0,1,9,150,9
"Asif Ali","M Jansen",0,2,1,2,0,0,0,0,0
"Asif Ali","M de Lange",35,13,0,3,6,1,16.1538461538462,269.230769230769,Inf
"Asif Ali","MP Siboto",8,13,1,8,1,0,3.69230769230769,61.5384615384615,8
"Asif Ali","P Subrayen",30,12,0,1,2,2,15,250,Inf
"Asif Ali","R McLaren",0,1,1,1,0,0,0,0,0
"Asif Ali","RS Bopara",21,7,0,1,0,3,18,300,Inf
"Asif Ali","SC Williams",0,1,1,1,0,0,0,0,0
"Asif Ali","SR Harmer",6,3,0,0,0,0,12,200,Inf
"Asif Ali","T Bokako",1,3,0,2,0,0,2,33.3333333333333,Inf
"Asif Ali","T Shamsi",2,4,1,2,0,0,3,50,2
"Asif Ali","VD Philander",3,3,0,0,0,0,6,100,Inf
"Asif Ali","Z Pongolo",3,3,1,1,0,0,6,100,3
