"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"RR Hendricks",2018-12-02,"Jozi Stars","Nelson Mandela Bay Giants",1,108,62,10,5,174.193548387097,TRUE,"Mzansi Super League","2018/19",1162659,"St George's Park, Port Elizabeth","Port Elizabeth","Jozi Stars","Nelson Mandela Bay Giants","Jozi Stars","bat","RR Hendricks","Jozi Stars",NA,"81"
"Q de Kock",2018-12-01,"Cape Town Blitz","Tshwane Spartans",1,108,55,10,5,196.363636363636,FALSE,"Mzansi Super League","2018/19",1162657,"SuperSport Park, Centurion","Centurion","Cape Town Blitz","Tshwane Spartans","Tshwane Spartans","field","Q de Kock","Cape Town Blitz",NA,"60"
"RR Hendricks",2018-11-30,"Jozi Stars","Durban Heat",1,104,51,9,6,203.921568627451,TRUE,"Mzansi Super League","2018/19",1162656,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Durban Heat","Durban Heat","field","RR Hendricks","Jozi Stars",NA,"53"
"JN Malan",2019-11-08,"Cape Town Blitz","Jozi Stars",1,99,59,11,4,167.796610169492,TRUE,"Mzansi Super League","2019/20",1201970,"New Wanderers Stadium, Johannesburg","Johannesburg","Cape Town Blitz","Jozi Stars","Jozi Stars","field","JN Malan","Cape Town Blitz",NA,"15"
"BR Dunk",2019-12-03,"Nelson Mandela Bay Giants","Tshwane Spartans",2,99,54,10,4,183.333333333333,TRUE,"Mzansi Super League","2019/20",1201992,"St George's Park, Port Elizabeth","Port Elizabeth","Tshwane Spartans","Nelson Mandela Bay Giants","Tshwane Spartans","bat","BR Dunk","Nelson Mandela Bay Giants","6",NA
"AD Hales",2019-12-04,"Durban Heat","Paarl Rocks",2,97,55,9,4,176.363636363636,TRUE,"Mzansi Super League","2019/20",1201993,"Boland Park, Paarl","Paarl","Paarl Rocks","Durban Heat","Durban Heat","field","AD Hales","Durban Heat","6",NA
"HE van der Dussen",2018-12-11,"Jozi Stars","Tshwane Spartans",1,96,44,6,6,218.181818181818,TRUE,"Mzansi Super League","2018/19",1162668,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Tshwane Spartans","Jozi Stars","bat","HE van der Dussen","Jozi Stars",NA,"101"
"AB de Villiers",2018-12-12,"Tshwane Spartans","Durban Heat",1,93,52,11,4,178.846153846154,TRUE,"Mzansi Super League","2018/19",1162670,"SuperSport Park, Centurion","Centurion","Tshwane Spartans","Durban Heat","Tshwane Spartans","bat","JA Morkel","Durban Heat","2",NA
"Q de Kock",2018-12-07,"Cape Town Blitz","Paarl Rocks",2,93,47,12,3,197.872340425532,FALSE,"Mzansi Super League","2018/19",1162664,"Newlands, Cape Town","Cape Town","Paarl Rocks","Cape Town Blitz","Paarl Rocks","bat","Q de Kock","Cape Town Blitz","6",NA
"RD Rickelton",2018-11-20,"Jozi Stars","Paarl Rocks",1,91,59,7,3,154.237288135593,FALSE,"Mzansi Super League","2018/19",1162645,"Boland Park, Paarl","Paarl","Jozi Stars","Paarl Rocks","Paarl Rocks","field","RD Rickelton","Jozi Stars",NA,"60"
"D Elgar",2019-11-17,"Tshwane Spartans","Paarl Rocks",2,88,60,7,2,146.666666666667,TRUE,"Mzansi Super League","2019/20",1201979,"Boland Park, Paarl","Paarl","Paarl Rocks","Tshwane Spartans","Paarl Rocks","bat","D Elgar","Tshwane Spartans","8",NA
"Q de Kock",2018-12-09,"Cape Town Blitz","Durban Heat",1,86,55,9,3,156.363636363636,TRUE,"Mzansi Super League","2018/19",1162667,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Durban Heat","Cape Town Blitz","bat","K Zondo","Durban Heat","6",NA
"JM Vince",2019-11-17,"Paarl Rocks","Tshwane Spartans",1,86,53,8,2,162.264150943396,TRUE,"Mzansi Super League","2019/20",1201979,"Boland Park, Paarl","Paarl","Paarl Rocks","Tshwane Spartans","Paarl Rocks","bat","D Elgar","Tshwane Spartans","8",NA
"CS Delport",2019-12-04,"Paarl Rocks","Durban Heat",1,84,49,10,3,171.428571428571,FALSE,"Mzansi Super League","2019/20",1201993,"Boland Park, Paarl","Paarl","Paarl Rocks","Durban Heat","Durban Heat","field","AD Hales","Durban Heat","6",NA
"CS Delport",2018-12-12,"Paarl Rocks","Nelson Mandela Bay Giants",2,84,45,7,5,186.666666666667,FALSE,"Mzansi Super League","2018/19",1162669,"Boland Park, Paarl","Paarl","Nelson Mandela Bay Giants","Paarl Rocks","Nelson Mandela Bay Giants","bat","CS Delport","Paarl Rocks","6",NA
"HE van der Dussen",2018-12-09,"Jozi Stars","Paarl Rocks",1,83,55,6,4,150.909090909091,TRUE,"Mzansi Super League","2018/19",1162666,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Paarl Rocks","Paarl Rocks","field","GM Thomson","Paarl Rocks","6",NA
"WJ Lubbe",2019-11-17,"Durban Heat","Cape Town Blitz",2,83,42,7,5,197.619047619048,FALSE,"Mzansi Super League","2019/20",1201978,"Kingsmead, Durban","Durban","Cape Town Blitz","Durban Heat","Durban Heat","field","DW Steyn","Cape Town Blitz",NA,"10"
"RR Hendricks",2019-11-08,"Jozi Stars","Cape Town Blitz",2,80,53,11,1,150.943396226415,FALSE,"Mzansi Super League","2019/20",1201970,"New Wanderers Stadium, Johannesburg","Johannesburg","Cape Town Blitz","Jozi Stars","Jozi Stars","field","JN Malan","Cape Town Blitz",NA,"15"
"GL Cloete",2018-11-18,"Tshwane Spartans","Paarl Rocks",1,80,49,11,1,163.265306122449,FALSE,"Mzansi Super League","2018/19",1162644,"Boland Park, Paarl","Paarl","Tshwane Spartans","Paarl Rocks","Paarl Rocks","field","TB de Bruyn","Tshwane Spartans",NA,"1"
"Asif Ali",2018-11-18,"Cape Town Blitz","Durban Heat",2,80,33,7,5,242.424242424242,FALSE,"Mzansi Super League","2018/19",1162643,"Kingsmead, Durban","Durban","Durban Heat","Cape Town Blitz","Cape Town Blitz","field","Asif Ali","Cape Town Blitz","3",NA
"D Elgar",2018-11-28,"Tshwane Spartans","Jozi Stars",2,79,52,5,4,151.923076923077,TRUE,"Mzansi Super League","2018/19",1162653,"SuperSport Park, Centurion","Centurion","Jozi Stars","Tshwane Spartans","Tshwane Spartans","field","D Elgar","Tshwane Spartans","4",NA
"RR Hendricks",2018-12-04,"Jozi Stars","Cape Town Blitz",1,79,48,5,6,164.583333333333,FALSE,"Mzansi Super League","2018/19",1162660,"Newlands, Cape Town","Cape Town","Jozi Stars","Cape Town Blitz","Jozi Stars","bat","RR Hendricks","Jozi Stars",NA,"50"
"HE van der Dussen",2018-11-20,"Jozi Stars","Paarl Rocks",1,78,49,3,5,159.183673469388,FALSE,"Mzansi Super League","2018/19",1162645,"Boland Park, Paarl","Paarl","Jozi Stars","Paarl Rocks","Paarl Rocks","field","RD Rickelton","Jozi Stars",NA,"60"
"H Davids",2019-12-16,"Paarl Rocks","Tshwane Spartans",2,77,44,8,4,175,TRUE,"Mzansi Super League","2019/20",1202001,"Boland Park, Paarl","Paarl","Tshwane Spartans","Paarl Rocks","Paarl Rocks","field","H Davids","Paarl Rocks","8",NA
"F du Plessis",2018-12-02,"Paarl Rocks","Durban Heat",2,76,48,9,0,158.333333333333,TRUE,"Mzansi Super League","2018/19",1162658,"Boland Park, Paarl","Paarl","Durban Heat","Paarl Rocks","Durban Heat","bat","F du Plessis","Paarl Rocks","9",NA
"BR Dunk",2019-12-06,"Nelson Mandela Bay Giants","Cape Town Blitz",1,75,56,6,4,133.928571428571,FALSE,"Mzansi Super League","2019/20",1201995,"Newlands, Cape Town","Cape Town","Nelson Mandela Bay Giants","Cape Town Blitz","Cape Town Blitz","field","BR Dunk","Nelson Mandela Bay Giants",NA,"11"
"DJ Vilas",2019-11-28,"Durban Heat","Cape Town Blitz",2,75,52,6,3,144.230769230769,TRUE,"Mzansi Super League","2019/20",1201987,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Durban Heat","Cape Town Blitz","bat","DJ Vilas","Durban Heat","7",NA
"BM Duckett",2018-11-17,"Nelson Mandela Bay Giants","Jozi Stars",2,75,45,5,5,166.666666666667,FALSE,"Mzansi Super League","2018/19",1162642,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Nelson Mandela Bay Giants","Nelson Mandela Bay Giants","field","BM Duckett","Nelson Mandela Bay Giants","5",NA
"JN Malan",2019-11-28,"Cape Town Blitz","Durban Heat",1,75,42,2,7,178.571428571429,FALSE,"Mzansi Super League","2019/20",1201987,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Durban Heat","Cape Town Blitz","bat","DJ Vilas","Durban Heat","7",NA
"RR Hendricks",2019-12-01,"Jozi Stars","Paarl Rocks",1,74,53,7,2,139.622641509434,FALSE,"Mzansi Super League","2019/20",1201990,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Paarl Rocks","Paarl Rocks","field","BS Makhanya","Paarl Rocks","5",NA
