"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Z Pongolo",2018-12-11,"Tshwane Spartans","Jozi Stars",2,"4.0",0,20,6,5,10,"Mzansi Super League","2018/19",1162668,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Tshwane Spartans","Jozi Stars","bat","HE van der Dussen","Jozi Stars",NA,"101"
"BC Fortuin",2018-11-25,"Cape Town Blitz","Paarl Rocks",1,"4.0",0,15,4,3.75,15,"Mzansi Super League","2018/19",1162651,"Boland Park, Paarl","Paarl","Cape Town Blitz","Paarl Rocks","Cape Town Blitz","bat","BC Fortuin","Paarl Rocks","5",NA
"BMAJ Mendis",2018-11-25,"Nelson Mandela Bay Giants","Tshwane Spartans",1,"4.0",0,22,4,5.5,10,"Mzansi Super League","2018/19",1162650,"SuperSport Park, Centurion","Centurion","Nelson Mandela Bay Giants","Tshwane Spartans","Tshwane Spartans","field","M Marais","Nelson Mandela Bay Giants",NA,"7"
"DT Christian",2018-12-04,"Cape Town Blitz","Jozi Stars",2,"4.0",0,22,4,5.5,10,"Mzansi Super League","2018/19",1162660,"Newlands, Cape Town","Cape Town","Jozi Stars","Cape Town Blitz","Jozi Stars","bat","RR Hendricks","Jozi Stars",NA,"50"
"K Rabada",2018-11-30,"Durban Heat","Jozi Stars",2,"4.0",0,27,4,6.75,14,"Mzansi Super League","2018/19",1162656,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Durban Heat","Durban Heat","field","RR Hendricks","Jozi Stars",NA,"53"
"KJ Abbott",2018-11-21,"Tshwane Spartans","Durban Heat",1,"4.0",0,27,4,6.75,10,"Mzansi Super League","2018/19",1162646,"Kingsmead, Durban","Durban","Tshwane Spartans","Durban Heat","Durban Heat","field","KJ Abbott","Durban Heat",NA,"10"
"A Nortje",2018-11-18,"Durban Heat","Cape Town Blitz",1,"4.0",0,32,4,8,14,"Mzansi Super League","2018/19",1162643,"Kingsmead, Durban","Durban","Durban Heat","Cape Town Blitz","Cape Town Blitz","field","Asif Ali","Cape Town Blitz","3",NA
"DW Steyn",2019-12-01,"Tshwane Spartans","Cape Town Blitz",2,"4.0",0,10,3,2.5,14,"Mzansi Super League","2019/20",1201991,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Tshwane Spartans","Cape Town Blitz","bat","DW Steyn","Cape Town Blitz",NA,"15"
"Mohammad Nawaz",2018-12-01,"Tshwane Spartans","Cape Town Blitz",2,"3.0",0,14,3,4.66666666666667,5,"Mzansi Super League","2018/19",1162657,"SuperSport Park, Centurion","Centurion","Cape Town Blitz","Tshwane Spartans","Tshwane Spartans","field","Q de Kock","Cape Town Blitz",NA,"60"
"KA Maharaj",2019-11-30,"Nelson Mandela Bay Giants","Durban Heat",1,"4.0",0,15,3,3.75,13,"Mzansi Super League","2019/20",1201989,"Kingsmead, Durban","Durban","Nelson Mandela Bay Giants","Durban Heat","Nelson Mandela Bay Giants","bat","KA Maharaj","Durban Heat","6",NA
"RE van der Merwe",2019-11-29,"Paarl Rocks","Tshwane Spartans",1,"4.0",0,15,3,3.75,12,"Mzansi Super League","2019/20",1201988,"SuperSport Park, Centurion","Centurion","Paarl Rocks","Tshwane Spartans","Tshwane Spartans","field","RE van der Merwe","Tshwane Spartans","8",NA
"T Shamsi",2019-11-10,"Cape Town Blitz","Paarl Rocks",2,"3.0",0,16,3,5.33333333333333,9,"Mzansi Super League","2019/20",1201972,"Boland Park, Paarl","Paarl","Paarl Rocks","Cape Town Blitz","Paarl Rocks","bat","GC Viljoen","Paarl Rocks",NA,"86"
"D Pretorius",2018-12-02,"Nelson Mandela Bay Giants","Jozi Stars",2,"4.0",0,17,3,4.25,12,"Mzansi Super League","2018/19",1162659,"St George's Park, Port Elizabeth","Port Elizabeth","Jozi Stars","Nelson Mandela Bay Giants","Jozi Stars","bat","RR Hendricks","Jozi Stars",NA,"81"
"JT Smuts",2018-11-30,"Paarl Rocks","Nelson Mandela Bay Giants",2,"3.0",0,17,3,5.66666666666667,7,"Mzansi Super League","2018/19",1162655,"St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","Paarl Rocks","Nelson Mandela Bay Giants","bat","HG Kuhn","Nelson Mandela Bay Giants",NA,"48"
"SSB Magala",2018-11-30,"Paarl Rocks","Nelson Mandela Bay Giants",2,"3.3",0,17,3,4.85714285714286,10,"Mzansi Super League","2018/19",1162655,"St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","Paarl Rocks","Nelson Mandela Bay Giants","bat","HG Kuhn","Nelson Mandela Bay Giants",NA,"48"
"SSB Magala",2019-11-14,"Jozi Stars","Cape Town Blitz",2,"2.0",0,17,3,8.5,5,"Mzansi Super League","2019/20",1201975,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Jozi Stars","Jozi Stars","field","LS Livingstone","Cape Town Blitz",NA,"57"
"T Shamsi",2018-12-05,"Tshwane Spartans","Paarl Rocks",2,"4.0",0,18,3,4.5,12,"Mzansi Super League","2018/19",1162661,"SuperSport Park, Centurion","Centurion","Paarl Rocks","Tshwane Spartans","Paarl Rocks","bat","L Sipamla","Tshwane Spartans","4",NA
"CJ Dala",2019-11-16,"Jozi Stars","Nelson Mandela Bay Giants",1,"4.0",0,19,3,4.75,15,"Mzansi Super League","2019/20",1201977,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Nelson Mandela Bay Giants","Jozi Stars","bat","CJ Dala","Nelson Mandela Bay Giants","9",NA
"L Sipamla",2018-12-05,"Paarl Rocks","Tshwane Spartans",1,"4.0",0,19,3,4.75,17,"Mzansi Super League","2018/19",1162661,"SuperSport Park, Centurion","Centurion","Paarl Rocks","Tshwane Spartans","Paarl Rocks","bat","L Sipamla","Tshwane Spartans","4",NA
"N Burger",2018-12-01,"Tshwane Spartans","Cape Town Blitz",2,"3.2",0,19,3,5.7,8,"Mzansi Super League","2018/19",1162657,"SuperSport Park, Centurion","Centurion","Cape Town Blitz","Tshwane Spartans","Tshwane Spartans","field","Q de Kock","Cape Town Blitz",NA,"60"
"Rashid Khan",2018-12-07,"Jozi Stars","Durban Heat",2,"4.0",0,19,3,4.75,15,"Mzansi Super League","2018/19",1162663,"Kingsmead, Durban","Durban","Durban Heat","Jozi Stars","Durban Heat","bat","DJ Vilas","Jozi Stars","1",NA
"S von Berg",2018-12-08,"Nelson Mandela Bay Giants","Tshwane Spartans",2,"4.0",0,19,3,4.75,13,"Mzansi Super League","2018/19",1162665,"St George's Park, Port Elizabeth","Port Elizabeth","Tshwane Spartans","Nelson Mandela Bay Giants","Tshwane Spartans","bat","GL Cloete","Tshwane Spartans",NA,"28"
"Wahab Riaz",2019-12-06,"Nelson Mandela Bay Giants","Cape Town Blitz",1,"4.0",0,19,3,4.75,16,"Mzansi Super League","2019/20",1201995,"Newlands, Cape Town","Cape Town","Nelson Mandela Bay Giants","Cape Town Blitz","Cape Town Blitz","field","BR Dunk","Nelson Mandela Bay Giants",NA,"11"
"JT Smuts",2018-11-17,"Jozi Stars","Nelson Mandela Bay Giants",1,"4.0",0,20,3,5,6,"Mzansi Super League","2018/19",1162642,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Nelson Mandela Bay Giants","Nelson Mandela Bay Giants","field","BM Duckett","Nelson Mandela Bay Giants","5",NA
