"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome"
1162641,6,"Cape Town Blitz","Tshwane Spartans","male","2018/19",2018-11-16,"Mzansi Super League","1","Newlands, Cape Town","Cape Town","Tshwane Spartans","field","Mohammad Nawaz","AT Holdstock","Stephen Harris","CD Isaacs","MW Brown","GH Pienaar","Cape Town Blitz",NA,49,NA,NA
1162642,6,"Jozi Stars","Nelson Mandela Bay Giants","male","2018/19",2018-11-17,"Mzansi Super League","2","New Wanderers Stadium, Johannesburg","Johannesburg","Nelson Mandela Bay Giants","field","BM Duckett","A Paleker","BP Jele","Siphelele Gasa","JD Cloete","SB Lambson","Nelson Mandela Bay Giants",5,NA,NA,NA
1162643,6,"Durban Heat","Cape Town Blitz","male","2018/19",2018-11-18,"Mzansi Super League","3","Kingsmead, Durban","Durban","Cape Town Blitz","field","Asif Ali","A Jacobs","BM White","LB Gcuma","DJ Smith","S Wadvalla","Cape Town Blitz",3,NA,NA,NA
1162644,6,"Tshwane Spartans","Paarl Rocks","male","2018/19",2018-11-18,"Mzansi Super League","4","Boland Park, Paarl","Paarl","Paarl Rocks","field","TB de Bruyn","AT Holdstock","Stephen Harris","MW Brown","CD Isaacs","GH Pienaar","Tshwane Spartans",NA,1,NA,NA
1162645,6,"Jozi Stars","Paarl Rocks","male","2018/19",2018-11-20,"Mzansi Super League","5","Boland Park, Paarl","Paarl","Paarl Rocks","field","RD Rickelton","BM White","JD Cloete","TC Mokorosi","BP Jele","LH Matroos","Jozi Stars",NA,60,NA,NA
1162646,6,"Tshwane Spartans","Durban Heat","male","2018/19",2018-11-21,"Mzansi Super League","6","Kingsmead, Durban","Durban","Durban Heat","field","KJ Abbott","A Paleker","LB Gcuma","PJ Vosloo","DJ Smith","A Barnes","Durban Heat",NA,10,"D/L",NA
1162647,6,"Cape Town Blitz","Nelson Mandela Bay Giants","male","2018/19",2018-11-21,"Mzansi Super League","7","Newlands, Cape Town","Cape Town","Cape Town Blitz","bat","JN Malan","BP Jele","BM White","A Steenkamp","JD Cloete","LH Matroos","Cape Town Blitz",NA,12,"D/L",NA
1162648,6,"Durban Heat","Nelson Mandela Bay Giants","male","2018/19",2018-11-23,"Mzansi Super League","8","St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","field","CJ Dala","AT Holdstock","DJ Smith","G Gaseba","A Jacobs","D Govindjee","Nelson Mandela Bay Giants",9,NA,NA,NA
1162649,6,"Cape Town Blitz","Jozi Stars","male","2018/19",2018-11-24,"Mzansi Super League","9","New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","field","Q de Kock","A Paleker","Stephen Harris","RN Hendricks","JD Cloete","SB Lambson","Cape Town Blitz",NA,62,NA,NA
1162650,6,"Nelson Mandela Bay Giants","Tshwane Spartans","male","2018/19",2018-11-25,"Mzansi Super League","10","SuperSport Park, Centurion","Centurion","Tshwane Spartans","field","M Marais","BP Jele","JD Cloete","RN Hendricks","Stephen Harris","ZTA Ndamane","Nelson Mandela Bay Giants",NA,7,"D/L",NA
1162651,6,"Cape Town Blitz","Paarl Rocks","male","2018/19",2018-11-25,"Mzansi Super League","11","Boland Park, Paarl","Paarl","Cape Town Blitz","bat","BC Fortuin","LB Gcuma","MW Brown","A Steenkamp","CD Isaacs","S Wadvalla","Paarl Rocks",5,NA,NA,NA
1162653,6,"Jozi Stars","Tshwane Spartans","male","2018/19",2018-11-28,"Mzansi Super League","13","SuperSport Park, Centurion","Centurion","Tshwane Spartans","field","D Elgar","A Paleker","BP Jele","Siphelele Gasa","AT Holdstock","A Barnes","Tshwane Spartans",4,NA,NA,NA
1162654,6,"Paarl Rocks","Durban Heat","male","2018/19",2018-11-28,"Mzansi Super League","14","Kingsmead, Durban","Durban","Durban Heat","field","H Davids","DJ Smith","JD Cloete","LB Gcuma","MW Brown","LH Matroos","Paarl Rocks",NA,32,"D/L",NA
1162655,6,"Nelson Mandela Bay Giants","Paarl Rocks","male","2018/19",2018-11-30,"Mzansi Super League","15","St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","bat","HG Kuhn","CD Isaacs","S George","G Gaseba","A Jacobs","ZTA Ndamane","Nelson Mandela Bay Giants",NA,48,NA,NA
1162656,6,"Jozi Stars","Durban Heat","male","2018/19",2018-11-30,"Mzansi Super League","16","New Wanderers Stadium, Johannesburg","Johannesburg","Durban Heat","field","RR Hendricks","DJ Smith","Siphelele Gasa","A Paleker","AT Holdstock","A Barnes","Jozi Stars",NA,53,NA,NA
1162657,6,"Cape Town Blitz","Tshwane Spartans","male","2018/19",2018-12-01,"Mzansi Super League","17","SuperSport Park, Centurion","Centurion","Tshwane Spartans","field","Q de Kock","AT Holdstock","PJ Vosloo","Siphelele Gasa","A Paleker","SB Lambson","Cape Town Blitz",NA,60,NA,NA
1162658,6,"Durban Heat","Paarl Rocks","male","2018/19",2018-12-02,"Mzansi Super League","18","Boland Park, Paarl","Paarl","Durban Heat","bat","F du Plessis","A Steenkamp","BP Jele","CD Isaacs","MW Brown","S Wadvalla","Paarl Rocks",9,NA,NA,NA
