"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Gqamane","2019/20","Mzansi Super League","Cape Town Blitz",1,8,4,200,Inf,0,1,1,0,0,8
"A Mgijima","2019/20","Mzansi Super League","Cape Town Blitz",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"A Nortje","2019/20","Mzansi Super League","Cape Town Blitz",2,4,6,66.6666666666667,4,1,0,1,0,0,4
"AB de Villiers","2018/19","Mzansi Super League","Tshwane Spartans",10,282,174,162.068965517241,31.3333333333333,25,14,1,0,2,93
"AB de Villiers","2019/20","Mzansi Super League","Tshwane Spartans",9,325,213,152.582159624413,46.4285714285714,26,11,2,0,4,69
"ACR Birch","2018/19","Mzansi Super League","Tshwane Spartans",3,7,10,70,7,0,0,2,0,0,4
"AD Hales","2019/20","Mzansi Super League","Durban Heat",6,160,113,141.592920353982,40,17,5,2,0,1,97
"AK Markram","2018/19","Mzansi Super League","Paarl Rocks",8,156,137,113.868613138686,22.2857142857143,13,3,1,0,1,50
"AL Phehlukwayo","2018/19","Mzansi Super League","Cape Town Blitz",8,93,81,114.814814814815,13.2857142857143,6,5,1,0,0,28
"AL Phehlukwayo","2019/20","Mzansi Super League","Durban Heat",3,19,16,118.75,19,1,0,2,0,0,9
"AM Phangiso","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",4,20,28,71.4285714285714,5,2,0,0,0,0,17
"AM Phangiso","2019/20","Mzansi Super League","Jozi Stars",3,15,24,62.5,5,0,1,0,0,0,11
"AP Agathangelou","2018/19","Mzansi Super League","Tshwane Spartans",4,56,38,147.368421052632,14,8,2,0,0,0,23
"Asif Ali","2018/19","Mzansi Super League","Cape Town Blitz",9,150,82,182.926829268293,16.6666666666667,13,9,0,0,1,80
"Asif Ali","2019/20","Mzansi Super League","Cape Town Blitz",5,90,68,132.352941176471,18,4,6,0,0,0,43
"B Mavuta","2018/19","Mzansi Super League","Durban Heat",1,8,8,100,Inf,0,1,1,0,0,8
"BC Fortuin","2018/19","Mzansi Super League","Paarl Rocks",5,30,29,103.448275862069,10,3,0,2,0,0,10
"BC Fortuin","2019/20","Mzansi Super League","Paarl Rocks",4,10,13,76.9230769230769,5,0,0,2,0,0,5
"BE Hendricks","2018/19","Mzansi Super League","Jozi Stars",1,3,5,60,3,0,0,0,0,0,3
"BE Hendricks","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",2,5,4,125,5,0,0,1,0,0,4
"BM Duckett","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",9,201,160,125.625,28.7142857142857,15,8,2,0,1,75
"BMAJ Mendis","2018/19","Mzansi Super League","Tshwane Spartans",4,8,16,50,2,0,1,0,0,0,7
"BR Dunk","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",10,415,277,149.819494584838,51.875,40,17,2,0,3,99
"BS Makhanya","2018/19","Mzansi Super League","Cape Town Blitz",1,2,5,40,2,0,0,0,0,0,2
"BS Makhanya","2019/20","Mzansi Super League","Paarl Rocks",6,121,91,132.967032967033,30.25,8,6,2,0,1,63
"C Bosch","2018/19","Mzansi Super League","Tshwane Spartans",3,11,16,68.75,3.66666666666667,0,0,0,0,0,9
"C Jonker","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",6,45,47,95.7446808510638,7.5,5,1,0,0,0,23
"C le Roux","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",1,8,10,80,Inf,1,0,1,0,0,8
"CH Gayle","2018/19","Mzansi Super League","Jozi Stars",4,43,41,104.878048780488,10.75,6,2,0,0,0,23
"CH Gayle","2019/20","Mzansi Super League","Jozi Stars",6,101,77,131.168831168831,16.8333333333333,12,6,0,0,1,54
"CH Morris","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",6,75,52,144.230769230769,18.75,4,5,2,0,0,27
"CH Morris","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",8,122,69,176.811594202899,30.5,9,6,4,0,0,42
"CJ Dala","2018/19","Mzansi Super League","Nelson Mandela Bay Giants",4,11,7,157.142857142857,5.5,2,0,2,0,0,7
"CJ Dala","2019/20","Mzansi Super League","Nelson Mandela Bay Giants",1,9,6,150,9,1,0,0,0,0,9
"CP Savage","2018/19","Mzansi Super League","Jozi Stars",1,5,9,55.5555555555556,5,0,0,0,0,0,5
"CS Delport","2018/19","Mzansi Super League","Paarl Rocks",5,197,117,168.376068376068,39.4,18,11,0,0,2,84
"CS Delport","2019/20","Mzansi Super League","Paarl Rocks",10,264,165,160,26.4,42,5,0,0,1,84
"D Elgar","2018/19","Mzansi Super League","Tshwane Spartans",7,202,153,132.02614379085,33.6666666666667,18,8,1,0,1,79
"D Elgar","2019/20","Mzansi Super League","Tshwane Spartans",8,216,187,115.508021390374,36,21,2,2,0,2,88
"D Olivier","2018/19","Mzansi Super League","Jozi Stars",3,20,24,83.3333333333333,Inf,2,0,3,0,0,15
"D Olivier","2019/20","Mzansi Super League","Jozi Stars",2,9,9,100,Inf,1,0,2,0,0,9
"D Paterson","2018/19","Mzansi Super League","Paarl Rocks",4,41,32,128.125,10.25,4,1,0,0,0,17
"D Potgieter","2019/20","Mzansi Super League","Jozi Stars",1,1,2,50,Inf,0,0,1,0,0,1
"D Pretorius","2018/19","Mzansi Super League","Jozi Stars",2,28,22,127.272727272727,14,2,1,0,0,0,28
"D Pretorius","2019/20","Mzansi Super League","Paarl Rocks",5,152,96,158.333333333333,30.4,8,10,0,0,0,43
"D Wiese","2018/19","Mzansi Super League","Paarl Rocks",6,59,51,115.686274509804,11.8,4,2,1,0,0,18
"D Wiese","2019/20","Mzansi Super League","Tshwane Spartans",2,45,34,132.352941176471,45,3,2,1,0,0,31
