"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"D Olivier","Jozi Stars","2018/19","Mzansi Super League",9,"33.3",0,264,20,13.2,7.88059701492537,10.05,91,0,0,"3/30"
"Imran Tahir","Nelson Mandela Bay Giants","2019/20","Mzansi Super League",11,"42.0",1,242,17,14.2352941176471,5.76190476190476,14.8235294117647,88,0,0,"3/23"
"BMAJ Mendis","Tshwane Spartans","2018/19","Mzansi Super League",9,"32.1",0,266,16,16.625,8.26943005181347,12.0625,67,1,0,"4/22"
"T Shamsi","Paarl Rocks","2019/20","Mzansi Super League",10,"38.0",0,270,16,16.875,7.10526315789474,14.25,58,0,0,"3/16"
"L Sipamla","Tshwane Spartans","2018/19","Mzansi Super League",10,"37.0",0,329,16,20.5625,8.89189189189189,13.875,87,0,0,"3/19"
"DW Steyn","Cape Town Blitz","2019/20","Mzansi Super League",8,"32.0",0,227,15,15.1333333333333,7.09375,12.8,91,0,0,"3/10"
"K Rabada","Jozi Stars","2018/19","Mzansi Super League",9,"35.3",0,239,13,18.3846153846154,6.73239436619718,16.3846153846154,106,1,0,"4/27"
"M Morkel","Tshwane Spartans","2019/20","Mzansi Super League",8,"25.4",0,163,12,13.5833333333333,6.35064935064935,12.8333333333333,60,0,0,"3/21"
"BE Hendricks","Jozi Stars","2018/19","Mzansi Super League",8,"27.5",1,206,12,17.1666666666667,7.40119760479042,13.9166666666667,80,0,0,"2/13"
"DW Steyn","Cape Town Blitz","2018/19","Mzansi Super League",9,"35.0",2,227,12,18.9166666666667,6.48571428571429,17.5,91,0,0,"2/21"
"CJ Dala","Nelson Mandela Bay Giants","2019/20","Mzansi Super League",8,"27.0",0,286,12,23.8333333333333,10.5925925925926,13.5,58,0,0,"3/19"
"SSB Magala","Cape Town Blitz","2019/20","Mzansi Super League",9,"32.2",0,266,11,24.1818181818182,8.22680412371134,17.6363636363636,60,0,0,"3/17"
"Z Pongolo","Jozi Stars","2018/19","Mzansi Super League",7,"15.4",0,124,10,12.4,7.91489361702128,9.4,27,0,1,"6/20"
"DJ Bravo","Paarl Rocks","2018/19","Mzansi Super League",5,"20.0",0,143,10,14.3,7.15,12,41,0,0,"3/22"
"T Shamsi","Paarl Rocks","2018/19","Mzansi Super League",8,"29.3",0,186,10,18.6,6.30508474576271,17.7,64,0,0,"3/18"
"SR Harmer","Jozi Stars","2018/19","Mzansi Super League",10,"31.3",0,218,10,21.8,6.92063492063492,18.9,60,0,0,"3/22"
"I Udana","Paarl Rocks","2019/20","Mzansi Super League",10,"34.5",0,274,10,27.4,7.86602870813397,20.9,65,0,0,"2/24"
"KJ Abbott","Durban Heat","2018/19","Mzansi Super League",10,"34.5",0,305,10,30.5,8.75598086124402,20.9,75,1,0,"4/27"
"D Paterson","Paarl Rocks","2018/19","Mzansi Super League",10,"36.3",0,321,10,32.1,8.79452054794521,21.9,75,0,0,"3/23"
"CH Morris","Nelson Mandela Bay Giants","2019/20","Mzansi Super League",11,"40.5",1,335,10,33.5,8.20408163265306,24.5,97,0,0,"2/8"
"L Ngidi","Tshwane Spartans","2019/20","Mzansi Super League",6,"20.0",0,164,9,18.2222222222222,8.2,13.3333333333333,41,0,0,"2/2"
"Wahab Riaz","Cape Town Blitz","2019/20","Mzansi Super League",7,"24.3",0,173,9,19.2222222222222,7.06122448979592,16.3333333333333,64,0,0,"3/19"
"CH Morris","Nelson Mandela Bay Giants","2018/19","Mzansi Super League",7,"23.0",0,181,9,20.1111111111111,7.8695652173913,15.3333333333333,62,0,0,"2/25"
"BC Fortuin","Paarl Rocks","2018/19","Mzansi Super League",8,"25.0",0,199,9,22.1111111111111,7.96,16.6666666666667,65,1,0,"4/15"
"MP Siboto","Cape Town Blitz","2018/19","Mzansi Super League",10,"32.3",1,251,9,27.8888888888889,7.72307692307692,21.6666666666667,73,0,0,"2/14"
"A Nortje","Cape Town Blitz","2018/19","Mzansi Super League",3,"12.0",0,83,8,10.375,6.91666666666667,9,42,1,0,"4/32"
"RE van der Merwe","Tshwane Spartans","2019/20","Mzansi Super League",7,"23.4",0,148,8,18.5,6.25352112676056,17.75,44,0,0,"3/15"
"SSB Magala","Nelson Mandela Bay Giants","2018/19","Mzansi Super League",7,"22.3",0,166,8,20.75,7.37777777777778,16.875,52,0,0,"3/17"
"DT Christian","Jozi Stars","2018/19","Mzansi Super League",11,"24.0",0,216,8,27,9,18,48,1,0,"4/22"
"K Rabada","Jozi Stars","2019/20","Mzansi Super League",7,"26.1",1,218,8,27.25,8.3312101910828,19.625,67,0,0,"3/36"
