"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ashokan",1,37,25,148,37,2,1,0,0,0,37
"A Bagai",5,112,127,88.1889763779528,22.4,8,1,0,0,0,43
"A Balbirnie",3,94,81,116.049382716049,94,7,2,2,0,0,44
"A Bonora",4,48,56,85.7142857142857,24,2,0,2,0,0,18
"A Bulow",1,35,34,102.941176470588,35,4,1,0,0,0,35
"A Conteh",2,23,44,52.2727272727273,11.5,1,0,0,0,0,13
"A Ferguson",1,0,2,0,0,0,0,0,0,0,0
"A Gbla",3,28,18,155.555555555556,14,2,1,1,0,0,15
"A Goenka",1,7,9,77.7777777777778,7,0,0,0,0,0,7
"A Koul",2,10,18,55.5555555555556,5,2,0,0,0,0,10
"A Krishna",3,8,9,88.8888888888889,2.66666666666667,0,1,0,0,0,6
"A Langham",1,18,23,78.2608695652174,18,1,1,0,0,0,18
"A Makesh",4,45,70,64.2857142857143,11.25,3,0,0,0,0,26
"A Mansale",5,49,47,104.255319148936,9.8,3,2,0,0,0,23
"A McAuley",5,52,74,70.2702702702703,10.4,5,0,0,0,0,17
"A Mehdi",1,10,8,125,10,2,0,0,0,0,10
"A Mutreja",7,118,83,142.168674698795,19.6666666666667,14,1,1,0,1,79
"A Nicholas",4,42,90,46.6666666666667,14,4,0,1,0,0,22
"A Orfila",2,8,15,53.3333333333333,8,0,0,1,0,0,6
"A Otwani",1,0,3,0,0,0,0,0,0,0,0
"A Peters",1,7,7,100,7,0,0,0,0,0,7
"A Pusthay",3,38,42,90.4761904761905,12.6666666666667,3,0,0,0,0,21
"A Randhawa",1,42,27,155.555555555556,42,3,2,0,0,0,42
"A Rangaswamy",2,26,17,152.941176470588,Inf,2,1,2,0,0,18
"A Raza",2,21,20,105,10.5,1,1,0,0,0,12
"A Sarma",5,116,103,112.621359223301,23.2,7,1,0,0,1,69
"A Thyagarajan",3,45,44,102.272727272727,22.5,2,0,1,0,0,27
"A Tissera",1,1,1,100,Inf,0,0,1,0,0,1
"A Ueda",5,42,37,113.513513513514,10.5,2,0,1,0,0,22
"A Vala",13,355,257,138.132295719844,27.3076923076923,30,14,0,1,1,110
"A Venkatesh",2,18,21,85.7142857142857,9,1,0,0,0,0,17
"A Yon",3,87,78,111.538461538462,29,9,1,0,0,1,54
"A Ziraba",1,0,3,0,0,0,0,0,0,0,0
"A van den Berg",1,1,3,33.3333333333333,Inf,0,0,1,0,0,1
"AA Obanda",12,336,200,168,28,33,22,0,1,1,108
"AA Onikoyi",2,29,35,82.8571428571429,14.5,3,1,0,0,0,26
"AAA Amsterdam",4,72,77,93.5064935064935,24,8,0,1,0,0,43
"AAA Patel",5,70,80,87.5,14,3,3,0,0,0,24
"AAS Silva",1,0,0,NA,NA,0,0,1,0,0,0
"AB Kamara",4,45,45,100,15,2,2,1,0,0,23
"AC Douglas",6,59,56,105.357142857143,11.8,2,6,1,0,0,22
"ACF Stokes",1,3,7,42.8571428571429,Inf,0,0,1,0,0,3
"AD Algar",3,28,49,57.1428571428571,14,0,0,1,0,0,14
"AD Conwana",1,0,1,0,0,0,0,0,0,0,0
"AD Kamania",2,32,24,133.333333333333,32,1,2,1,0,0,21
"AE Paraam",3,59,53,111.320754716981,19.6666666666667,9,0,0,0,0,37
"AG Dugmore",1,68,35,194.285714285714,68,6,5,0,0,1,68
"AJ Michael",4,96,125,76.8,24,5,1,0,0,1,52
"AK Mandal",3,50,58,86.2068965517241,25,4,0,1,0,0,29
"AK Mohan",2,27,26,103.846153846154,27,2,1,1,0,0,17
"AK Muslar",5,51,83,61.4457831325301,10.2,7,1,0,0,0,28
"AK Sah",5,64,51,125.490196078431,12.8,8,2,0,0,0,27
"AL Dodson",10,202,194,104.123711340206,20.2,24,2,0,0,0,41
"AL Ndhlovu",1,17,18,94.4444444444444,17,0,1,0,0,0,17
"AL Stephen",2,1,1,100,Inf,0,0,2,0,0,1
"AM Guruge",4,2,9,22.2222222222222,2,0,0,3,0,0,2
"AM Killey",1,9,11,81.8181818181818,9,1,0,0,0,0,9
