"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Aitken",4,20,28,71.4285714285714,20,1,0,3,0,0,8
"A Burdett",2,0,1,0,0,0,0,0,0,0,0
"A Chilia",6,47,97,48.4536082474227,7.83333333333333,8,0,0,0,0,24
"A Kitayama",1,0,1,0,NA,0,0,1,0,0,0
"A Mazvishaya",2,4,8,50,2,0,0,0,0,0,3
"A Nakayama",4,33,87,37.9310344827586,11,2,0,1,0,0,17
"A Ndiraya",6,95,139,68.3453237410072,19,11,0,1,0,0,25
"A Suda",1,0,1,0,0,0,0,0,0,0,0
"A Umetani",2,7,18,38.8888888888889,3.5,0,0,0,0,0,5
"A van Schoor",5,19,36,52.7777777777778,3.8,2,0,0,0,0,13
"AC Jayangani",5,60,70,85.7142857142857,15,10,0,1,0,0,19
"AC Mushangwe",1,11,18,61.1111111111111,11,0,0,0,0,0,11
"AH Maqsood",1,3,3,100,Inf,0,0,1,0,0,3
"AH Thomson",1,1,6,16.6666666666667,1,0,0,0,0,0,1
"AM Ally",2,7,18,38.8888888888889,7,0,0,1,0,0,5
"Adri van der Merwe",3,33,71,46.4788732394366,11,2,0,0,0,0,16
"Ahram Jeong",1,0,1,0,0,0,0,0,0,0,0
"Ankita Ved",3,67,94,71.2765957446808,33.5,2,0,1,0,0,43
"Asmavia Iqbal",3,15,19,78.9473684210526,15,2,0,2,0,0,9
"Ayasha Rahman",7,132,167,79.0419161676647,18.8571428571429,10,2,0,0,1,50
"B Tau",3,30,49,61.2244897959184,30,2,0,2,0,0,20
"B de Leede",5,50,64,78.125,12.5,4,0,1,0,0,19
"BYA Mendis",4,60,41,146.341463414634,20,8,0,1,0,0,26
"Bella Poon",1,3,7,42.8571428571429,3,0,0,0,0,0,3
"Bismah Maroof",5,103,101,101.980198019802,25.75,4,0,1,0,0,25
"C Appel",1,0,8,0,0,0,0,0,0,0,0
"C Atkins",1,2,4,50,2,0,0,0,0,0,2
"C Chatonzwa",5,15,47,31.9148936170213,3,0,0,0,0,0,8
"C Sakamoto",4,41,71,57.7464788732394,13.6666666666667,6,0,1,0,0,25
"C Sutthiruang",10,88,119,73.9495798319328,12.5714285714286,5,0,3,0,0,21
"C Yudian",1,15,6,250,Inf,2,0,1,0,0,15
"C Zhou",10,100,167,59.8802395209581,10,7,0,0,0,0,34
"CC Dalton",2,8,12,66.6666666666667,Inf,0,0,2,0,0,7
"CC van Slobbe",8,91,165,55.1515151515151,11.375,3,0,0,0,0,25
"CG Steenstra Toussaint",2,12,21,57.1428571428571,6,1,0,0,0,0,9
"CJ Erkelens",1,6,16,37.5,6,0,0,0,0,0,6
"CMA Shillington",5,176,150,117.333333333333,35.2,25,1,0,0,1,81
"CNIM Joyce",5,124,111,111.711711711712,31,14,2,1,0,0,39
"CS Mugeri",9,142,208,68.2692307692308,20.2857142857143,10,0,2,0,1,51
"CS Mugeri-Tiripano",4,157,131,119.847328244275,52.3333333333333,19,0,1,0,2,59
"CT Dhururu",1,1,1,100,Inf,0,0,1,0,0,1
"Chan Ka Man",4,6,22,27.2727272727273,2,0,0,1,0,0,5
"Chan Sau Har",5,21,47,44.6808510638298,5.25,1,0,1,0,0,13
