"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"BM Scholtz",21,"77.0",3,423,32,13.21875,5.49350649350649,14.4375,212,1,0,"4/11"
"B Regmi",19,"63.3",3,323,28,11.5357142857143,5.08661417322835,13.6071428571429,212,1,0,"4/16"
"SO Ngoche",18,"60.0",2,365,25,14.6,6.08333333333333,14.4,174,1,0,"4/23"
"S Lamichhane",6,"20.3",4,57,24,2.375,2.78048780487805,5.125,93,2,2,"5/8"
"Nadeem Ahmed",15,"54.1",0,349,23,15.1739130434783,6.44307692307692,14.1304347826087,128,0,1,"5/12"
"Rohan Mustafa",19,"61.0",1,320,19,16.8421052631579,5.24590163934426,19.2631578947368,157,0,0,"3/14"
"GRD Munasinghe",12,"42.5",0,284,18,15.7777777777778,6.63035019455253,14.2777777777778,113,0,0,"3/18"
"Munir Dar",9,"32.2",1,222,17,13.0588235294118,6.8659793814433,11.4117647058824,82,2,0,"4/17"
"Nasir Aziz",12,"41.0",0,305,17,17.9411764705882,7.4390243902439,14.4705882352941,84,0,0,"3/20"
"Mohammad Naveed",8,"30.0",1,207,16,12.9375,6.9,11.25,78,0,0,"3/20"
"AM Guruge",11,"40.5",0,286,16,17.875,7.00408163265306,15.3125,111,0,0,"3/19"
"PR Stirling",8,"27.4",1,135,15,9,4.87951807228916,11.0666666666667,72,1,0,"4/10"
"Haseeb Amjad",12,"43.5",1,251,15,16.7333333333333,5.72623574144487,17.5333333333333,134,0,1,"5/12"
"Shoaib Ali",4,"14.0",0,121,14,8.64285714285714,8.64285714285714,6,37,0,2,"6/55"
"BDH Stevens",10,"34.5",0,211,14,15.0714285714286,6.05741626794258,14.9285714285714,84,0,0,"3/19"
"RJ Ranpura",9,"33.4",0,247,14,17.6428571428571,7.33663366336634,14.4285714285714,84,0,0,"3/30"
"P Khadka",17,"46.2",2,263,14,18.7857142857143,5.67625899280575,19.8571428571429,128,0,0,"3/22"
"E Otieno",14,"43.3",5,284,14,20.2857142857143,6.52873563218391,18.6428571428571,139,0,0,"3/14"
"Pavandeep Singh",8,"26.0",4,111,13,8.53846153846154,4.26923076923077,12,100,0,1,"5/1"
"R Matsumura",7,"27.3",2,148,13,11.3846153846154,5.38181818181818,12.6923076923077,90,2,0,"4/9"
"GH Dockrell",9,"32.0",0,184,13,14.1538461538462,5.75,14.7692307692308,82,0,0,"2/12"
"Mohammad Afzal",9,"35.0",0,202,13,15.5384615384615,5.77142857142857,16.1538461538462,87,0,0,"3/18"
"Mohammad Nabi",10,"34.1",1,208,13,16,6.08780487804878,15.7692307692308,94,1,0,"4/18"
"WT Gavera",10,"31.0",1,235,13,18.0769230769231,7.58064516129032,14.3076923076923,84,0,0,"3/17"
"Zeeshan Maqsood",9,"30.5",1,245,13,18.8461538461538,7.94594594594595,14.2307692307692,75,1,0,"4/23"
"CJA Amini",15,"42.0",3,263,13,20.2307692307692,6.26190476190476,19.3846153846154,118,1,0,"4/1"
"NN Odhiambo",15,"41.2",0,358,13,27.5384615384615,8.66129032258064,19.0769230769231,102,0,0,"3/15"
"CA Soper",6,"19.0",1,98,12,8.16666666666667,5.15789473684211,9.5,52,2,0,"4/10"
"Sompal Kami",8,"22.3",4,106,12,8.83333333333333,4.71111111111111,11.25,91,0,0,"3/4"
"Surinder Singh",6,"23.0",0,122,12,10.1666666666667,5.30434782608696,11.5,69,1,0,"4/23"
"Imran Arif",6,"23.0",1,134,12,11.1666666666667,5.82608695652174,11.5,78,0,0,"3/9"
"TK Patel",9,"27.3",3,138,12,11.5,5.01818181818182,13.75,89,0,0,"3/13"
"Samiullah Shenwari",8,"24.0",0,143,12,11.9166666666667,5.95833333333333,12,66,0,0,"3/19"
"Mohammed Irfan (2)",7,"28.0",1,164,12,13.6666666666667,5.85714285714286,14,96,0,1,"5/12"
"K Wakita",8,"28.5",0,176,12,14.6666666666667,6.10404624277457,14.4166666666667,84,0,0,"3/15"
"Mohammed Awais",9,"32.0",0,180,12,15,5.625,16,102,0,0,"3/23"
"Sagar Pun",12,"28.0",1,186,12,15.5,6.64285714285714,14,70,0,0,"3/12"
"M Ansari",8,"29.0",1,197,12,16.4166666666667,6.79310344827586,14.5,84,1,0,"4/15"
"SM Sharif",9,"34.0",0,227,12,18.9166666666667,6.67647058823529,17,87,0,0,"3/19"
"Tanwir Afzal",12,"46.0",1,259,12,21.5833333333333,5.6304347826087,23,142,0,0,"3/12"
"N Vanua",12,"37.0",1,270,12,22.5,7.2972972972973,18.5,99,0,0,"3/18"
"NM Odhiambo",13,"37.4",0,284,12,23.6666666666667,7.53982300884956,18.8333333333333,100,0,0,"3/26"
"SP Gauchan",15,"53.0",1,290,12,24.1666666666667,5.47169811320755,26.5,137,0,0,"3/16"
"LN Rajbanshi",6,"20.0",5,54,11,4.90909090909091,2.7,10.9090909090909,90,0,0,"3/3"
"Manpreet Singh",5,"15.0",1,57,11,5.18181818181818,3.8,8.18181818181818,61,2,0,"4/14"
"Z Groenewald",6,"20.0",3,82,11,7.45454545454545,4.1,10.9090909090909,72,0,1,"5/1"
"NR Kumar",7,"15.5",1,86,11,7.81818181818182,5.43157894736842,8.63636363636364,52,0,0,"3/1"
"NP Kenjige",5,"17.3",0,96,11,8.72727272727273,5.48571428571429,9.54545454545454,65,1,0,"4/5"
"MC Sorensen",6,"17.0",1,104,11,9.45454545454546,6.11764705882353,9.27272727272727,57,1,0,"4/15"
"CC Blake",5,"19.0",2,132,11,12,6.94736842105263,10.3636363636364,55,1,0,"4/10"
"D Duraisingam",5,"19.4",1,144,11,13.0909090909091,7.32203389830508,10.7272727272727,43,1,0,"4/18"
"AR Cusack",9,"25.3",0,174,11,15.8181818181818,6.82352941176471,13.9090909090909,64,0,0,"3/26"
"EHSN Silva",10,"38.2",2,195,11,17.7272727272727,5.08695652173913,20.9090909090909,120,0,0,"2/16"
