"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Rumana Ahmed",7,"25.0",4,73,17,4.29411764705882,2.92,8.82352941176471,100,1,0,"4/8"
"N Boochatham",13,"46.2",1,169,16,10.5625,3.64748201438849,17.375,171,0,0,"3/4"
"G Candiru",6,"24.0",0,105,15,7,4.375,9.6,82,1,0,"4/12"
"J Nkomo",11,"33.5",3,118,14,8.42857142857143,3.48768472906404,14.5,150,0,0,"3/9"
"R Oa",8,"25.5",2,95,13,7.30769230769231,3.67741935483871,11.9230769230769,108,1,0,"4/14"
"Nisha Ali",5,"15.2",2,36,12,3,2.34782608695652,7.66666666666667,66,0,1,"5/7"
"Karuna Bhandari",7,"26.5",3,78,12,6.5,2.90683229813665,13.4166666666667,106,1,0,"4/6"
"S Tippoch",10,"33.0",6,106,11,9.63636363636364,3.21212121212121,18,120,0,0,"2/5"
"IMHC Joyce",5,"17.0",0,85,10,8.5,5,10.2,47,1,0,"4/20"
"S Laomi",9,"27.0",2,85,10,8.5,3.14814814814815,16.2,102,1,0,"4/4"
"MP Enright",5,"17.2",1,92,10,9.2,5.30769230769231,10.4,64,0,1,"5/18"
"LO Telea",5,"19.4",7,67,9,7.44444444444444,3.40677966101695,13.1111111111111,89,0,1,"5/14"
"RC Belbashi",7,"24.4",0,88,9,9.77777777777778,3.56756756756757,16.4444444444444,85,0,0,"3/11"
"L Chilia",6,"18.4",1,89,9,9.88888888888889,4.76785714285714,12.4444444444444,66,0,0,"3/29"
"M Yanagida",7,"21.0",1,92,9,10.2222222222222,4.38095238095238,14,78,1,0,"4/5"
"C Sutthiruang",13,"43.0",4,180,9,20,4.18604651162791,28.6666666666667,153,0,0,"2/14"
"Zayani Syamimi",4,"12.4",1,44,8,5.5,3.47368421052632,9.5,53,1,0,"4/13"
"HASD Siriwardene",5,"16.2",5,59,8,7.375,3.61224489795918,12.25,67,1,0,"4/13"
"K Arua",8,"30.0",3,103,8,12.875,3.43333333333333,22.5,129,0,0,"2/11"
"S Jimmy",8,"28.0",5,110,8,13.75,3.92857142857143,21,109,0,0,"2/13"
"M Hill",7,"23.0",0,114,8,14.25,4.95652173913043,17.25,84,0,0,"3/17"
"Jannadiah Halim",9,"31.0",1,143,8,17.875,4.61290322580645,23.25,106,0,0,"3/11"
"HDJ Siegers",8,"26.0",1,148,8,18.5,5.69230769230769,19.5,80,0,0,"3/29"
"Nida Dar",5,"10.0",1,44,7,6.28571428571429,4.4,8.57142857142857,36,1,0,"4/7"
"MBA Lamplough",5,"16.0",3,47,7,6.71428571428571,2.9375,13.7142857142857,70,0,0,"2/8"
"W Liengprasert",7,"19.5",2,51,7,7.28571428571429,2.57142857142857,17,81,0,0,"2/5"
"Panna Ghosh",5,"17.0",2,56,7,8,3.29411764705882,14.5714285714286,63,0,1,"5/10"
"KKN Egodage",5,"15.0",0,61,7,8.71428571428571,4.06666666666667,12.8571428571429,52,0,0,"3/18"
"N Chantam",5,"18.0",1,94,7,13.4285714285714,5.22222222222222,15.4285714285714,60,1,0,"4/6"
"C Chatonzwa",8,"29.4",1,138,7,19.7142857142857,4.65168539325843,25.4285714285714,86,1,0,"4/12"
"P Marange",13,"51.0",3,189,7,27,3.70588235294118,43.7142857142857,187,0,0,"3/8"
"T Lafai",4,"11.3",0,31,6,5.16666666666667,2.69565217391304,11.5,42,0,0,"2/7"
"MI Tato",5,"17.0",2,55,6,9.16666666666667,3.23529411764706,17,76,0,0,"2/7"
