"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Ashokan","E Kahamker",12,8,1,2,1,0,9,150,12
"A Ashokan","E Solomon",9,4,0,1,0,1,13.5,225,Inf
"A Ashokan","PRPM Guruge",7,5,0,1,1,0,8.4,140,Inf
"A Ashokan","R Talkar",5,4,0,1,0,0,7.5,125,Inf
"A Ashokan","Yair Nagavkar",4,4,0,1,0,0,6,100,Inf
"A Bagai","AM Guruge",5,5,0,2,0,0,6,100,Inf
"A Bagai","Aizaz Khan",1,1,0,0,0,0,6,100,Inf
"A Bagai","Amjad Javed",9,5,0,1,0,1,10.8,180,Inf
"A Bagai","BM Scholtz",8,9,1,4,1,0,5.33333333333333,88.8888888888889,8
"A Bagai","C Waiswa",6,10,0,6,0,0,3.6,60,Inf
"A Bagai","DK Arinaitwe",4,8,0,4,0,0,3,50,Inf
"A Bagai","EHSN Silva",7,11,0,7,1,0,3.81818181818182,63.6363636363636,Inf
"A Bagai","F Nsubuga",8,7,0,2,1,0,6.85714285714286,114.285714285714,Inf
"A Bagai","GRD Munasinghe",1,2,1,1,0,0,3,50,1
"A Bagai","H Ssenyondo",7,5,0,2,1,0,8.4,140,Inf
"A Bagai","Haseeb Amjad",1,1,0,0,0,0,6,100,Inf
"A Bagai","Irfan Ahmed",2,6,1,4,0,0,2,33.3333333333333,2
"A Bagai","Khurram Khan",7,6,1,1,0,0,7,116.666666666667,7
"A Bagai","Munir Dar",0,2,0,2,0,0,0,0,NA
"A Bagai","Nadeem Ahmed",9,9,0,2,0,0,6,100,Inf
"A Bagai","Nasir Aziz",7,6,0,3,1,0,7,116.666666666667,Inf
"A Bagai","P Ochan",4,3,0,1,0,0,8,133.333333333333,Inf
"A Bagai","RG Mukasa",11,10,1,7,2,0,6.6,110,11
"A Bagai","Rohan Mustafa",8,8,0,3,1,0,6,100,Inf
"A Bagai","SF Burger",4,5,0,1,0,0,4.8,80,Inf
"A Bagai","Tanwir Afzal",2,2,0,0,0,0,6,100,Inf
"A Bagai","V Pennazza",1,6,0,5,0,0,1,16.6666666666667,Inf
"A Balbirnie","Adil Bhatti",2,2,0,0,0,0,6,100,Inf
"A Balbirnie","B Kynman",8,8,0,2,0,0,6,100,Inf
"A Balbirnie","BDH Stevens",3,7,0,4,0,0,2.57142857142857,42.8571428571429,Inf
"A Balbirnie","BM Scholtz",9,7,0,3,0,1,7.71428571428571,128.571428571429,Inf
"A Balbirnie","CJ Bodenstein",1,1,0,0,0,0,6,100,Inf
"A Balbirnie","CW Perchard",14,10,0,3,2,0,8.4,140,Inf
"A Balbirnie","H Shahid",9,5,1,2,2,0,10.8,180,9
"A Balbirnie","JJ Smit",4,1,0,0,1,0,24,400,Inf
"A Balbirnie","Jasdeep Singh",4,4,0,1,0,0,6,100,Inf
"A Balbirnie","K Ganesh",15,13,0,6,1,1,6.92307692307692,115.384615384615,Inf
"A Balbirnie","Muhammad Ghous",7,3,0,0,1,0,14,233.333333333333,Inf
"A Balbirnie","NAT Watkins",2,4,0,2,0,0,3,50,Inf
"A Balbirnie","RJG Palmer",4,3,0,0,0,0,8,133.333333333333,Inf
"A Balbirnie","SF Burger",5,6,0,2,0,0,5,83.3333333333333,Inf
"A Balbirnie","TK Patel",7,7,0,1,0,0,6,100,Inf
"A Bonora","A Sanford",5,2,0,0,1,0,15,250,Inf
"A Bonora","AS Dean",6,6,0,3,1,0,6,100,Inf
"A Bonora","AS Hansra",3,3,0,0,0,0,6,100,Inf
"A Bonora","BM Scholtz",5,5,0,1,0,0,6,100,Inf
"A Bonora","H Patel",3,3,0,0,0,0,6,100,Inf
"A Bonora","Haseeb Amjad",1,3,1,2,0,0,2,33.3333333333333,1
"A Bonora","JJ Smit",2,2,0,0,0,0,6,100,Inf
"A Bonora","JOA Gordon",0,1,1,1,0,0,0,0,0
"A Bonora","K Ganesh",1,2,0,1,0,0,3,50,Inf
"A Bonora","LP van der Westhuizen",6,7,0,1,0,0,5.14285714285714,85.7142857142857,Inf
"A Bonora","Munir Dar",5,4,0,1,0,0,7.5,125,Inf
"A Bonora","NC McGarrell",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Bonora","NRP Scholtz",4,4,0,1,0,0,6,100,Inf
"A Bonora","Raza-ur-Rehman",4,5,0,2,0,0,4.8,80,Inf
"A Bonora","SF Burger",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Bonora","TP Allen",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Bulow","Ghazanfar Ali",13,8,0,3,2,0,9.75,162.5,Inf
"A Bulow","Nadeem Butt",2,7,0,5,0,0,1.71428571428571,28.5714285714286,Inf
"A Bulow","P Buccimazza",13,9,1,4,1,1,8.66666666666667,144.444444444444,13
"A Bulow","SP Sharma",7,10,0,6,1,0,4.2,70,Inf
"A Conteh","AB Kamara",4,11,0,7,0,0,2.18181818181818,36.3636363636364,Inf
"A Conteh","E Ngegba",0,4,1,4,0,0,0,0,0
"A Conteh","HR Bhamu",5,10,0,7,0,0,3,50,Inf
"A Conteh","IKO Aboagye",7,9,1,6,1,0,4.66666666666667,77.7777777777778,7
