"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Aitken","CJ Metcalfe",2,2,0,0,0,0,6,100,Inf
"A Aitken","HDJ Siegers",2,3,0,2,0,0,4,66.6666666666667,Inf
"A Aitken","IMHC Joyce",1,4,0,3,0,0,1.5,25,Inf
"A Aitken","KJ Garth",2,5,1,3,0,0,2.4,40,2
"A Aitken","N Mutasa",4,3,0,0,0,0,8,133.333333333333,Inf
"A Aitken","R Sangsoma",5,4,0,2,1,0,7.5,125,Inf
"A Aitken","RA Lewis",3,4,0,1,0,0,4.5,75,Inf
"A Aitken","S Lateh",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Burdett","M Yanagida",0,1,1,1,0,0,0,0,0
"A Chilia","F Vaelua",0,1,0,1,0,0,0,0,NA
"A Chilia","GP Tom",4,3,0,2,1,0,8,133.333333333333,Inf
"A Chilia","K Arua",7,13,1,10,1,0,3.23076923076923,53.8461538461538,7
"A Chilia","K Ishimoto",5,14,1,12,1,0,2.14285714285714,35.7142857142857,5
"A Chilia","LO Telea",3,8,1,6,0,0,2.25,37.5,3
"A Chilia","M Uliao",0,3,1,3,0,0,0,0,0
"A Chilia","M Yanagida",0,4,1,4,0,0,0,0,0
"A Chilia","MI Tato",2,4,0,2,0,0,3,50,Inf
"A Chilia","R Oa",0,2,0,2,0,0,0,0,NA
"A Chilia","RSM Lili'i",10,11,0,7,2,0,5.45454545454545,90.9090909090909,Inf
"A Chilia","S Miyaji",1,8,0,7,0,0,0.75,12.5,Inf
"A Chilia","T Lafai",2,7,0,5,0,0,1.71428571428571,28.5714285714286,Inf
"A Chilia","V Araa",5,5,1,3,1,0,6,100,5
"A Chilia","V Frank",8,14,0,12,2,0,3.42857142857143,57.1428571428571,Inf
"A Kitayama","L Chilia",0,1,0,1,0,0,0,0,NA
"A Mazvishaya","Fahima Khatun",0,3,1,3,0,0,0,0,0
"A Mazvishaya","IMHC Joyce",2,2,0,0,0,0,6,100,Inf
"A Mazvishaya","LK O'Reilly",1,2,0,1,0,0,3,50,Inf
"A Mazvishaya","Shaila Sharmin",1,1,0,0,0,0,6,100,Inf
"A Nakayama","C Chatonzwa",1,15,0,14,0,0,0.4,6.66666666666667,Inf
"A Nakayama","CR Seneviratna",0,1,1,1,0,0,0,0,0
"A Nakayama","D Shabbir",2,9,0,7,0,0,1.33333333333333,22.2222222222222,Inf
"A Nakayama","HASD Siriwardene",4,17,0,16,1,0,1.41176470588235,23.5294117647059,Inf
"A Nakayama","HHC Gunaratne",1,5,0,4,0,0,1.2,20,Inf
"A Nakayama","HS Saili",0,1,1,1,0,0,0,0,0
"A Nakayama","J Nkomo",1,4,0,3,0,0,1.5,25,Inf
"A Nakayama","L Kenton",3,1,0,0,0,0,18,300,Inf
"A Nakayama","M Patel",4,9,0,7,0,0,2.66666666666667,44.4444444444444,Inf
"A Nakayama","MJ Turik",3,3,0,1,0,0,6,100,Inf
"A Nakayama","P Marange",0,2,0,2,0,0,0,0,NA
"A Nakayama","SK Dolawatte",6,10,0,7,1,0,3.6,60,Inf
"A Nakayama","SS Weerakkody",1,4,0,3,0,0,1.5,25,Inf
"A Nakayama","Saniyah Zia",5,4,0,0,0,0,7.5,125,Inf
"A Nakayama","Wu Juan",2,2,1,1,0,0,6,100,2
"A Ndiraya","A Nakayama",5,9,0,7,1,0,3.33333333333333,55.5555555555556,Inf
"A Ndiraya","A van Schoor",3,6,0,3,0,0,3,50,Inf
"A Ndiraya","C Aweko",18,24,0,13,2,0,4.5,75,Inf
"A Ndiraya","C Namugenyi",3,6,0,3,0,0,3,50,Inf
"A Ndiraya","G Candiru",0,1,1,1,0,0,0,0,0
"A Ndiraya","I van Zyl",1,7,0,6,0,0,0.857142857142857,14.2857142857143,Inf
"A Ndiraya","JM Apio",0,6,0,6,0,0,0,0,NA
"A Ndiraya","K Ota",0,9,1,9,0,0,0,0,0
"A Ndiraya","KA Green",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Ndiraya","M Mwangi",11,8,1,4,2,0,8.25,137.5,11
"A Ndiraya","M Ngoche",4,6,0,2,0,0,4,66.6666666666667,Inf
"A Ndiraya","MP Enright",3,7,0,4,0,0,2.57142857142857,42.8571428571429,Inf
"A Ndiraya","N Chantam",6,4,0,1,1,0,9,150,Inf
"A Ndiraya","R Musamali",11,16,1,8,1,0,4.125,68.75,11
"A Ndiraya","R Sangsoma",5,2,0,0,1,0,15,250,Inf
"A Ndiraya","S Nampiina",5,4,0,0,0,0,7.5,125,Inf
"A Ndiraya","S Tippoch",0,2,1,2,0,0,0,0,0
"A Ndiraya","SA Wittmann",0,3,0,3,0,0,0,0,NA
"A Ndiraya","V Ooko",9,11,0,6,1,0,4.90909090909091,81.8181818181818,Inf
"A Ndiraya","Yasmeen Khan",9,5,0,2,2,0,10.8,180,Inf
"A Suda","HS Saili",0,1,1,1,0,0,0,0,0
"A Umetani","L Chilia",1,2,0,1,0,0,3,50,Inf
"A Umetani","L Tastuki",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Umetani","LO Telea",0,1,1,1,0,0,0,0,0
"A Umetani","MV Fare",1,4,1,3,0,0,1.5,25,1
"A Umetani","N Navaika",2,5,0,2,0,0,2.4,40,Inf
"A Umetani","RSM Lili'i",2,3,0,1,0,0,4,66.6666666666667,Inf
"A van Schoor","FO Kibasu",6,6,1,4,1,0,6,100,6
"A van Schoor","J Nkomo",2,4,1,3,0,0,3,50,2
