"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"WTS Porterfield",2013-11-20,"Ireland","United States of America",1,127,69,12,5,184.057971014493,TRUE,"ICC World Twenty20 Qualifier","2013/14",660153,"Sheikh Zayed Stadium","Abu Dhabi","Ireland","United States of America","United States of America","field","WTS Porterfield","Ireland",NA,"75"
"TP Ura",2018-08-25,"Papua New Guinea","Samoa",1,120,55,12,6,218.181818181818,FALSE,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155273,"Albert Park 2","Suva","Papua New Guinea","Samoa","Papua New Guinea","bat","TP Ura","Papua New Guinea",NA,"80"
"A Vala",2018-08-26,"Papua New Guinea","Vanuatu",1,110,50,6,9,220,FALSE,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155277,"Albert Park 2","Suva","Papua New Guinea","Vanuatu","Vanuatu","field","A Vala","Papua New Guinea",NA,"81"
"Ahmed Faiz Mohammad Noor",2016-02-21,"Malaysia","Singapore",1,109,66,6,8,165.151515151515,TRUE,"Stan Nagaiah Trophy","2015/16",973777,"Kinrara Academy Oval","Kuala Lumpur","Malaysia","Singapore","Singapore","field",NA,"Malaysia",NA,"83"
"MD Patel",2018-09-21,"United States of America","Belize",1,108,58,7,8,186.206896551724,FALSE,"ICC World Twenty20 Americas Sub Regional Qualifier A","2018/19",1157693,"Church Street Park","Morrisville","United States of America","Belize","United States of America","bat","JS Malhotra","United States of America",NA,"198"
"AA Obanda",2018-07-13,"Kenya","Tanzania",1,108,61,8,8,177.049180327869,FALSE,"ICC World Twenty20 Africa Region Qualifier B","2018",1151251,"Gahanga International Cricket Stadium. Rwanda",NA,"Kenya","Tanzania","Kenya","bat","AA Obanda","Kenya",NA,"56"
"JS Malhotra",2018-09-21,"United States of America","Belize",1,106,55,5,8,192.727272727273,TRUE,"ICC World Twenty20 Americas Sub Regional Qualifier A","2018/19",1157693,"Church Street Park","Morrisville","United States of America","Belize","United States of America","bat","JS Malhotra","United States of America",NA,"198"
"RR Patel",2013-11-16,"Kenya","Nepal",1,103,45,5,10,228.888888888889,FALSE,"ICC World Twenty20 Qualifier","2013/14",660121,"ICC Academy Oval 2","Dubai","Kenya","Nepal","Nepal","field","RR Patel","Nepal","6",NA
"DM Nakrani",2018-07-14,"Uganda","Kenya",2,102,50,4,12,204,TRUE,"ICC World Twenty20 Africa Region Qualifier B","2018",1151254,"Gahanga International Cricket Stadium. Rwanda",NA,"Kenya","Uganda","Uganda","field","DM Nakrani","Uganda","7",NA
"L Louwrens",2018-10-29,"Namibia","Mozambique",1,100,49,15,3,204.081632653061,FALSE,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163054,"Botswana Cricket Association Oval 2","Gaborone","Namibia","Mozambique","Namibia","bat","L Louwrens","Namibia",NA,"125"
"Irfan Ahmed",2013-11-18,"Hong Kong","Canada",1,100,53,4,8,188.679245283019,FALSE,"ICC World Twenty20 Qualifier","2013/14",660137,"Abu Dhabi Oval 1","Abu Dhabi","Hong Kong","Canada","Canada","field","Irfan Ahmed","Hong Kong",NA,"53"
"DP Michael",2018-08-29,"Samoa","Fiji",2,100,62,8,7,161.290322580645,TRUE,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155283,"Albert Park 2","Suva","Fiji","Samoa","Samoa","field","DP Michael","Samoa","9",NA
"Irfan Ahmed",2015-07-19,"Hong Kong","Namibia",1,98,55,9,4,178.181818181818,FALSE,"ICC World Twenty20 Qualifier","2015",875539,"Clontarf Cricket Club Ground","Dublin","Hong Kong","Namibia","Namibia","field","Irfan Ahmed","Hong Kong",NA,"83"
"Riazat Ali Shah",2018-07-13,"Uganda","Rwanda",1,96,42,5,7,228.571428571429,TRUE,"ICC World Twenty20 Africa Region Qualifier B","2018",1151252,"Gahanga International Cricket Stadium. Rwanda",NA,"Uganda","Rwanda","Uganda","bat","Riazat Ali Shah","Uganda",NA,"94"
"Steven Ryan Taylor",2018-09-25,"United States of America","Canada",2,96,54,5,7,177.777777777778,TRUE,"ICC World Twenty20 Americas Sub Regional Qualifier A","2018/19",1157699,"Church Street Park","Morrisville","Canada","United States of America","Canada","bat","Steven Ryan Taylor","United States of America","2",NA
"J Rasu",2018-08-28,"Vanuatu","Fiji",1,91,53,12,3,171.698113207547,FALSE,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155279,"Albert Park 2","Suva","Vanuatu","Fiji","Fiji","field","J Rasu","Vanuatu",NA,"37"
