"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"M Abdulla",2018-10-30,"Swaziland","Malawi",1,"4.0",0,12,6,3,17,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163056,"Botswana Cricket Association Oval 2","Gaborone","Swaziland","Malawi","Swaziland","bat","M Abdulla","Malawi","8",NA
"Shoaib Ali",2015-01-26,"Kuwait","Saudi Arabia",1,"4.0",0,55,6,13.75,9,"ACC Twenty20 Cup","2014/15",811117,"Al Dhaid Cricket Village",NA,"Kuwait","Saudi Arabia","Saudi Arabia","field","Kashif Sharif","Kuwait",NA,"3"
"Pavandeep Singh",2018-10-09,"Myanmar","Malaysia",1,"4.0",3,1,5,0.25,23,"ICC World Twenty20 Asia Region Qualifier B","2018/19",1160959,"Bayuemas Oval","Kuala Lumpur","Myanmar","Malaysia","Malaysia","field","Pavandeep Singh","Malaysia","8",NA
"Z Groenewald",2018-10-28,"Swaziland","Namibia",1,"4.0",3,1,5,0.25,23,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163048,"Botswana Cricket Association Oval 2","Gaborone","Swaziland","Namibia","Namibia","field","Z Groenewald","Namibia","10",NA
"Imran Ali",2018-04-20,"Maldives","Kuwait",2,"2.4",1,2,5,0.75,15,"ICC World Twenty20 Asia Region Qualifier A","2018",1142208,"Sulabiya Ground","Kuwait City","Kuwait","Maldives","Kuwait","bat","Imran Ali","Kuwait",NA,"102"
"S Lamichhane",2018-10-07,"Thailand","Nepal",2,"3.0",1,8,5,2.66666666666667,16,"ICC World Twenty20 Asia Region Qualifier B","2018/19",1160956,"Bayuemas Oval","Kuala Lumpur","Nepal","Thailand","Thailand","field","Karan KC","Nepal",NA,"140"
"Haseeb Amjad",2013-11-15,"Italy","Hong Kong",1,"3.5",0,12,5,3.1304347826087,14,"ICC World Twenty20 Qualifier","2013/14",660103,"Abu Dhabi Oval 1","Abu Dhabi","Italy","Hong Kong","Hong Kong","field","Haseeb Amjad","Hong Kong","7",NA
"Mohammed Irfan (2)",2018-07-10,"Rwanda","Uganda",2,"4.0",1,12,5,3,18,"ICC World Twenty20 Africa Region Qualifier B","2018",1151248,"Gahanga International Cricket Stadium. Rwanda",NA,"Uganda","Rwanda","Rwanda","field","Mohammed Irfan (2)","Uganda",NA,"170"
"Nadeem Ahmed",2015-07-19,"Namibia","Hong Kong",2,"3.1",0,12,5,3.78947368421053,11,"ICC World Twenty20 Qualifier","2015",875539,"Clontarf Cricket Club Ground","Dublin","Hong Kong","Namibia","Namibia","field","Irfan Ahmed","Hong Kong",NA,"83"
"NRP Scholtz",2013-11-23,"Canada","Namibia",1,"3.0",0,13,5,4.33333333333333,9,"ICC World Twenty20 Qualifier","2013/14",660183,"Sheikh Zayed Stadium Nursery 1","Abu Dhabi","Canada","Namibia","Namibia","field","NRP Scholtz","Namibia","7",NA
"Usman Ashraf",2018-09-26,"Belize","United States of America",1,"4.0",0,15,5,3.75,15,"ICC World Twenty20 Americas Sub Regional Qualifier A","2018/19",1157700,"Church Street Park","Morrisville","Belize","United States of America","Belize","bat","Usman Ashraf","United States of America","9",NA
"T Lungameni",2018-10-29,"Mozambique","Namibia",2,"4.0",0,16,5,4,17,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163054,"Botswana Cricket Association Oval 2","Gaborone","Namibia","Mozambique","Namibia","bat","L Louwrens","Namibia",NA,"125"
"Mark Bawa",2018-04-18,"Gambia","Ghana",2,"4.0",0,17,5,4.25,16,"ICC World Twenty20 Africa Region Qualifier A","2018",1143121,"Tafawa Balewa Square Cricket Oval","Lagos","Ghana","Gambia","Ghana","bat",NA,"Ghana",NA,"109"
"Danial Ahmed",2013-11-26,"Denmark","United States of America",2,"4.0",0,18,5,4.5,10,"ICC World Twenty20 Qualifier","2013/14",660207,"Sharjah Cricket Stadium","Sharjah","United States of America","Denmark","Denmark","field","Danial Ahmed","United States of America",NA,"21"
"Shoaib Ali",2015-01-27,"Malaysia","Saudi Arabia",2,"4.0",0,19,5,4.75,14,"ACC Twenty20 Cup","2014/15",811125,"Sharjah Cricket Stadium",NA,"Malaysia","Saudi Arabia","Saudi Arabia","bat","Shoaib Ali","Saudi Arabia",NA,"43"
"S Lamichhane",2018-10-06,"Malaysia","Nepal",1,"4.0",0,20,5,5,14,"ICC World Twenty20 Asia Region Qualifier B","2018/19",1160951,"Bayuemas Oval","Kuala Lumpur","Malaysia","Nepal","Malaysia","bat","S Lamichhane","Nepal","8",NA
"Usman Ali",2018-04-23,"Kuwait","Saudi Arabia",1,"4.0",0,23,5,5.75,7,"ICC World Twenty20 Asia Region Qualifier A","2018",1142215,"Tack-Tec Ground","Kuwait City","Kuwait","Saudi Arabia","Saudi Arabia","field","Usman Ali","Saudi Arabia","7",NA
"M Leporoporo",2018-10-30,"Mozambique","Lesotho",1,"4.0",0,24,5,6,13,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163057,"Botswana Cricket Association Oval 1","Gaborone","Mozambique","Lesotho","Mozambique","bat","FA Cossa","Mozambique",NA,"66"
"T Kahamker",2018-09-02,"Norway","Israel",1,"4.0",0,25,5,6.25,10,"ICC World Twenty20 Europe Region Qualifier C","2018",1156678,"VRA Ground","Amstelveen","Norway","Israel","Israel","field","T Kahamker","Norway",NA,"24"
"Sibtain Raza",2015-01-27,"Maldives","Kuwait",1,"4.0",0,27,5,6.75,14,"ACC Twenty20 Cup","2014/15",811121,"Sharjah Cricket Stadium",NA,"Kuwait","Maldives","Maldives","bat","Sibtain Raza","Kuwait","9",NA
