"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_wickets","winner_runs","method","tv_umpire","outcome"
460054,6,"Argentina","United States of America","male","2010",2010-06-04,"ICC World Cricket League Americas Region Division One Twenty20",NA,"Sea Breeze Oval","Hamilton","United States of America","field","AG Dugmore","C Young","K Bayney","H Smythe","AFG Griffith","United States of America",2,NA,NA,NA,NA
460056,6,"Cayman Islands","Bermuda","male","2010",2010-06-05,"ICC World Cricket League Americas Region Division One Twenty20",NA,"National Stadium","Hamilton","Cayman Islands","bat","KF Bazil","K Bayney","AKL Brijcoomar",NA,"AFG Griffith","Bermuda",2,NA,NA,"C Young",NA
460058,6,"Bermuda","Bahamas","male","2010",2010-06-05,"ICC World Cricket League Americas Region Division One Twenty20",NA,"National Stadium","Hamilton","Bahamas","field","JJ Tucker","C Young","AKL Brijcoomar",NA,"AFG Griffith","Bermuda",NA,11,NA,"K Bayney",NA
460060,6,"Bermuda","United States of America","male","2010",2010-06-06,"ICC World Cricket League Americas Region Division One Twenty20",NA,"National Stadium","Hamilton","United States of America","field","LJ Cush","C Young","S Douglas",NA,"AFG Griffith","United States of America",2,NA,NA,"R Austin",NA
460064,6,"Canada","United States of America","male","2010",2010-06-06,"ICC World Cricket League Americas Region Division One Twenty20",NA,"National Stadium","Hamilton","United States of America","field","OM Baker","C Young","S Douglas",NA,"AFG Griffith","United States of America",5,NA,NA,"R Austin",NA
660093,6,"Ireland","Namibia","male","2013/14",2013-11-15,"ICC World Twenty20 Qualifier","1","Sheikh Zayed Stadium","Abu Dhabi","Namibia","field","PR Stirling","GO Brathwaite","SJ Davis","DJ Walker","D Govindjee","Ireland",NA,32,NA,NA,NA
660095,6,"Uganda","United Arab Emirates","male","2013/14",2013-11-15,"ICC World Twenty20 Qualifier","2","Sheikh Zayed Stadium Nursery 1","Abu Dhabi","United Arab Emirates","field","Shaiman Anwar","REJ Martinesz","IN Ramage","C Shamshuddin","D Govindjee","United Arab Emirates",8,NA,NA,NA,NA
660097,6,"Denmark","Nepal","male","2013/14",2013-11-15,"ICC World Twenty20 Qualifier","3","ICC Academy Oval 2","Dubai","Denmark","bat","P Khadka","CB Gaffaney","Sarika Prasad","AT Holdstock","GF Labrooy","Nepal",5,NA,NA,NA,NA
660099,6,"Bermuda","Scotland","male","2013/14",2013-11-15,"ICC World Twenty20 Qualifier","4","Sharjah Cricket Stadium","Sharjah","Bermuda","bat","DC Stovell","JD Ward","BB Pradhan","M Hawthorne","DT Jukes","Bermuda",NA,18,NA,NA,NA
660103,6,"Italy","Hong Kong","male","2013/14",2013-11-15,"ICC World Twenty20 Qualifier","6","Abu Dhabi Oval 1","Abu Dhabi","Hong Kong","field","Haseeb Amjad","C Shamshuddin","MA Gough","IN Ramage","D Govindjee","Hong Kong",7,NA,NA,NA,NA
