"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ashokan","2018","ICC World Twenty20 Europe Region Qualifier C","Czech Republic",1,37,25,148,37,2,1,0,0,0,37
"A Bagai","2013/14","ICC World Twenty20 Qualifier","Canada",5,112,127,88.1889763779528,22.4,8,1,0,0,0,43
"A Balbirnie","2015","ICC World Twenty20 Qualifier","Ireland",3,94,81,116.049382716049,94,7,2,2,0,0,44
"A Bonora","2013/14","ICC World Twenty20 Qualifier","Italy",4,48,56,85.7142857142857,24,2,0,2,0,0,18
"A Bulow","2018","ICC World Twenty20 Europe Region Qualifier A","Denmark",1,35,34,102.941176470588,35,4,1,0,0,0,35
"A Conteh","2018","ICC World Twenty20 Africa Region Qualifier A","Gambia",2,23,44,52.2727272727273,11.5,1,0,0,0,0,13
"A Ferguson","2010","ICC World Cricket League Americas Region Division One Twenty20","Argentina",1,0,2,0,0,0,0,0,0,0,0
"A Gbla","2018","ICC World Twenty20 Africa Region Qualifier A","Sierra Leone",3,28,18,155.555555555556,14,2,1,1,0,0,15
"A Goenka","2014/15","ACC Twenty20 Cup","Singapore",1,7,9,77.7777777777778,7,0,0,0,0,0,7
"A Koul","2018/19","ICC World Twenty20 Africa Region Qualifier C","Mozambique",2,10,18,55.5555555555556,5,2,0,0,0,0,10
"A Krishna","2018/19","ICC World Twenty20 Asia Region Qualifier B","Singapore",3,8,9,88.8888888888889,2.66666666666667,0,1,0,0,0,6
"A Langham","2018/19","ICC World Twenty20 Africa Region Qualifier C","St Helena",1,18,23,78.2608695652174,18,1,1,0,0,0,18
"A Makesh","2018","ICC World Twenty20 Asia Region Qualifier A","Kuwait",4,45,70,64.2857142857143,11.25,3,0,0,0,0,26
"A Mansale","2018","ICC World Twenty20 East Asia-Pacific Region Qualifier A","Vanuatu",5,49,47,104.255319148936,9.8,3,2,0,0,0,23
"A McAuley","2016","ICC World Cricket League Europe Region Division Two Twenty20","Isle of Man",2,23,32,71.875,11.5,1,0,0,0,0,17
"A McAuley","2018","ICC World Twenty20 Europe Region Qualifier B","Isle of Man",3,29,42,69.0476190476191,9.66666666666667,4,0,0,0,0,15
"A Mehdi","2010","ICC World Cricket League Americas Region Division One Twenty20","United States of America",1,10,8,125,10,2,0,0,0,0,10
"A Mutreja","2014/15","ACC Twenty20 Cup","Singapore",3,88,55,160,29.3333333333333,11,1,0,0,1,79
"A Mutreja","2015/16","Stan Nagaiah Trophy","Singapore",1,0,2,0,0,0,0,0,0,0,0
