"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S Lamichhane","Nepal","2018/19","ICC World Twenty20 Asia Region Qualifier B",6,"20.3",4,57,24,2.375,2.78048780487805,5.125,93,2,2,"5/8"
"Munir Dar","Hong Kong","2013/14","ICC World Twenty20 Qualifier",9,"32.2",1,222,17,13.0588235294118,6.8659793814433,11.4117647058824,82,2,0,"4/17"
"Nasir Aziz","United Arab Emirates","2013/14","ICC World Twenty20 Qualifier",10,"35.0",0,258,15,17.2,7.37142857142857,14,72,0,0,"3/20"
"B Regmi","Nepal","2013/14","ICC World Twenty20 Qualifier",10,"33.2",1,203,14,14.5,6.09,14.2857142857143,97,1,0,"4/16"
"AM Guruge","United Arab Emirates","2013/14","ICC World Twenty20 Qualifier",9,"33.5",0,227,14,16.2142857142857,6.70935960591133,14.5,95,0,0,"3/19"
"Shoaib Ali","Saudi Arabia","2014/15","ACC Twenty20 Cup",3,"12.0",0,104,13,8,8.66666666666667,5.53846153846154,33,0,2,"6/55"
"Haseeb Amjad","Hong Kong","2013/14","ICC World Twenty20 Qualifier",9,"34.3",1,189,13,14.5384615384615,5.47826086956522,15.9230769230769,107,0,1,"5/12"
"GRD Munasinghe","Italy","2013/14","ICC World Twenty20 Qualifier",8,"27.5",0,190,13,14.6153846153846,6.82634730538922,12.8461538461538,69,0,0,"3/18"
"Surinder Singh","Philippines","2018/19","ICC World Twenty20 East Asia-Pacific Region Qualifier B",6,"23.0",0,122,12,10.1666666666667,5.30434782608696,11.5,69,1,0,"4/23"
"Imran Arif","Saudi Arabia","2018","ICC World Twenty20 Asia Region Qualifier A",6,"23.0",1,134,12,11.1666666666667,5.82608695652174,11.5,78,0,0,"3/9"
"BM Scholtz","Namibia","2015","ICC World Twenty20 Qualifier",6,"23.0",1,141,12,11.75,6.1304347826087,11.5,58,1,0,"4/11"
"SO Ngoche","Kenya","2018","ICC World Twenty20 Africa Region Qualifier B",6,"22.0",1,152,12,12.6666666666667,6.90909090909091,11,70,1,0,"4/23"
"LN Rajbanshi","Nepal","2018/19","ICC World Twenty20 Asia Region Qualifier B",6,"20.0",5,54,11,4.90909090909091,2.7,10.9090909090909,90,0,0,"3/3"
"Manpreet Singh","Singapore","2018/19","ICC World Twenty20 Asia Region Qualifier B",5,"15.0",1,57,11,5.18181818181818,3.8,8.18181818181818,61,2,0,"4/14"
"Z Groenewald","Namibia","2018/19","ICC World Twenty20 Africa Region Qualifier C",5,"18.0",3,63,11,5.72727272727273,3.5,9.81818181818182,69,0,1,"5/1"
"NP Kenjige","United States of America","2018/19","ICC World Twenty20 Americas Sub Regional Qualifier A",5,"17.3",0,96,11,8.72727272727273,5.48571428571429,9.54545454545454,65,1,0,"4/5"
"PR Stirling","Ireland","2013/14","ICC World Twenty20 Qualifier",6,"19.4",0,99,11,9,5.03389830508475,10.7272727272727,46,1,0,"4/10"
"MC Sorensen","Ireland","2013/14","ICC World Twenty20 Qualifier",6,"17.0",1,104,11,9.45454545454546,6.11764705882353,9.27272727272727,57,1,0,"4/15"
"Mohammad Naveed","United Arab Emirates","2018","ICC World Twenty20 Asia Region Qualifier A",5,"18.0",0,113,11,10.2727272727273,6.27777777777778,9.81818181818182,51,0,0,"3/20"
"CC Blake","Vanuatu","2018","ICC World Twenty20 East Asia-Pacific Region Qualifier A",5,"19.0",2,132,11,12,6.94736842105263,10.3636363636364,55,1,0,"4/10"
"EHSN Silva","United Arab Emirates","2013/14","ICC World Twenty20 Qualifier",10,"38.2",2,195,11,17.7272727272727,5.08695652173913,20.9090909090909,120,0,0,"2/16"
"P Khadka","Nepal","2013/14","ICC World Twenty20 Qualifier",10,"30.2",0,200,11,18.1818181818182,6.59340659340659,16.5454545454545,77,0,0,"3/22"
"JK Mukhiya","Nepal","2013/14","ICC World Twenty20 Qualifier",10,"32.2",0,238,11,21.6363636363636,7.36082474226804,17.6363636363636,73,0,0,"3/25"
"Ahsan Malik","Netherlands","2013/14","ICC World Twenty20 Qualifier",3,"12.0",0,56,10,5.6,4.66666666666667,7.2,35,2,0,"4/10"
"Samiullah Shenwari","Afghanistan","2013/14","ICC World Twenty20 Qualifier",4,"16.0",0,81,10,8.1,5.0625,9.6,48,0,0,"3/19"
"T Lungameni","Namibia","2018/19","ICC World Twenty20 Africa Region Qualifier C",5,"18.0",2,86,10,8.6,4.77777777777778,10.8,73,0,1,"5/16"
"Rohan Mustafa","United Arab Emirates","2018","ICC World Twenty20 Asia Region Qualifier A",6,"24.0",0,99,10,9.9,4.125,14.4,78,0,0,"3/18"
"Danial Ahmed","United States of America","2013/14","ICC World Twenty20 Qualifier",4,"16.0",0,101,10,10.1,6.3125,9.6,36,0,1,"5/18"
"SM Solia","Samoa","2018","ICC World Twenty20 East Asia-Pacific Region Qualifier A",5,"17.0",1,110,10,11,6.47058823529412,10.2,58,1,0,"4/28"
"M Ansari","Oman","2015","ICC World Twenty20 Qualifier",5,"19.0",1,116,10,11.6,6.10526315789474,11.4,62,1,0,"4/15"
"PRPM Guruge","Israel","2018","ICC World Twenty20 Europe Region Qualifier C",5,"18.5",0,116,10,11.6,6.15929203539823,11.3,62,0,0,"3/25"
"Mohammed Irfan (2)","Uganda","2018","ICC World Twenty20 Africa Region Qualifier B",5,"20.0",1,120,10,12,6,12,68,0,1,"5/12"
"BM Scholtz","Namibia","2013/14","ICC World Twenty20 Qualifier",7,"28.0",0,157,10,15.7,5.60714285714286,16.8,66,0,0,"2/14"
"CA Soper","Papua New Guinea","2018","ICC World Twenty20 East Asia-Pacific Region Qualifier A",4,"12.0",1,49,9,5.44444444444444,4.08333333333333,8,36,2,0,"4/10"
"A Krishna","Singapore","2018/19","ICC World Twenty20 Asia Region Qualifier B",5,"17.0",3,51,9,5.66666666666667,3,11.3333333333333,73,1,0,"4/14"
"ACF Stokes","Guernsey","2018","ICC World Twenty20 Europe Region Qualifier C",3,"12.0",1,53,9,5.88888888888889,4.41666666666667,8,43,0,0,"3/17"
"Janak Prakash","Singapore","2018/19","ICC World Twenty20 Asia Region Qualifier B",5,"14.5",0,79,9,8.77777777777778,5.32584269662921,9.88888888888889,55,0,0,"3/15"
