"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"G Candiru","Uganda","2017","ICC Women's World Twenty20 Qualifying Series Africa Region",6,"24.0",0,105,15,7,4.375,9.6,82,1,0,"4/12"
"Nisha Ali","United Arab Emirates","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",5,"15.2",2,36,12,3,2.34782608695652,7.66666666666667,66,0,1,"5/7"
"MP Enright","Namibia","2017","ICC Women's World Twenty20 Qualifying Series Africa Region",5,"17.2",1,92,10,9.2,5.30769230769231,10.4,64,0,1,"5/18"
"Rumana Ahmed","Bangladesh","2015/16","ICC Women's World Twenty20 Qualifier",3,"11.0",3,26,9,2.88888888888889,2.36363636363636,7.33333333333333,50,1,0,"4/8"
"R Oa","Papua New Guinea","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",4,"15.5",2,43,9,4.77777777777778,2.71578947368421,10.5555555555556,75,1,0,"4/14"
"LO Telea","Samoa","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",5,"19.4",7,67,9,7.44444444444444,3.40677966101695,13.1111111111111,89,0,1,"5/14"
"L Chilia","Vanuatu","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",6,"18.4",1,89,9,9.88888888888889,4.76785714285714,12.4444444444444,66,0,0,"3/29"
"N Boochatham","Thailand","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",4,"14.0",1,25,8,3.125,1.78571428571429,10.5,62,0,0,"3/4"
"Zayani Syamimi","Malaysia","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",4,"12.4",1,44,8,5.5,3.47368421052632,9.5,53,1,0,"4/13"
"IMHC Joyce","Ireland","2015/16","ICC Women's World Twenty20 Qualifier",3,"10.0",0,47,8,5.875,4.7,7.5,30,1,0,"4/20"
"J Nkomo","Zimbabwe","2017","ICC Women's World Twenty20 Qualifying Series Africa Region",4,"15.3",2,47,8,5.875,3.03225806451613,11.625,71,0,0,"3/9"
"Karuna Bhandari","Nepal","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",5,"20.0",1,60,8,7.5,3,15,75,0,0,"3/10"
"Nida Dar","Pakistan","2014/15","Asian Games Women's Cricket Competition",3,"6.0",1,15,7,2.14285714285714,2.5,5.14285714285714,26,1,0,"4/7"
"MBA Lamplough","Hong Kong","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",5,"16.0",3,47,7,6.71428571428571,2.9375,13.7142857142857,70,0,0,"2/8"
"KKN Egodage","United Arab Emirates","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",5,"15.0",0,61,7,8.71428571428571,4.06666666666667,12.8571428571429,52,0,0,"3/18"
"Jannadiah Halim","Malaysia","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",4,"15.0",0,63,7,9,4.2,12.8571428571429,59,0,0,"3/11"
"RC Belbashi","Nepal","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",5,"18.2",0,65,7,9.28571428571429,3.54545454545455,15.7142857142857,63,0,0,"3/11"
"S Laomi","Thailand","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",3,"9.0",2,18,6,3,2,9,42,1,0,"4/4"
"M Yanagida","Japan","2013","ICC Women's World Twenty20 Qualifier",2,"8.0",1,24,6,4,3,8,34,1,0,"4/5"
"T Lafai","Samoa","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",4,"11.3",0,31,6,5.16666666666667,2.69565217391304,11.5,42,0,0,"2/7"
"HASD Siriwardene","Sri Lanka","2014/15","Asian Games Women's Cricket Competition",3,"10.2",2,41,6,6.83333333333333,3.96774193548387,10.3333333333333,42,1,0,"4/13"
"K Arua","Papua New Guinea","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",4,"16.0",2,51,6,8.5,3.1875,16,70,0,0,"2/11"
"MI Tato","Samoa","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",5,"17.0",2,55,6,9.16666666666667,3.23529411764706,17,76,0,0,"2/7"
"L Tastuki","Vanuatu","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",5,"19.0",0,65,6,10.8333333333333,3.42105263157895,19,85,0,0,"2/7"
"M Hill","Hong Kong","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",5,"16.0",0,65,6,10.8333333333333,4.0625,16,63,0,0,"3/17"
"KL Gordon","Scotland","2015/16","ICC Women's World Twenty20 Qualifier",3,"11.0",0,71,6,11.8333333333333,6.45454545454545,11,29,0,0,"3/21"
"N Navaika","Vanuatu","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",6,"19.0",1,84,6,14,4.42105263157895,19,70,1,0,"4/15"
"C Chatonzwa","Zimbabwe","2013","ICC Women's World Twenty20 Qualifier",2,"7.4",1,16,5,3.2,2.08695652173913,9.2,36,1,0,"4/12"
"Khadija Tul Kubra","Bangladesh","2015/16","ICC Women's World Twenty20 Qualifier",2,"8.0",0,19,5,3.8,2.375,9.6,35,0,1,"5/11"
"HS Saili","Zimbabwe","2013","ICC Women's World Twenty20 Qualifier",2,"7.0",0,28,5,5.6,4,8.4,30,0,0,"3/15"
"Panna Ghosh","Bangladesh","2014/15","Asian Games Women's Cricket Competition",2,"7.0",1,28,5,5.6,4,8.4,24,0,1,"5/10"
"Nur Arianna Natsya","Malaysia","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",3,"9.0",0,36,5,7.2,4,10.8,27,0,0,"3/9"
"N Chantam","Thailand","2014/15","Asian Games Women's Cricket Competition",3,"11.0",1,39,5,7.8,3.54545454545455,13.2,41,1,0,"4/6"
"S Jimmy","Papua New Guinea","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",4,"16.0",5,44,5,8.8,2.75,19.2,79,0,0,"2/13"
"S Miyaji","Japan","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",5,"19.4",3,44,5,8.8,2.23728813559322,23.6,87,0,0,"2/10"
"S Tippoch","Thailand","2015/16","ICC Women's World Twenty20 Qualifier",4,"13.0",1,51,5,10.2,3.92307692307692,15.6,42,0,0,"2/11"
"RSM Lili'i","Samoa","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",5,"17.0",5,58,5,11.6,3.41176470588235,20.4,70,0,0,"2/9"
"MV Fare","Vanuatu","2017","ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region",6,"14.3",2,59,5,11.8,4.06896551724138,17.4,61,0,0,"2/4"
"S Wetoto","Kenya","2017","ICC Women's World Twenty20 Qualifying Series Africa Region",5,"19.0",0,79,5,15.8,4.15789473684211,22.8,53,0,0,"3/15"
"R Musamali","Uganda","2017","ICC Women's World Twenty20 Qualifying Series Africa Region",6,"21.0",1,84,5,16.8,4,25.2,78,0,0,"2/11"
"CC van Slobbe","Netherlands","2015/16","ICC Women's World Twenty20 Qualifier",5,"14.5",0,105,5,21,7.07865168539326,17.8,40,0,0,"2/25"
"Sabnam Rai","Nepal","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",2,"7.0",0,14,4,3.5,2,10.5,31,0,0,"3/7"
"SW Kinyua","Kenya","2017","ICC Women's World Twenty20 Qualifying Series Africa Region",2,"5.0",0,17,4,4.25,3.4,7.5,17,0,0,"3/10"
"Fahima Khatun","Bangladesh","2015/16","ICC Women's World Twenty20 Qualifier",3,"6.4",1,18,4,4.5,2.7,10,30,0,0,"2/1"
"Karuna Bhandari","Nepal","2014/15","Asian Games Women's Cricket Competition",2,"6.5",2,18,4,4.5,2.63414634146341,10.25,31,1,0,"4/6"
"Rumana Ahmed","Bangladesh","2015/16","Zimbabwe Women tour of Bangladesh",2,"6.0",0,23,4,5.75,3.83333333333333,9,22,0,0,"3/11"
"Rumana Ahmed","Bangladesh","2014/15","Asian Games Women's Cricket Competition",2,"8.0",1,24,4,6,3,12,28,0,0,"2/11"
"Sana Mir","Pakistan","2014/15","Asian Games Women's Cricket Competition",3,"6.0",0,25,4,6.25,4.16666666666667,9,19,0,0,"2/11"
"RK Kanoujiya","Nepal","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",4,"7.5",0,29,4,7.25,3.70212765957447,11.75,36,0,0,"2/9"
"S Tippoch","Thailand","2017/18","ICC Women's World Twenty20 Qualifying Series Asia Region",4,"14.0",5,29,4,7.25,2.07142857142857,21,60,0,0,"2/5"
"W Liengprasert","Thailand","2014/15","Asian Games Women's Cricket Competition",3,"11.0",2,29,4,7.25,2.63636363636364,16.5,47,0,0,"2/9"
