"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Nisha Ali",2017-11-27,"Thailand","United Arab Emirates",1,"3.2",1,7,5,2.1,15,"ICC Women's World Twenty20 Qualifying Series Asia Region","2017/18",1123902,"Terdthai Cricket Ground","Bangkok","Thailand","United Arab Emirates","Thailand","bat","Nisha Ali","Thailand",NA,"22"
"Panna Ghosh",2014-09-25,"Sri Lanka","Bangladesh",2,"4.0",1,10,5,2.5,18,"Asian Games Women's Cricket Competition","2014/15",778011,"Yeonhui Cricket Ground","Incheon","Bangladesh","Sri Lanka","Bangladesh","bat",NA,"Bangladesh",NA,"25"
"Khadija Tul Kubra",2015-12-01,"Papua New Guinea","Bangladesh",2,"4.0",0,11,5,2.75,16,"ICC Women's World Twenty20 Qualifier","2015/16",881741,"Asian Institute of Technology Ground","Bangkok","Bangladesh","Papua New Guinea","Papua New Guinea","field","Khadija Tul Kubra","Bangladesh",NA,"41"
"LO Telea",2017-05-03,"Vanuatu","Samoa",1,"4.0",2,14,5,3.5,21,"ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region","2017",1090894,"Sano International Cricket Ground",NA,"Vanuatu","Samoa","Samoa","field","LO Telea","Samoa","4",NA
"MP Enright",2017-09-08,"Uganda","Namibia",1,"4.0",0,18,5,4.5,16,"ICC Women's World Twenty20 Qualifying Series Africa Region","2017",1118916,"Wanderers Cricket Ground","Windhoek","Uganda","Namibia","Namibia","field","F Najjumba","Uganda",NA,"21"
"S Laomi",2017-11-24,"China","Thailand",1,"3.0",1,4,4,1.33333333333333,16,"ICC Women's World Twenty20 Qualifying Series Asia Region","2017/18",1121068,"Terdthai Cricket Ground","Bangkok","China","Thailand","Thailand","field","S Laomi","Thailand","8",NA
"M Yanagida",2013-07-29,"Zimbabwe","Japan",2,"4.0",1,5,4,1.25,20,"ICC Women's World Twenty20 Qualifier","2013",640949,"The Village, Malahide","Dublin","Japan","Zimbabwe","Zimbabwe","field","M Yanagida","Zimbabwe","3",NA
"Karuna Bhandari",2014-09-22,"Malaysia","Nepal",2,"3.5",1,6,4,1.56521739130435,19,"Asian Games Women's Cricket Competition","2014/15",777997,"Yeonhui Cricket Ground","Incheon","Malaysia","Nepal","Malaysia","field",NA,"Nepal",NA,"46"
"N Chantam",2014-09-20,"Malaysia","Thailand",1,"4.0",0,6,4,1.5,20,"Asian Games Women's Cricket Competition","2014/15",777991,"Yeonhui Cricket Ground","Incheon","Malaysia","Thailand","Malaysia","bat",NA,"Thailand","9",NA
"Nida Dar",2014-09-25,"China","Pakistan",1,"3.0",1,7,4,2.33333333333333,15,"Asian Games Women's Cricket Competition","2014/15",778009,"Yeonhui Cricket Ground","Incheon","China","Pakistan","Pakistan","field",NA,"Pakistan","9",NA
