"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_runs","winner_wickets","method","outcome"
640929,6,"Pakistan","Thailand","female","2013",2013-07-23,"ICC Women's World Twenty20 Qualifier","4","YMCA Cricket Club","Dublin","Pakistan","bat","Nain Abidi","K Cross","IJ Gould","N Duguid","D Govindjee","Pakistan",69,NA,NA,NA
640931,6,"Ireland","Canada","female","2013",2013-07-25,"ICC Women's World Twenty20 Qualifier","6","Merrion Cricket Club Ground","Dublin","Ireland","bat","CMA Shillington","GAV Baxter","IJ Gould","IN Ramage","D Govindjee","Ireland",77,NA,NA,NA
640935,6,"Japan","Sri Lanka","female","2013",2013-07-25,"ICC Women's World Twenty20 Qualifier","8","Merrion Cricket Club Ground","Dublin","Sri Lanka","field","LE Kaushalya","IJ Gould","IN Ramage","GAV Baxter","D Govindjee","Sri Lanka",NA,10,NA,NA
640939,6,"Thailand","Zimbabwe","female","2013",2013-07-27,"ICC Women's World Twenty20 Qualifier","9","The Vineyard","Dublin","Thailand","field","C Chatonzwa","N Duguid","Sharfuddoula","RP Smith","D Govindjee","Zimbabwe",29,NA,NA,NA
640941,6,"Netherlands","Pakistan","female","2013",2013-07-27,"ICC Women's World Twenty20 Qualifier","10","Merrion Cricket Club Ground","Dublin","Netherlands","field","Nain Abidi","GAV Baxter","K Cross","IN Ramage","D Govindjee","Pakistan",20,NA,NA,NA
640943,6,"Canada","Japan","female","2013",2013-07-27,"ICC Women's World Twenty20 Qualifier","11","The Vineyard","Dublin","Canada","field","D Shabbir","Sharfuddoula","RP Smith","N Duguid","D Govindjee","Canada",NA,5,NA,NA
640949,6,"Japan","Zimbabwe","female","2013",2013-07-29,"ICC Women's World Twenty20 Qualifier",NA,"The Village, Malahide","Dublin","Zimbabwe","field","M Yanagida","GAV Baxter","RP Smith","Sharfuddoula","D Govindjee","Zimbabwe",NA,3,NA,NA
640951,6,"Netherlands","Sri Lanka","female","2013",2013-07-29,"ICC Women's World Twenty20 Qualifier",NA,"YMCA Cricket Club","Dublin","Netherlands","field","HMD Rasangika","K Cross","N Duguid","IN Ramage","D Govindjee","Sri Lanka",33,NA,"D/L",NA
640959,6,"Ireland","Netherlands","female","2013",2013-07-31,"ICC Women's World Twenty20 Qualifier",NA,"YMCA Cricket Club","Dublin","Netherlands","field","IMHC Joyce","K Cross","Sharfuddoula","N Duguid","D Govindjee","Ireland",2,NA,NA,NA
777991,6,"Malaysia","Thailand","female","2014/15",2014-09-20,"Asian Games Women's Cricket Competition","2","Yeonhui Cricket Ground","Incheon","Malaysia","bat",NA,"BB Pradhan","Riaz Chaudhry","L Jingmin","Iqbal Sikander","Thailand",NA,9,NA,NA
