"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ashok",1,10,12,83.3333333333333,10,2,0,0,0,0,10
"A Athanaze",10,288,337,85.459940652819,28.8,36,6,0,0,2,66
"A Bagai",24,614,971,63.2337796086509,29.2380952380952,63,1,3,0,5,87
"A Balbirnie",98,2965,3916,75.7150153217569,32.2282608695652,285,36,6,8,16,145
"A Bohara",2,13,14,92.8571428571429,Inf,0,0,2,0,0,8
"A Codrington",6,33,72,45.8333333333333,5.5,3,0,0,0,0,16
"A Dananjaya",30,291,417,69.7841726618705,12.125,25,3,6,0,1,50
"A Dutt",29,181,280,64.6428571428571,8.22727272727273,9,7,7,0,0,23
"A Flintoff",72,2096,2329,89.9957063117218,35.5254237288136,205,54,13,2,10,123
"A Flower",7,332,459,72.3311546840959,47.4285714285714,30,1,0,0,3,71
"A Johnson",11,299,297,100.673400673401,27.1818181818182,34,15,0,0,2,65
"A Kumble",16,108,254,42.5196850393701,9,10,0,4,0,0,24
"A Maregwede",8,108,179,60.3351955307263,15.4285714285714,10,1,1,0,0,37
"A Martin",6,10,29,34.4827586206897,10,0,0,5,0,0,4
"A McGrath",11,155,336,46.1309523809524,17.2222222222222,10,0,2,0,1,52
"A Mishra",11,43,82,52.4390243902439,5.375,4,0,3,0,0,14
"A Mithun",3,51,55,92.7272727272727,17,2,4,0,0,0,24
"A Nao",15,54,68,79.4117647058823,7.71428571428571,4,1,8,0,0,11
"A Nehra",33,90,171,52.6315789473684,4.5,9,2,13,0,0,16
"A Neill",6,29,41,70.7317073170732,14.5,2,0,4,0,0,14
"A Nel",19,123,156,78.8461538461538,13.6666666666667,14,3,10,0,0,30
"A Nortje",7,40,59,67.7966101694915,6.66666666666667,3,0,1,0,0,10
"A Patel",1,25,29,86.2068965517241,25,3,0,0,0,0,25
"A Phillip",2,22,25,88,22,0,1,1,0,0,21
"A Saud",9,174,348,50,19.3333333333333,15,4,0,0,1,51
"A Shahzad",8,40,60,66.6666666666667,6.66666666666667,0,3,2,0,0,9
"A Shamshudeen",1,3,28,10.7142857142857,3,0,0,0,0,0,3
"A Sharafu",14,196,306,64.0522875816993,14,18,2,0,0,0,35
"A Sharma",7,136,178,76.4044943820225,19.4285714285714,17,2,0,0,1,57
"A Symonds",105,3589,3960,90.6313131313131,43.7682926829268,304,73,23,5,24,151
"A Vala",56,1783,2557,69.7301525224873,32.4181818181818,147,26,1,1,11,104
"A Valthapa",1,14,22,63.6363636363636,14,1,0,0,0,0,14
"A Zampa",48,293,445,65.8426966292135,9.76666666666667,26,1,18,0,0,36
"A van der Merwe",1,4,4,100,Inf,0,0,1,0,0,4
"AA Donald",1,0,0,NA,NA,0,0,1,0,0,0
"AA Mulla",8,150,155,96.7741935483871,18.75,21,4,0,0,1,58
"AA Obanda",14,487,677,71.9350073855244,37.4615384615385,56,8,1,0,3,89
"AA Paradkar",4,39,50,78,13,3,1,1,0,0,24
"AA Shafique",1,13,33,39.3939393939394,13,2,0,0,0,0,13
"AAP Atkinson",6,63,50,126,15.75,10,1,2,0,0,35
"AB Agarkar",37,352,539,65.3061224489796,9.51351351351351,26,6,0,0,1,53
"AB Barath",14,394,612,64.3790849673203,28.1428571428571,43,3,0,1,1,113
"AB Dinda",5,21,36,58.3333333333333,4.2,1,0,0,0,0,16
"AB de Villiers",213,9435,9323,101.201330043977,53.9142857142857,825,200,38,25,52,176
"AC Agar",18,322,388,82.9896907216495,24.7692307692308,28,4,5,0,0,48
"AC Botha",17,265,405,65.4320987654321,20.3846153846154,28,2,4,0,1,52
"AC Cummins",3,21,23,91.304347826087,21,2,0,2,0,0,9
"AC Dawson",1,23,31,74.1935483870968,Inf,4,0,1,0,0,23
"AC Evans",16,98,143,68.5314685314685,10.8888888888889,9,1,7,0,0,28
"AC Gilchrist",118,4355,4153,104.86395376836,38.8839285714286,556,75,6,7,27,172
