"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Beggs",2,0,2,0,0,0,0,1,0,0,0
"A Bosch",13,308,394,78.1725888324873,30.8,38,3,3,0,2,65
"A Brindle",20,608,863,70.4519119351101,40.5333333333333,60,0,5,1,3,107
"A Canning",9,62,110,56.3636363636364,7.75,5,0,1,0,0,20
"A Capsey",10,139,177,78.5310734463277,13.9,20,1,0,0,0,40
"A Dalzell",2,7,13,53.8461538461538,3.5,0,0,0,0,0,4
"A Das",1,1,11,9.09090909090909,1,0,0,0,0,0,1
"A Gardner",44,878,818,107.334963325183,25.0857142857143,89,29,9,0,4,67
"A Hartley",7,4,28,14.2857142857143,4,0,0,6,0,0,2
"A Hlubi",1,4,6,66.6666666666667,4,1,0,0,0,0,4
"A Hunter",21,520,614,84.6905537459283,28.8888888888889,54,2,3,1,3,121
"A Khaka",36,107,216,49.537037037037,5.35,9,0,16,0,0,15
"A King",9,137,118,116.101694915254,22.8333333333333,5,13,3,0,0,46
"A Kolan",2,67,123,54.4715447154472,33.5,6,0,0,0,0,34
"A Lister",4,80,110,72.7272727272727,20,7,0,0,0,0,47
"A Mazvishaya",6,28,74,37.8378378378378,7,1,0,2,0,0,9
"A Minny",3,106,123,86.1788617886179,53,11,1,1,0,1,73
"A Mohammed",36,232,561,41.3547237076649,9.28,23,0,11,0,0,31
"A Ndiraya",11,248,367,67.574931880109,22.5454545454545,21,0,0,0,0,47
"A Rawat",2,153,185,82.7027027027027,153,20,2,1,0,2,97
"A Sharma",7,108,150,72,21.6,11,1,2,0,0,42
"A Shrubsole",32,199,256,77.734375,9.04545454545454,21,4,10,0,0,32
"A Steyn",31,781,1230,63.4959349593496,26.9310344827586,82,1,2,1,4,117
"A Sutherland",17,465,547,85.0091407678245,38.75,42,6,5,1,2,109
"A Wellington",6,6,17,35.2941176470588,1.5,0,0,2,0,0,3
"A le Breton",1,3,6,50,Inf,0,0,1,0,0,3
"AA Alleyne",23,235,400,58.75,13.8235294117647,29,0,6,0,0,35
"AA Deshpande",1,32,68,47.0588235294118,32,4,1,0,0,0,32
"AB Kaur",6,55,108,50.9259259259259,11,2,0,1,0,0,20
"AC Jayangani",63,2560,3212,79.7011207970112,44.1379310344828,317,47,5,8,11,195
"AC Kerr",59,1659,2123,78.144135657089,35.2978723404255,158,3,12,3,8,119
"AD Janakanthymala",2,1,15,6.66666666666667,1,0,0,1,0,0,1
"AE Jones",63,1771,2108,84.0132827324478,31.0701754385965,193,16,6,0,13,94
"AE Satterthwaite",66,2895,3532,81.964892412231,51.6964285714286,308,10,10,6,18,137
"AE Smith",1,45,30,150,45,3,1,0,0,0,45
"AH Maqsood",3,4,14,28.5714285714286,1.33333333333333,0,0,0,0,0,4
"AH Thomson",1,6,16,37.5,6,1,0,0,0,0,6
"AI Chudasama",2,26,34,76.4705882352941,26,2,0,1,0,0,25
"AJ Blackwell",33,953,1236,77.1035598705502,38.12,96,4,8,0,8,90
"AJ Healy",80,2572,2620,98.1679389312977,35.2328767123288,351,29,7,4,14,170
"AJ Kenealy",7,39,92,42.3913043478261,5.57142857142857,5,1,0,0,0,20
"AK Maguire",2,0,3,0,0,0,0,0,0,0,0
"AK Peters",4,6,29,20.6896551724138,1.5,0,0,0,0,0,4
"AL Hodgkinson",3,121,165,73.3333333333333,40.3333333333333,9,0,0,0,1,71
"AL Watkins",1,0,1,0,0,0,0,0,0,0,0
"AM Peterson",12,167,203,82.2660098522168,18.5555555555556,14,3,3,0,0,46
"AN Davidson-Richards",4,56,78,71.7948717948718,28,4,0,2,0,1,50
"AN Kelly",15,210,331,63.4441087613293,15,15,0,1,0,0,34
"APC Kilowan",1,21,17,123.529411764706,21,1,1,0,0,0,21
"APS Lakshika",1,0,4,0,0,0,0,0,0,0,0
"AS Tanke",2,41,88,46.5909090909091,20.5,5,0,0,0,0,41
"AS van Beuge",3,32,94,34.0425531914894,10.6666666666667,0,0,0,0,0,26
"ASS Fletcher",30,207,337,61.4243323442137,9.85714285714286,19,0,9,0,0,36
"Aiman Anwer",5,15,20,75,3.75,1,0,1,0,0,10
