"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"SL Malinga",212,"1754.0",96,9420,329,28.6322188449848,5.37058152793615,31.9878419452888,5864,11,7,"6/38"
"Shakib Al Hasan",220,"1905.5",82,8696,288,30.1944444444444,4.56283340620901,39.7048611111111,6160,10,4,"5/29"
"B Lee",151,"1287.5",96,6139,257,23.8871595330739,4.7669211854536,30.0661478599222,4850,9,7,"5/22"
"JM Anderson",178,"1480.5",115,7339,251,29.2390438247012,4.95599324704558,35.398406374502,5404,10,2,"5/23"
"Shahid Afridi",202,"1724.4",32,8017,248,32.3266129032258,4.64843448009277,41.7258064516129,5203,3,8,"7/12"
"MA Starc",121,"1040.0",50,5421,236,22.9703389830508,5.2125,26.4406779661017,3707,12,9,"6/28"
"MG Johnson",146,"1214.2",70,5846,232,25.198275862069,4.81416415042547,31.4051724137931,4379,8,3,"6/31"
"RA Jadeja",189,"1625.0",56,7936,220,36.0727272727273,4.88369230769231,44.3181818181818,4955,7,2,"5/33"
"Mashrafe Mortaza",182,"1483.1",87,7507,218,34.4357798165138,5.06146758062704,40.8211009174312,5094,4,1,"6/26"
"TG Southee",151,"1291.4",79,7189,215,33.4372093023256,5.56567741935484,36.046511627907,4352,5,3,"7/33"
"TA Boult",114,"1031.0",76,5161,211,24.4597156398104,5.00581959262852,29.3175355450237,3716,10,6,"7/34"
"AU Rashid",128,"1121.3",12,6305,197,32.005076142132,5.62193490860455,34.1573604060914,3020,8,2,"5/27"
"Mohammed Shami",100,"830.5",51,4618,195,23.6820512820513,5.55827482447342,25.5641025641026,2895,10,5,"7/57"
"DW Steyn",123,"1032.3",70,5039,193,26.1088082901554,4.88038740920097,32.0984455958549,3782,4,3,"6/39"
"KMDN Kulasekara",176,"1338.1",100,6615,192,34.453125,4.94333042720139,41.8177083333333,4829,4,1,"5/22"
"KD Mills",130,"1066.1",102,5027,191,26.3193717277487,4.7150226668751,33.4921465968586,3952,8,1,"5/25"
"M Muralitharan",124,"1119.3",55,4579,190,24.1,4.09021884769987,35.3526315789474,3804,7,2,"5/29"
"DL Vettori",154,"1330.5",64,5272,188,28.0425531914894,3.96142767689418,42.4734042553191,4535,5,2,"5/7"
"M Morkel",113,"950.0",47,4700,187,25.1336898395722,4.94736842105263,30.4812834224599,3434,7,2,"5/21"
"Rashid Khan",95,"856.1",32,3635,181,20.0828729281768,4.24566867821686,28.3812154696133,2906,6,4,"7/18"
"Z Khan",128,"1088.0",80,5452,179,30.4581005586592,5.01102941176471,36.4692737430168,3870,2,1,"5/42"
"Saeed Ajmal",109,"977.0",49,4105,177,23.1920903954802,4.20163766632549,33.1186440677966,3361,5,2,"5/24"
"DJ Bravo",134,"970.1",36,5213,177,29.4519774011299,5.37330355609002,32.8870056497175,2943,6,0,"4/19"
"SCJ Broad",118,"993.3",56,5254,174,30.1954022988506,5.28837443381983,34.2586206896552,3400,9,1,"5/23"
"NLTC Perera",156,"977.2",28,5720,174,32.8735632183908,5.85266030013643,33.7011494252874,2902,5,4,"6/44"
"Imran Tahir",104,"923.3",38,4297,173,24.8381502890173,4.652950730915,32.028901734104,2940,7,3,"7/45"
"CR Woakes",118,"956.1",52,5193,173,30.0173410404624,5.43106153041659,33.1618497109827,3190,11,3,"6/45"
"A Zampa",99,"866.3",14,4742,169,28.0591715976331,5.47259088286209,30.7633136094675,2347,11,1,"5/35"
"Kuldeep Yadav",100,"865.0",29,4370,168,26.0119047619048,5.05202312138728,30.8928571428571,2640,7,2,"6/25"
"Harbhajan Singh",144,"1315.1",44,5784,166,34.8433734939759,4.39792168292992,47.5361445783133,4310,0,2,"5/31"
"Mustafizur Rahman",103,"833.5",35,4307,164,26.2621951219512,5.1653008195083,30.5060975609756,2791,5,5,"6/43"
"Abdur Razzak",122,"1051.4",53,4872,163,29.8895705521472,4.63264659270998,38.7116564417178,3619,3,4,"5/29"
"Umar Gul",120,"949.5",60,4971,161,30.8757763975155,5.2335497455694,35.3975155279503,3407,4,1,"6/42"
"JO Holder",135,"1068.0",64,5908,159,37.1572327044025,5.53183520599251,40.3018867924528,3551,5,2,"5/27"
"K Rabada",99,"861.5",60,4361,157,27.7770700636943,5.06014310578225,32.9363057324841,3118,6,2,"6/16"
"R Ashwin",114,"1050.4",37,5180,156,33.2051282051282,4.93020304568528,40.4102564102564,3153,1,0,"4/25"
"NW Bracken",100,"834.5",76,3706,154,24.0649350649351,4.43920942303853,32.525974025974,3033,5,2,"5/47"
"JJ Bumrah",88,"763.2",57,3509,149,23.5503355704698,4.59694323144105,30.738255033557,2786,6,2,"6/19"
"SR Watson",140,"929.1",29,4663,146,31.9383561643836,5.01847533632287,38.1849315068493,2993,2,0,"4/36"
"IK Pathan",98,"807.4",45,4301,144,29.8680555555556,5.32521667354519,33.6527777777778,2768,4,2,"5/27"
"M Ntini",88,"739.0",58,3521,141,24.9716312056738,4.76454668470907,31.4468085106383,2733,5,2,"6/22"
"MJ Henry",80,"712.5",54,3722,141,26.3971631205674,5.22141688099135,30.3333333333333,2493,10,2,"5/30"
"PJ Cummins",88,"763.5",44,4042,141,28.6666666666667,5.29173030765874,32.5035460992908,2597,6,1,"5/70"
"Mohammad Nabi",128,"1033.0",36,4459,141,31.6241134751773,4.31655372700871,43.9574468085106,3331,3,1,"5/17"
"B Kumar",120,"974.3",68,4951,141,35.113475177305,5.08055413032324,41.468085106383,3443,4,1,"5/42"
"BAW Mendis",80,"660.2",32,3232,139,23.2517985611511,4.89449772841999,28.5035971223022,2040,7,2,"6/13"
"JR Hazlewood",85,"752.3",58,3556,135,26.3407407407407,4.72558139534884,33.4444444444444,2723,1,3,"6/52"
"LE Plunkett",84,"663.3",14,3817,131,29.1374045801527,5.75282592313489,30.3893129770992,2019,6,1,"5/52"
"Mohammad Hafeez",167,"1221.1",47,5056,131,38.5954198473282,4.140302988945,55.9312977099237,3863,1,0,"4/41"
"GB Hogg",87,"706.1",29,3167,129,24.5503875968992,4.48477696483361,32.8449612403101,2302,3,1,"5/41"
"Rubel Hossain",98,"747.4",24,4284,126,34,5.72982612572448,35.6031746031746,2328,7,1,"6/26"
"AD Mathews",160,"864.2",55,4030,123,32.7642276422764,4.66255302738141,42.1626016260163,2913,2,1,"6/20"
"YS Chahal",69,"623.1",14,3283,121,27.1322314049587,5.26825354372827,30.900826446281,1845,5,2,"6/42"
"KAJ Roach",90,"735.1",51,3744,121,30.9421487603306,5.09272273860803,36.4545454545455,2603,3,3,"6/27"
"JDP Oram",103,"793.2",58,3478,120,28.9833333333333,4.38403361344538,39.6666666666667,2893,3,1,"5/36"
"Wahab Riaz",90,"721.1",20,4117,120,34.3083333333333,5.70880517679686,36.0583333333333,2220,5,1,"5/46"
"A Flintoff",74,"610.4",55,2571,116,22.1637931034483,4.21015283842795,31.5862068965517,2338,5,2,"5/19"
"I Sharma",77,"618.1",29,3536,114,31.0175438596491,5.72014019951469,32.5350877192982,2036,6,0,"4/34"
"Shoaib Malik",165,"936.4",28,4440,114,38.9473684210526,4.74021352313167,49.2982456140351,2843,0,0,"3/6"
"JE Taylor",78,"633.5",30,3351,113,29.6548672566372,5.2868787799106,33.6548672566372,2179,3,1,"5/48"
"TL Chatara",85,"693.0",54,3650,113,32.3008849557522,5.26695526695527,36.7964601769912,2435,1,0,"4/33"
"AS Joseph",67,"577.2",23,3158,111,28.4504504504505,5.46997690531178,31.2072072072072,1907,4,1,"5/56"
"MM Ali",127,"988.0",13,5245,111,47.2522522522523,5.3087044534413,53.4054054054054,2676,2,0,"4/46"
"MF Maharoof",86,"630.3",47,3056,110,27.7818181818182,4.84694686756542,34.3909090909091,2253,4,2,"6/14"
"WPUJC Vaas",94,"783.3",96,3231,110,29.3727272727273,4.1238034460753,42.7363636363636,3128,2,1,"5/39"
"RAS Lakmal",84,"646.5",36,3536,109,32.4403669724771,5.46663231125998,35.605504587156,2194,3,0,"4/13"
"SM Pollock",94,"827.4",126,2840,108,26.2962962962963,3.43133306484092,45.9814814814815,3410,1,1,"5/23"
"SE Bond",60,"547.0",67,2310,107,21.588785046729,4.22303473491773,30.6728971962617,2177,4,2,"6/23"
"TT Bresnan",83,"695.3",33,3779,107,35.3177570093458,5.43350107836089,39,2227,3,1,"5/48"
"MJ Santner",99,"812.3",18,3960,107,37.0093457943925,4.87384615384615,45.5607476635514,2462,0,2,"5/50"
"S Lamichhane",47,"433.5",27,1906,106,17.9811320754717,4.3933922397234,24.5566037735849,1570,8,3,"6/11"
"CRD Fernando",84,"643.4",34,3396,106,32.0377358490566,5.27602278612118,36.4339622641509,2269,2,1,"6/27"
"UT Yadav",73,"593.1",23,3565,106,33.6320754716981,6.01011520089913,33.5754716981132,1938,4,0,"4/31"
"Mehedi Hasan Miraz",94,"765.3",34,3695,106,34.8584905660377,4.82691051600261,43.3301886792453,2346,5,0,"4/25"
"A Nehra",79,"603.0",33,3279,105,31.2285714285714,5.43781094527363,34.4571428571429,2023,5,1,"6/23"
"Shaheen Shah Afridi",53,"449.4",24,2493,104,23.9711538461538,5.54410674573758,25.9423076923077,1537,6,3,"6/35"
"Junaid Khan",74,"585.1",32,3151,104,30.2980769230769,5.38479065793221,33.7596153846154,1991,3,0,"4/15"
"R Rampaul",76,"593.3",29,3040,103,29.5145631067961,5.12215669755687,34.5728155339806,2056,8,2,"5/49"
"Taskin Ahmed",71,"570.2",26,3088,103,29.9805825242718,5.41437755698422,33.2233009708738,1916,4,2,"5/28"
"ST Finn",67,"591.4",38,2996,102,29.3725490196078,5.06366197183099,34.8039215686275,2105,4,2,"5/33"
"Mujeeb Ur Rahman",74,"661.2",39,2863,101,28.3465346534653,4.32913306451613,39.2871287128713,2357,3,1,"5/50"
"AB Agarkar",64,"535.5",37,2670,100,26.7,4.98289269051322,32.15,1984,3,2,"6/42"
"DJ Willey",71,"528.2",34,2903,100,29.03,5.49463722397476,31.7,1737,4,1,"5/30"
"Hasan Ali",64,"531.2",16,3084,100,30.84,5.80426599749059,31.88,1651,2,4,"5/34"
"WD Parnell",69,"537.2",23,3010,99,30.4040404040404,5.60173697270471,32.5656565656566,1754,3,2,"5/48"
"LH Ferguson",64,"550.0",13,3124,99,31.5555555555556,5.68,33.3333333333333,1837,2,1,"5/45"
"GD McGrath",65,"535.3",70,2060,98,21.0204081632653,3.8468720821662,32.7857142857143,2171,0,1,"7/15"
"GP Swann",73,"609.5",23,2801,98,28.5816326530612,4.5930582126264,37.3367346938776,1848,2,1,"5/28"
"CH Gayle",118,"745.1",18,3571,98,36.4387755102041,4.79221650637441,45.6224489795918,2108,1,1,"5/46"
"Shoaib Akhtar",69,"567.1",39,2839,97,29.2680412371134,5.00558330884514,35.0824742268041,2086,5,0,"4/28"
"CJ McKay",58,"485.1",36,2346,96,24.4375,4.83545173479904,30.3229166666667,1728,4,2,"5/28"
"Abdul Razzaq",112,"728.5",38,3599,96,37.4895833333333,4.93802881317174,45.5520833333333,2516,4,0,"4/29"
"Dawlat Zadran",68,"533.3",39,2909,95,30.6210526315789,5.45267104029991,33.6947368421053,1877,2,0,"4/53"
"AG Cremer",83,"666.4",19,3136,95,33.0105263157895,4.704,42.1052631578947,2097,3,2,"5/20"
"LL Tsotsobe",59,"485.0",44,2314,94,24.6170212765957,4.77113402061856,30.9574468085106,1805,7,0,"4/22"
"JP Faulkner",66,"529.1",12,2930,94,31.1702127659574,5.53700787401575,33.7765957446809,1557,4,0,"4/32"
"Bilal Khan",43,"376.0",29,1887,92,20.5108695652174,5.0186170212766,24.5217391304348,1344,4,4,"5/31"
"JH Kallis",116,"645.1",25,3305,92,35.9239130434783,5.12270731077241,42.0760869565217,2022,0,0,"3/3"
"SP Narine",64,"580.0",35,2380,91,26.1538461538462,4.10344827586207,38.2417582417582,2098,4,2,"6/27"
"AL Phehlukwayo",73,"499.1",17,2889,91,31.7472527472527,5.78764607679466,32.9120879120879,1457,3,0,"4/22"
"P Utseya",116,"1028.1",32,4796,91,52.7032967032967,4.66461338952829,67.7912087912088,3126,1,1,"5/36"
"Zahoor Khan",60,"464.3",25,2320,90,25.7777777777778,4.994617868676,30.9666666666667,1543,2,1,"6/34"
"ST Jayasuriya",104,"657.1",16,3133,89,35.2022471910112,4.76743596246513,44.3033707865169,1843,3,1,"5/17"
"Yuvraj Singh",125,"662.4",12,3405,89,38.2584269662921,5.13832997987928,44.6741573033708,1844,2,1,"5/31"
"L Ngidi",55,"436.3",26,2508,88,28.5,5.74570446735395,29.7613636363636,1454,4,1,"6/58"
"TM Dilshan",180,"845.3",18,4161,87,47.8275862068966,4.92134831460674,58.3103448275862,2297,1,0,"4/4"
"Naved-ul-Hasan",60,"473.4",21,2600,86,30.2325581395349,5.48909218859958,33.046511627907,1663,6,0,"4/25"
"WB Rankin",60,"509.5",34,2458,85,28.9176470588235,4.82118339326577,35.9882352941176,1883,4,0,"4/15"
"MM Patel",66,"516.4",37,2555,85,30.0588235294118,4.94516129032258,36.4705882352941,1842,3,0,"4/29"
"SM Sharif",67,"535.2",34,2652,85,31.2,4.95392278953923,37.7882352941176,1864,2,1,"5/33"
"Shadab Khan",67,"564.4",13,2960,85,34.8235294117647,5.24203069657615,39.8588235294118,1611,5,0,"4/27"
"AR McBrine",82,"681.5",36,3068,85,36.0941176470588,4.4996333414813,48.1294117647059,2269,2,1,"5/29"
"PWH de Silva",53,"429.3",20,2194,84,26.1190476190476,5.10826542491269,30.6785714285714,1315,3,4,"7/19"
"A Nel",57,"473.2",46,2200,84,26.1904761904762,4.64788732394366,33.8095238095238,1794,3,1,"5/45"
"HH Pandya",80,"533.2",15,2960,84,35.2380952380952,5.55,38.0952380952381,1666,1,0,"4/24"
"PD Collingwood",118,"698.4",13,3381,84,40.25,4.83921755725191,49.9047619047619,2059,1,0,"4/15"
"Mohammad Irfan",60,"518.1",31,2549,83,30.710843373494,4.91926664522355,37.4578313253012,1877,2,0,"4/30"
"E Chigumbura",110,"602.3",18,3539,83,42.6385542168675,5.87385892116183,43.5542168674699,1919,0,0,"3/25"
"Sikandar Raza",108,"737.2",24,3616,83,43.566265060241,4.90415913200723,53.3012048192771,2211,1,0,"4/55"
"MJ McClenaghan",45,"389.2",11,2313,82,28.2073170731707,5.94092465753425,28.4878048780488,1236,6,1,"5/58"
"GH Dockrell",89,"659.0",24,3257,82,39.719512195122,4.94233687405159,48.219512195122,2090,2,0,"4/24"
"Mohammad Amir",60,"502.1",34,2400,81,29.6296296296296,4.77928974444076,37.1975308641975,1766,1,1,"5/30"
"CK Langeveldt",61,"498.2",25,2600,80,32.5,5.21739130434783,37.375,1715,0,1,"5/39"
"MRJ Watt",57,"505.2",41,2121,79,26.8481012658228,4.19722955145119,38.379746835443,1784,3,1,"5/33"
"Rohan Mustafa",75,"589.1",28,2647,79,33.5063291139241,4.49278642149929,44.746835443038,1901,1,1,"5/25"
"Mahmudullah",144,"684.5",12,3647,79,46.1645569620253,5.32538330494037,52.0126582278481,1888,0,0,"3/4"
"R McLaren",50,"391.3",13,2053,77,26.6623376623377,5.24393358876118,30.5064935064935,1294,5,0,"4/19"
"P Kumar",67,"540.2",45,2774,77,36.025974025974,5.13386798272671,42.1038961038961,1879,3,0,"4/31"
"RW Price",76,"683.3",51,2820,77,36.6233766233766,4.12582297000732,53.2597402597403,2341,0,0,"3/16"
"DJG Sammy",115,"805.2",38,3776,77,49.038961038961,4.6887417218543,62.7532467532468,2552,1,0,"4/26"
"AJ Hall",52,"424.4",26,1952,76,25.6842105263158,4.59654631083203,33.5263157894737,1481,3,1,"5/18"
"MA Wood",64,"539.5",18,2968,76,39.0526315789474,5.49799320778018,42.6184210526316,1732,2,0,"4/33"
"SC Williams",114,"715.4",27,3586,76,47.1842105263158,5.01071262226362,56.5,2134,1,0,"4/43"
"BA Stokes",88,"518.2",8,3137,74,42.3918918918919,6.05209003215434,42.027027027027,1415,1,1,"5/61"
"CA Young",41,"350.2",16,1912,73,26.1917808219178,5.45765937202664,28.7945205479452,1227,1,1,"5/46"
"S Sreesanth",49,"394.4",16,2352,73,32.2191780821918,5.95945945945946,32.4383561643836,1347,2,1,"6/55"
"TJ Murtagh",54,"479.2",44,2170,72,30.1388888888889,4.52712100139082,39.9444444444444,1795,4,1,"5/21"
"T Shamsi",48,"413.3",8,2284,72,31.7222222222222,5.5235792019347,34.4583333333333,1230,3,1,"5/49"
"KJ O'Brien",81,"483.1",17,2648,72,36.7777777777778,5.48051052086926,40.2638888888889,1560,5,0,"4/13"
"JDS Neesham",72,"408.0",6,2556,71,36,6.26470588235294,34.4788732394366,1213,2,2,"5/27"
"Karan KC",48,"341.2",23,1832,70,26.1714285714286,5.3671875,29.2571428571429,1206,5,3,"5/33"
"AD Russell",54,"375.4",14,2200,70,31.4285714285714,5.85625554569654,32.2,1181,5,0,"4/35"
"Shafiul Islam",59,"417.3",26,2491,70,35.5857142857143,5.96646706586826,35.7857142857143,1390,4,0,"4/21"
"GJ Maxwell",110,"619.5",12,3384,70,48.3428571428571,5.45953213229363,53.1285714285714,1675,4,0,"4/40"
"SN Netravalkar",44,"384.4",48,1502,69,21.768115942029,3.90467937608319,33.4492753623188,1492,0,2,"5/32"
"Haris Rauf",37,"305.5",11,1822,69,26.4057971014493,5.9574931880109,26.5942028985507,944,4,1,"5/18"
"RP Singh",54,"411.3",31,2258,69,32.7246376811594,5.48724179829891,35.7826086956522,1448,2,0,"4/35"
"HMRKB Herath",64,"514.2",16,2269,69,32.8840579710145,4.41153596889177,44.7246376811594,1568,1,0,"4/20"
"Sohail Tanvir",59,"483.5",24,2534,69,36.7246376811594,5.23734068205305,42.0724637681159,1713,3,1,"5/48"
"Gulbadin Naib",73,"456.3",12,2540,69,36.8115942028985,5.56407447973713,39.695652173913,1396,2,1,"6/43"
"A Symonds",92,"567.0",22,2894,69,41.9420289855072,5.10405643738977,49.304347826087,1663,0,1,"5/18"
"Mohammed Siraj",40,"304.1",29,1550,68,22.7941176470588,5.0958904109589,26.8382352941176,1151,2,1,"6/21"
"J Botha",71,"604.1",11,2781,68,40.8970588235294,4.60303448275862,53.3088235294118,1749,1,0,"4/19"
"CB Mpofu",69,"545.2",29,3018,68,44.3823529411765,5.53422982885086,48.1176470588235,1852,2,0,"4/42"
"Mohammad Sami",48,"396.0",23,1979,67,29.5373134328358,4.99747474747475,35.4626865671642,1477,1,1,"5/10"
"BJ McCarthy",43,"354.4",14,2040,67,30.4477611940299,5.75187969924812,31.7611940298507,1178,2,1,"5/46"
"Iftikhar Anjum",55,"446.2",40,2200,67,32.8358208955224,4.92905153099328,39.9701492537313,1573,1,1,"5/30"
"RJ Peterson",62,"462.2",14,2247,67,33.5373134328358,4.86012977649604,41.4029850746269,1406,2,0,"4/12"
"SB Styris",93,"536.1",23,2497,67,37.2686567164179,4.65713397575381,48.0149253731343,1718,1,0,"4/43"
"JP Duminy",131,"564.3",8,3063,67,45.7164179104478,5.42604074402126,50.5522388059701,1519,1,0,"4/16"
"Sompal Kami",50,"366.5",31,1916,66,29.030303030303,5.22308041799182,33.3484848484849,1313,1,1,"5/33"
"JR Hopes",74,"517.1",31,2349,66,35.5909090909091,4.54205607476636,47.0151515151515,1698,0,1,"5/14"
"SN Thakur",46,"323.2",10,2014,65,30.9846153846154,6.22886597938144,29.8461538461538,1015,3,0,"4/37"
"CA Soper",50,"388.1",32,1714,64,26.78125,4.41562902533276,36.390625,1445,1,2,"6/41"
"IS Sodhi",48,"407.1",12,2251,63,35.7301587301587,5.52844862873516,38.7777777777778,1117,1,1,"6/39"
"NL McCullum",81,"589.2",6,2956,63,46.9206349206349,5.0158371040724,56.1269841269841,1723,0,0,"3/24"
"A Mishra",32,"305.3",18,1444,62,23.2903225806452,4.72667757774141,29.5645161290323,1028,2,2,"6/48"
"SW Tait",34,"281.2",11,1461,62,23.5645161290323,5.19312796208531,27.2258064516129,1045,2,0,"4/39"
