"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S Ismail",85,"688.4",74,2732,128,21.34375,3.96708615682478,32.28125,2757,4,1,"5/8"
"JL Jonassen",74,"582.0",40,2331,119,19.5882352941176,4.00515463917526,29.344537815126,2069,6,2,"5/27"
"M Kapp",93,"748.0",69,2997,117,25.6153846153846,4.00668449197861,38.3589743589744,2878,3,1,"5/45"
"A Khaka",83,"663.3",68,2778,113,24.5840707964602,4.18688771665411,35.2300884955752,2541,2,1,"5/26"
"ML Schutt",75,"577.4",69,2383,100,23.83,4.12521638776688,34.66,2203,4,0,"4/18"
"J Goswami",66,"556.2",64,2108,97,21.7319587628866,3.78909526662672,34.4123711340206,2254,3,0,"4/17"
"S Ecclestone",57,"529.2",58,1937,87,22.264367816092,3.65931989924433,36.5057471264368,2044,1,1,"6/36"
"KH Brunt",70,"574.5",66,2184,87,25.1034482758621,3.79936213395187,39.6436781609195,2310,3,2,"5/28"
"LMM Tahuhu",66,"506.5",24,2395,85,28.1764705882353,4.72541926997698,35.7764705882353,1869,2,1,"5/37"
"A Gardner",62,"437.2",28,1807,84,21.5119047619048,4.13185975609756,31.2380952380952,1562,0,0,"3/22"
"A Shrubsole",66,"519.5",46,2179,81,26.9012345679012,4.19172811798653,38.5061728395062,2047,2,1,"6/46"
"Nashra Sandhu",60,"519.3",33,2301,80,28.7625,4.42925890279115,38.9625,1784,2,0,"4/26"
"DB Sharma",74,"604.4",48,2623,80,32.7875,4.33792723263506,45.35,2070,1,1,"5/38"
"AC Kerr",67,"565.0",20,2595,79,32.8481012658228,4.5929203539823,42.9113924050633,1777,3,0,"4/42"
"S Luus",69,"422.0",16,1941,76,25.5394736842105,4.59952606635071,33.3157894736842,1348,1,2,"6/45"
"EA Perry",75,"493.1",42,2215,75,29.5333333333333,4.49138222372423,39.4533333333333,1879,0,1,"7/22"
"HK Matthews",59,"434.4",25,1872,74,25.2972972972973,4.30674846625767,35.2432432432432,1508,3,0,"4/15"
"RS Gayakwad",46,"409.2",37,1593,71,22.4366197183099,3.89169381107492,34.5915492957746,1478,2,1,"5/15"
"KL Cross",56,"426.3",31,1919,71,27.0281690140845,4.49941383352872,36.0422535211268,1630,2,1,"5/34"
"Sana Mir",43,"374.4",34,1545,64,24.140625,4.12366548042705,35.125,1360,4,0,"4/11"
"M Klaas",61,"419.3",19,2075,63,32.9365079365079,4.94636471990465,39.9523809523809,1521,1,0,"4/56"
"D van Niekerk",58,"422.4",44,1506,62,24.2903225806452,3.56309148264984,40.9032258064516,1580,3,0,"4/0"
"Poonam Yadav",49,"429.4",25,1763,61,28.9016393442623,4.10318076027929,42.2622950819672,1451,1,0,"4/24"
"NR Sciver",73,"397.0",24,1814,56,32.3928571428571,4.56926952141058,42.5357142857143,1375,1,0,"4/59"
"S Pandey",40,"301.0",27,1235,55,22.4545454545455,4.10299003322259,32.8363636363636,1162,2,0,"4/18"
"I Ranaweera",54,"413.4",26,1903,55,34.6,4.60032232070911,45.1272727272727,1381,2,0,"4/39"
"E Bisht",36,"325.4",38,1277,54,23.6481481481481,3.92118730808598,36.1851851851852,1206,1,2,"5/8"
"CE Dean",28,"220.0",8,1006,52,19.3461538461538,4.57272727272727,25.3846153846154,763,4,1,"5/31"
"LM Kasperek",32,"266.1",24,1086,52,20.8846153846154,4.08015028177833,30.7115384615385,931,2,2,"6/46"
"HM Rowe",46,"307.2",17,1485,52,28.5576923076923,4.83188720173536,35.4615384615385,1099,1,1,"5/55"
"Nida Dar",62,"457.2",27,2094,52,40.2692307692308,4.57871720116618,52.7692307692308,1549,2,0,"4/10"
"ASS Fletcher",35,"268.1",8,1224,50,24.48,4.56432566811684,32.18,861,0,0,"3/17"
"Fatima Sana",38,"271.5",13,1493,50,29.86,5.49233599019007,32.62,905,2,1,"5/39"
"A Mohammed",43,"332.0",11,1513,49,30.8775510204082,4.55722891566265,40.6530612244898,1051,1,1,"5/46"
"SFM Devine",57,"341.1",15,1607,48,33.4791666666667,4.71030776746458,42.6458333333333,1257,0,0,"3/24"
"N de Klerk",35,"244.1",18,1147,47,24.4042553191489,4.69761092150171,31.1702127659574,883,1,0,"4/32"
