"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","outcome","method","eliminator"
64814,6,"New Zealand","India","male","2002/03",2002-12-29,"India tour of New Zealand","2","McLean Park, Napier","Napier","India","field","V Sehwag","EAR de Silva","DB Cowie",NA,"BF Bowden","RS Madugalle","New Zealand",NA,35,NA,NA,NA
64815,6,"India","New Zealand","male","2002/03",2003-01-01,"India tour of New Zealand","3","Jade Stadium, Christchurch","Christchurch","India","bat","DR Tuffey","EAR de Silva","DB Cowie",NA,"AL Hill","RS Madugalle","New Zealand",5,NA,NA,NA,NA
64816,6,"India","New Zealand","male","2002/03",2003-01-04,"India tour of New Zealand","4","Davies Park, Queenstown","Queenstown","New Zealand","field","AR Adams","EAR de Silva","DB Cowie",NA,"AL Hill","RS Madugalle","New Zealand",7,NA,NA,NA,NA
64817,6,"New Zealand","India","male","2002/03",2003-01-08,"India tour of New Zealand","5","Westpac Stadium, Wellington","Wellington","New Zealand","bat","Z Khan","BF Bowden","DJ Harper",NA,"DB Cowie","RS Madugalle","India",2,NA,NA,NA,NA
65634,6,"Sri Lanka","Australia","male","2002/03",2003-01-09,"VB Series","6","Sydney Cricket Ground","Sydney","Australia","field","ST Jayasuriya","RB Tiffin","SJA Taufel",NA,"DB Hair","CH Lloyd","Sri Lanka",NA,79,NA,NA,NA
65635,6,"Australia","England","male","2002/03",2003-01-11,"VB Series","7","Bellerive Oval, Hobart","Hobart","Australia","bat","DR Martyn","DB Hair","DL Orchard",NA,"SJ Davis","CH Lloyd","Australia",NA,7,NA,NA,NA
65636,6,"Sri Lanka","England","male","2002/03",2003-01-13,"VB Series","8","Sydney Cricket Ground","Sydney","Sri Lanka","bat","ST Jayasuriya","DB Hair","RB Tiffin",NA,"SJA Taufel","CH Lloyd","Sri Lanka",NA,31,NA,NA,NA
64819,6,"India","New Zealand","male","2002/03",2003-01-14,"India tour of New Zealand","7","Westpac Park, Hamilton","Hamilton","New Zealand","field","SP Fleming","DJ Harper","DB Cowie",NA,"BF Bowden","RS Madugalle","New Zealand",6,NA,NA,NA,NA
65637,6,"Sri Lanka","Australia","male","2002/03",2003-01-15,"VB Series","9","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Sri Lanka","bat","MG Bevan","DL Orchard","SJA Taufel",NA,"DB Hair","CH Lloyd","Australia",4,NA,NA,NA,NA
65638,6,"England","Sri Lanka","male","2002/03",2003-01-17,"VB Series","10","Adelaide Oval","Adelaide","England","bat","AR Caddick","DJ Harper","RB Tiffin",NA,"SJ Davis","CH Lloyd","England",NA,19,NA,NA,NA
