"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ashok","2023/24","Bangladesh tour of New Zealand","New Zealand",1,10,12,83.3333333333333,10,2,0,0,0,0,10
"A Athanaze","2023","India tour of West Indies","West Indies",1,22,18,122.222222222222,22,3,1,0,0,0,22
"A Athanaze","2023","India tour of West Indies and United States of America","West Indies",2,38,59,64.406779661017,19,3,0,0,0,0,32
"A Athanaze","2023","West Indies tour of United Arab Emirates","West Indies",1,65,45,144.444444444444,65,9,3,0,0,1,65
"A Athanaze","2023/24","England tour of West Indies","West Indies",3,115,130,88.4615384615385,38.3333333333333,16,2,0,0,1,66
"A Athanaze","2023/24","West Indies tour of Australia","West Indies",3,48,85,56.4705882352941,16,5,0,0,0,0,32
"A Bagai","2002/03","ICC World Cup","Canada",6,56,111,50.4504504504505,11.2,5,0,1,0,0,28
"A Bagai","2006/07","ICC Tri-Series (in South Africa)","Canada",3,98,173,56.6473988439306,49,7,0,1,0,1,58
"A Bagai","2006/07","ICC World Cricket League Division One","Canada",2,12,9,133.333333333333,6,2,0,0,0,0,7
"A Bagai","2006/07","ICC World Cup","Canada",2,43,75,57.3333333333333,21.5,4,0,0,0,0,37
"A Bagai","2008","Bermuda in Canada ODI Series","Canada",1,5,17,29.4117647058824,5,1,0,0,0,0,5
"A Bagai","2009","ICC World Cup Qualifiers","Canada",1,87,122,71.3114754098361,87,8,1,0,0,1,87
"A Bagai","2010","ICC World Cricket League Division One","Canada",1,21,41,51.219512195122,21,0,0,0,0,0,21
"A Bagai","2010","Ireland in Canada ODI Series","Canada",1,64,85,75.2941176470588,64,9,0,0,0,1,64
"A Bagai","2010/11","ICC Cricket World Cup","Canada",6,225,322,69.8757763975155,45,27,0,1,0,2,84
"A Bagai","2013","ICC World Cricket League Championship","Canada",1,3,16,18.75,3,0,0,0,0,0,3
"A Balbirnie","2010","ICC World Cricket League Division One","Ireland",1,17,31,54.8387096774194,17,1,0,0,0,0,17
"A Balbirnie","2014","Scotland in Ireland ODI Series","Ireland",3,60,135,44.4444444444444,20,6,0,0,0,0,38
"A Balbirnie","2014/15","Dubai Triangular Series","Ireland",2,37,50,74,18.5,3,0,0,0,0,20
"A Balbirnie","2014/15","ICC Cricket World Cup","Ireland",6,236,260,90.7692307692308,39.3333333333333,20,4,0,0,2,97
"A Balbirnie","2015",NA,"Ireland",2,17,31,54.8387096774194,8.5,2,0,0,0,0,12
"A Balbirnie","2015/16","Ireland in Zimbabwe ODI Series","Ireland",3,41,78,52.5641025641026,13.6666666666667,3,0,0,0,0,24
"A Balbirnie","2016/17","Afghanistan v Ireland ODI Series","Ireland",4,125,142,88.0281690140845,41.6666666666667,14,1,1,0,1,85
"A Balbirnie","2016/17","Ireland in United Arab Emirates ODI Series","Ireland",2,62,73,84.9315068493151,62,8,0,1,0,1,58
"A Balbirnie","2017","Ireland Tri-Nation Series","Ireland",3,48,79,60.7594936708861,16,5,1,0,0,0,36
"A Balbirnie","2017","Ireland in England ODI Series","Ireland",2,32,46,69.5652173913043,16,4,0,0,0,0,30
"A Balbirnie","2017/18","Afghanistan tour of United Arab Emirates","Ireland",3,39,55,70.9090909090909,13,5,0,0,0,0,35
"A Balbirnie","2017/18","ICC Cricket World Cup Qualifier (ICC Trophy)","Ireland",6,141,250,56.4,23.5,11,0,0,1,0,105
"A Balbirnie","2017/18","United Arab Emirates Tri-Nation Series","Ireland",4,216,234,92.3076923076923,54,26,2,0,1,1,102
"A Balbirnie","2018","Afghanistan tour of Ireland","Ireland",3,132,197,67.005076142132,44,13,0,0,0,2,60
"A Balbirnie","2018/19","Ireland tour of India","Ireland",4,215,250,86,71.6666666666667,12,8,1,1,1,145
"A Balbirnie","2019","Afghanistan tour of Ireland","Ireland",2,24,36,66.6666666666667,12,4,0,0,0,0,20
"A Balbirnie","2019","England tour of Ireland","Ireland",1,29,44,65.9090909090909,29,1,1,0,0,0,29
"A Balbirnie","2019","Ireland Tri-Nation Series","Ireland",3,184,179,102.793296089385,61.3333333333333,18,5,0,1,0,135
"A Balbirnie","2019","Zimbabwe tour of Netherlands and Ireland","Ireland",3,115,138,83.3333333333333,38.3333333333333,10,2,0,1,0,101
"A Balbirnie","2019/20","Ireland tour of West Indies","Ireland",3,97,117,82.9059829059829,32.3333333333333,10,3,0,0,1,71
"A Balbirnie","2020","Ireland tour of England","Ireland",3,131,147,89.1156462585034,43.6666666666667,14,0,0,1,0,113
"A Balbirnie","2020/21","Ireland tour of United Arab Emirates","Ireland",5,81,110,73.6363636363636,16.2,9,0,0,0,1,53
"A Balbirnie","2021","Ireland tour of Netherlands","Ireland",3,80,159,50.314465408805,40,8,0,1,0,1,63
"A Balbirnie","2021","South Africa tour of Ireland","Ireland",3,174,210,82.8571428571429,58,17,2,0,1,1,102
"A Balbirnie","2021","Zimbabwe tour of Ireland and Scotland","Ireland",3,86,106,81.1320754716981,28.6666666666667,9,1,0,0,0,40
"A Balbirnie","2021/22","Ireland tour of United States of America and West Indies","Ireland",1,71,94,75.531914893617,71,7,1,0,0,1,71
"A Balbirnie","2022","New Zealand tour of Ireland","Ireland",3,11,27,40.7407407407407,3.66666666666667,1,0,0,0,0,9
"A Balbirnie","2022/23","Ireland tour of Bangladesh","Ireland",2,11,30,36.6666666666667,5.5,1,0,0,0,0,6
"A Balbirnie","2022/23","Ireland tour of Zimbabwe","Ireland",1,121,137,88.3211678832117,121,13,3,0,1,0,121
"A Balbirnie","2023","ICC Cricket World Cup Qualifier","Ireland",6,131,184,71.195652173913,26.2,12,1,1,0,1,66
"A Balbirnie","2023","ICC Men's Cricket World Cup Super League","Ireland",2,95,135,70.3703703703704,47.5,11,0,0,0,1,53
"A Balbirnie","2023","Ireland tour of England","Ireland",1,14,14,100,14,2,0,0,0,0,14
"A Balbirnie","2023","Ireland v Bangladesh","Ireland",1,5,9,55.5555555555556,5,1,0,0,0,0,5
"A Balbirnie","2023/24","Afghanistan vs Ireland","Ireland",2,5,26,19.2307692307692,2.5,0,0,0,0,0,4
"A Balbirnie","2023/24","Ireland tour of Zimbabwe","Ireland",2,82,103,79.6116504854369,82,4,1,1,0,1,82
"A Bohara","2019/20","ICC Men's Cricket World Cup League 2","Nepal",2,13,14,92.8571428571429,Inf,0,0,2,0,0,8
"A Codrington","2002/03","ICC World Cup","Canada",5,28,65,43.0769230769231,5.6,2,0,0,0,0,16
"A Codrington","2006/07","ICC World Cricket League Division One","Canada",1,5,7,71.4285714285714,5,1,0,0,0,0,5
"A Dananjaya","2017","India tour of Sri Lanka","Sri Lanka",4,26,45,57.7777777777778,8.66666666666667,2,0,1,0,0,11
"A Dananjaya","2017","Zimbabwe in Sri Lanka ODI Series","Sri Lanka",1,7,20,35,7,0,0,0,0,0,7
"A Dananjaya","2017/18","Pakistan tour of United Arab Emirates","Sri Lanka",4,70,113,61.9469026548673,23.3333333333333,6,0,1,0,1,50
"A Dananjaya","2017/18","Sri Lanka tour of India","Sri Lanka",2,12,21,57.1428571428571,6,2,0,0,0,0,11
"A Dananjaya","2017/18","Tri-Nation Tournament in Bangladesh","Sri Lanka",3,39,52,75,13,4,1,0,0,0,17
"A Dananjaya","2018","Asia Cup","Sri Lanka",1,2,10,20,2,0,0,0,0,0,2
"A Dananjaya","2018","South Africa tour of Sri Lanka","Sri Lanka",5,63,88,71.5909090909091,15.75,6,0,1,0,0,37
"A Dananjaya","2018/19","England tour of Sri Lanka","Sri Lanka",3,57,41,139.024390243902,57,4,2,2,0,0,32
"A Dananjaya","2018/19","Sri Lanka tour of South Africa","Sri Lanka",3,7,20,35,2.33333333333333,0,0,0,0,0,4
"A Dananjaya","2019","Bangladesh tour of Sri Lanka","Sri Lanka",1,0,1,0,0,0,0,0,0,0,0
"A Dananjaya","2021","India tour of Sri Lanka","Sri Lanka",1,5,2,250,Inf,1,0,1,0,0,5
"A Dananjaya","2021","South Africa tour of Sri Lanka","Sri Lanka",2,3,4,75,1.5,0,0,0,0,0,3
"A Dutt","2021","Scotland tour of Netherlands","Netherlands",2,9,20,45,9,0,0,1,0,0,8
"A Dutt","2021/22","ICC Men's Cricket World Cup Super League","Netherlands",1,4,8,50,4,0,0,0,0,0,4
"A Dutt","2021/22","Netherlands tour of New Zealand","Netherlands",2,17,39,43.5897435897436,8.5,2,0,0,0,0,9
"A Dutt","2022","England tour of Netherlands","Netherlands",2,0,8,0,0,0,0,0,0,0,0
"A Dutt","2022","Pakistan tour of Netherlands","Netherlands",3,12,16,75,6,2,0,1,0,0,6
"A Dutt","2022","West Indies tour of Netherlands","Netherlands",2,4,8,50,4,0,0,1,0,0,3
"A Dutt","2022/23","Netherlands tour of South Africa","Netherlands",2,16,22,72.7272727272727,16,1,1,1,0,0,12
"A Dutt","2022/23","Netherlands tour of Zimbabwe","Netherlands",1,15,14,107.142857142857,15,0,1,0,0,0,15
"A Dutt","2023","ICC Cricket World Cup Qualifier","Netherlands",3,23,36,63.8888888888889,7.66666666666667,2,0,0,0,0,16
"A Dutt","2023/24","ICC Cricket World Cup","Netherlands",9,70,87,80.4597701149425,11.6666666666667,1,5,3,0,0,23
"A Dutt","2023/24","ICC Men's Cricket World Cup League 2","Netherlands",2,11,22,50,5.5,1,0,0,0,0,10
"A Flintoff","2002/03","ICC World Cup","England",5,156,217,71.889400921659,31.2,11,6,0,0,1,64
"A Flintoff","2002/03","VB Series","England",1,16,18,88.8888888888889,16,2,0,0,0,0,16
"A Flintoff","2003","NatWest Series","England",6,156,199,78.391959798995,39,17,4,2,0,1,53
"A Flintoff","2003","Pakistan tour of England and Scotland","England",3,69,81,85.1851851851852,34.5,10,0,1,0,0,39
"A Flintoff","2003/04","England tour of Bangladesh","England",3,177,138,128.260869565217,Inf,22,10,3,0,3,70
"A Flintoff","2003/04","England tour of Sri Lanka","England",1,3,7,42.8571428571429,3,0,0,0,0,0,3
"A Flintoff","2003/04","England tour of West Indies","England",1,43,47,91.4893617021277,43,2,1,0,0,0,43
"A Flintoff","2004","ICC Champions Trophy","England",4,129,114,113.157894736842,32.25,11,4,0,1,0,104
"A Flintoff","2004","India tour of England","England",2,133,116,114.655172413793,133,10,7,1,0,1,99
"A Flintoff","2004","NatWest Series","England",2,144,122,118.032786885246,144,11,8,1,1,0,123
"A Flintoff","2005","Australia tour of England and Scotland","England",1,5,15,33.3333333333333,5,0,0,0,0,0,5
"A Flintoff","2005","NatWest Challenge","England",3,74,99,74.7474747474748,24.6666666666667,11,0,0,0,0,44
"A Flintoff","2005/06","England in India ODI Series","England",3,61,81,75.3086419753086,20.3333333333333,6,2,0,0,0,41
"A Flintoff","2005/06","England tour of Pakistan","England",3,147,179,82.122905027933,73.5,15,4,1,0,1,72
"A Flintoff","2005/06","ICC World XI tour of Australia","ICC World XI",2,63,75,84,31.5,7,0,0,0,0,42
"A Flintoff","2006/07","Commonwealth Bank Series","England",10,281,329,85.4103343465046,35.125,21,1,2,0,1,72
"A Flintoff","2006/07","ICC Champions Trophy","England",3,29,49,59.1836734693878,9.66666666666667,4,0,0,0,0,25
"A Flintoff","2006/07","ICC World Cup","England",7,92,140,65.7142857142857,13.1428571428571,9,1,0,0,0,43
"A Flintoff","2007","NatWest Series","England",2,14,15,93.3333333333333,7,3,0,0,0,0,9
"A Flintoff","2008","NatWest Series","England",3,187,159,117.610062893082,187,23,2,2,0,2,78
"A Flintoff","2008/09","England in India ODI Series","England",5,114,117,97.4358974358974,22.8,10,4,0,0,0,43
"A Flintoff","2008/09","England in West Indies ODI Series","England",2,3,12,25,1.5,0,0,0,0,0,3
"A Flower","2002/03","ICC World Cup","Zimbabwe",7,332,459,72.3311546840959,47.4285714285714,30,1,0,0,3,71
"A Johnson","2023","ICC Cricket World Cup Qualifier Play-off","Canada",4,119,117,101.709401709402,29.75,15,4,0,0,1,53
"A Johnson","2023/24","Canada tour of Nepal","Canada",3,89,87,102.298850574713,29.6666666666667,14,3,0,0,1,65
"A Johnson","2023/24","ICC Men's Cricket World Cup League 2","Canada",4,91,93,97.8494623655914,22.75,5,8,0,0,0,43
"A Kumble","2002/03","ICC World Cup","India",2,25,45,55.5555555555556,25,1,0,1,0,0,16
"A Kumble","2002/03","India tour of New Zealand","India",2,23,80,28.75,11.5,4,0,0,0,0,21
"A Kumble","2003/04","TVS Cup (India)","India",1,6,10,60,6,1,0,0,0,0,6
"A Kumble","2003/04","VB Series","India",2,7,7,100,3.5,1,0,0,0,0,5
"A Kumble","2004","India tour of England","India",2,14,29,48.2758620689655,14,0,0,1,0,0,9
"A Kumble","2004","Videocon Cup","India",1,1,2,50,Inf,0,0,1,0,0,1
"A Kumble","2005","Asia XI tour of South Africa","Asia XI",1,24,48,50,24,3,0,0,0,0,24
"A Kumble","2006/07","India in South Africa ODI Series","India",3,3,20,15,1,0,0,0,0,0,2
"A Kumble","2006/07","Sri Lanka in India ODI Series","India",1,2,5,40,2,0,0,0,0,0,2
"A Kumble","2006/07","West Indies in India ODI Series","India",1,3,8,37.5,Inf,0,0,1,0,0,3
"A Maregwede","2003/04","West Indies tour of Zimbabwe","Zimbabwe",1,0,5,0,0,0,0,0,0,0,0
"A Maregwede","2004","Australia tour of Zimbabwe","Zimbabwe",3,24,41,58.5365853658537,12,2,0,1,0,0,18
"A Maregwede","2004","Sri Lanka tour of Zimbabwe","Zimbabwe",2,55,73,75.3424657534247,27.5,6,1,0,0,0,37
"A Maregwede","2004/05","Zimbabwe tour of South Africa","Zimbabwe",2,29,60,48.3333333333333,14.5,2,0,0,0,0,16
"A Martin","2011","India in West Indies ODI Series","West Indies",2,2,4,50,Inf,0,0,2,0,0,2
"A Martin","2011","Pakistan in West Indies ODI Series","West Indies",1,4,13,30.7692307692308,Inf,0,0,1,0,0,4
"A Martin","2011/12","West Indies in Bangladesh ODI Series","West Indies",1,1,4,25,1,0,0,0,0,0,1
"A Martin","2011/12","West Indies in India ODI Series","West Indies",2,3,8,37.5,Inf,0,0,2,0,0,3
"A McGrath","2003","NatWest Series","England",6,97,188,51.5957446808511,24.25,6,0,2,0,1,52
"A McGrath","2003","Pakistan tour of England and Scotland","England",2,35,86,40.6976744186046,17.5,2,0,0,0,0,33
"A McGrath","2004","India tour of England","England",1,2,8,25,2,0,0,0,0,0,2
"A McGrath","2004","NatWest Series","England",2,21,54,38.8888888888889,10.5,2,0,0,0,0,12
"A Mishra","2010","Zimbabwe Triangular Series","India",1,0,3,0,0,0,0,0,0,0,0
"A Mishra","2011","India in West Indies ODI Series","India",2,5,15,33.3333333333333,5,0,0,1,0,0,5
"A Mishra","2013","India in Zimbabwe ODI Series","India",1,9,7,128.571428571429,9,1,0,0,0,0,9
"A Mishra","2013/14","Asia Cup","India",1,1,1,100,Inf,0,0,1,0,0,1
"A Mishra","2014","India in Bangladesh ODI Series","India",1,4,16,25,4,0,0,0,0,0,4
"A Mishra","2014/15","West Indies in India ODI Series","India",1,5,13,38.4615384615385,5,1,0,0,0,0,5
"A Mishra","2015/16","South Africa in India ODI Series","India",2,4,7,57.1428571428571,4,1,0,1,0,0,4
"A Mishra","2016/17","New Zealand in India ODI Series","India",2,15,20,75,7.5,1,0,0,0,0,14
"A Mithun","2009/10","South Africa in India ODI Series","India",1,24,23,104.347826086957,24,0,2,0,0,0,24
"A Mithun","2010","Sri Lanka Triangular Series","India",1,4,16,25,4,0,0,0,0,0,4
