"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S Ecclestone","England","2021/22","ICC Women's World Cup",9,"85.3",12,328,21,15.6190476190476,3.83625730994152,24.4285714285714,322,0,1,"6/36"
"D van Niekerk","South Africa","2017","ICC Women's World Cup",7,"43.2",6,150,15,10,3.46153846153846,17.3333333333333,162,3,0,"4/0"
"Sana Mir","Pakistan","2017/18","ICC Women's Championship",5,"45.4",7,161,15,10.7333333333333,3.52554744525547,18.2666666666667,182,3,0,"4/25"
"S Ismail","South Africa","2021/22","ICC Women's World Cup",7,"60.5",5,245,14,17.5,4.02739726027397,26.0714285714286,234,0,0,"3/27"
"E Bisht","India","2016/17","ICC Women's World Cup Qualifier",5,"48.4",15,111,13,8.53846153846154,2.28082191780822,22.4615384615385,227,0,1,"5/8"
"JL Jonassen","Australia","2021/22","ICC Women's World Cup",8,"60.3",4,245,13,18.8461538461538,4.0495867768595,27.9230769230769,204,0,0,"3/57"
"M Kapp","South Africa","2017","ICC Women's World Cup",7,"56.3",6,252,13,19.3846153846154,4.46017699115044,26.0769230769231,216,1,0,"4/14"
"A Mohammed","West Indies","2021","Pakistan Women tour of West Indies",5,"45.4",2,152,12,12.6666666666667,3.32846715328467,22.8333333333333,176,1,0,"4/27"
"KM Beams","Australia","2017","ICC Women's World Cup",7,"65.0",3,266,12,22.1666666666667,4.09230769230769,32.5,225,0,0,"3/23"
"A King","Australia","2021/22","ICC Women's World Cup",8,"65.0",4,294,12,24.5,4.52307692307692,32.5,205,0,0,"3/59"
"A Shrubsole","England","2017","ICC Women's World Cup",9,"65.4",6,304,12,25.3333333333333,4.62944162436548,32.8333333333333,246,0,1,"6/46"
"M Kapp","South Africa","2021/22","ICC Women's World Cup",7,"66.3",1,315,12,26.25,4.73684210526316,33.25,223,0,1,"5/45"
"A Khaka","South Africa","2021/22","ICC Women's World Cup",7,"67.1",5,337,12,28.0833333333333,5.01736972704715,33.5833333333333,226,1,0,"4/32"
"DB Sharma","India","2017","ICC Women's World Cup",9,"78.4",8,370,12,30.8333333333333,4.70338983050847,39.3333333333333,270,0,0,"3/47"
"S Ismail","South Africa","2022","South Africa Women tour of Ireland",3,"24.5",6,55,11,5,2.21476510067114,13.5454545454545,115,0,1,"5/8"
"EA Perry","Australia","2019","Australia Women tour of England",3,"25.0",5,105,11,9.54545454545454,4.2,13.6363636363636,101,0,1,"7/22"
"S Pandey","India","2016/17","ICC Women's World Cup Qualifier",6,"50.4",10,157,11,14.2727272727273,3.09868421052632,27.6363636363636,226,1,0,"4/34"
"Fatima Sana","Pakistan","2021","Pakistan Women tour of West Indies",5,"31.0",2,166,11,15.0909090909091,5.35483870967742,16.9090909090909,104,1,1,"5/39"
"CE Dean","England","2021/22","ICC Women's World Cup",6,"47.2",1,198,11,18,4.1830985915493,25.8181818181818,163,1,0,"4/23"
"LM Kasperek","New Zealand","2017/18","ICC Women's Championship",6,"56.0",3,201,11,18.2727272727273,3.58928571428571,30.5454545454545,213,1,0,"4/44"
"M Kapp","South Africa","2018","ICC Women's Championship",5,"49.0",5,221,11,20.0909090909091,4.51020408163265,26.7272727272727,171,1,0,"4/55"
"RS Gayakwad","India","2021/22","ICC Women's World Cup",7,"67.1",8,260,11,23.6363636363636,3.87096774193548,36.6363636363636,244,1,0,"4/31"
