"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"AC Jayangani",2024-04-17,"Sri Lanka","South Africa",2,195,139,26,5,140.287769784173,TRUE,"Sri Lanka Women tour of South Africa","2023/24",1398267,"Senwes Park, Potchefstroom","Potchefstroom","South Africa","Sri Lanka","Sri Lanka","field","AC Jayangani","Sri Lanka","6",NA
"L Wolvaardt",2024-04-17,"South Africa","Sri Lanka",1,184,147,23,4,125.170068027211,TRUE,"Sri Lanka Women tour of South Africa","2023/24",1398267,"Senwes Park, Potchefstroom","Potchefstroom","South Africa","Sri Lanka","Sri Lanka","field","AC Jayangani","Sri Lanka","6",NA
"AC Jayangani",2017-06-29,"Sri Lanka","Australia",1,178,143,22,6,124.475524475524,TRUE,"ICC Women's World Cup","2017",1085952,"County Ground","Bristol","Australia","Sri Lanka","Australia","field","AC Jayangani","Australia","8",NA
"Sidra Ameen",2022-11-04,"Pakistan","Ireland",1,176,151,20,1,116.556291390728,TRUE,"Ireland Women tour of Pakistan","2022/23",1308233,"Gaddafi Stadium, Lahore","Lahore","Pakistan","Ireland","Pakistan","bat","Sidra Ameen","Pakistan",NA,"128"
"H Kaur",2017-07-20,"India","Australia",1,171,115,20,7,148.695652173913,TRUE,"ICC Women's World Cup","2017",1085974,"County Ground","Derby","India","Australia","India","bat","H Kaur","India",NA,"36"
"AJ Healy",2022-04-03,"Australia","England",1,170,138,26,0,123.188405797101,FALSE,"ICC Women's World Cup","2021/22",1243938,"Hagley Oval, Christchurch","Christchurch","Australia","England","England","field","AJ Healy","Australia",NA,"71"
"TT Beaumont",2016-06-27,"England","Pakistan",1,168,144,20,0,116.666666666667,TRUE,"ICC Women's Championship","2016",946549,"County Ground","Taunton","England","Pakistan","England","bat","TT Beaumont","England",NA,"202"
"MM Lanning",2017-06-29,"Australia","Sri Lanka",2,152,135,19,1,112.592592592593,TRUE,"ICC Women's World Cup","2017",1085952,"County Ground","Bristol","Australia","Sri Lanka","Australia","field","AC Jayangani","Australia","8",NA
"DJS Dottin",2022-01-28,"West Indies","South Africa",1,150,158,18,4,94.9367088607595,TRUE,"West Indies Women tour of South Africa","2021/22",1277092,"The Wanderers Stadium, Johannesburg","Johannesburg","West Indies","South Africa","South Africa","field",NA,NA,NA,NA
"L Wolvaardt",2017-05-11,"South Africa","Ireland",1,149,149,17,0,100,FALSE,"Women's Quadrangular Series (in South Africa)","2017",1089524,"Senwes Park","Potchefstroom","South Africa","Ireland","South Africa","bat","L Wolvaardt","South Africa",NA,"178"
"NR Sciver",2022-04-03,"England","Australia",2,148,121,15,1,122.314049586777,TRUE,"ICC Women's World Cup","2021/22",1243938,"Hagley Oval, Christchurch","Christchurch","Australia","England","England","field","AJ Healy","Australia",NA,"71"
"TT Beaumont",2017-07-05,"England","South Africa",1,148,145,22,1,102.068965517241,FALSE,"ICC Women's World Cup","2017",1085957,"County Ground","Bristol","England","South Africa","England","bat","SJ Taylor","England",NA,"68"
"SJ Taylor",2017-07-05,"England","South Africa",1,147,104,24,0,141.346153846154,FALSE,"ICC Women's World Cup","2017",1085957,"County Ground","Bristol","England","South Africa","England","bat","SJ Taylor","England",NA,"68"
"H Kaur",2022-09-21,"India","England",1,143,111,18,4,128.828828828829,TRUE,"India Women tour of England","2022",1301338,"St Lawrence Ground, Canterbury","Canterbury","India","England","England","field","H Kaur","India",NA,"88"
"HK Matthews",2024-04-23,"West Indies","Pakistan",1,141,149,19,0,94.6308724832215,FALSE,"West Indies Women tour of Pakistan","2024",1426083,"National Stadium, Karachi","Karachi","West Indies","Pakistan","West Indies","bat","HK Matthews","West Indies",NA,"88"
"AC Jayangani",2023-07-03,"Sri Lanka","New Zealand",2,140,80,13,9,175,TRUE,"ICC Women's Championship","2023",1379759,"Galle International Stadium","Galle","New Zealand","Sri Lanka","New Zealand","bat","AC Jayangani","Sri Lanka","8",NA
"HK Matthews",2024-04-18,"West Indies","Pakistan",1,140,150,15,1,93.3333333333333,TRUE,"West Indies Women tour of Pakistan","2024",1426081,"National Stadium, Karachi","Karachi","West Indies","Pakistan","West Indies","bat","HK Matthews","West Indies",NA,"113"
"CM Edwards",2011-10-23,"England","South Africa",1,138,139,22,0,99.2805755395683,FALSE,"England Women in South Africa ODI Series","2011/12",527680,"Senwes Park","Potchefstroom","South Africa","England","South Africa","field","CM Edwards","England",NA,"96"
"NR Sciver",2017-06-27,"England","Pakistan",1,137,92,14,4,148.913043478261,FALSE,"ICC Women's World Cup","2017",1085949,"Grace Road","Leicester","England","Pakistan","Pakistan","field","NR Sciver","England",NA,"107"
"AE Satterthwaite",2016-11-11,"New Zealand","Pakistan",1,137,117,16,0,117.094017094017,TRUE,"Pakistan Women in New Zealand ODI Series","2016/17",1050607,"Bert Sutcliffe Oval","Lincoln","New Zealand","Pakistan","New Zealand","bat",NA,"New Zealand",NA,"60"
"SFM Devine",2023-06-30,"New Zealand","Sri Lanka",1,137,121,17,2,113.223140495868,FALSE,"ICC Women's Championship","2023",1379758,"Galle International Stadium","Galle","New Zealand","Sri Lanka","New Zealand","bat","SFM Devine","New Zealand",NA,"116"
"L Paul",2022-08-24,"Ireland","Netherlands",1,137,138,15,0,99.2753623188406,FALSE,"Ireland Women tour of Netherlands","2022",1328486,"VRA Ground, Amstelveen","Amstelveen","Ireland","Netherlands","Netherlands","field",NA,"Ireland",NA,"210"
"S Mandhana",2024-06-19,"India","South Africa",1,136,120,18,2,113.333333333333,FALSE,"South Africa Women tour of India","2024",1434288,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","India","South Africa","South Africa","field","H Kaur","India",NA,"4"
"MM Lanning",2014-11-16,"Australia","West Indies",2,135,127,21,0,106.299212598425,TRUE,"ICC Women's Championship","2014/15",754813,"Bradman Oval","Bowral","Australia","West Indies","West Indies","bat","MM Lanning","Australia","8",NA
"S Mandhana",2018-02-07,"India","South Africa",1,135,129,14,1,104.651162790698,FALSE,"ICC Women's Championship","2017/18",1123204,"Diamond Oval","Kimberley","India","South Africa","South Africa","field","S Mandhana","India",NA,"178"
"MM Lanning",2022-03-22,"Australia","South Africa",2,135,130,15,1,103.846153846154,TRUE,"ICC Women's World Cup","2021/22",1243928,"Basin Reserve, Wellington","Wellington","South Africa","Australia","Australia","field","MM Lanning","Australia","5",NA
"L Wolvaardt",2024-06-19,"South Africa","India",2,135,135,12,3,100,TRUE,"South Africa Women tour of India","2024",1434288,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","India","South Africa","South Africa","field","H Kaur","India",NA,"4"
"MM Lanning",2016-11-20,"Australia","South Africa",1,134,122,20,0,109.83606557377,FALSE,"ICC Women's Championship","2016/17",1043955,"Manuka Oval","Canberra","Australia","South Africa","Australia","bat","MM Lanning","Australia",NA,"66"
"BL Mooney",2023-01-21,"Australia","Pakistan",1,133,105,14,4,126.666666666667,FALSE,"Pakistan Women tour of Australia","2022/23",1345094,"North Sydney Oval, Sydney","Sydney","Australia","Pakistan","Pakistan","field","BL Mooney","Australia",NA,"101"
"Javeria Khan",2015-01-13,"Pakistan","Sri Lanka",2,133,141,12,0,94.3262411347518,TRUE,"ICC Women's Championship","2014/15",808865,"Sharjah Cricket Stadium",NA,"Pakistan","Sri Lanka","Sri Lanka","bat","Javeria Khan","Pakistan","7",NA
"L Lee",2021-03-12,"South Africa","India",2,132,131,16,2,100.763358778626,TRUE,"India Women v South Africa Women","2020/21",1253269,"Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium","Lucknow","India","South Africa","South Africa","field","L Lee","South Africa",NA,"6"
"DJS Dottin",2021-11-08,"West Indies","Pakistan",1,132,146,18,2,90.4109589041096,FALSE,"West Indies Women tour of Pakistan","2021/22",1288209,"National Stadium, Karachi","Karachi","West Indies","Pakistan","Pakistan","field","DJS Dottin","West Indies",NA,"45"
"RL Haynes",2022-03-05,"Australia","England",1,130,131,14,1,99.236641221374,FALSE,"ICC Women's World Cup","2021/22",1243910,"Seddon Park, Hamilton","Hamilton","Australia","England","England","field","RL Haynes","Australia",NA,"12"
"AJ Healy",2022-03-30,"Australia","West Indies",1,129,107,17,1,120.560747663551,FALSE,"ICC Women's World Cup","2021/22",1243936,"Basin Reserve, Wellington","Wellington","Australia","West Indies","West Indies","field","AJ Healy","Australia",NA,"157"
"NR Sciver",2017-07-12,"England","New Zealand",1,129,111,11,0,116.216216216216,FALSE,"ICC Women's World Cup","2017",1085968,"County Ground","Derby","England","New Zealand","England","bat","NR Sciver","England",NA,"75"
"DN Wyatt",2022-03-31,"England","South Africa",1,129,125,12,0,103.2,FALSE,"ICC Women's World Cup","2021/22",1243937,"Hagley Oval, Christchurch","Christchurch","England","South Africa","South Africa","field","DN Wyatt","England",NA,"137"
"NR Sciver-Brunt",2023-07-18,"England","Australia",1,129,149,15,1,86.5771812080537,FALSE,"Women's Ashes","2023",1336079,"The Cooper Associates County Ground, Taunton","Taunton","England","Australia","Australia","field","NR Sciver-Brunt","England",NA,"69"
"L Wolvaardt",2023-12-23,"South Africa","Bangladesh",1,126,134,13,1,94.0298507462687,FALSE,"Bangladesh Women tour of South Africa","2023/24",1398260,"Willowmoore Park, Benoni","Benoni","South Africa","Bangladesh","South Africa","bat","T Brits","South Africa",NA,"216"
"SW Bates",2022-03-26,"New Zealand","Pakistan",1,126,135,14,0,93.3333333333333,FALSE,"ICC Women's World Cup","2021/22",1243933,"Hagley Oval, Christchurch","Christchurch","New Zealand","Pakistan","Pakistan","field","SW Bates","New Zealand",NA,"71"
"LS Greenway",2011-10-21,"England","South Africa",1,125,127,12,0,98.4251968503937,TRUE,"England Women in South Africa ODI Series","2011/12",527679,"Senwes Park","Potchefstroom","South Africa","England","South Africa","field","LS Greenway","England",NA,"62"
"BL Mooney",2021-09-24,"Australia","India",2,125,133,12,0,93.984962406015,TRUE,"India Women tour of Australia","2021/22",1263618,"Ray Mitchell Oval, Harrup Park, Mackay","Mackay","India","Australia","Australia","field","BL Mooney","Australia","5",NA
"M Raj",2018-09-16,"India","Sri Lanka",1,125,143,14,1,87.4125874125874,TRUE,"ICC Women's Championship","2018",1157708,"Chilaw Marians Cricket Club Ground","FTZ Sports Complex","India","Sri Lanka","Sri Lanka","field",NA,"Sri Lanka","3",NA
"MM Lanning",2018-10-20,"Australia","Pakistan",1,124,106,19,0,116.981132075472,FALSE,"ICC Women's Championship","2018/19",1161229,"Kinrara Academy Oval","Kuala Lumpur","Australia","Pakistan","Australia","bat","MM Lanning","Australia",NA,"150"
"NR Sciver-Brunt",2024-05-29,"England","Pakistan",1,124,117,14,2,105.982905982906,TRUE,"Pakistan Women tour of England","2024",1398273,"County Ground, Chelmsford","Chelmsford","England","Pakistan","England","bat","NR Sciver-Brunt","England",NA,"178"
"L Wolvaardt",2023-09-28,"South Africa","New Zealand",2,124,141,15,0,87.9432624113475,TRUE,"New Zealand Women tour of South Africa","2023/24",1392349,"City Oval, Pietermaritzburg","Pietermaritzburg","New Zealand","South Africa","South Africa","field","L Wolvaardt","South Africa","7",NA
"NE Bolton",2014-01-23,"Australia","England",1,124,152,12,0,81.5789473684211,FALSE,"Women's Ashes","2013/14",666041,"Melbourne Cricket Ground",NA,"Australia","England","Australia","bat","NE Bolton","Australia",NA,"26"
"L Winfield",2016-06-22,"England","Pakistan",1,123,117,15,2,105.128205128205,FALSE,"ICC Women's Championship","2016",946547,"County Ground, New Road","Worcester","England","Pakistan","Pakistan","field","TT Beaumont","England",NA,"212"
"S Mandhana",2022-03-12,"India","West Indies",1,123,119,13,2,103.361344537815,FALSE,"ICC Women's World Cup","2021/22",1243917,"Seddon Park, Hamilton","Hamilton","India","West Indies","India","bat","S Mandhana","India",NA,"155"
"Sidra Ameen",2022-06-03,"Pakistan","Sri Lanka",1,123,150,11,0,82,FALSE,"Sri Lanka Women tour of Pakistan","2022",1310985,"Southend Club Cricket Stadium, Karachi","Karachi","Pakistan","Sri Lanka","Pakistan","bat","Sidra Ameen","Pakistan",NA,"73"
"AJ Healy",2019-09-05,"Australia","West Indies",1,122,106,12,2,115.094339622642,FALSE,"Australia Women tour of West Indies","2019",1198472,"Coolidge Cricket Ground, Antigua","Coolidge","Australia","West Indies","West Indies","field","AJ Healy","Australia",NA,"178"
"SW Bates",2012-12-12,"New Zealand","Australia",2,122,131,16,1,93.1297709923664,TRUE,"Rose Bowl","2012/13",584546,"Sydney Cricket Ground",NA,"Australia","New Zealand","Australia","bat","SW Bates","New Zealand","8",NA
"A Hunter",2021-10-11,"Ireland","Zimbabwe",1,121,127,8,0,95.2755905511811,TRUE,"Ireland Women tour of Zimbabwe","2021/22",1281420,"Harare Sports Club","Harare","Ireland","Zimbabwe","Zimbabwe","field","A Hunter","Ireland",NA,"85"
"MM Lanning",2019-09-05,"Australia","West Indies",1,121,145,12,4,83.448275862069,FALSE,"Australia Women tour of West Indies","2019",1198472,"Coolidge Cricket Ground, Antigua","Coolidge","Australia","West Indies","West Indies","field","AJ Healy","Australia",NA,"178"
"NR Sciver-Brunt",2023-09-14,"England","Sri Lanka",1,120,74,18,1,162.162162162162,FALSE,"Sri Lanka Women tour of England","2023",1336085,"Grace Road, Leicester","Leicester","England","Sri Lanka","Sri Lanka","field","NR Sciver-Brunt","England",NA,"161"
"TT Beaumont",2022-07-18,"England","South Africa",1,119,107,19,1,111.214953271028,FALSE,"South Africa Women tour of England","2022",1301330,"Grace Road, Leicester","Leicester","England","South Africa","South Africa","field","TT Beaumont","England",NA,"109"
"P Litchfield",2024-01-02,"Australia","India",1,119,125,16,1,95.2,FALSE,"Australia Women tour of India","2023/24",1406080,"Wankhede Stadium, Mumbai","Mumbai","Australia","India","Australia","bat","P Litchfield","Australia",NA,"190"
